src_file,t0,t1,label,best_overlap_sec,overlap_detail_json,dest_wav
KP005_WWS.wav,0.000,2.000,Non-breathing,0.950,"{""Non-breathing"": 0.95, ""Crackle"": 1.05}",/Users/yunhwang/Desktop/Stethoscope_Project/Deployment/1 Final Pipeline/2 Model Training with Replayed Sound/Output/Augmented_Windows_by_Coverage/Nonbreathing_window/KP005_WWS_0.00-2.00.wav
KP005_WWS.wav,0.500,2.500,Crackle,1.450,"{""Non-breathing"": 0.55, ""Crackle"": 1.45}",/Users/yunhwang/Desktop/Stethoscope_Project/Deployment/1 Final Pipeline/2 Model Training with Replayed Sound/Output/Augmented_Windows_by_Coverage/Crackle_window/KP005_WWS_0.50-2.50.wav
KP005_WWS.wav,1.000,3.000,Crackle,1.900,"{""Crackle"": 1.9, ""Non-breathing"": 0.10000000000000009}",/Users/yunhwang/Desktop/Stethoscope_Project/Deployment/1 Final Pipeline/2 Model Training with Replayed Sound/Output/Augmented_Windows_by_Coverage/Crackle_window/KP005_WWS_1.00-3.00.wav
KP005_WWS.wav,1.500,3.500,Crackle,1.900,"{""Crackle"": 1.9, ""Non-breathing"": 0.10000000000000009}",/Users/yunhwang/Desktop/Stethoscope_Project/Deployment/1 Final Pipeline/2 Model Training with Replayed Sound/Output/Augmented_Windows_by_Coverage/Crackle_window/KP005_WWS_1.50-3.50.wav
KP005_WWS.wav,2.000,4.000,Crackle,1.640,"{""Crackle"": 1.6400000000000001, ""Non-breathing"": 0.3599999999999999}",/Users/yunhwang/Desktop/Stethoscope_Project/Deployment/1 Final Pipeline/2 Model Training with Replayed Sound/Output/Augmented_Windows_by_Coverage/Crackle_window/KP005_WWS_2.00-4.00.wav
KP005_WWS.wav,2.500,4.500,Crackle,1.580,"{""Crackle"": 1.58, ""Non-breathing"": 0.41999999999999993}",/Users/yunhwang/Desktop/Stethoscope_Project/Deployment/1 Final Pipeline/2 Model Training with Replayed Sound/Output/Augmented_Windows_by_Coverage/Crackle_window/KP005_WWS_2.50-4.50.wav
KP005_WWS.wav,3.000,5.000,Crackle,1.580,"{""Crackle"": 1.58, ""Non-breathing"": 0.41999999999999993}",/Users/yunhwang/Desktop/Stethoscope_Project/Deployment/1 Final Pipeline/2 Model Training with Replayed Sound/Output/Augmented_Windows_by_Coverage/Crackle_window/KP005_WWS_3.00-5.00.wav
KP005_WWS.wav,3.500,5.500,Crackle,1.580,"{""Crackle"": 1.58, ""Non-breathing"": 0.41999999999999993}",/Users/yunhwang/Desktop/Stethoscope_Project/Deployment/1 Final Pipeline/2 Model Training with Replayed Sound/Output/Augmented_Windows_by_Coverage/Crackle_window/KP005_WWS_3.50-5.50.wav
KP005_WWS.wav,4.000,6.000,Crackle,1.640,"{""Non-breathing"": 0.35999999999999943, ""Crackle"": 1.6400000000000006}",/Users/yunhwang/Desktop/Stethoscope_Project/Deployment/1 Final Pipeline/2 Model Training with Replayed Sound/Output/Augmented_Windows_by_Coverage/Crackle_window/KP005_WWS_4.00-6.00.wav
KP005_WWS.wav,4.500,6.500,Crackle,1.800,"{""Crackle"": 1.8000000000000007, ""Non-breathing"": 0.1999999999999993}",/Users/yunhwang/Desktop/Stethoscope_Project/Deployment/1 Final Pipeline/2 Model Training with Replayed Sound/Output/Augmented_Windows_by_Coverage/Crackle_window/KP005_WWS_4.50-6.50.wav
