src_file,t0,t1,label,dest_wav
KP018_WWS_B006_16.07-18.10.wav,0.000,2.000,Crackle,/Users/yunhwang/Desktop/Stethoscope_Project/Deployment/1 Final Pipeline/2 Model Training with Replayed Sound/Output/Segments_2s_hop500ms/Crackle/KP018_WWS_B006_16.07-18.10_0.00-2.00.wav
KP019_WWS_1_B001_5.39-7.80.wav,0.000,2.000,Crackle,/Users/yunhwang/Desktop/Stethoscope_Project/Deployment/1 Final Pipeline/2 Model Training with Replayed Sound/Output/Segments_2s_hop500ms/Crackle/KP019_WWS_1_B001_5.39-7.80_0.00-2.00.wav
KP019_WWS_1_B002_9.14-11.52.wav,0.000,2.000,Crackle,/Users/yunhwang/Desktop/Stethoscope_Project/Deployment/1 Final Pipeline/2 Model Training with Replayed Sound/Output/Segments_2s_hop500ms/Crackle/KP019_WWS_1_B002_9.14-11.52_0.00-2.00.wav
KP019_WWS_1_B004_18.45-21.14.wav,0.000,2.000,Crackle,/Users/yunhwang/Desktop/Stethoscope_Project/Deployment/1 Final Pipeline/2 Model Training with Replayed Sound/Output/Segments_2s_hop500ms/Crackle/KP019_WWS_1_B004_18.45-21.14_0.00-2.00.wav
KP019_WWS_1_B004_18.45-21.14.wav,0.500,2.500,Crackle,/Users/yunhwang/Desktop/Stethoscope_Project/Deployment/1 Final Pipeline/2 Model Training with Replayed Sound/Output/Segments_2s_hop500ms/Crackle/KP019_WWS_1_B004_18.45-21.14_0.50-2.50.wav
KP019_WWS_1_B005_22.88-24.96.wav,0.000,2.000,Crackle,/Users/yunhwang/Desktop/Stethoscope_Project/Deployment/1 Final Pipeline/2 Model Training with Replayed Sound/Output/Segments_2s_hop500ms/Crackle/KP019_WWS_1_B005_22.88-24.96_0.00-2.00.wav
KP019_WWS_1_B006_27.11-30.00.wav,0.000,2.000,Crackle,/Users/yunhwang/Desktop/Stethoscope_Project/Deployment/1 Final Pipeline/2 Model Training with Replayed Sound/Output/Segments_2s_hop500ms/Crackle/KP019_WWS_1_B006_27.11-30.00_0.00-2.00.wav
KP019_WWS_1_B006_27.11-30.00.wav,0.500,2.500,Crackle,/Users/yunhwang/Desktop/Stethoscope_Project/Deployment/1 Final Pipeline/2 Model Training with Replayed Sound/Output/Segments_2s_hop500ms/Crackle/KP019_WWS_1_B006_27.11-30.00_0.50-2.50.wav
KP019_WWS_2_B000_1.76-4.65.wav,0.000,2.000,Crackle,/Users/yunhwang/Desktop/Stethoscope_Project/Deployment/1 Final Pipeline/2 Model Training with Replayed Sound/Output/Segments_2s_hop500ms/Crackle/KP019_WWS_2_B000_1.76-4.65_0.00-2.00.wav
KP019_WWS_2_B000_1.76-4.65.wav,0.500,2.500,Crackle,/Users/yunhwang/Desktop/Stethoscope_Project/Deployment/1 Final Pipeline/2 Model Training with Replayed Sound/Output/Segments_2s_hop500ms/Crackle/KP019_WWS_2_B000_1.76-4.65_0.50-2.50.wav
