Time(s),Amplitude
2.000000000,0.020801496
2.000062500,0.023000127
2.000125000,0.025225509
2.000187500,0.027453933
2.000250000,0.029649187
2.000312500,0.031647276
2.000375000,0.033481617
2.000437500,0.035211615
2.000500000,0.036896769
2.000562500,0.038425501
2.000625000,0.039846815
2.000687500,0.041199170
2.000750000,0.042544231
2.000812500,0.043831840
2.000875000,0.045248363
2.000937500,0.046971470
2.001000000,0.049132939
2.001062500,0.051618710
2.001125000,0.054420386
2.001187500,0.057432368
2.001250000,0.060521994
2.001312500,0.063425384
2.001375000,0.066156529
2.001437500,0.068768866
2.001500000,0.071346298
2.001562500,0.073800124
2.001625000,0.076217338
2.001687500,0.078606598
2.001750000,0.080946989
2.001812500,0.083060518
2.001875000,0.085027263
2.001937500,0.086926289
2.002000000,0.088853441
2.002062500,0.090727665
2.002125000,0.092674181
2.002187500,0.094722293
2.002250000,0.096854016
2.002312500,0.098850824
2.002375000,0.100749619
2.002437500,0.102533773
2.002500000,0.104195721
2.002562500,0.105567411
2.002625000,0.106760807
2.002687500,0.107823819
2.002750000,0.108807817
2.002812500,0.109595239
2.002875000,0.110346630
2.002937500,0.111115396
2.003000000,0.111913919
2.003062500,0.112540923
2.003125000,0.113071539
2.003187500,0.113488078
2.003250000,0.113796413
2.003312500,0.113868162
2.003375000,0.113917887
2.003437500,0.114058904
2.003500000,0.114361160
2.003562500,0.114648156
2.003625000,0.115000769
2.003687500,0.115342155
2.003750000,0.115584768
2.003812500,0.115492053
2.003875000,0.115220800
2.003937500,0.114845067
2.004000000,0.114455283
2.004062500,0.113952748
2.004125000,0.113575250
2.004187500,0.113386527
2.004250000,0.113419905
2.004312500,0.113508910
2.004375000,0.113844052
2.004437500,0.114428014
2.004500000,0.115208276
2.004562500,0.115891807
2.004625000,0.116517909
2.004687500,0.116933428
2.004750000,0.116996638
2.004812500,0.116449654
2.004875000,0.115526907
2.004937500,0.114383146
2.005000000,0.113231659
2.005062500,0.112106465
2.005125000,0.111393765
2.005187500,0.111167967
2.005250000,0.111349180
2.005312500,0.111544214
2.005375000,0.111747451
2.005437500,0.111796379
2.005500000,0.111631550
2.005562500,0.111125782
2.005625000,0.110693730
2.005687500,0.110546544
2.005750000,0.110784426
2.005812500,0.111139387
2.005875000,0.111641809
2.005937500,0.112037972
2.006000000,0.112102173
2.006062500,0.111537762
2.006125000,0.110674039
2.006187500,0.109748147
2.006250000,0.108996063
2.006312500,0.108344972
2.006375000,0.108021908
2.006437500,0.107898660
2.006500000,0.107772447
2.006562500,0.107266948
2.006625000,0.106569059
2.006687500,0.105758160
2.006750000,0.104948714
2.006812500,0.104010388
2.006875000,0.103204362
2.006937500,0.102504335
2.007000000,0.101842612
2.007062500,0.100965403
2.007125000,0.100159958
2.007187500,0.099560589
2.007250000,0.099301249
2.007312500,0.099244982
2.007375000,0.099647246
2.007437500,0.100457646
2.007500000,0.101560235
2.007562500,0.102611512
2.007625000,0.103774890
2.007687500,0.105032586
2.007750000,0.106360584
2.007812500,0.107487932
2.007875000,0.108575247
2.007937500,0.109545037
2.008000000,0.110313803
2.008062500,0.110618703
2.008125000,0.110742368
2.008187500,0.110814974
2.008250000,0.110972673
2.008312500,0.111091398
2.008375000,0.111439429
2.008437500,0.111976750
2.008500000,0.112572789
2.008562500,0.112845391
2.008625000,0.112928532
2.008687500,0.112833999
2.008750000,0.112666912
2.008812500,0.112390794
2.008875000,0.112446040
2.008937500,0.113000415
2.009000000,0.114078782
2.009062500,0.115338750
2.009125000,0.116765171
2.009187500,0.118088134
2.009250000,0.119067378
2.009312500,0.119378969
2.009375000,0.119297214
2.009437500,0.119039237
2.009500000,0.118879132
2.009562500,0.118858434
2.009625000,0.119329259
2.009687500,0.120278411
2.009750000,0.121514611
2.009812500,0.122547671
2.009875000,0.123310186
2.009937500,0.123653255
2.010000000,0.123585343
2.010062500,0.123083912
2.010125000,0.122634210
2.010187500,0.122507684
2.010250000,0.122832350
2.010312500,0.123358577
2.010375000,0.124091119
2.010437500,0.124771588
2.010500000,0.125185475
2.010562500,0.125079364
2.010625000,0.124777324
2.010687500,0.124499083
2.010750000,0.124432467
2.010812500,0.124458469
2.010875000,0.124701902
2.010937500,0.124961086
2.011000000,0.124997213
2.011062500,0.124476746
2.011125000,0.123612694
2.011187500,0.122539036
2.011250000,0.121420488
2.011312500,0.120197587
