Time(s),Amplitude
6.000000000,0.040285248
6.000062500,0.040222816
6.000125000,0.040629212
6.000187500,0.040871806
6.000250000,0.040379371
6.000312500,0.038891990
6.000375000,0.036751598
6.000437500,0.034493994
6.000500000,0.032661170
6.000562500,0.031482030
6.000625000,0.030921048
6.000687500,0.030513402
6.000750000,0.029743314
6.000812500,0.028308032
6.000875000,0.026438784
6.000937500,0.024562037
6.001000000,0.023154603
6.001062500,0.022442130
6.001125000,0.022409666
6.001187500,0.022610955
6.001250000,0.022495734
6.001312500,0.021666029
6.001375000,0.020206846
6.001437500,0.018442774
6.001500000,0.016848268
6.001562500,0.015785057
6.001625000,0.015447182
6.001687500,0.015622867
6.001750000,0.015907025
6.001812500,0.015901962
6.001875000,0.015478460
6.001937500,0.014662026
6.002000000,0.013648040
6.002062500,0.012675383
6.002125000,0.011956635
6.002187500,0.011481894
6.002250000,0.011106680
6.002312500,0.010643127
6.002375000,0.009992308
6.002437500,0.009077761
6.002500000,0.007906451
6.002562500,0.006553504
6.002625000,0.005148236
6.002687500,0.003760567
6.002750000,0.002447235
6.002812500,0.001279767
6.002875000,0.000348568
6.002937500,-0.000324414
6.003000000,-0.000752995
6.003062500,-0.000962695
6.003125000,-0.001011033
6.003187500,-0.001005120
6.003250000,-0.001035369
6.003312500,-0.001115633
6.003375000,-0.001220732
6.003437500,-0.001327209
6.003500000,-0.001411866
6.003562500,-0.001445778
6.003625000,-0.001460921
6.003687500,-0.001561187
6.003750000,-0.001882488
6.003812500,-0.002526796
6.003875000,-0.003570271
6.003937500,-0.005038919
6.004000000,-0.006871082
6.004062500,-0.008890681
6.004125000,-0.010905652
6.004187500,-0.012747687
6.004250000,-0.014306910
6.004312500,-0.015518816
6.004375000,-0.016426565
6.004437500,-0.017123818
6.004500000,-0.017695390
6.004562500,-0.018146256
6.004625000,-0.018476442
6.004687500,-0.018688774
6.004750000,-0.018824881
6.004812500,-0.018950710
6.004875000,-0.019225746
6.004937500,-0.019812347
6.005000000,-0.020801496
6.005062500,-0.022126412
6.005125000,-0.023647981
6.005187500,-0.025173452
6.005250000,-0.026543085
6.005312500,-0.027668079
6.005375000,-0.028610038
6.005437500,-0.029489206
6.005500000,-0.030402184
6.005562500,-0.031321533
6.005625000,-0.032138430
6.005687500,-0.032668713
6.005750000,-0.032755297
6.005812500,-0.032334432
6.005875000,-0.031532411
6.005937500,-0.030583441
6.006000000,-0.029743314
6.006062500,-0.029167149
6.006125000,-0.028908923
6.006187500,-0.028892973
6.006250000,-0.028990317
6.006312500,-0.029080912
6.006375000,-0.029160341
6.006437500,-0.029291293
6.006500000,-0.029555064
6.006562500,-0.029957773
6.006625000,-0.030461885
6.006687500,-0.030939681
6.006750000,-0.031249303
6.006812500,-0.031279735
6.006875000,-0.031086851
6.006937500,-0.030799795
6.007000000,-0.030590432
6.007062500,-0.030565344
6.007125000,-0.030792430
6.007187500,-0.031179523
6.007250000,-0.031531677
6.007312500,-0.031591497
6.007375000,-0.031201011
6.007437500,-0.030264264
6.007500000,-0.028802069
6.007562500,-0.026914898
6.007625000,-0.024840740
6.007687500,-0.022801623
6.007750000,-0.020989744
6.007812500,-0.019497596
6.007875000,-0.018428894
6.007937500,-0.017762722
6.008000000,-0.017413015
6.008062500,-0.017205300
6.008125000,-0.017082175
6.008187500,-0.016951835
6.008250000,-0.016754145
6.008312500,-0.016406430
6.008375000,-0.015991211
6.008437500,-0.015554810
6.008500000,-0.015154029
6.008562500,-0.014785671
6.008625000,-0.014568359
6.008687500,-0.014537007
6.008750000,-0.014683408
6.008812500,-0.014894639
6.008875000,-0.015161320
6.008937500,-0.015418207
6.009000000,-0.015624652
6.009062500,-0.015714126
6.009125000,-0.015787698
6.009187500,-0.015885063
6.009250000,-0.016001150
6.009312500,-0.015998477
6.009375000,-0.015850499
6.009437500,-0.015479673
6.009500000,-0.014871657
6.009562500,-0.014030566
6.009625000,-0.013194501
6.009687500,-0.012554646
6.009750000,-0.012236172
6.009812500,-0.012170643
6.009875000,-0.012357714
6.009937500,-0.012705013
6.010000000,-0.013177417
6.010062500,-0.013774558
6.010125000,-0.014750984
6.010187500,-0.016310450
6.010250000,-0.018542508
6.010312500,-0.021265659
6.010375000,-0.024235534
6.010437500,-0.027054805
6.010500000,-0.029366815
6.010562500,-0.030925002
6.010625000,-0.031842213
6.010687500,-0.032378193
6.010750000,-0.032849420
6.010812500,-0.033418808
6.010875000,-0.034188114
6.010937500,-0.035040766
6.011000000,-0.035767276
6.011062500,-0.036129851
6.011125000,-0.036139548
6.011187500,-0.035935532
6.011250000,-0.035767276
6.011312500,-0.035830572
6.011375000,-0.036334779
6.011437500,-0.037298545
6.011500000,-0.038591005
6.011562500,-0.039940372
6.011625000,-0.041184373
6.011687500,-0.042208295
6.011750000,-0.043014854
6.011812500,-0.043657016
6.011875000,-0.044330798
6.011937500,-0.045169134
6.012000000,-0.046215083
6.012062500,-0.047353655
6.012125000,-0.048463777
6.012187500,-0.049358420
6.012250000,-0.049885936
6.012312500,-0.049949784
6.012375000,-0.049628831
6.012437500,-0.049054880
6.012500000,-0.048379947
6.012562500,-0.047686346
6.012625000,-0.047048386
6.012687500,-0.046448324
6.012750000,-0.045838587
6.012812500,-0.045161396
6.012875000,-0.044461466
6.012937500,-0.043789450
6.013000000,-0.043203104
6.013062500,-0.042710662
6.013125000,-0.042337589
6.013187500,-0.042022847
6.013250000,-0.041697115
6.013312500,-0.041304380
6.013375000,-0.040908147
6.013437500,-0.040555291
6.013500000,-0.040285248
6.013562500,-0.040075377
6.013625000,-0.039911263
6.013687500,-0.039676733
6.013750000,-0.039249878
6.013812500,-0.038546994
6.013875000,-0.037625659
6.013937500,-0.036566366
6.014000000,-0.035484903
6.014062500,-0.034477860
6.014125000,-0.033635292
6.014187500,-0.032911062
6.014250000,-0.032190546
6.014312500,-0.031337768
6.014375000,-0.030293312
6.014437500,-0.029001728
6.014500000,-0.027484328
6.014562500,-0.025836116
6.014625000,-0.024245519
6.014687500,-0.022828918
6.014750000,-0.021648614
6.014812500,-0.020695088
6.014875000,-0.019937247
6.014937500,-0.019216841
6.015000000,-0.018354259
6.015062500,-0.017208077
6.015125000,-0.015760763
6.015187500,-0.014014885
6.015250000,-0.012047924
6.015312500,-0.010004797
6.015375000,-0.008087142
6.015437500,-0.006419644
6.015500000,-0.005082718
6.015562500,-0.004122681
6.015625000,-0.003552300
6.015687500,-0.003266746
6.015750000,-0.003106105
6.015812500,-0.002910287
6.015875000,-0.002550964
6.015937500,-0.001906035
6.016000000,-0.000941244
6.016062500,0.000253995
6.016125000,0.001523181
6.016187500,0.002765875
6.016250000,0.003953225
6.016312500,0.005115528
6.016375000,0.006350275
6.016437500,0.007796271
6.016500000,0.009506566
6.016562500,0.011361478
6.016625000,0.013122826
6.016687500,0.014561039
6.016750000,0.015530528
6.016812500,0.016013658
6.016875000,0.016166897
6.016937500,0.016270118
6.017000000,0.016565897
6.017062500,0.017113952
6.017125000,0.017809795
6.017187500,0.018467668
6.017250000,0.018919006
6.017312500,0.019091161
6.017375000,0.019103698
6.017437500,0.019213825
6.017500000,0.019672001
6.017562500,0.020559279
6.017625000,0.021797515
6.017687500,0.023180233
6.017750000,0.024472345
6.017812500,0.025488600
6.017875000,0.026242480
6.017937500,0.026880344
6.018000000,0.027578451
6.018062500,0.028391654
6.018125000,0.029303633
6.018187500,0.030200172
6.018250000,0.030966930
6.018312500,0.031538468
6.018375000,0.032034632
6.018437500,0.032641705
6.018500000,0.033508290
6.018562500,0.034599047
6.018625000,0.035758849
6.018687500,0.036707602
6.018750000,0.037179142
6.018812500,0.037012808
6.018875000,0.036323689
6.018937500,0.035388686
6.019000000,0.034543656
6.019062500,0.033996951
6.019125000,0.033857033
6.019187500,0.034019157
6.019250000,0.034261286
6.019312500,0.034307741
6.019375000,0.034067221
6.019437500,0.033544838
6.019500000,0.032849420
6.019562500,0.032083798
6.019625000,0.031420901
6.019687500,0.030944370
6.019750000,0.030684557
6.019812500,0.030594062
6.019875000,0.030713623
6.019937500,0.031037059
6.020000000,0.031531677
6.020062500,0.032076623
6.020125000,0.032609180
6.020187500,0.033018582
6.020250000,0.033225916
6.020312500,0.033168629
6.020375000,0.032965977
6.020437500,0.032732259
6.020500000,0.032567047
6.020562500,0.032451883
6.020625000,0.032403484
6.020687500,0.032323301
6.020750000,0.032096423
6.020812500,0.031587094
6.020875000,0.030867597
6.020937500,0.030024156
6.021000000,0.029178567
6.021062500,0.028383158
6.021125000,0.027792849
6.021187500,0.027456939
6.021250000,0.027390203
6.021312500,0.027526803
6.021375000,0.027924169
6.021437500,0.028539017
6.021500000,0.029272690
6.021562500,0.029911807
6.021625000,0.030363062
