t0,t1,prob_Crackle,prob_Healthy,prob_Non-breathing,prob_Rhonchi,prob_Wheezing,pred_label
0.00,2.00,0.003243,0.048730,0.947478,0.000197,0.000351,Non-breathing
0.50,2.50,0.002034,0.101230,0.896465,0.000188,0.000083,Non-breathing
1.00,3.00,0.003422,0.211669,0.784234,0.000453,0.000221,Healthy
1.50,3.50,0.013903,0.525535,0.459811,0.000660,0.000091,Healthy
2.00,4.00,0.018747,0.703188,0.276700,0.001331,0.000035,Healthy
2.50,4.50,0.023115,0.752657,0.218110,0.006081,0.000038,Healthy
3.00,5.00,0.049404,0.569622,0.373438,0.007453,0.000084,Healthy
3.50,5.50,0.066211,0.122792,0.809454,0.001458,0.000085,Healthy
4.00,6.00,0.042832,0.065737,0.890410,0.000925,0.000096,Non-breathing
4.50,6.50,0.012911,0.173626,0.812089,0.000973,0.000402,Healthy
5.00,7.00,0.007063,0.299868,0.692038,0.000949,0.000082,Healthy
5.50,7.50,0.018713,0.527703,0.450870,0.002676,0.000037,Healthy
6.00,8.00,0.006682,0.722454,0.266012,0.004827,0.000024,Healthy
6.50,8.50,0.033164,0.663070,0.301359,0.002386,0.000021,Healthy
7.00,9.00,0.045312,0.540377,0.412523,0.001774,0.000015,Healthy
7.50,9.50,0.073657,0.296797,0.627234,0.002284,0.000027,Healthy
8.00,10.00,0.038767,0.335088,0.623327,0.002793,0.000025,Healthy
8.50,10.50,0.045198,0.238318,0.713922,0.002530,0.000032,Healthy
9.00,11.00,0.053567,0.173702,0.771655,0.000990,0.000086,Healthy
9.50,11.50,0.014582,0.101045,0.884007,0.000279,0.000088,Non-breathing
10.00,12.00,0.027365,0.290409,0.681391,0.000587,0.000247,Healthy
10.50,12.50,0.041599,0.496387,0.460050,0.001733,0.000232,Healthy
11.00,13.00,0.070545,0.560179,0.363307,0.005823,0.000146,Healthy
11.50,13.50,0.071464,0.623863,0.299977,0.004665,0.000032,Healthy
12.00,14.00,0.107328,0.410097,0.479752,0.002805,0.000018,Healthy
12.50,14.50,0.087660,0.442080,0.467822,0.002418,0.000020,Healthy
13.00,15.00,0.110989,0.217301,0.669438,0.002259,0.000013,Healthy
13.50,15.50,0.071065,0.377759,0.543890,0.007217,0.000068,Healthy
14.00,16.00,0.089926,0.103443,0.803943,0.002659,0.000029,Non-breathing
14.50,16.50,0.000000,0.017703,0.946101,0.027500,0.008696,Non-breathing
15.00,17.00,0.000075,0.060601,0.927321,0.006220,0.005783,Non-breathing
15.50,17.50,0.000021,0.044842,0.940744,0.009441,0.004951,Non-breathing
16.00,18.00,0.000019,0.100472,0.867686,0.025987,0.005836,Non-breathing
16.50,18.50,0.000982,0.541544,0.450439,0.006890,0.000146,Healthy
17.00,19.00,0.000045,0.367557,0.623303,0.008899,0.000195,Healthy
17.50,19.50,0.000018,0.286536,0.698696,0.014501,0.000249,Healthy
18.00,20.00,0.037337,0.142948,0.817006,0.002677,0.000032,Healthy
18.50,20.50,0.046764,0.073444,0.877922,0.001807,0.000064,Non-breathing
19.00,21.00,0.023818,0.047943,0.927136,0.001035,0.000068,Non-breathing
19.50,21.50,0.013735,0.192152,0.791799,0.001988,0.000326,Healthy
20.00,22.00,0.023108,0.349262,0.624914,0.002651,0.000065,Healthy
20.50,22.50,0.028339,0.439258,0.526646,0.005649,0.000107,Healthy
21.00,23.00,0.013818,0.508925,0.471109,0.006065,0.000083,Healthy
21.50,23.50,0.121525,0.179135,0.691820,0.007492,0.000028,Healthy
22.00,24.00,0.102437,0.123622,0.770308,0.003580,0.000053,Healthy
22.50,24.50,0.067274,0.113265,0.817570,0.001781,0.000110,Non-breathing
23.00,25.00,0.066470,0.061137,0.871014,0.001253,0.000126,Non-breathing
23.50,25.50,0.021260,0.074801,0.903106,0.000657,0.000176,Non-breathing
24.00,26.00,0.006778,0.294454,0.697653,0.000986,0.000129,Healthy
24.50,26.50,0.009121,0.450003,0.537854,0.002985,0.000038,Healthy
25.00,27.00,0.007785,0.717257,0.272747,0.002197,0.000014,Healthy
25.50,27.50,0.009257,0.704891,0.282879,0.002950,0.000023,Healthy
26.00,28.00,0.051463,0.508469,0.438579,0.001471,0.000018,Healthy
26.50,28.50,0.058037,0.313634,0.626132,0.002179,0.000018,Healthy
27.00,29.00,0.058810,0.302703,0.636077,0.002387,0.000023,Healthy
27.50,29.50,0.042893,0.316721,0.637287,0.003071,0.000028,Healthy
28.00,30.00,0.036838,0.184168,0.777605,0.001323,0.000066,Healthy
