t0,t1,prob_Crackle,prob_Healthy,prob_Non-breathing,prob_Rhonchi,prob_Wheezing,pred_label
0.00,2.00,0.051792,0.000206,0.322509,0.000214,0.625280,Wheezing
0.50,2.50,0.051825,0.000260,0.430079,0.000407,0.517429,Wheezing
1.00,3.00,0.003641,0.001709,0.628877,0.000222,0.365550,Wheezing
1.50,3.50,0.000452,0.000959,0.751214,0.000174,0.247201,Wheezing
2.00,4.00,0.010400,0.002430,0.752411,0.000777,0.233981,Wheezing
2.50,4.50,0.010775,0.001082,0.446046,0.000859,0.541237,Wheezing
3.00,5.00,0.015770,0.003873,0.677880,0.004608,0.297869,Wheezing
3.50,5.50,0.012312,0.014841,0.936875,0.002135,0.033837,Non-breathing
4.00,6.00,0.000451,0.019287,0.967261,0.000275,0.012727,Non-breathing
4.50,6.50,0.001370,0.011150,0.939653,0.000695,0.047132,Non-breathing
5.00,7.00,0.035496,0.006177,0.772560,0.000712,0.185055,Wheezing
5.50,7.50,0.047405,0.003359,0.451073,0.002086,0.496077,Wheezing
6.00,8.00,0.105014,0.011013,0.645157,0.003934,0.234882,Wheezing
6.50,8.50,0.005433,0.010030,0.962212,0.000317,0.022008,Non-breathing
7.00,9.00,0.003542,0.011060,0.975261,0.000163,0.009975,Non-breathing
7.50,9.50,0.017446,0.002048,0.960253,0.000071,0.020181,Non-breathing
8.00,10.00,0.172228,0.001153,0.584239,0.000302,0.242079,Wheezing
8.50,10.50,0.182734,0.000176,0.326010,0.000130,0.490950,Wheezing
9.00,11.00,0.289554,0.003970,0.609888,0.000974,0.095614,Crackle
9.50,11.50,0.080905,0.009659,0.673982,0.000957,0.234497,Wheezing
10.00,12.00,0.000615,0.016505,0.961510,0.000316,0.021054,Non-breathing
10.50,12.50,0.000966,0.032070,0.958258,0.000464,0.008241,Non-breathing
11.00,13.00,0.042670,0.005990,0.745251,0.002129,0.203959,Wheezing
11.50,13.50,0.017749,0.002755,0.634838,0.001240,0.343417,Wheezing
12.00,14.00,0.046911,0.010263,0.710376,0.006060,0.226390,Wheezing
12.50,14.50,0.002360,0.009946,0.704968,0.001829,0.280896,Wheezing
13.00,15.00,0.000124,0.031362,0.943032,0.000155,0.025325,Non-breathing
13.50,15.50,0.000177,0.143658,0.852506,0.000080,0.003578,Non-breathing
14.00,16.00,0.001389,0.011720,0.948925,0.000185,0.037781,Non-breathing
14.50,16.50,0.010429,0.002974,0.732877,0.000318,0.253401,Wheezing
15.00,17.00,0.100883,0.002530,0.602602,0.000871,0.293113,Wheezing
15.50,17.50,0.036449,0.001673,0.485201,0.001198,0.475480,Wheezing
16.00,18.00,0.001697,0.021030,0.837577,0.000947,0.138749,Wheezing
16.50,18.50,0.001149,0.053524,0.918419,0.000532,0.026376,Non-breathing
17.00,19.00,0.016840,0.019405,0.927955,0.002861,0.032939,Non-breathing
17.50,19.50,0.003903,0.001538,0.505213,0.001513,0.487833,Wheezing
18.00,20.00,0.002604,0.001436,0.714696,0.003366,0.277897,Wheezing
18.50,20.50,0.000910,0.001618,0.821817,0.003300,0.172356,Wheezing
19.00,21.00,0.000081,0.006404,0.989675,0.000171,0.003670,Non-breathing
19.50,21.50,0.004360,0.058532,0.935618,0.000668,0.000822,Non-breathing
20.00,22.00,0.027210,0.018677,0.931635,0.000655,0.021823,Non-breathing
20.50,22.50,0.000341,0.001122,0.505429,0.000569,0.492539,Wheezing
21.00,23.00,0.020821,0.010991,0.830810,0.001645,0.135733,Wheezing
21.50,23.50,0.000235,0.013341,0.875347,0.001489,0.109588,Non-breathing
22.00,24.00,0.000357,0.028662,0.925697,0.000581,0.044703,Non-breathing
22.50,24.50,0.051145,0.100033,0.830941,0.001766,0.016114,Non-breathing
23.00,25.00,0.007890,0.009647,0.692716,0.004109,0.285638,Wheezing
23.50,25.50,0.088644,0.023435,0.792089,0.003115,0.092716,Wheezing
24.00,26.00,0.000046,0.007083,0.888709,0.000870,0.103293,Non-breathing
24.50,26.50,0.000000,0.008189,0.976263,0.000249,0.015299,Non-breathing
25.00,27.00,0.000004,0.371693,0.626046,0.000631,0.001626,Healthy
25.50,27.50,0.000072,0.091799,0.880301,0.004462,0.023366,Non-breathing
26.00,28.00,0.003466,0.016094,0.869695,0.015399,0.095346,Non-breathing
26.50,28.50,0.000588,0.001069,0.733383,0.009482,0.255477,Wheezing
27.00,29.00,0.000353,0.000634,0.589453,0.002347,0.407213,Wheezing
27.50,29.50,0.000100,0.007781,0.925290,0.001257,0.065573,Non-breathing
28.00,30.00,0.000000,0.000206,0.995133,0.000307,0.004355,Non-breathing
