window_idx,time_s,Healthy,Crackle,Rhonchi,Wheezing,Non-breathing
0.000000000000000000e+00,1.000000000000000000e+00,3.842355683445930481e-02,1.953484723344445229e-03,9.079312440007925034e-04,3.010946966242045164e-04,9.584139585494995117e-01
1.000000000000000000e+00,1.500000000000000000e+00,7.602647691965103149e-02,6.791019113734364510e-04,3.880399162881076336e-04,3.385362506378442049e-04,9.225678443908691406e-01
2.000000000000000000e+00,2.000000000000000000e+00,2.180214524269104004e-01,2.491772640496492386e-03,1.233950722962617874e-03,5.075260996818542480e-04,7.777453064918518066e-01
3.000000000000000000e+00,2.500000000000000000e+00,4.970703423023223877e-01,1.333648338913917542e-03,8.742117322981357574e-03,9.572679409757256508e-04,4.918966293334960938e-01
4.000000000000000000e+00,3.000000000000000000e+00,6.762334108352661133e-01,5.215539713390171528e-04,2.420869469642639160e-02,2.416945295408368111e-03,2.966194450855255127e-01
5.000000000000000000e+00,3.500000000000000000e+00,7.174603343009948730e-01,3.311758919153362513e-04,3.435582667589187622e-02,7.961519993841648102e-03,2.398912012577056885e-01
6.000000000000000000e+00,4.000000000000000000e+00,5.450856685638427734e-01,5.831291782669723034e-04,4.414932429790496826e-02,1.742838881909847260e-02,3.927534520626068115e-01
7.000000000000000000e+00,4.500000000000000000e+00,1.069195643067359924e-01,6.950034294277429581e-04,5.074480548501014709e-02,6.263479590415954590e-03,8.353771567344665527e-01
8.000000000000000000e+00,5.000000000000000000e+00,4.234514385461807251e-02,6.321374094113707542e-04,1.711623743176460266e-02,4.992886446416378021e-03,9.349135756492614746e-01
9.000000000000000000e+00,5.500000000000000000e+00,1.048658713698387146e-01,2.276518382132053375e-03,3.611468710005283356e-03,3.291728673502802849e-03,8.859543800354003906e-01
1.000000000000000000e+01,6.000000000000000000e+00,1.833338886499404907e-01,5.080888513475656509e-04,3.121543209999799728e-03,2.931194845587015152e-03,8.101052641868591309e-01
1.100000000000000000e+01,6.500000000000000000e+00,4.309955239295959473e-01,2.218770387116819620e-04,1.006463356316089630e-02,7.057064212858676910e-03,5.516608953475952148e-01
1.200000000000000000e+01,7.000000000000000000e+00,5.658898949623107910e-01,1.878291805041953921e-04,4.686465021222829819e-03,5.627138074487447739e-03,4.236086606979370117e-01
1.300000000000000000e+01,7.500000000000000000e+00,5.901345610618591309e-01,1.666482858126983047e-04,3.313326835632324219e-02,3.264992497861385345e-03,3.733005523681640625e-01
1.400000000000000000e+01,8.000000000000000000e+00,5.356110930442810059e-01,2.441649266984313726e-04,3.632313385605812073e-02,2.599045634269714355e-03,4.252226352691650391e-01
1.500000000000000000e+01,8.500000000000000000e+00,3.262299001216888428e-01,5.036536022089421749e-04,4.828312620520591736e-02,4.282294306904077530e-03,6.207010149955749512e-01
1.600000000000000000e+01,9.000000000000000000e+00,3.121795952320098877e-01,4.130247980356216431e-04,2.638509869575500488e-02,6.319316104054450989e-03,6.547029614448547363e-01
1.700000000000000000e+01,9.500000000000000000e+00,2.098826467990875244e-01,6.267945864237844944e-04,3.056951425969600677e-02,8.282577618956565857e-03,7.506384849548339844e-01
1.800000000000000000e+01,1.000000000000000000e+01,1.453103423118591309e-01,1.578301191329956055e-03,2.564941905438899994e-02,4.675353411585092545e-03,8.227866291999816895e-01
1.900000000000000000e+01,1.050000000000000000e+01,8.409006893634796143e-02,3.681110916659235954e-03,1.130406372249126434e-02,6.899148575030267239e-04,9.002348184585571289e-01
2.000000000000000000e+01,1.100000000000000000e+01,2.707492411136627197e-01,3.285627346485853195e-03,1.733923889696598053e-02,1.321238116361200809e-03,7.073045969009399414e-01
2.100000000000000000e+01,1.150000000000000000e+01,5.065042376518249512e-01,2.798368455842137337e-03,3.358720988035202026e-02,2.194131724536418915e-03,4.549160897731781006e-01
2.200000000000000000e+01,1.200000000000000000e+01,5.470516681671142578e-01,1.119358697906136513e-03,7.040089368820190430e-02,6.620259024202823639e-03,3.748078346252441406e-01
2.300000000000000000e+01,1.250000000000000000e+01,6.035881042480468750e-01,5.291450652293860912e-04,6.353746354579925537e-02,8.469688706099987030e-03,3.238756060600280762e-01
2.400000000000000000e+01,1.300000000000000000e+01,3.616943955421447754e-01,2.497463719919323921e-04,1.081872433423995972e-01,6.406192667782306671e-03,5.234624147415161133e-01
2.500000000000000000e+01,1.350000000000000000e+01,2.965508997440338135e-01,1.943277748068794608e-04,8.724698424339294434e-02,6.901331711560487747e-03,6.091064810752868652e-01
2.600000000000000000e+01,1.400000000000000000e+01,1.433855146169662476e-01,1.207945460919290781e-04,1.077332124114036560e-01,7.696953136473894119e-03,7.410635352134704590e-01
2.700000000000000000e+01,1.450000000000000000e+01,2.883621454238891602e-01,3.692174796015024185e-04,6.908634305000305176e-02,2.155355364084243774e-02,6.206287741661071777e-01
2.800000000000000000e+01,1.500000000000000000e+01,7.595652341842651367e-02,2.537475957069545984e-04,7.018003612756729126e-02,1.562914438545703888e-02,8.379805088043212891e-01
2.900000000000000000e+01,1.550000000000000000e+01,1.562697440385818481e-02,5.089103803038597107e-02,1.593038478908681554e-10,6.060368567705154419e-02,8.728783130645751953e-01
3.000000000000000000e+01,1.600000000000000000e+01,4.561901092529296875e-02,8.405297994613647461e-02,1.396219204252702184e-06,1.025272905826568604e-02,8.600739240646362305e-01
3.100000000000000000e+01,1.650000000000000000e+01,4.275941103696823120e-02,5.188232287764549255e-02,1.538515874699442065e-07,1.207013707607984543e-02,8.932878971099853516e-01
3.200000000000000000e+01,1.700000000000000000e+01,5.892787501215934753e-02,2.543582022190093994e-02,1.047855917590823083e-07,5.800669640302658081e-02,8.576294779777526855e-01
3.300000000000000000e+01,1.750000000000000000e+01,4.867474138736724854e-01,1.778114121407270432e-03,2.277655876241624355e-04,3.069021925330162048e-02,4.805564582347869873e-01
3.400000000000000000e+01,1.800000000000000000e+01,3.089632689952850342e-01,1.487999339587986469e-03,2.483761363691883162e-06,1.845827326178550720e-02,6.710879802703857422e-01
3.500000000000000000e+01,1.850000000000000000e+01,2.467927783727645874e-01,2.759268740192055702e-03,6.974715915930573829e-07,2.850558422505855560e-02,7.219417095184326172e-01
3.600000000000000000e+01,1.900000000000000000e+01,7.512371987104415894e-02,3.858428099192678928e-04,2.997911535203456879e-02,1.288123801350593567e-02,8.816300630569458008e-01
3.700000000000000000e+01,1.950000000000000000e+01,5.332926660776138306e-02,1.081276102922856808e-03,2.697207592427730560e-02,1.221163291484117508e-02,9.064057469367980957e-01
3.800000000000000000e+01,2.000000000000000000e+01,4.102597013115882874e-02,1.383022405207157135e-03,1.026119291782379150e-02,6.215272005647420883e-03,9.411145448684692383e-01
3.900000000000000000e+01,2.050000000000000000e+01,1.596945524215698242e-01,4.410457797348499298e-03,1.306382101029157639e-02,5.983761977404356003e-03,8.168474435806274414e-01
4.000000000000000000e+01,2.100000000000000000e+01,2.896051704883575439e-01,1.317641115747392178e-03,2.141245827078819275e-02,6.086974870413541794e-03,6.815777420997619629e-01
4.100000000000000000e+01,2.150000000000000000e+01,3.427625298500061035e-01,1.295815338380634785e-03,3.870337456464767456e-02,1.028357353061437607e-02,6.069546937942504883e-01
4.200000000000000000e+01,2.200000000000000000e+01,4.476863145828247070e-01,6.169697153382003307e-04,2.487755380570888519e-02,6.299427710473537445e-03,5.205197334289550781e-01
4.300000000000000000e+01,2.250000000000000000e+01,1.870752722024917603e-01,2.158963325200602412e-04,1.369561403989791870e-01,1.400605123490095139e-02,6.617466211318969727e-01
