window_idx,time_s,Healthy,Crackle,Rhonchi,Wheezing,Non-breathing
0.000000000000000000e+00,1.000000000000000000e+00,3.842355683445930481e-02,1.953484723344445229e-03,9.079312440007925034e-04,3.010946966242045164e-04,9.584139585494995117e-01
1.000000000000000000e+00,2.000000000000000000e+00,2.180214524269104004e-01,2.491772640496492386e-03,1.233950722962617874e-03,5.075260996818542480e-04,7.777453064918518066e-01
2.000000000000000000e+00,3.000000000000000000e+00,6.762334108352661133e-01,5.215539713390171528e-04,2.420869469642639160e-02,2.416945295408368111e-03,2.966194450855255127e-01
3.000000000000000000e+00,4.000000000000000000e+00,5.450856685638427734e-01,5.831291782669723034e-04,4.414932429790496826e-02,1.742838881909847260e-02,3.927534520626068115e-01
4.000000000000000000e+00,5.000000000000000000e+00,4.234514385461807251e-02,6.321374094113707542e-04,1.711623743176460266e-02,4.992886446416378021e-03,9.349135756492614746e-01
5.000000000000000000e+00,6.000000000000000000e+00,1.833338886499404907e-01,5.080888513475656509e-04,3.121543209999799728e-03,2.931194845587015152e-03,8.101052641868591309e-01
6.000000000000000000e+00,7.000000000000000000e+00,5.658898949623107910e-01,1.878291805041953921e-04,4.686465021222829819e-03,5.627138074487447739e-03,4.236086606979370117e-01
7.000000000000000000e+00,8.000000000000000000e+00,5.356110930442810059e-01,2.441649266984313726e-04,3.632313385605812073e-02,2.599045634269714355e-03,4.252226352691650391e-01
8.000000000000000000e+00,9.000000000000000000e+00,3.121795952320098877e-01,4.130247980356216431e-04,2.638509869575500488e-02,6.319316104054450989e-03,6.547029614448547363e-01
9.000000000000000000e+00,1.000000000000000000e+01,1.453103423118591309e-01,1.578301191329956055e-03,2.564941905438899994e-02,4.675353411585092545e-03,8.227866291999816895e-01
1.000000000000000000e+01,1.100000000000000000e+01,2.707492411136627197e-01,3.285627346485853195e-03,1.733923889696598053e-02,1.321238116361200809e-03,7.073045969009399414e-01
1.100000000000000000e+01,1.200000000000000000e+01,5.470516681671142578e-01,1.119358697906136513e-03,7.040089368820190430e-02,6.620259024202823639e-03,3.748078346252441406e-01
1.200000000000000000e+01,1.300000000000000000e+01,3.616943955421447754e-01,2.497463719919323921e-04,1.081872433423995972e-01,6.406192667782306671e-03,5.234624147415161133e-01
1.300000000000000000e+01,1.400000000000000000e+01,1.433855146169662476e-01,1.207945460919290781e-04,1.077332124114036560e-01,7.696953136473894119e-03,7.410635352134704590e-01
1.400000000000000000e+01,1.500000000000000000e+01,7.595652341842651367e-02,2.537475957069545984e-04,7.018003612756729126e-02,1.562914438545703888e-02,8.379805088043212891e-01
1.500000000000000000e+01,1.600000000000000000e+01,4.561901092529296875e-02,8.405297994613647461e-02,1.396219204252702184e-06,1.025272905826568604e-02,8.600739240646362305e-01
1.600000000000000000e+01,1.700000000000000000e+01,5.892787501215934753e-02,2.543582022190093994e-02,1.047855917590823083e-07,5.800669640302658081e-02,8.576294779777526855e-01
1.700000000000000000e+01,1.800000000000000000e+01,3.089632689952850342e-01,1.487999339587986469e-03,2.483761363691883162e-06,1.845827326178550720e-02,6.710879802703857422e-01
1.800000000000000000e+01,1.900000000000000000e+01,7.512371987104415894e-02,3.858428099192678928e-04,2.997911535203456879e-02,1.288123801350593567e-02,8.816300630569458008e-01
1.900000000000000000e+01,2.000000000000000000e+01,4.102597013115882874e-02,1.383022405207157135e-03,1.026119291782379150e-02,6.215272005647420883e-03,9.411145448684692383e-01
2.000000000000000000e+01,2.100000000000000000e+01,2.896051704883575439e-01,1.317641115747392178e-03,2.141245827078819275e-02,6.086974870413541794e-03,6.815777420997619629e-01
2.100000000000000000e+01,2.200000000000000000e+01,4.476863145828247070e-01,6.169697153382003307e-04,2.487755380570888519e-02,6.299427710473537445e-03,5.205197334289550781e-01
2.200000000000000000e+01,2.300000000000000000e+01,9.400039911270141602e-02,3.870572836603969336e-04,8.173660188913345337e-02,1.133272890001535416e-02,8.125432133674621582e-01
2.300000000000000000e+01,2.400000000000000000e+01,5.415312200784683228e-02,1.086621428839862347e-03,3.664603084325790405e-02,6.258290261030197144e-03,9.018560051918029785e-01
2.400000000000000000e+01,2.500000000000000000e+01,1.917146295309066772e-01,8.727715467102825642e-04,2.691495232284069061e-03,2.262110123410820961e-03,8.024590015411376953e-01
2.500000000000000000e+01,2.600000000000000000e+01,5.787267088890075684e-01,9.697038331069052219e-05,5.304353777319192886e-03,3.641687100753188133e-03,4.122302532196044922e-01
2.600000000000000000e+01,2.700000000000000000e+01,4.762443602085113525e-01,2.437910152366384864e-04,4.875550419092178345e-02,2.156375441700220108e-03,4.725999832153320312e-01
2.700000000000000000e+01,2.800000000000000000e+01,2.651509940624237061e-01,4.739765718113631010e-04,3.220919519662857056e-02,6.929184310138225555e-03,6.952366232872009277e-01
2.800000000000000000e+01,2.900000000000000000e+01,1.441482752561569214e-01,1.125329639762639999e-03,2.252662740647792816e-02,4.778120666742324829e-03,8.274216651916503906e-01
