file_path,filename,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP5_60sec.wav,WEBSS-007 TP5_60sec.wav,-453.28375,132.93927,55.400448,20.71793,27.157911,28.778753,18.402868,15.795474,16.639566,7.363014,-1.9084297,1.3570635,7.160736
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP3_60sec.wav,WEBSS-007 TP3_60sec.wav,-366.13806,199.54521,53.01545,7.1073594,36.23704,34.184795,5.729798,8.329693,22.495169,8.0111265,-8.928107,1.4264473,11.5959635
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP4_60sec.wav,WEBSS-007 TP4_60sec.wav,-341.99695,156.65211,57.30247,14.269309,23.50916,24.123442,8.834472,6.8467183,13.072482,6.578839,-2.6036465,1.655185,7.635883
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP2_60sec.wav,WEBSS-007 TP2_60sec.wav,-348.8996,142.31393,29.741463,-0.71665907,32.560856,37.897625,9.696989,1.7886869,14.413644,11.163072,-3.596172,-3.9389327,3.9422283
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP7_60sec.wav,WEBSS-007 TP7_60sec.wav,-487.9274,127.17636,55.145657,17.843105,18.9605,20.465784,12.138466,9.427861,11.64809,6.8715825,-0.8632787,-1.4256092,1.2110358
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP1_60sec.wav,WEBSS-007 TP1_60sec.wav,-305.5505,151.25137,48.087055,13.403378,33.044453,31.081432,4.89289,-1.4337983,9.008578,5.8285937,-5.3521495,-4.402783,1.2870599
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP6_60sec.wav,WEBSS-007 TP6_60sec.wav,-400.27765,130.07072,57.260857,19.276667,20.467289,23.265606,16.475904,13.407156,13.346245,7.519071,1.732721,3.4313705,5.8208027
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP3_60sec.wav,WEBSS-003 TP3_60sec.wav,-289.78992,127.410164,32.12346,-8.406929,6.7294507,16.566095,4.68079,-1.227162,3.7062218,1.4375715,-6.408373,-5.6117983,-0.009152411
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP4_60sec.wav,WEBSS-003 TP4_60sec.wav,-267.8525,168.71478,59.266117,6.3467937,16.424517,26.974722,16.435963,9.320071,11.758275,8.75472,2.0243316,2.846515,6.3393126
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP2_60sec.wav,WEBSS-003 TP2_60sec.wav,-417.1428,101.04532,21.962275,-8.31291,8.389359,17.180998,5.1453,-0.53516984,4.8441496,2.980556,-5.7266397,-6.193535,0.28662673
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP7_60sec.wav,WEBSS-003 TP7_60sec.wav,-438.23083,193.11581,46.593315,-9.719436,17.344505,29.488743,9.84526,5.4070163,16.120966,11.032614,-0.9657954,2.8952286,10.486722
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP1_60sec.wav,WEBSS-003 TP1_60sec.wav,-342.14542,192.48038,45.63132,-6.8410964,21.966852,30.022854,6.806577,3.4248874,14.813106,7.5636573,-4.2749987,3.2393968,11.723364
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP6_60sec.wav,WEBSS-003 TP6_60sec.wav,-364.28024,163.34885,55.4008,2.2335262,12.213624,24.40792,15.479149,8.821914,12.020485,10.294368,3.9187183,4.7827606,9.579354
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS002_3/WEBSS-002 TP 3_60sec.wav,WEBSS-002 TP 3_60sec.wav,-360.86398,121.279564,51.769363,21.777344,33.876057,39.30747,19.556309,1.2168397,2.0976148,8.474571,6.587893,2.2816935,3.5208387
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS002_3/WEBSS-002 TP 4_60sec.wav,WEBSS-002 TP 4_60sec.wav,-371.40344,131.08301,65.78123,33.73625,37.815823,36.49736,15.920219,0.40180647,3.6440592,10.854101,8.784598,3.1837833,2.7394404
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS002_3/WEBSS-002 TP 2_60sec.wav,WEBSS-002 TP 2_60sec.wav,-499.05658,79.03374,54.285645,36.45335,29.875816,24.967978,16.395391,8.850243,6.550821,6.8587737,5.8831,3.9528842,3.2965527
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS006_12/WEBSS-006 TP6_60sec.wav,WEBSS-006 TP6_60sec.wav,-412.89285,89.454765,62.86705,37.085613,20.526474,12.718365,11.071458,12.9735985,14.632869,13.435209,10.394902,7.7206793,5.888979
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS006_12/WEBSS-006 TP11_60sec.wav,WEBSS-006 TP11_60sec.wav,-467.98788,118.23041,78.447945,42.05673,22.14507,15.464546,14.4876585,14.997118,14.757889,12.772561,10.292456,8.983163,8.600065
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS006_12/WEBSS-006 TP1_60sec.wav,WEBSS-006 TP1_60sec.wav,-414.20377,118.86197,74.01943,34.46834,15.191331,10.709778,10.66602,10.967368,11.325691,10.982263,9.519961,7.809463,6.5197687
