file_path,filename,preprocessing,rms,zcr,spectral_flatness,kurtosis,skewness,logmel_0,logmel_1,logmel_2,logmel_3,logmel_4,logmel_5,logmel_6,logmel_7,logmel_8,logmel_9,logmel_10,logmel_11,logmel_12,logmel_13,logmel_14,logmel_15,logmel_16,logmel_17,logmel_18,logmel_19,logmel_20,logmel_21,logmel_22,logmel_23,logmel_24,logmel_25,logmel_26,logmel_27,logmel_28,logmel_29,logmel_30,logmel_31,logmel_32,logmel_33,logmel_34,logmel_35,logmel_36,logmel_37,logmel_38,logmel_39,logmel_40,logmel_41,logmel_42,logmel_43,logmel_44,logmel_45,logmel_46,logmel_47,logmel_48,logmel_49,logmel_50,logmel_51,logmel_52,logmel_53,logmel_54,logmel_55,logmel_56,logmel_57,logmel_58,logmel_59,logmel_60,logmel_61,logmel_62,logmel_63,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP5_60sec.wav,WEBSS-007 TP5_60sec.wav,bandpass_100_2000_spectral_gating,0.010870994992450232,0.030214874983342216,3.6451266105262626e-06,2342.10888307486,104.18810488572761,-25.91454761762538,-8.803400772318824,-5.960643360420094,-9.651628052690944,-13.801757721548945,-18.340325501558866,-22.317212452919804,-25.08102922412632,-26.807200156295607,-27.33973274902978,-28.58143949997653,-31.256967411984895,-33.135983878833336,-34.01777338074745,-34.533677364643665,-33.543033313012835,-31.182703577888468,-29.328467944604068,-30.838473340268315,-33.174634101293506,-34.59083781423667,-36.131864741033965,-37.681856690099956,-38.063260030825184,-39.8161690769922,-40.39120803206976,-40.74695258928612,-41.41735956721488,-41.598194868353474,-42.06819698134573,-43.63691129409325,-43.97369047219678,-44.3013286851621,-44.954231560360974,-48.822997465407354,-57.58206391727715,-57.65993306849222,-57.66129196930895,-57.66211084051264,-57.66282642711895,-57.663454063375994,-57.663734248704245,-57.663734248704245,-57.663734248704245,-57.663734248704245,-57.663734248704245,-57.663734248704245,-57.663734248704245,-57.663734248704245,-57.663734248704245,-57.663734248704245,-57.663734248704245,-57.663734248704245,-57.663734248704245,-57.663734248704245,-57.663734248704245,-57.663734248704245,-57.663734248704245,-57.663734248704245,-57.663734248704245,-57.663734248704245,-57.663734248704245,-57.663734248704245,-57.663734248704245,-490.74807147846093,139.68848734046912,38.74018723429632,-2.906019038466186,11.350789271910696,16.700939213956026,2.0304249063555293,-2.37319141417985,1.7361935788905791,-6.222272856051292,-17.446743518772124,-14.368124250657816,-6.552277369398812
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP3_60sec.wav,WEBSS-007 TP3_60sec.wav,bandpass_100_2000_spectral_gating,0.04571292394211311,0.02846216392923774,2.315646667702181e-06,2292.9073504547573,106.25419047341418,-11.632216662228778,4.885878194868845,8.376842562103118,5.690209874972268,1.935386589307302,-1.9912916127166598,-6.057021101583078,-9.077686410791834,-11.608168138431424,-13.598005245607284,-14.797587857123123,-16.036416595542217,-17.268127814526835,-18.686333717709,-19.68256717274169,-19.798627926769175,-19.40564244860916,-18.790376190342187,-19.935050636248324,-21.340334096327314,-22.18544999606105,-24.344116000722106,-25.350960982708106,-26.01166372339711,-27.75422654724878,-28.510534306378453,-29.104412842219404,-29.54585085400638,-29.766729267974938,-29.832112976047046,-30.312683741457796,-29.96683701810993,-30.82653300790244,-31.890454039528866,-35.93551438048683,-53.30626723764708,-57.3845142869075,-57.3881782324122,-57.39099761699329,-57.39331928004442,-57.39525418910923,-57.39694898407235,-57.398477835829766,-57.39989889354028,-57.40125172958503,-57.40255490866627,-57.40381457994201,-57.40503752216886,-57.40623170590108,-57.407394693808136,-57.40839891305748,-57.409118037286035,-57.40980804668675,-57.41046961960691,-57.41110516815352,-57.411705436261855,-57.4122698104352,-57.412794382753006,-57.41327342882672,-57.41370021129685,-57.41407223915101,-57.41431703751991,-57.41442746381306,-57.41449665263283,-402.978100953234,204.2304700310656,35.3606956545248,-17.19538576914109,19.40886583157119,21.003230678158342,-11.555766909951826,-10.789607085580684,6.514715390902055,-6.56966469574373,-25.382196059274232,-15.325603844996913,-3.204664771373397
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP4_60sec.wav,WEBSS-007 TP4_60sec.wav,bandpass_100_2000_spectral_gating,0.040711177681743656,0.033108383861940295,4.478616234651924e-07,2259.918850571362,111.25870889692165,-17.906732492778023,0.3580878206395416,4.653692748913334,1.7324030442315468,-1.4314545837974975,-4.879977808808523,-7.9156050311105295,-9.92394880956853,-11.392547528933495,-12.242531442333618,-13.791396575987296,-16.236290381732484,-17.622797738020633,-19.082247031295864,-19.94238682989645,-20.167608116080025,-20.094080703613063,-20.29749773161338,-20.76124671749191,-22.946996263666446,-24.02894116818582,-24.84186133842038,-25.700616326625294,-27.0803823951038,-28.033542830677842,-29.12133834850925,-29.70010183908117,-30.832431350941537,-31.47166812329844,-31.68297775223154,-31.556900843020983,-32.91841890442028,-34.05851186012356,-35.38262427929013,-39.096417014412296,-44.254473966633434,-44.48461033886364,-44.48461033886364,-44.48461033886364,-44.48461033886364,-44.48461033886364,-44.48461033886364,-44.48461033886364,-44.48461033886364,-44.48461033886364,-44.48461033886364,-44.48461033886364,-44.48461033886364,-44.48461033886364,-44.48461033886364,-44.48461033886364,-44.48461033886364,-44.48461033886364,-44.48461033886364,-44.48461033886364,-44.48461033886364,-44.48461033886364,-44.48461033886364,-44.48461033886364,-44.48461033886364,-44.48461033886364,-44.48461033886364,-44.48461033886364,-44.48461033886364,-354.9317196124703,140.91967512384332,43.99023829355707,-1.571696722064528,5.681862606241964,9.018588308782205,-4.385221913179368,-8.694876212511058,-3.542271262431969,-7.387576596921646,-15.457053882321807,-13.16271381734461,-7.276697113937145
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP2_60sec.wav,WEBSS-007 TP2_60sec.wav,bandpass_100_2000_spectral_gating,0.025467173927148715,0.04809127840151919,2.7432624983631092e-06,2448.1794214960355,113.0952294193097,-22.17496860203735,-5.239322361434298,-1.6012701735224273,-3.8002978044902678,-6.474082518178313,-9.588520236437148,-12.557174130654746,-15.765554889005868,-17.702980529643938,-19.711278263195158,-20.611077657198784,-21.506106222690363,-22.847977073661376,-23.835057274806456,-24.146083252003088,-22.988230606811037,-21.185744521950642,-20.45124780978429,-20.32617047536758,-22.024975415917176,-24.006119459147065,-24.18327479545617,-24.39712061190474,-24.57882431575799,-23.927244989026427,-22.96370938317479,-22.41920447180456,-22.326597397231993,-23.867237884834843,-25.82580476555115,-27.37277987309134,-28.962373204311668,-29.9881690613541,-32.83564471616656,-38.72424413412069,-46.40039713387076,-46.51376766128086,-46.515256388063925,-46.51642780309918,-46.51746135908897,-46.51839747011137,-46.519280585552224,-46.5201189984033,-46.52091995496338,-46.52168912860992,-46.52242760450344,-46.523134187459966,-46.52381034069151,-46.52445939981102,-46.52508025552852,-46.525667708538414,-46.52623168157822,-46.526763647964515,-46.5272650154185,-46.52773833190246,-46.528178434776336,-46.52858597887741,-46.528959432346205,-46.52929607883158,-46.52959254067109,-46.52984825768699,-46.53005540139633,-46.53021298926574,-46.53031170348347,-361.4468310472506,127.3439396933217,17.45938913868176,-15.825327391830184,15.263433250261581,23.664326222452456,-2.522748106690757,-13.105085809058204,-1.6173566000490167,-1.8737279454624132,-15.526852488293642,-18.168275098617727,-10.319469443085437
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP7_60sec.wav,WEBSS-007 TP7_60sec.wav,bandpass_100_2000_spectral_gating,0.021189244602330456,0.03846281982942431,1.1644354377430551e-06,2249.1924228952894,117.61192207905783,-35.420350163043004,-16.930985215034536,-11.819460554739127,-14.037200357788866,-17.65091514345218,-19.053317557162814,-21.55964717437999,-26.25796149556909,-29.539919643741275,-30.430327303414135,-31.535004063791316,-32.541357055164084,-32.57101922507681,-32.56031342117693,-34.646139469184014,-34.83230830716652,-33.506475546211924,-34.356571953215344,-35.29234197355736,-37.48535679969769,-38.66630200688388,-40.65754249039013,-41.49783963916071,-41.91130077980834,-42.76762365543228,-43.44353395921146,-42.70711595954076,-43.89528713877098,-45.800209782649574,-46.651992997050336,-47.30634443713695,-47.50398894133075,-48.36311231953759,-50.28724679513227,-53.57329425716546,-56.20604357272459,-56.21890538537595,-56.21890538537595,-56.21890538537595,-56.21890538537595,-56.21890538537595,-56.21890538537595,-56.21890538537595,-56.21890538537595,-56.21890538537595,-56.21890538537595,-56.21890538537595,-56.21890538537595,-56.21890538537595,-56.21890538537595,-56.21890538537595,-56.21890538537595,-56.21890538537595,-56.21890538537595,-56.21890538537595,-56.21890538537595,-56.21890538537595,-56.21890538537595,-56.21890538537595,-56.21890538537595,-56.21890538537595,-56.21890538537595,-56.21890538537595,-56.21890538537595,-499.67142473464094,112.63888935115939,42.61332711711901,3.3165623117526715,2.7662447717466634,6.433972817725828,-0.22948810299392478,-4.709856606316071,-3.4524057655630944,-6.118903761521207,-12.760565792631269,-14.804940636229496,-12.35338159786531
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP1_60sec.wav,WEBSS-007 TP1_60sec.wav,bandpass_100_2000_spectral_gating,0.06855426943611093,0.033256742237473345,1.7975300205703813e-07,2336.823147446362,119.46565998134328,-19.337545161130894,0.3547635002188136,6.5499513919254895,6.449084090940432,4.21946556904684,0.45815679423747563,-3.6740643527039145,-7.028751748840677,-9.634491547616776,-11.674620979452792,-13.39548939705214,-15.136708627077915,-17.1009243442277,-19.02771832273019,-19.903913567618368,-20.31191076449766,-19.316069873916017,-18.74656156013786,-19.486974364901453,-21.458726402339515,-22.88707565172695,-23.235617766044292,-22.95490621981758,-22.845626738677414,-23.678720660733415,-23.036444633077426,-22.652963133817686,-21.98343134960976,-22.65809291310763,-24.71025269235425,-26.727937925207303,-28.707352507480884,-29.894909030992224,-30.235977775948317,-33.50439183753846,-42.74166483912885,-42.76048822953022,-42.76052677704859,-42.760647796162154,-42.76083347595392,-42.761045883279,-42.7612115874751,-42.7612115874751,-42.7612115874751,-42.7612115874751,-42.7612115874751,-42.7612115874751,-42.7612115874751,-42.7612115874751,-42.7612115874751,-42.7612115874751,-42.7612115874751,-42.7612115874751,-42.7612115874751,-42.7612115874751,-42.7612115874751,-42.7612115874751,-42.7612115874751,-42.7612115874751,-42.7612115874751,-42.7612115874751,-42.7612115874751,-42.7612115874751,-42.7612115874751,-318.4115927355968,136.1277016390922,35.76128131883547,-2.012625795855771,15.371870700842535,16.721796703079168,-7.4495982051851035,-16.71265630307218,-7.356323184580201,-7.2997977515546015,-17.494707686760083,-19.07016560303904,-13.255730742362685
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP6_60sec.wav,WEBSS-007 TP6_60sec.wav,bandpass_100_2000_spectral_gating,0.018277560311252397,0.030678429837420043,3.641249965845232e-07,2310.314121531017,104.40619169776119,-22.38600646473431,-5.533506875452514,-3.0820680243128105,-7.166300067025313,-10.608941443101513,-14.388124905292106,-17.58270532272941,-19.710289523279027,-21.226759615101074,-21.894164691399137,-23.027284617421586,-24.862263096688338,-26.07772130489799,-27.297827310375816,-27.91014691541368,-27.45077400419119,-26.199955692531518,-26.488064787874325,-26.584817167575697,-29.069890501870812,-31.01179251087295,-31.899733743768945,-32.766302885478176,-33.848771665047366,-34.53448225248892,-34.75135011227076,-36.450525229843464,-37.99319384732947,-38.911708055953795,-39.92183085040506,-40.525727968749344,-40.931666559132715,-41.64238168018295,-42.26643023604355,-46.116395397406436,-53.26634220804065,-53.362809227541796,-53.362809227541796,-53.362809227541796,-53.362809227541796,-53.362809227541796,-53.362809227541796,-53.362809227541796,-53.362809227541796,-53.362809227541796,-53.362809227541796,-53.362809227541796,-53.362809227541796,-53.362809227541796,-53.362809227541796,-53.362809227541796,-53.362809227541796,-53.362809227541796,-53.362809227541796,-53.362809227541796,-53.362809227541796,-53.362809227541796,-53.362809227541796,-53.362809227541796,-53.362809227541796,-53.362809227541796,-53.362809227541796,-53.362809227541796,-53.362809227541796,-448.26279620809646,147.50558656370268,40.0767706512611,-7.009199491799668,6.0131256360884064,13.094015352508276,-0.40038277776717385,-5.068341728029338,-0.2385726489840125,-5.351644514118649,-14.200687533733655,-11.863661591563636,-6.748611282019207
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP3_60sec.wav,WEBSS-003 TP3_60sec.wav,bandpass_100_2000_spectral_gating,0.16819570455348581,0.06035010494402985,0.0917557909183965,2372.210602262127,169.9125830806903,-27.456476728062015,-6.287574809100267,0.4380176181326033,-0.8248424945684348,-4.6215882150357634,-6.026075817821104,-8.02669875135289,-10.120835721383832,-10.668438135862662,-11.528268313091688,-12.856919878916301,-13.59600798596896,-14.28531352193762,-15.105282420389942,-15.587535689025918,-15.250096397795284,-14.651016489192374,-14.528049510801756,-15.414885937902298,-15.60036179165128,-16.56432558893612,-17.960754964473793,-19.386492498686312,-19.72245534934597,-21.186024978567218,-21.099422909379097,-22.449765775599758,-23.361040873414563,-23.94356262570176,-24.848391664342266,-26.526871311897825,-28.18971742636687,-29.924004942350688,-31.976182665115054,-36.51068005436631,-39.61495376054578,-39.91362949383553,-39.91362949383553,-39.91362949383553,-39.91362949383553,-39.91362949383553,-39.91362949383553,-39.91362949383553,-39.91362949383553,-39.91362949383553,-39.91362949383553,-39.91362949383553,-39.91362949383553,-39.91362949383553,-39.91362949383553,-39.91362949383553,-39.91362949383553,-39.91362949383553,-39.91362949383553,-39.91362949383553,-39.91362949383553,-39.91362949383553,-39.91362949383553,-39.91362949383553,-39.91362949383553,-39.91362949383553,-39.91362949383553,-39.91362949383553,-39.91362949383553,-300.4261035142821,119.23322251127773,24.28686142767629,-18.792908023125623,-4.791549715210036,7.492152357905824,-3.096572310746723,-11.031536638849797,-6.8855064430952115,-6.9497558480997,-13.931886317658448,-14.798274234665731,-9.325900618619583
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP4_60sec.wav,WEBSS-003 TP4_60sec.wav,bandpass_100_2000_spectral_gating,0.10951003487246308,0.029886924890058637,8.263738422996675e-08,2165.6192608733677,110.34618776236007,-11.153504295805398,6.801343328522352,10.873887593064245,9.462850147729517,5.2306001843154615,1.1409083592232612,-1.6624106442714779,-3.6520066460331013,-5.180500877084271,-5.941641046383705,-7.49792760977694,-8.600603818368759,-9.500998498901728,-10.525210596478264,-11.085305230055635,-11.327925537793103,-11.197548923509839,-11.656666530027271,-12.020984491401657,-12.574571684719006,-14.568817234180194,-15.867543783396611,-16.898544335533057,-18.190967092129654,-19.521299073039348,-20.150988653173254,-21.877513251629814,-23.572028646408636,-24.993581816205655,-26.217645439273408,-27.731130281025084,-29.43571936198636,-31.00568573134649,-33.02327268780127,-37.71214022521558,-44.0630216929984,-44.87859677103716,-44.88003864665532,-44.881225951223385,-44.88187915993028,-44.88187915993028,-44.88187915993028,-44.88187915993028,-44.88187915993028,-44.88187915993028,-44.88187915993028,-44.88187915993028,-44.88187915993028,-44.88187915993028,-44.88187915993028,-44.88187915993028,-44.88187915993028,-44.88187915993028,-44.88187915993028,-44.88187915993028,-44.88187915993028,-44.88187915993028,-44.88187915993028,-44.88187915993028,-44.88187915993028,-44.88187915993028,-44.88187915993028,-44.88187915993028,-44.88187915993028,-294.9237080893085,163.90144953068818,42.80808624765102,-15.027372186558324,-1.5626908210521342,12.262859157894448,0.23535764579185264,-8.926974044509986,-5.198216730133073,-6.243771030602006,-13.497943835195493,-13.697320866013227,-9.18599434239374
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP2_60sec.wav,WEBSS-003 TP2_60sec.wav,bandpass_100_2000_spectral_gating,0.025443941236289763,0.0949035514392324,0.24337926535838597,2454.4235912721547,234.7417575209888,-37.427157380479734,-22.362507511368733,-18.182455305251388,-18.4152159333943,-20.23599752074036,-22.854621902849882,-25.259911719178103,-26.119279785928732,-26.184203441881788,-26.48201223803545,-28.07950678843419,-29.81815594846417,-30.210742158523942,-30.35604022767176,-30.204762041882766,-29.104659628849664,-28.352171965173785,-27.97219131591971,-28.951249491291062,-29.497028039569393,-29.431239367547633,-30.25891875013871,-31.936441360476373,-32.862265924557995,-33.701733944333,-33.83976563645053,-34.24333931517865,-34.36244877138011,-32.266011474564166,-34.262941803535696,-36.86609281810093,-38.79182771235112,-40.71984477835664,-42.02764375330736,-45.83940406912678,-48.7553074291279,-48.7553074291279,-48.7553074291279,-48.7553074291279,-48.7553074291279,-48.7553074291279,-48.7553074291279,-48.7553074291279,-48.7553074291279,-48.7553074291279,-48.7553074291279,-48.7553074291279,-48.7553074291279,-48.7553074291279,-48.7553074291279,-48.7553074291279,-48.7553074291279,-48.7553074291279,-48.7553074291279,-48.7553074291279,-48.7553074291279,-48.7553074291279,-48.7553074291279,-48.7553074291279,-48.7553074291279,-48.7553074291279,-48.7553074291279,-48.7553074291279,-48.7553074291279,-426.5143623913693,93.99536317952233,15.403803221493169,-16.997154744159914,-1.3159922700370255,9.556801074887398,-1.3570365425174613,-8.781488927472234,-4.060927309461496,-4.008648548994373,-12.001699654132008,-13.918122535060236,-7.503169022012675
