logmel_0,logmel_1,logmel_2,logmel_3,logmel_4,logmel_5,logmel_6,logmel_7,logmel_8,logmel_9,logmel_10,logmel_11,logmel_12,logmel_13,logmel_14,logmel_15,logmel_16,logmel_17,logmel_18,logmel_19,logmel_20,logmel_21,logmel_22,logmel_23,logmel_24,logmel_25,logmel_26,logmel_27,logmel_28,logmel_29,logmel_30,logmel_31,logmel_32,logmel_33,logmel_34,logmel_35,logmel_36,logmel_37,logmel_38,logmel_39,logmel_40,logmel_41,logmel_42,logmel_43,logmel_44,logmel_45,logmel_46,logmel_47,logmel_48,logmel_49,logmel_50,logmel_51,logmel_52,logmel_53,logmel_54,logmel_55,logmel_56,logmel_57,logmel_58,logmel_59,logmel_60,logmel_61,logmel_62,logmel_63,file_path,filename
-25.491533823744213,-28.03147949291439,-32.86065387735752,-37.75637409689798,-41.97381768884585,-46.51602852225762,-50.489814426557835,-53.2529674320139,-54.97669236999952,-55.51211451131341,-56.75712138672268,-59.42797660060631,-61.30268499526911,-62.1841918940203,-62.70372499170145,-61.70993388032334,-59.35148569386147,-57.5009178778447,-59.011839836581174,-61.33814277326509,-62.75101263551528,-64.29186735708339,-65.83904471596738,-66.20705262888723,-67.93828182541009,-68.47198063038884,-68.7857957748268,-69.39046527743649,-69.43719103220134,-69.7373947929428,-71.01503730501663,-70.86031971386015,-70.56141640039274,-70.22020010902848,-73.18600724055624,-79.94060732088016,-79.98923261740119,-79.99033466281118,-79.9911907818112,-79.99193860697666,-79.99259989125862,-79.99321189869224,-79.99378229626058,-79.99431972611328,-79.9948320338052,-79.99532234786115,-79.99579094219993,-79.99624023574606,-79.99667433895478,-79.99693730372643,-79.99713609918548,-79.99732946332202,-79.9975131517662,-79.99768777159905,-79.99785455488868,-79.99801087102675,-79.99815697629329,-79.99829208326616,-79.99841485163002,-79.99852363374133,-79.99861829612668,-79.9986951600743,-79.99875409849923,-79.99879101080472,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP5_60sec.wav,WEBSS-007 TP5_60sec.wav
-13.426147563553952,-14.849554561254603,-18.784499123770438,-22.515541297702793,-26.33020499010454,-30.261383739989203,-34.32689459629443,-37.34860652163068,-39.88025496177424,-41.86958155057192,-43.06822169451045,-44.30722189349983,-45.535708135710195,-46.95435941387972,-47.95347962169384,-48.06849194325016,-47.67402152667676,-47.05849694733935,-48.2034275113254,-49.61071472842361,-50.451883064548134,-52.60422331069811,-53.609908706748335,-54.25884260998091,-55.9813322469845,-56.71199642346874,-57.25937438350761,-57.62544226489007,-57.726034283422244,-57.6007416525901,-57.79500102911489,-56.97229180509316,-57.21847374087828,-57.291058526484704,-60.49180198242624,-76.56366956992291,-79.96195253450803,-79.96416314080457,-79.96589076568351,-79.96740403671635,-79.96874430305343,-79.96998527992604,-79.97114193595056,-79.9722314716548,-79.97326954367276,-79.97426246342148,-79.97521080464315,-79.97611952829374,-79.97699691030773,-79.9778419200007,-79.97864430597163,-79.97942424785371,-79.98016486145934,-79.98086860670686,-79.98154043799745,-79.98216989759567,-79.98275802445228,-79.98330170364594,-79.98379556713437,-79.98423309894255,-79.98461372409524,-79.98492276130536,-79.98515969873115,-79.98530808550231,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP3_60sec.wav,WEBSS-007 TP3_60sec.wav
-25.63450216260732,-27.203589388986458,-29.756340123100042,-33.70913799153245,-36.94031718805871,-40.39312566420098,-43.42879944463875,-45.43644318469089,-46.90532085295522,-47.75702854277141,-49.30380109110136,-51.749630181998924,-53.136402975062694,-54.59474096564898,-55.4551362847897,-55.67830821370444,-55.604872802760795,-55.810086553083664,-56.27279223859152,-58.45591683109573,-59.53596872007998,-60.3466311853567,-61.19913145582403,-62.56853736229936,-63.50494292771107,-64.56479562892206,-65.09636761137413,-66.1576435028895,-66.67654819961923,-66.69766767144002,-66.28644572229662,-67.22736533465093,-67.73308953703403,-68.21249307681401,-71.77621197547167,-79.47259136741107,-79.99472312087445,-79.99583532928688,-79.99669635535558,-79.99711339770724,-79.99744554079443,-79.99775274945607,-79.99803891004807,-79.99830843296661,-79.99856524969942,-79.99881095398976,-79.99904570948017,-79.9992707538728,-79.99948813364223,-79.99969761307118,-79.99989656160118,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP4_60sec.wav,WEBSS-007 TP4_60sec.wav
-28.872202188788574,-30.10204808389649,-33.9726964883294,-37.20585397873905,-39.93453996900635,-43.05078734679697,-46.02067011772942,-49.22755499284089,-51.161768846196836,-53.169470139947904,-54.070969690905066,-54.965298025335755,-56.31052773928116,-57.29502930603637,-57.60602296501913,-56.44899686469617,-54.64774267866977,-53.911582841430246,-53.78608817707714,-55.48367556350374,-57.46255233236207,-57.63586007477659,-57.84413814448117,-58.01584051923698,-57.34519691288061,-56.354333570152484,-55.764299309005395,-55.59913377501786,-57.03337884476079,-58.79820800409733,-60.06585804478526,-61.193798692004606,-61.568675951587736,-63.58094679124518,-68.49352739894881,-79.50786414094912,-79.97930662348853,-79.9817027833295,-79.98340053863822,-79.9844083003906,-79.98523881594608,-79.98596257554915,-79.98660672730813,-79.98719233666937,-79.98773528163368,-79.9882441517511,-79.98872292718723,-79.98917660764916,-79.98961113912364,-79.99002721444707,-79.99042069239164,-79.99080220054107,-79.99116377414856,-79.99150696108225,-79.99183447694384,-79.99214125686387,-79.99242792333605,-79.99269298787698,-79.99293385418103,-79.9931473148873,-79.9933331341714,-79.99348400183692,-79.99359975654212,-79.99367216904409,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP2_60sec.wav,WEBSS-007 TP2_60sec.wav
-31.683332853993463,-32.992534410780074,-34.61185725591369,-37.75211894993651,-41.42704054684254,-42.83359633334176,-45.339930988607435,-50.03835727987613,-53.32116610121061,-54.20952167361238,-55.314138823486765,-56.32097216633103,-56.34988041323198,-56.33947050090295,-58.42729381349472,-58.61163416769417,-57.286788705415645,-58.13494757289435,-59.07212292037149,-61.26243009417998,-62.442114646046,-64.43107390176748,-65.26393066476105,-65.66539876535572,-66.50672775685402,-67.15640259238413,-66.37231204476377,-67.49326163220424,-69.27801360191935,-69.95387928296363,-70.34079724366528,-70.12235971511893,-70.40248235704632,-71.48336560294149,-74.63377725907245,-79.91756328363577,-79.99790753503198,-79.99842658879305,-79.99883332345014,-79.99919096853145,-79.999508520478,-79.99980368929876,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP7_60sec.wav,WEBSS-007 TP7_60sec.wav
-28.50615957992457,-29.81245740855014,-29.915271150662818,-30.739565992589554,-33.0182127203479,-36.782564270047864,-40.91525663987918,-44.269866829272964,-46.87559072349111,-48.91648317332123,-50.6358260567631,-52.37747980607621,-54.343245069437074,-56.27035533616665,-57.14411484956472,-57.55218024130568,-56.55819647236314,-55.98460473415634,-56.7207308400667,-58.69261874329921,-60.1176498260523,-60.46518587592815,-60.18162206928867,-60.05792130757322,-60.87312517117918,-60.20559024611391,-59.77653071722459,-59.03331404970554,-59.59905983304674,-61.46465897449922,-63.205125171253165,-64.7284518333733,-65.21979657158874,-64.57447553085728,-67.01959380908181,-79.8346196996811,-79.98167337275476,-79.98330610554284,-79.98463615666516,-79.98585176141982,-79.98695833801378,-79.98800973574555,-79.98900938064315,-79.9899429486465,-79.99059676796227,-79.99123416272477,-79.99185250515357,-79.99245308408734,-79.9930402611624,-79.9936118082064,-79.99415890264895,-79.9946955804392,-79.99520847155038,-79.99569869172355,-79.99608753662424,-79.99638920355196,-79.99667182718973,-79.99693371891004,-79.99717209412724,-79.9973836245869,-79.99756797801612,-79.99765080849907,-79.9977057928309,-79.99774024591066,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP1_60sec.wav,WEBSS-007 TP1_60sec.wav
-26.285041943677427,-28.023274263917912,-33.2663689527887,-38.629176267075046,-42.13682882676924,-45.91909643125977,-49.11282117105317,-51.240729730521956,-52.75590444922902,-53.42228005992803,-54.55613872832325,-56.38937705163642,-57.60454890224965,-58.82623644776448,-59.44082792363871,-58.98303542169862,-57.731142320951584,-58.01989047080404,-58.11528297272884,-60.597334840056156,-62.53601788779759,-63.417572509543945,-64.27852719044307,-65.34612734535266,-66.0169301860451,-66.19961128642615,-67.85253066822249,-69.3107572591975,-70.11155813780421,-70.89234879253632,-71.21551602087406,-71.15436718240002,-71.21413393516394,-70.89036407494267,-73.770953318029,-79.9086220421012,-79.99202550500569,-79.99311423419611,-79.99403027688636,-79.9948847508242,-79.99567165428304,-79.99637038743981,-79.9967989092022,-79.99700867239217,-79.99721489022997,-79.99741732949734,-79.99761479175426,-79.997807456919,-79.99799661254185,-79.99818137776741,-79.99835867106565,-79.99853310450611,-79.99870014227164,-79.99886008839108,-79.99901396347887,-79.99915895850543,-79.99929516714721,-79.99942168369192,-79.99953706782993,-79.99963960486456,-79.99972911998621,-79.99980190512325,-79.9998578564599,-79.99989290707755,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP6_60sec.wav,WEBSS-007 TP6_60sec.wav
-47.4789392169378,-42.02405473305283,-39.26866911674353,-41.17634875153764,-45.033739778222234,-46.44049254173124,-48.440895512288414,-50.53479467224787,-51.081968061896454,-51.94079833417859,-53.27013376408449,-54.009244124625134,-54.698182174264716,-55.51849280443607,-56.001684895784244,-55.66364879110906,-55.06458257499867,-54.944365177860156,-55.83008518539473,-56.01231536698767,-56.97620983557098,-58.36875715667204,-59.78883999917665,-60.11423537944991,-61.563897275671536,-61.44990089896613,-62.7627373608959,-63.60380345345046,-64.08176991309243,-64.82280261589281,-66.2474955456399,-67.51530878474347,-68.65565152571774,-69.88743013776248,-73.85814160439847,-79.48829257282755,-79.99301523186124,-79.99433937808527,-79.99533887489814,-79.99619221531674,-79.99685864248008,-79.99719843895097,-79.9975117963196,-79.99780438165308,-79.99808101001763,-79.99834387866412,-79.99859360631741,-79.99883176674234,-79.9990607001836,-79.99928035412117,-79.99948834702391,-79.99968983589784,-79.9998807232365,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP3_60sec.wav,WEBSS-003 TP3_60sec.wav
-19.010114795513456,-23.505028010705242,-27.04328739983465,-29.48721175213016,-33.77543253819329,-37.86688410435094,-40.670141245569965,-42.657721240735434,-44.183281363195434,-44.94634354160682,-46.50465075708956,-47.60646510726429,-48.50687564374047,-49.53231392597227,-50.08922756746909,-50.331946596386146,-50.204431740520796,-50.66598946840571,-51.02908289586368,-51.57172088406918,-53.56632168120781,-54.8642556171693,-55.893261971506895,-57.172357215627294,-58.48448906195511,-59.086852395711404,-60.7712097125492,-62.38978994396228,-63.6901644737352,-64.72834557824746,-65.96088139204849,-67.21759278117815,-68.1347196350912,-69.20698828086633,-73.00879097775538,-79.10442385979471,-79.97394546939793,-79.975545319524,-79.97685685176658,-79.97805780938093,-79.97915187571319,-79.98019239595506,-79.98118246135068,-79.98213133844129,-79.98304930522478,-79.98393877668349,-79.98479743775727,-79.98562790841626,-79.98643670807955,-79.98722153900741,-79.98797096167715,-79.98870403956755,-79.98940337304853,-79.98999145225163,-79.99046350857448,-79.99090765469926,-79.9913242740833,-79.99171077239518,-79.99206289090887,-79.99237557014136,-79.99264826237894,-79.9928699219989,-79.99304018334844,-79.9931468564171,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP4_60sec.wav,WEBSS-003 TP4_60sec.wav
-51.99297263776471,-49.195746077164664,-49.11488597398518,-49.9068361080232,-51.76502484023226,-54.386114562026094,-56.790885525644995,-57.65079606983414,-57.71576632304516,-58.01341772906558,-59.6107649728842,-61.34969317425204,-61.741941157831164,-61.88752765711757,-61.73640591823975,-60.63602622034843,-59.88344706928121,-59.50328607263926,-60.481904932069796,-61.026686236379916,-60.95959818915912,-61.784908443468034,-63.457961019582136,-64.3767503903651,-65.20335821146965,-65.3203785486256,-65.69001801053372,-65.75572198027383,-63.56641348881853,-65.46413029875055,-67.83585540023839,-69.4531154727524,-70.88033988736169,-71.50806441564765,-74.69292054040405,-79.99695010924935,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP2_60sec.wav,WEBSS-003 TP2_60sec.wav
