file_path,filename,preprocessing,rms,zcr,spectral_flatness,kurtosis,skewness,logmel_0,logmel_1,logmel_2,logmel_3,logmel_4,logmel_5,logmel_6,logmel_7,logmel_8,logmel_9,logmel_10,logmel_11,logmel_12,logmel_13,logmel_14,logmel_15,logmel_16,logmel_17,logmel_18,logmel_19,logmel_20,logmel_21,logmel_22,logmel_23,logmel_24,logmel_25,logmel_26,logmel_27,logmel_28,logmel_29,logmel_30,logmel_31,logmel_32,logmel_33,logmel_34,logmel_35,logmel_36,logmel_37,logmel_38,logmel_39,logmel_40,logmel_41,logmel_42,logmel_43,logmel_44,logmel_45,logmel_46,logmel_47,logmel_48,logmel_49,logmel_50,logmel_51,logmel_52,logmel_53,logmel_54,logmel_55,logmel_56,logmel_57,logmel_58,logmel_59,logmel_60,logmel_61,logmel_62,logmel_63,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 4_seg-2_10s-20s.wav,WEBSS-002 TP 4_seg-2_10s-20s.wav,segmented_10sec_bandpass_100_2000,0.030260295555873975,0.02553882537939297,1.5582651042045514e-05,2179.9788307458066,101.50875786242013,-15.369329052075841,-0.21145820431653187,1.8799135238398927,-0.3513823497373161,-2.1625334827340588,-4.866268902957675,-8.030683295363326,-10.890778996083144,-12.61903647307143,-15.091424940124178,-18.896540443948485,-22.192232832047978,-24.844817068688133,-26.97315749871411,-27.965046199032756,-29.030849199848163,-30.366943628359884,-30.7463948611677,-31.40130448822624,-31.892618069358022,-31.924691189940273,-32.30647222137825,-32.24548655628546,-31.423165955390544,-30.255925657706815,-29.379379953054094,-28.791757725012232,-29.87686874032226,-31.018715306040498,-34.41433524701909,-37.54689711554664,-39.46400104799683,-41.09986142241905,-42.78926670299474,-47.13835633224306,-60.487204523006234,-60.65807603454934,-60.68327153808739,-60.704400346914,-60.72369164346912,-60.741524345809154,-60.75836081407561,-60.774279012771395,-60.78941018939232,-60.80389692203797,-60.81435824110041,-60.8237768376301,-60.8329641066926,-60.84197814772559,-60.850831876058656,-60.85610270608756,-60.86098877002953,-60.865727386402185,-60.870316264182875,-60.873295110958786,-60.8754178759745,-60.877434791445495,-60.879329431296135,-60.88107965357112,-60.88265898730699,-60.88404628704251,-60.885195830384205,-60.88607953798084,-60.886641810250154,-458.3936367551859,195.83593269819175,42.72970631912148,-7.845816497097042,25.937619946221602,28.964407364970192,-10.898979859299738,-26.064210668105055,-8.92605036420213,-3.7404983030094927,-14.615661774851114,-15.573373901203949,-9.189663864226944
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 2_seg-5_40s-50s.wav,WEBSS-002 TP 2_seg-5_40s-50s.wav,segmented_10sec_bandpass_100_2000,0.04793517267570539,0.027170589556709264,1.4706972721129668e-05,2327.51223043131,102.95347756090256,-10.058269854188758,5.995856513967145,8.552176400028216,4.506439868685298,2.644916086243876,0.055187847990589,-2.874852545604415,-6.2898536872228,-8.466930948221284,-11.166356263858662,-13.253869089576863,-15.790391482310504,-17.84269606332157,-19.05078646470417,-19.777911674769197,-19.882788954267113,-20.512761868634698,-20.77210056282063,-21.243872840317245,-21.445366761101422,-21.797609021998056,-21.40081925746425,-21.276180249082255,-20.433451934322907,-19.915489914002134,-20.354560551335883,-21.28722999684206,-21.832206865255078,-22.060555285768302,-23.430107787712736,-25.267207224295053,-28.07902541739644,-31.102752275983548,-33.76592066061044,-38.57450814377139,-53.91320611070112,-54.782942437944435,-54.797915440859214,-54.809605491569236,-54.81971709104518,-54.82857217388404,-54.836560535854176,-54.84378894523726,-54.850381723233895,-54.85645803260793,-54.862093289738844,-54.86733332779021,-54.87223698706922,-54.876870992745005,-54.88125415610794,-54.88535998600084,-54.889293692415166,-54.892991035845114,-54.89623722274167,-54.89846197920748,-54.90053341582983,-54.90245743681119,-54.90422681649091,-54.905827115962175,-54.90723999769763,-54.90846460325274,-54.90945713937279,-54.91021592258187,-54.910690883116736,-385.34385460275007,208.83517726152553,27.330001765513472,-23.769733196477848,26.878892400623947,34.38496111790677,-10.92533433439663,-24.004597446357447,-2.477592844679318,-2.4176087130291983,-19.296242027438677,-16.55798604231244,-5.553438964597572
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 4_seg-6_50s-60s.wav,WEBSS-002 TP 4_seg-6_50s-60s.wav,segmented_10sec_bandpass_100_2000,0.08857629352609903,0.029189234724440894,6.724158102524626e-06,2205.811794878195,105.01736284444888,-15.60179414535171,-0.4916728070943635,1.1232690230036517,-2.1694241738041025,-2.2244326399365217,-3.1055634172631863,-6.258719068329791,-9.388364151855898,-12.131011623941381,-14.702642615554131,-17.60310490595941,-20.702768632341176,-22.65436274112159,-24.684170415088044,-25.80192666289779,-26.571618105418324,-27.337715899692306,-28.367063845745594,-28.521418442587564,-28.853162120082317,-28.912976224351002,-28.705618440103514,-28.29965768017223,-27.56034114809632,-26.670389361519145,-26.36452005479763,-26.293852128347304,-27.836963925941205,-30.00494012402266,-32.67107602272293,-34.778085688461175,-37.39118456365451,-39.37644063033096,-40.53632037082959,-44.41521356512212,-47.07434001436168,-47.094216293591394,-47.10833815864531,-47.12041163982833,-47.13011578995918,-47.13506001430434,-47.139593454469846,-47.14374054965987,-47.147549063111114,-47.147989549271344,-47.147989549271344,-47.147989549271344,-47.147989549271344,-47.147989549271344,-47.147989549271344,-47.147989549271344,-47.147989549271344,-47.147989549271344,-47.147989549271344,-47.147989549271344,-47.147989549271344,-47.147989549271344,-47.147989549271344,-47.147989549271344,-47.147989549271344,-47.147989549271344,-47.147989549271344,-47.147989549271344,-47.147989549271344,-366.66965063788024,126.45037464527044,47.09034291296832,8.094664517376074,15.255037678847273,18.91775836576121,-1.1050154350706953,-18.667058403303404,-15.851008379016756,-7.0321999754035,-7.612979192268883,-12.783372992505385,-13.18167905273469
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 2_seg-1_0s-10s.wav,WEBSS-002 TP 2_seg-1_0s-10s.wav,segmented_10sec_bandpass_100_2000,0.042001910694072504,0.03621237270367412,2.2888956870687684e-05,2260.5735510682907,114.30484662040735,-35.20734973284525,-16.91314155049502,-13.626421962585345,-16.394676073780936,-15.498456127288742,-17.139454268057747,-21.11609372047788,-23.867302728086408,-26.41080130199568,-28.50049957837986,-31.40755515080195,-33.971495057653534,-34.9622467299697,-36.31134648187931,-37.950130428776625,-37.614535699221534,-38.49359221659249,-39.58135499183613,-40.846561014380946,-40.951997896514634,-41.48916554801883,-42.138891663687545,-42.15233848510645,-42.370740855525824,-42.51121006016627,-41.597188447930726,-41.22526973084513,-42.2237212449085,-43.079573642438945,-44.24811130790901,-46.32252195349411,-47.383250491201295,-48.470693954479806,-49.10399792059402,-49.97116396805293,-50.76370034671947,-50.79576907885683,-50.79576907885683,-50.79576907885683,-50.79576907885683,-50.79576907885683,-50.79576907885683,-50.79576907885683,-50.79576907885683,-50.79576907885683,-50.79576907885683,-50.79576907885683,-50.79576907885683,-50.79576907885683,-50.79576907885683,-50.79576907885683,-50.79576907885683,-50.79576907885683,-50.79576907885683,-50.79576907885683,-50.79576907885683,-50.79576907885683,-50.79576907885683,-50.79576907885683,-50.79576907885683,-50.79576907885683,-50.79576907885683,-50.79576907885683,-50.79576907885683,-481.0548821615969,91.63614205458838,43.89631042755621,15.15586102124246,11.23346685037539,8.561163057742485,-3.0857169449966557,-11.99327897019961,-11.101670610814903,-8.359782476854477,-10.380716000869045,-13.361536716955706,-12.656393804539825
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 4_seg-7_60s-61.27s.wav,WEBSS-002 TP 4_seg-7_60s-61.27s.wav,segmented_10sec_bandpass_100_2000,0.04254695155433437,0.0265869140625,2.439973557923799e-05,2438.63525390625,97.1685791015625,-8.671268351751504,6.034677694076626,8.332062546276816,5.102807116080399,3.620493977458749,1.1523690314079578,-1.62311813063946,-4.5525740694600865,-5.860282341559417,-7.7753438227041585,-11.065040004843436,-15.357216182245896,-18.335969422253424,-18.729552160456848,-18.57744068468902,-18.263553613838376,-19.369539559705807,-21.936338738682725,-22.20154623055249,-22.7833556802359,-23.46464912010133,-23.821093925087602,-23.904823769633854,-23.716553804556035,-21.774668315796145,-20.899485478467394,-20.12259322150623,-19.60134399278397,-20.00261620750849,-21.584341441649578,-25.94042747388945,-30.49271062488152,-32.425197844251784,-34.223440353189474,-39.91340086304767,-57.55869358793492,-64.00581877317042,-64.12612597601078,-64.22639333594668,-64.31623004818132,-64.39712684984184,-64.47172457996763,-64.54061969238236,-64.6046521384757,-64.66466342717146,-64.72118401355834,-64.77454134866849,-64.82518350347391,-64.87361928045318,-64.91998176406887,-64.95314459519936,-64.98449543725987,-65.01461226343802,-65.04356429415301,-65.07144832113696,-65.09797880224019,-65.12312221479189,-65.14671274002015,-65.1684982067729,-65.18816140124201,-65.20547525207878,-65.21983205570166,-65.23090730847443,-65.23795758865087,-427.17530914497155,254.31683130271253,25.16929678802203,-30.93016778260728,33.79191341727729,38.096492765747925,-20.05540785213255,-30.641034956842283,1.4464654755511162,1.6471855278397942,-21.2742433455745,-19.059022650877345,-5.361018069053661
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 4_seg-3_20s-30s.wav,WEBSS-002 TP 4_seg-3_20s-30s.wav,segmented_10sec_bandpass_100_2000,0.0506768938288941,0.0256651857028754,6.289296615780335e-05,2216.681590704872,101.61195212659744,-9.64743438086503,5.5120136870564735,7.733928370478839,4.700247731201971,2.129481468650483,-0.06726809181560775,-3.392213750106425,-5.225902412420002,-7.6536072668958095,-11.915236631388476,-15.323289568003462,-17.987911496370348,-20.266987144056543,-22.607762083065634,-23.810269266758233,-24.107169751434224,-25.252011953338656,-26.121360080776252,-26.05384008206015,-26.650159666980866,-26.935459800845095,-27.1864062926629,-26.8736937514516,-25.374204241438406,-24.43916087751475,-24.238998948267778,-24.413437644559348,-25.172458768320265,-26.276671444178895,-28.48441355694548,-31.009933356121888,-33.447083680121466,-35.62401872604985,-37.849061632373036,-42.44526233965197,-55.48041669156717,-55.64370162412376,-55.66736616619085,-55.68660826006959,-55.703707222946086,-55.71806318338935,-55.72941473958728,-55.739799384260806,-55.749342188871196,-55.758169348257184,-55.766367601896,-55.77399732511289,-55.78113243112712,-55.78785155403802,-55.79418315455021,-55.80011131134811,-55.8057481827051,-55.81103408715796,-55.815994811715505,-55.82066210840807,-55.824995542146084,-55.82900473733669,-55.83267747728071,-55.83598924657106,-55.83890820653729,-55.841426443198706,-55.843469566974655,-55.84502359476002,-55.84599843406613,-401.88188532896953,195.47071201048973,41.31697853282482,-7.919537188820098,27.985886039975213,31.340019747327787,-9.760503887707452,-25.356565329424598,-8.008354472894407,-3.718845897774962,-15.768436144269538,-16.29342174994269,-8.773631614514207
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 3_seg-5_40s-50s.wav,WEBSS-002 TP 3_seg-5_40s-50s.wav,segmented_10sec_bandpass_100_2000,0.051014292514350495,0.03248084315095846,1.1894295006648848e-05,2319.394281649361,103.36625461761182,-13.045932978183984,2.9587222983744996,5.895405393787324,3.0070276220549546,0.2122114539321715,-1.5165925090888395,-3.6879050960417006,-7.244395453398924,-10.017830938612088,-11.943715079954154,-14.548590661860274,-17.696622614500214,-19.89313784074655,-21.00884011107464,-21.54519415993908,-21.56188949371415,-21.692653864970893,-21.557194995316454,-21.03146320886559,-20.512630426295342,-20.511546717196833,-20.211775104695526,-20.40848655048839,-19.547258757006002,-19.307244312312328,-20.37655910266657,-20.906925249369394,-21.58524553882351,-21.80389826745944,-22.723683910735048,-25.375337241992828,-29.524582869612416,-32.45752918763022,-35.09492313874093,-39.986275988683815,-54.11873042364308,-54.28111958409789,-54.30324754524514,-54.320256976963606,-54.3329410689623,-54.344295196412986,-54.35470082198192,-54.36425435229406,-54.373078492081824,-54.38129379189438,-54.38897909164002,-54.396185709979456,-54.402978551578656,-54.40942818413359,-54.41555578499582,-54.4212997073917,-54.42524773860722,-54.42900346867365,-54.43257665321993,-54.43598106210222,-54.439182328939104,-54.44217930520235,-54.444955580418416,-54.44659785900181,-54.447392870099314,-54.44807832873916,-54.448632571905385,-54.44905455952371,-54.44931852579805,-382.3346518511805,195.3100943720291,24.47542572833975,-24.872771588912187,24.28853363934041,35.52305494603696,-6.884340643630186,-24.12733842677199,-6.668101806718629,-4.538637122075332,-18.83819957736133,-17.029113656718433,-5.766304867894027
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 3_seg-6_50s-60s.wav,WEBSS-002 TP 3_seg-6_50s-60s.wav,segmented_10sec_bandpass_100_2000,0.056555112012760596,0.03353540585063898,1.1227709211656004e-05,2291.6694226737222,104.01981829073482,-12.794666674546658,3.9370928803979557,6.528690542607443,3.2332558819534984,-0.10092176933418336,-1.9410875824970646,-3.378528939144556,-6.813995935136044,-9.660180333178696,-11.62491883271509,-14.758113266951296,-18.237396438171977,-20.087136009895396,-21.102847468905352,-21.867046310057408,-22.546421071016283,-22.569763245205884,-21.758168334332193,-21.14747184706739,-20.71193962507384,-19.74639465055127,-19.07465232674388,-18.91000830453303,-18.206283411161053,-18.403704450367005,-18.820392760285603,-19.553131628109178,-19.971125751062118,-20.82629729526719,-22.818409849643224,-26.23148196578936,-30.355674809196685,-33.120873760661674,-35.41866349525304,-40.30848840421324,-53.0707878859948,-53.156509485712895,-53.17547418382531,-53.19015673430314,-53.20321433601588,-53.21498305842827,-53.22294449198729,-53.22933893627013,-53.23540096334997,-53.241187513896435,-53.246732939731615,-53.25205899041385,-53.25644241859624,-53.25940458966477,-53.262388342429375,-53.26538096851956,-53.26841576807902,-53.27147133770684,-53.274083521062614,-53.274083521062614,-53.274083521062614,-53.274083521062614,-53.274083521062614,-53.274083521062614,-53.274083521062614,-53.274083521062614,-53.274083521062614,-53.274083521062614,-53.274083521062614,-366.3431415695284,181.5442553126431,25.9599470335157,-21.824662469497568,22.96872815762304,36.46745643160466,-2.8790861048409138,-24.442776927090165,-11.073163692363359,-5.350352179865972,-15.700387952709649,-16.11361610131946,-7.308194586993191
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 2_seg-7_60s-70s.wav,WEBSS-002 TP 2_seg-7_60s-70s.wav,segmented_10sec_bandpass_100_2000,0.04175717913615112,0.025718225838658147,2.297662205977872e-06,2302.6768108526358,102.05912727136581,-10.53668813872125,4.87205116049438,7.7302327977578935,4.507067634130495,1.8136005008783387,-0.41149753257946675,-3.5461977677384513,-6.93589145325611,-9.209740995373746,-11.680191513982473,-14.695947499226634,-17.527970783217,-19.276904470735644,-19.84645829189553,-20.25527822689537,-20.937726158811177,-21.66117490636263,-22.152219913737575,-22.170341787904043,-22.378958045246318,-22.931007991174265,-23.00375226620751,-23.12660895502721,-23.28485189558253,-23.7043598488009,-24.078326359314467,-24.505399102951227,-24.586972006639492,-23.773027222032802,-24.455450314891184,-26.646894396280192,-29.388266132841878,-32.24557921448644,-34.378798522294126,-38.79862788885195,-54.73879150412553,-55.513387838716255,-55.53186897837466,-55.54718993576026,-55.561032402783766,-55.573649736187875,-55.58537109998996,-55.59625343332093,-55.60639848943999,-55.61591833802171,-55.62489252545224,-55.63337984084607,-55.641457085291115,-55.64920851126414,-55.656670836121265,-55.66192198459831,-55.66708857788097,-55.668862455819216,-55.67044531053708,-55.671921204645116,-55.67327979905726,-55.67452721812043,-55.675662232992615,-55.67667945672095,-55.67757103229027,-55.67833715081536,-55.67895590166103,-55.67942561815361,-55.67971940537882,-393.092267699141,203.67912652244132,31.431657965717825,-18.510200649001423,26.33790566111791,31.037610580436617,-10.98906682201615,-21.003763298299855,-0.684868921370016,-3.3924603862453546,-21.18110597507652,-17.42663745789391,-5.029332878490025
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 3_seg-8_70s-79.09s.wav,WEBSS-002 TP 3_seg-8_70s-79.09s.wav,segmented_10sec_bandpass_100_2000,0.044713114980783786,0.04096422697368421,1.0679910244803479e-05,2352.6346628289475,103.359375,-12.331085212278317,2.638309095783433,4.762552652355045,2.0289506424553485,0.018070313061601857,-1.43389439067656,-2.8539599822919595,-5.962506249341607,-8.589506044538243,-11.183794027967458,-14.11065761574859,-16.520614732867514,-18.237490035164807,-19.22697665530851,-19.780788064663156,-20.296679787264356,-20.563163738656243,-20.42902700184656,-20.350704029631025,-20.307320952904615,-19.197143975570036,-18.756986954636574,-18.630242110347147,-18.240809345412295,-17.515620582565234,-15.554480319197344,-16.670354743967458,-19.27332941619752,-21.23288596362363,-23.720994525242233,-26.318537806271994,-28.873331939318334,-31.26518356065177,-33.3172215932366,-37.55374222631283,-50.03204960428189,-50.46182861843242,-50.48792340053675,-50.50950249621185,-50.52900512714471,-50.54685213928964,-50.56356184356304,-50.57923121392796,-50.5940035771856,-50.608027955085795,-50.61971543888909,-50.62906155814642,-50.63792246654607,-50.64639500946184,-50.65452231481269,-50.662302343682285,-50.66987504062306,-50.677193486462805,-50.68431000873696,-50.690193692256535,-50.69166426063366,-50.693013264846,-50.69423984686505,-50.69533851640076,-50.69630102062828,-50.697127927485134,-50.6977955222651,-50.69830233924131,-50.69861924744386,-359.5781214000925,183.86558102985785,23.17175731985248,-24.47847956402887,21.13374262113519,33.32168237878849,-5.775024348254987,-24.493371518813536,-9.857492158815552,-5.038372632463458,-14.929661448381255,-14.662914595784034,-8.253997016865739
