mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,file_path,filename
-369.01413,143.21101,68.76069,33.289234,37.92391,36.03232,14.001467,-1.1845106,3.267164,10.501207,8.104083,3.0462759,3.06611,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 4_seg-2_10s-20s.wav,WEBSS-002 TP 4_seg-2_10s-20s.wav
-326.98444,185.27438,49.20266,7.799774,42.054707,45.778137,10.148843,-2.208428,12.395118,12.8001585,0.28137514,1.2231685,8.743031,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 2_seg-5_40s-50s.wav,WEBSS-002 TP 2_seg-5_40s-50s.wav
-351.85562,144.56381,62.845654,25.964727,34.83489,36.364273,14.599762,-1.2080289,2.6902118,9.384971,7.487469,3.7421274,3.689971,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 4_seg-6_50s-60s.wav,WEBSS-002 TP 4_seg-6_50s-60s.wav
-461.63068,100.00672,57.43432,31.655853,26.96812,22.658455,11.207534,3.3221962,3.8170252,5.1941047,2.8268793,0.42451832,0.9561335,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 2_seg-1_0s-10s.wav,WEBSS-002 TP 2_seg-1_0s-10s.wav
-325.2326,188.21797,54.622955,12.7917795,43.338417,43.602734,6.423847,-5.7011766,12.1227665,16.239277,2.4400916,-1.519516,5.617896,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 4_seg-7_60s-61.27s.wav,WEBSS-002 TP 4_seg-7_60s-61.27s.wav
-328.00897,157.79677,65.27839,28.053877,41.42788,40.62046,13.18694,-2.1768308,5.4364796,11.052732,5.3683286,1.800477,4.4300365,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 4_seg-3_20s-30s.wav,WEBSS-002 TP 4_seg-3_20s-30s.wav
-333.20422,180.33171,44.985767,3.9100869,40.524124,48.066402,12.912243,-3.0916467,9.093238,10.779311,-0.27316996,0.61604565,9.017617,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 3_seg-5_40s-50s.wav,WEBSS-002 TP 3_seg-5_40s-50s.wav
-336.13162,185.00493,43.345882,1.0905411,41.528816,51.508373,14.257126,-5.102869,6.51378,10.213337,0.7642055,1.3382379,8.770743,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 3_seg-6_50s-60s.wav,WEBSS-002 TP 3_seg-6_50s-60s.wav
-336.42102,182.04347,53.056473,12.457039,41.770737,42.79571,9.881573,0.6814008,14.441715,11.887097,-1.7770278,0.38486153,9.412781,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 2_seg-7_60s-70s.wav,WEBSS-002 TP 2_seg-7_60s-70s.wav
-321.6064,180.52846,42.333363,1.1033034,39.361057,48.018696,12.839024,-4.093585,7.465916,10.862571,2.7585251,3.3189654,7.8014245,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 3_seg-8_70s-79.09s.wav,WEBSS-002 TP 3_seg-8_70s-79.09s.wav
-349.2414,156.59778,58.041042,19.375658,35.640713,38.32531,14.566467,1.7917808,7.6300364,8.511548,1.5068057,1.4137281,6.4625826,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 3_seg-1_0s-10s.wav,WEBSS-002 TP 3_seg-1_0s-10s.wav
-346.27615,129.77676,56.902294,23.236795,30.904512,33.71454,16.13674,2.151974,3.6257894,7.0097303,4.438521,3.046098,5.7302957,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 3_seg-2_10s-20s.wav,WEBSS-002 TP 3_seg-2_10s-20s.wav
-305.5779,157.96165,53.005524,11.3314295,28.056337,31.51082,9.210436,-0.39745605,7.8980274,8.788075,0.8618279,-0.10992953,3.5467494,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 2_seg-3_20s-30s.wav,WEBSS-002 TP 2_seg-3_20s-30s.wav
-363.66745,118.33054,49.704136,22.297474,35.702915,39.885056,19.162556,1.9011979,4.082581,10.4922,8.190086,3.308143,3.2124424,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 3_seg-7_60s-70s.wav,WEBSS-002 TP 3_seg-7_60s-70s.wav
-344.9996,174.00525,53.42806,14.478391,41.59926,43.211765,11.561568,0.5101073,13.134594,13.3095,1.827471,2.268514,9.216207,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 2_seg-6_50s-60s.wav,WEBSS-002 TP 2_seg-6_50s-60s.wav
-342.85852,157.98494,58.964706,24.0064,43.202023,42.661274,12.2518,-2.6056828,7.832846,13.9077635,7.0390015,3.2457054,5.6896944,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 4_seg-5_40s-50s.wav,WEBSS-002 TP 4_seg-5_40s-50s.wav
-329.29947,172.85419,46.287937,7.3456173,40.981365,46.941208,11.747032,-5.062193,7.348349,11.445992,1.5675886,0.6102223,7.578574,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 3_seg-3_20s-30s.wav,WEBSS-002 TP 3_seg-3_20s-30s.wav
-322.53226,150.3618,54.00892,14.802227,28.220984,29.352966,7.835092,0.50571495,11.563874,13.804229,3.8332021,0.011353709,4.156988,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 2_seg-2_10s-20s.wav,WEBSS-002 TP 2_seg-2_10s-20s.wav
-389.75824,88.191185,54.384434,31.960285,26.862707,24.251461,15.363325,6.8600273,5.534658,7.840073,7.5499654,4.769104,3.3655264,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 2_seg-4_30s-40s.wav,WEBSS-002 TP 2_seg-4_30s-40s.wav
-321.54626,180.59763,46.37454,4.4786973,40.039585,47.918755,13.339432,-3.3154554,8.2685375,10.520597,-0.118059814,0.04998857,7.9627547,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 3_seg-4_30s-40s.wav,WEBSS-002 TP 3_seg-4_30s-40s.wav
-330.03317,148.91316,65.75277,28.72837,33.77386,31.664726,12.068237,0.9211615,3.0742614,2.6890254,-1.6231874,-0.98638165,1.6494786,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 2_seg-9_80s-81.88s.wav,WEBSS-002 TP 2_seg-9_80s-81.88s.wav
-345.73193,152.22443,59.235992,23.896511,40.68801,42.02131,15.532582,1.0993692,9.288045,14.300552,7.2054043,2.2935522,4.110641,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 4_seg-1_0s-10s.wav,WEBSS-002 TP 4_seg-1_0s-10s.wav
-329.33157,148.64096,52.22831,15.46503,32.591022,35.27479,11.122968,-1.1385006,7.020376,10.30098,3.0870183,0.44371364,3.6008866,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 2_seg-8_70s-80s.wav,WEBSS-002 TP 2_seg-8_70s-80s.wav
-330.41583,156.73819,63.01162,27.343681,42.52168,41.187702,12.202178,-3.0641906,5.9841213,12.221439,6.0485706,2.2274477,5.3550444,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 4_seg-4_30s-40s.wav,WEBSS-002 TP 4_seg-4_30s-40s.wav
-263.51685,220.7443,20.703255,-18.460901,47.20779,51.521152,1.1475523,-3.7269797,22.600523,14.226482,-8.348119,-2.196617,8.516185,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS007_segmented into 10sec/WEBSS-007 TP2_seg-8_70s-70.82s.wav,WEBSS-007 TP2_seg-8_70s-70.82s.wav
-346.671,183.13315,47.432014,1.894027,28.77106,32.983864,11.082298,10.852768,20.428486,8.196423,-5.756973,2.065748,9.979936,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS007_segmented into 10sec/WEBSS-007 TP6.2_seg-1_0s-10s.wav,WEBSS-007 TP6.2_seg-1_0s-10s.wav
-394.03088,197.22481,45.981934,-1.8096865,31.49288,36.50684,10.943918,9.982643,20.239168,7.234095,-5.854881,4.517366,11.597722,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS007_segmented into 10sec/WEBSS-007 TP6.1_seg-2_10s-20s.wav,WEBSS-007 TP6.1_seg-2_10s-20s.wav
