logmel_0,logmel_1,logmel_2,logmel_3,logmel_4,logmel_5,logmel_6,logmel_7,logmel_8,logmel_9,logmel_10,logmel_11,logmel_12,logmel_13,logmel_14,logmel_15,logmel_16,logmel_17,logmel_18,logmel_19,logmel_20,logmel_21,logmel_22,logmel_23,logmel_24,logmel_25,logmel_26,logmel_27,logmel_28,logmel_29,logmel_30,logmel_31,logmel_32,logmel_33,logmel_34,logmel_35,logmel_36,logmel_37,logmel_38,logmel_39,logmel_40,logmel_41,logmel_42,logmel_43,logmel_44,logmel_45,logmel_46,logmel_47,logmel_48,logmel_49,logmel_50,logmel_51,logmel_52,logmel_53,logmel_54,logmel_55,logmel_56,logmel_57,logmel_58,logmel_59,logmel_60,logmel_61,logmel_62,logmel_63,file_path,filename
-30.014624049285818,-19.58591534164151,-20.017940016693494,-23.45370549843858,-25.59190077870309,-28.312815846502122,-31.41497730306928,-34.1182524600947,-35.98572506760384,-38.376812860288034,-41.938647364758666,-45.18087248892575,-47.60714888124043,-49.51414767602094,-50.1571085386599,-51.271220561464375,-52.59865626802544,-52.82758141426827,-53.553303931571484,-54.03247827050724,-53.92947192299153,-54.35055790319025,-54.25517529107886,-53.42675887119735,-52.13902584361025,-51.17334079322735,-50.61946147196685,-51.422594055308366,-52.40998107902317,-55.73559622337568,-58.71031626186542,-60.47066674511244,-61.716725804454114,-62.763284602905244,-66.8387943397319,-79.48777081402493,-79.75103889915505,-79.77195033813692,-79.7939068634823,-79.81765042791905,-79.84318141549564,-79.87125686160962,-79.90276572211341,-79.92632111347838,-79.93645286151838,-79.93876631607945,-79.94103461236023,-79.93903600850099,-79.93867673064233,-79.93946676969709,-79.94093496639844,-79.94289767344641,-79.94509999767808,-79.94743238475044,-79.94984034277049,-79.95222270409775,-79.95453564774098,-79.95671439110211,-79.95871634493254,-79.96050519087859,-79.96207325866015,-79.96335117288235,-79.96433537919788,-79.96495242183161,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 4_seg-2_10s-20s.wav,WEBSS-002 TP 4_seg-2_10s-20s.wav
-30.857614381929046,-19.556891689315005,-19.475011786315605,-23.831952541505352,-25.895589048816067,-28.20700217331266,-31.285228349923702,-34.4621430868033,-36.64430388944827,-39.222284335049714,-41.389331052131915,-43.83089558445253,-45.74029989936632,-46.975563178449924,-47.68105482849712,-48.03925174840354,-48.81960740212897,-49.07936162460728,-49.17758596176797,-49.39999427242331,-49.83335343379918,-49.40490412497809,-49.32137371968375,-48.61355177624627,-48.06616568580769,-48.52969142232812,-49.54461016753795,-49.68322880549192,-49.50624319732011,-50.731179909496916,-52.52071970273514,-55.0980355885871,-57.878479273422435,-59.971588304715944,-64.77304842392206,-78.78579808538528,-79.82766038183702,-79.84926904473414,-79.87103450616308,-79.89255579029502,-79.9150153371865,-79.938959831589,-79.96486565265546,-79.98111735108297,-79.98879649695623,-79.99003831239719,-79.99124722152051,-79.99242477955046,-79.99357900241614,-79.99470485534721,-79.99578409433589,-79.99684453361138,-79.99785910517227,-79.99882979532535,-79.99976284031806,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 2_seg-5_40s-50s.wav,WEBSS-002 TP 2_seg-5_40s-50s.wav
-40.91771197851854,-30.597069841634116,-31.30810628086963,-35.701358687063525,-38.16601203551323,-40.70127715578623,-42.233482584993006,-43.98663050257476,-46.176426372983514,-48.719792431036886,-53.203074239350364,-56.29562234503705,-56.38876123539248,-58.16560684503869,-59.474734690188846,-61.087901233298126,-61.8712948517118,-62.03194280995294,-62.19978557107674,-62.63504128246554,-62.942219137184416,-63.06957317639983,-62.05986197179187,-61.12799156861021,-60.00479271906702,-60.44444723289548,-60.30689987195666,-61.0253449312512,-63.08132504356397,-66.01585035000738,-67.55930900120812,-69.68877527528964,-71.38507824790149,-72.22803871678852,-75.85198780834894,-79.86669179506382,-79.89143013736252,-79.91097425351849,-79.93147704214748,-79.95352299413968,-79.97594407622145,-79.99060027593443,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 4_seg-6_50s-60s.wav,WEBSS-002 TP 4_seg-6_50s-60s.wav
-61.56198587334456,-48.92971587235939,-47.68291494497479,-50.86566821825815,-49.94638122545037,-51.710923037303296,-55.8179133164449,-58.62747048426541,-61.2588016224616,-63.32547423419705,-66.16652619407571,-68.35619336527459,-68.89258891192134,-70.5265044945143,-71.84568588457192,-71.22972796796196,-71.37363752052737,-72.50226754576367,-74.07845498829994,-73.84542934501775,-74.51667436906476,-75.1449331960591,-74.90406517839617,-74.99772220477236,-75.33141186310273,-74.65396571184067,-74.43086150629809,-75.22058976136745,-75.71097540003313,-76.02537695652373,-77.10861104198415,-77.54293123251516,-78.28031408906524,-78.60078792673445,-79.18462699491012,-79.94776818965721,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 2_seg-1_0s-10s.wav,WEBSS-002 TP 2_seg-1_0s-10s.wav
-18.936323199386017,-8.738385830014199,-8.770399625368336,-12.808234316172236,-14.48467942498076,-16.910012435801832,-19.594009786761053,-22.640669402799688,-24.189470343598163,-26.21962387699724,-29.416972580823835,-33.665803974235196,-36.0341855536259,-36.05134080372479,-36.44258854908223,-36.02456130615623,-36.900178925110296,-40.058304574691995,-40.355945620780986,-40.51297556696079,-41.0781306921159,-41.866300131141315,-41.48133108700671,-41.14366937005763,-39.13275071794109,-38.21648109796448,-37.42410220407682,-36.92366078527833,-37.27518618520462,-38.75774985537311,-42.819640109376515,-47.19170762875232,-48.54296538862167,-49.83033351177145,-55.205939070553804,-72.73544918761824,-78.76763408468071,-78.94826709534496,-79.1240535821216,-79.2997113953282,-79.45559723923465,-79.60687409086503,-79.75402890014108,-79.83421571095002,-79.91190365927012,-79.94789305597178,-79.96162142079204,-79.97464149140299,-79.98706693132416,-79.99890223797675,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 4_seg-7_60s-61.27s.wav,WEBSS-002 TP 4_seg-7_60s-61.27s.wav
-28.929444035755818,-18.426901565887253,-18.758776580741692,-22.447992358255007,-25.13117711447416,-27.285923260614286,-30.41809177023232,-33.39828841646203,-35.35527133048909,-38.82957045409499,-42.0351805870328,-44.604661143863,-46.78588874528164,-48.90341431103757,-50.22520046818873,-51.180771190306935,-52.20493086990167,-52.583089576606,-52.5297468633498,-53.06826810129589,-53.43166628803719,-53.56855673883507,-53.23059075125973,-51.89315481485136,-50.766110537659564,-50.49674644757737,-50.71930280301972,-51.42015515248971,-52.40275978311052,-54.57494733796614,-56.83294780742127,-58.953290448088396,-60.64513074526717,-62.5290476950701,-66.90373688845887,-79.52321575597765,-79.76086055698596,-79.7794861295843,-79.79971125980379,-79.82217083825077,-79.84698088538278,-79.87510452120155,-79.90810545734232,-79.94744139178387,-79.97118028522794,-79.9610134454914,-79.94736617742568,-79.9397410420212,-79.93600551770764,-79.93462828082784,-79.93467155617867,-79.93569071312801,-79.93726957547973,-79.93919040447418,-79.94132128578923,-79.94350757398564,-79.94567888896366,-79.94764094810118,-79.9489538660538,-79.95014309283857,-79.95119430987046,-79.95205394471125,-79.9527156569804,-79.95313050943727,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 4_seg-3_20s-30s.wav,WEBSS-002 TP 4_seg-3_20s-30s.wav
-32.767587761474786,-22.879987523296723,-22.901078910052494,-26.876808664556933,-29.613503571297002,-31.024544918245493,-33.09160332876975,-36.61413206042524,-39.40505170315029,-40.8730583284171,-42.74380969995912,-45.44073905667941,-47.33549564660018,-48.406076218371965,-48.80513003552993,-48.78149836195892,-48.99431563354005,-48.70474102802955,-48.218807293863094,-47.74047210804091,-47.673825247493184,-47.414240550374565,-47.56439828322172,-46.66652688926567,-46.54199688276089,-47.83732010610116,-48.43374888632756,-48.697718836508855,-48.58945955631232,-49.357388583758876,-51.824581637361064,-55.70011013393478,-58.30167004679047,-60.561744367855916,-65.03973775246072,-79.48113056301138,-79.82084095554009,-79.8411083800344,-79.86230862064853,-79.8851778765071,-79.90983675715339,-79.93712372824561,-79.96841597313733,-79.98949920492551,-79.99311742776024,-79.99434389980127,-79.99553839688716,-79.99670249938754,-79.99784423799797,-79.99748658007647,-79.99764944596322,-79.99740768744175,-79.99755286749433,-79.99794346423415,-79.99849129837683,-79.99911526319315,-79.99977190739733,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 3_seg-5_40s-50s.wav,WEBSS-002 TP 3_seg-5_40s-50s.wav
-35.137742741301516,-24.42812930538666,-24.775942503152017,-28.76092983725975,-31.859618487629604,-33.660358610988,-35.07873478157946,-38.07262213851692,-40.67515841780196,-42.18574173827859,-45.01343568426594,-48.169880495122285,-49.889928333382564,-50.64699071636646,-51.50074958184542,-52.12665749237043,-52.16780231855387,-51.309510593525545,-50.674956726429436,-50.2254660453983,-49.472393483844954,-48.92135701597121,-48.843140355510805,-48.13662269394316,-48.155410236916836,-48.99085157480874,-49.48244977676467,-49.42793478861356,-50.08689730314194,-51.858909361064654,-55.078907961068815,-59.003928471372284,-61.394009336321915,-63.38772103654403,-67.9447500606578,-79.76798208942104,-79.87431440488,-79.8956196751962,-79.91678819408465,-79.9388079645211,-79.96169080271915,-79.98110798968113,-79.99491545710134,-79.99878486075592,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 3_seg-6_50s-60s.wav,WEBSS-002 TP 3_seg-6_50s-60s.wav
-30.311736281619197,-19.4367082396218,-19.376629482226498,-23.04130031007102,-25.792009637470017,-28.01337330791671,-31.032099296474822,-34.31686106613854,-36.44957317474372,-38.806584435697935,-41.71628640364653,-44.45793285353895,-46.19332101567295,-46.87911106593265,-47.39870709558845,-48.108690365054294,-48.85457972180945,-49.11503966271139,-49.206039781191485,-49.51164264345252,-50.10109640534083,-50.222092024611285,-50.30890003875729,-50.34448494162898,-50.68035099915574,-51.14761996421959,-51.43415758497471,-51.41785031056323,-50.36750142774963,-50.84774996091852,-52.730615886649595,-55.17628860792762,-57.765802215271684,-59.5154371497613,-63.55436688401038,-78.73754644775978,-79.73137586434439,-79.75338937701655,-79.77539771458619,-79.79874107829473,-79.82350920198135,-79.85041882780286,-79.88043680712026,-79.90849149987106,-79.92271151836046,-79.92494671264541,-79.92714542515107,-79.9293067604304,-79.93144356919967,-79.93354314792343,-79.93463457690571,-79.93604585634655,-79.93788797185977,-79.93997573899529,-79.94220538258655,-79.94444518978997,-79.94638833214658,-79.94786345840168,-79.9492109259721,-79.95040990461096,-79.95145801077668,-79.95231079594427,-79.95296697375515,-79.95337816812552,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 2_seg-7_60s-70s.wav,WEBSS-002 TP 2_seg-7_60s-70s.wav
-36.41541155542839,-27.155659905308415,-28.051820146239244,-31.355400279489064,-33.171618751503985,-35.00444078701292,-36.52977182053855,-39.447210647283,-42.194737258798206,-44.52072540948264,-47.32962123120785,-49.767987638556136,-51.26994053148445,-52.11046978290398,-52.77055662850914,-53.18738492834028,-53.13741830308136,-52.826995043292946,-52.48622764790235,-52.50056514772216,-51.216721650812055,-50.487807991528854,-50.56131897914055,-50.16807236963279,-49.10980451594449,-46.926576907513294,-47.77858988110007,-50.556609437720944,-52.48657256801471,-54.72841021036661,-57.31808422056873,-59.9149489435897,-62.062690365157806,-63.56763713631974,-67.46423514044045,-79.23617877141085,-79.77536742344553,-79.79593735475306,-79.81738197172524,-79.83982169880153,-79.86281541604642,-79.88639227761111,-79.9104411754392,-79.93502974167309,-79.96032693014365,-79.97960965560229,-79.99407273200747,-79.99628983505158,-79.99757693538871,-79.99883085181186,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 3_seg-8_70s-79.09s.wav,WEBSS-002 TP 3_seg-8_70s-79.09s.wav
