file_path,filename,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP001_WWS.wav,KP001_WWS.wav,-436.23438,128.58197,78.057594,43.046024,30.395414,21.851904,11.438531,7.190729,8.73591,7.608368,3.1694684,0.87771094,0.6344082
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP011_WWS.wav,KP011_WWS.wav,-340.79672,212.3862,48.43631,-8.204705,24.182703,29.414185,0.20685165,-1.2093275,17.152794,11.475693,-4.209033,0.91411555,9.807709
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-005 TP6_seg-1.wav,WEBSS-005 TP6_seg-1.wav,-341.6852,207.18779,78.067696,13.224803,17.269947,18.449272,-1.1498724,-7.1911736,4.4026885,8.028583,1.7203752,0.89800686,3.2511902
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP008_WWS.wav,KP008_WWS.wav,-358.70847,188.2518,63.947838,19.44999,37.19251,31.661106,5.276373,6.053088,20.239857,11.889303,-2.6970048,1.8590825,7.725673
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP009_WWS.wav,KP009_WWS.wav,-365.9541,160.88553,53.369003,8.133375,20.543451,22.821041,6.4602547,5.7449765,16.805838,13.340123,2.33875,3.6549556,9.387331
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP010_WWS.wav,KP010_WWS.wav,-340.34656,196.67061,55.944454,4.398332,28.802818,32.132133,6.587088,3.5703478,17.429537,11.974022,-1.7350507,1.8481833,8.746222
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/H004.wav,H004.wav,-563.68054,187.85623,58.353367,14.092851,36.592007,34.221664,7.0278864,5.6131897,18.69632,10.449345,-3.443706,2.086661,9.232751
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-007 TP4_seg-1.wav,WEBSS-007 TP4_seg-1.wav,-445.0997,149.3111,59.77263,17.65041,22.349955,22.7419,10.77482,9.327757,13.8072405,7.1568136,-1.549651,1.4923751,6.100713
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP003_WWS_2.wav,KP003_WWS_2.wav,-398.7303,145.28738,48.36369,14.158353,28.859245,25.8805,7.291483,9.642992,20.543608,12.114621,-0.2958521,4.893047,12.156975
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP002_WWS.wav,KP002_WWS.wav,-445.9956,136.01425,60.52683,20.576159,19.265337,18.506021,10.345781,10.908569,16.303144,12.18311,4.1630015,3.9846249,6.2783017
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP003_WWS_1.wav,KP003_WWS_1.wav,-521.3022,82.21406,47.05278,24.072487,17.213066,13.466079,9.642524,10.4172125,12.778574,10.759716,6.875127,5.961382,5.976988
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/H002.wav,H002.wav,-532.3587,124.948845,59.760002,31.204992,33.798954,27.60511,12.494314,10.589302,15.573034,10.170357,2.1449978,4.4050817,8.194027
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/H003.wav,H003.wav,-394.13123,115.68107,61.40684,33.233406,31.694056,28.426401,19.162601,16.995869,18.859747,14.225832,7.985959,8.477455,10.168029
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/H001.wav,H001.wav,-361.58896,169.22905,58.104996,7.8056087,21.499922,31.257595,17.571468,10.847859,16.533638,14.00051,5.125768,6.8259835,14.027433
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-005 TP1_seg-1.wav,WEBSS-005 TP1_seg-1.wav,-331.97528,192.60645,91.84156,29.50077,17.585999,11.788446,-4.62212,-12.0614195,-4.929068,0.78302234,-0.86949986,-2.0044167,-0.36560124
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-007 TP7_seg-1.wav,WEBSS-007 TP7_seg-1.wav,-327.46024,131.81688,57.669758,18.604145,18.672367,19.661243,11.39167,8.950309,10.890042,5.427639,-2.3939939,-2.311345,0.67747504
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP006_WWS.wav,KP006_WWS.wav,-502.58554,127.29244,59.05777,21.493645,19.284065,19.076769,11.887564,11.4000635,16.078447,13.753312,7.3914423,6.7234216,8.715534
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-007 TP1_seg-1.wav,WEBSS-007 TP1_seg-1.wav,-307.29626,149.26164,47.237473,13.21793,33.23211,31.685007,5.291087,-1.8315585,8.517565,6.181512,-4.7104,-4.5693927,0.5901624
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-003 TP1_seg-1.wav,WEBSS-003 TP1_seg-1.wav,-349.18484,200.45296,45.14599,-8.749612,22.946133,31.012897,5.9000916,3.0726638,16.037987,8.26824,-4.6376996,3.396005,12.425574
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP012_WWS_2.wav,KP012_WWS_2.wav,-421.18063,123.73655,70.05554,37.799545,29.48874,22.010706,13.107468,13.987176,19.154667,16.195667,9.213107,8.177873,9.818697
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP007_WWS.wav,KP007_WWS.wav,-375.02658,138.70845,57.875847,22.49477,25.412533,18.629557,4.545035,10.066906,22.77056,17.497614,5.004134,5.124422,9.124766
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-002 TP 3_seg-1.wav,WEBSS-002 TP 3_seg-1.wav,-333.1848,177.05313,44.74257,4.367861,40.84965,49.061314,14.016939,-3.4954002,7.7357206,10.606874,0.90048146,1.2756712,8.509788
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-003 TP3 _seg-1.wav,WEBSS-003 TP3 _seg-1.wav,-319.69556,140.28448,48.72994,5.769187,17.170498,28.189657,18.558672,10.566738,11.98448,9.035519,1.366463,0.8120624,5.693582
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP012_WWS_1.wav,KP012_WWS_1.wav,-433.03452,126.827095,71.44948,37.76356,29.043217,21.809713,12.983322,13.628406,18.692455,15.809884,8.587407,6.891387,8.157917
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-002 TP 4_seg-1.wav,WEBSS-002 TP 4_seg-1.wav,-333.77322,152.55214,63.36239,28.04098,41.80762,40.828976,13.178977,-2.2777371,5.826062,12.253257,6.6765146,2.4473038,4.7467046
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-006 TP3_seg-1.wav,WEBSS-006 TP3_seg-1.wav,-369.9288,122.692764,82.11464,42.879505,20.100172,12.7949705,12.524928,13.316296,13.329837,12.185964,9.896606,7.1492996,4.931233
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP005_WWS.wav,KP005_WWS.wav,-329.6954,161.92549,55.063465,16.138903,29.238173,21.818542,-0.8183716,3.8659267,20.814466,15.22267,1.3734269,4.3197074,10.160205
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP004_WWS.wav,KP004_WWS.wav,-338.20862,156.14432,52.60666,13.354894,28.35721,27.993265,9.03867,9.19641,20.91447,15.139865,2.150858,4.2922487,10.928302
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-006 TP8_seg-1.wav,WEBSS-006 TP8_seg-1.wav,-376.8527,151.09505,83.24289,31.930809,15.62084,15.995726,15.237632,13.068344,12.8435545,12.113632,9.188429,6.6095405,5.910606
