file_path,filename,logmel_0,logmel_1,logmel_2,logmel_3,logmel_4,logmel_5,logmel_6,logmel_7,logmel_8,logmel_9,logmel_10,logmel_11,logmel_12,logmel_13,logmel_14,logmel_15,logmel_16,logmel_17,logmel_18,logmel_19,logmel_20,logmel_21,logmel_22,logmel_23,logmel_24,logmel_25,logmel_26,logmel_27,logmel_28,logmel_29,logmel_30,logmel_31,logmel_32,logmel_33,logmel_34,logmel_35,logmel_36,logmel_37,logmel_38,logmel_39,logmel_40,logmel_41,logmel_42,logmel_43,logmel_44,logmel_45,logmel_46,logmel_47,logmel_48,logmel_49,logmel_50,logmel_51,logmel_52,logmel_53,logmel_54,logmel_55,logmel_56,logmel_57,logmel_58,logmel_59,logmel_60,logmel_61,logmel_62,logmel_63
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP001_WWS.wav,KP001_WWS.wav,-47.76892507078378,-34.498945165315234,-31.812724422170934,-34.198732269916015,-36.238824500680806,-40.224532349583725,-44.89898249884496,-48.924165034149205,-52.384205001281934,-54.52683824591792,-56.65561151335885,-58.187594695210926,-59.22178059955592,-60.50679120804105,-62.034972442429314,-63.7062964856636,-65.81540280739574,-67.47673475005976,-68.98425163920828,-69.87899754912871,-70.80482590077264,-71.46092116998035,-71.95741447298543,-72.24853382957755,-72.50840584293235,-73.0939167543512,-73.55090022910596,-73.93149997368623,-74.2070945783917,-74.21066648676364,-75.02002442883102,-75.98299020881377,-76.53800169432351,-77.10968837957112,-79.02588113514837,-79.99902525025666,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP011_WWS.wav,KP011_WWS.wav,-35.14109366396073,-22.890789419425676,-21.432242259099564,-22.861977977749316,-24.896220231752515,-26.316321128474392,-29.067066243658644,-31.381021118067377,-32.80861074680147,-33.928996801972566,-35.00622514757836,-36.51648610786907,-37.56384073174863,-38.13509206369253,-38.7016517903188,-39.70963285057395,-40.76368332092375,-41.96335109888827,-43.165805124348374,-44.39252882653635,-45.508899211038695,-46.45026042793864,-47.34373974216491,-48.059872113162605,-48.968599058560244,-49.604956923083726,-50.210464794664496,-50.99797859129206,-51.658978880025764,-52.430856106754014,-53.78356655794777,-54.75023030146565,-56.190321466838625,-57.96003019837563,-62.83355692846747,-78.06388979497903,-79.95756246171126,-79.96362105524642,-79.96991431884292,-79.97652243995401,-79.98290486453706,-79.98653255008506,-79.98951907954145,-79.9898761187849,-79.99023810367075,-79.99060166043066,-79.99096231492864,-79.9913189285377,-79.99167298089824,-79.9920218913086,-79.99235883450903,-79.99269254784936,-79.99301356298774,-79.99332217077476,-79.99362017144703,-79.99390173094041,-79.99416688426001,-79.9944136912016,-79.99463916454118,-79.99483980727497,-79.99501520368504,-79.99515792205473,-79.99526773269693,-79.99533654856538
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-005 TP6_seg-1.wav,WEBSS-005 TP6_seg-1.wav,-39.19802793888762,-24.887853640886263,-21.414901065968415,-19.00723845702461,-19.738086654403073,-25.390600836284893,-27.411269065894857,-28.921993319119615,-30.141305925667165,-32.93979459831059,-35.082134583311735,-35.83795688100502,-36.24583039750574,-38.709050963290174,-42.24271671069124,-45.805233891498375,-47.97911599102506,-49.388666119212786,-51.083144829309276,-52.50336514693641,-53.7031114059702,-54.65048220758018,-55.1502562693823,-56.04774144758535,-56.7647894431565,-57.35523149291569,-57.639147992477554,-58.591643759184876,-60.26036882091224,-62.36498952196506,-64.17795491963497,-65.78479772477783,-67.00044561567557,-68.37568032676621,-72.66426941340312,-79.86664886222006,-79.9221994093093,-79.92983870108802,-79.93729964486253,-79.94488198947946,-79.95234126204227,-79.9567032485754,-79.96056812687112,-79.9615306460415,-79.96246116515938,-79.9633620976607,-79.96423116504278,-79.96507107093792,-79.96588844710556,-79.96668095222259,-79.96743727236769,-79.96817666762067,-79.96888160963417,-79.96955391001278,-79.9701981068477,-79.97080331063098,-79.97137024311886,-79.9718955310042,-79.97237360116173,-79.97279776592043,-79.97316738933543,-79.97346770467053,-79.9736982320226,-79.97384263380577
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP008_WWS.wav,KP008_WWS.wav,-39.218435880124396,-23.792959803034947,-19.893667185432754,-21.276824597840456,-26.498308171674587,-32.207803448734516,-36.31483096446765,-39.559451358099466,-42.969306079338295,-44.644766003019186,-45.682813225696464,-46.499172334073556,-47.343147361826155,-48.579270451760536,-49.90942591109529,-50.70744276427329,-52.48724943291966,-54.12624449049579,-55.714099351943084,-56.767899761062864,-57.29944292566202,-58.13168184300582,-59.125177800137145,-59.52423617008348,-60.16000955105241,-60.60022409143037,-60.94590313895722,-61.54223691077677,-61.83848046166649,-61.92826461769156,-61.838860813637126,-62.141046835641106,-62.88302059369657,-63.145369117605135,-67.82000838342915,-79.9366885242749,-79.96403214097039,-79.97155093630931,-79.97882586259152,-79.98411330254797,-79.98822847333795,-79.99006864318409,-79.99081572094273,-79.99150908479577,-79.99215981085436,-79.9927734606249,-79.99335230416081,-79.99390040114635,-79.99442314390295,-79.99492102758369,-79.99538990854889,-79.99584059808852,-79.9962652952841,-79.99666582062851,-79.99704514391118,-79.9973984233254,-79.99772654573084,-79.99802823261211,-79.99830102086892,-79.99854180798944,-79.99875040744024,-79.99891946567958,-79.99904864303241,-79.99912950657361
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP009_WWS.wav,KP009_WWS.wav,-37.86661414284819,-26.174199229066012,-23.591373458481783,-26.234031616811485,-28.9426806182637,-31.157125979105384,-32.66526205436457,-34.25587922481359,-35.53310868008423,-36.67467643582726,-37.37667345492396,-38.57795697025532,-39.31111022657057,-40.31237928301732,-41.46212911310284,-41.87961486201652,-41.95000720423582,-43.59259097133494,-44.98338594051641,-46.55664499132478,-47.82723101870283,-49.05454352684357,-50.48306159390026,-50.98283836508517,-51.15947190486858,-51.53477117154902,-52.224313857291826,-52.84480042267042,-53.48363608142781,-53.82623523883333,-54.351966798152496,-55.67083098350721,-56.78944778699795,-57.462369218397654,-63.051257162026275,-78.61396680440899,-79.93362505553333,-79.94358970222713,-79.95279627454234,-79.96182942700214,-79.96766551648169,-79.97320142512444,-79.97532514436766,-79.97729996789919,-79.97916682816961,-79.98093812801383,-79.98261920299686,-79.98395861490567,-79.98472187375303,-79.98544990751375,-79.98613845631218,-79.98679796145487,-79.9874201277713,-79.98800654694008,-79.98855970960511,-79.98907430645166,-79.98955079444171,-79.98998733152303,-79.99038082480126,-79.99072745640933,-79.99102611139551,-79.99126830399045,-79.99145224603238,-79.99156761350368
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP010_WWS.wav,KP010_WWS.wav,-32.69805117335577,-18.54970916050425,-16.7550773379369,-19.618540646065686,-23.249219525746273,-27.245844281927134,-30.7765117496243,-32.93576827375286,-34.59885776625905,-36.120830993434474,-37.44482326433557,-38.61240089748671,-39.73649511505154,-40.619931062839036,-41.406990142122304,-42.14194846283946,-42.770858237474606,-44.078456983132696,-45.46593818074382,-46.2907236023322,-47.42480416916029,-48.19715507588996,-48.974520485610704,-49.45047494908391,-50.25243760264056,-51.20023342278627,-51.854908390387685,-52.692179632561476,-53.315869273399954,-53.83990141595448,-54.722591981932844,-55.902191582513154,-57.347766779036505,-58.65937953800562,-63.08565507544233,-79.29911271970465,-79.9206409451686,-79.9270123173891,-79.93363448364023,-79.94059693255524,-79.94772500768364,-79.95501786063042,-79.96240954654462,-79.96853821036007,-79.97269646649363,-79.97505476084507,-79.97579473978669,-79.97652268271413,-79.97724249978539,-79.97794972437185,-79.97863121970039,-79.97930484656565,-79.97995195327373,-79.98057334812802,-79.98117280027411,-79.98173877456043,-79.9822714451439,-79.9827670122366,-79.98321956384811,-79.98362215445007,-79.98384046251799,-79.98398355753012,-79.98409363804619,-79.98416261880806
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/H004.wav,H004.wav,-24.421573781124888,-13.435778183834474,-13.295196467286711,-16.419894795277788,-19.701816037830675,-22.28338720151598,-25.35901249018644,-28.858042565110747,-32.2378464975846,-34.6372052758753,-35.7943332113269,-37.19553830509029,-38.65819182090502,-39.71456941666821,-40.18453874357488,-41.42466069930467,-42.17864801734754,-42.93569746686412,-43.280849706139506,-44.126131956101965,-45.54152256000163,-46.85496200570415,-47.7193642636526,-47.92091849881208,-48.559212130328014,-48.35554334292281,-48.79041252152167,-49.98107483912421,-50.495704961269176,-51.07664361414793,-51.40693418863201,-51.66784246387174,-52.274174072125966,-53.04510145321357,-56.99190997931779,-75.23756086966814,-79.91783156421153,-79.92746414049512,-79.93635059293824,-79.94507259498714,-79.95364242806922,-79.96206605466342,-79.96716756899292,-79.9717240817126,-79.97326903943024,-79.97472529407405,-79.97609795865841,-79.9773957145244,-79.97862967313722,-79.97980107940182,-79.98090213298403,-79.98195478248614,-79.98294366644085,-79.9837848070567,-79.98422271487532,-79.9846291868963,-79.9850052373497,-79.9853496631094,-79.98566004500066,-79.98593328492888,-79.98616912075268,-79.98636004477855,-79.98650544778968,-79.98659646924997
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-007 TP4_seg-1.wav,WEBSS-007 TP4_seg-1.wav,-47.365358437786035,-33.86451087356119,-30.64896843663761,-33.99831926406388,-37.699757603803455,-41.20680777374419,-45.36578834550087,-47.97397932503151,-49.26826290170855,-49.995234537657076,-51.430697608225415,-53.38857628717726,-54.62314199875968,-55.66169002287493,-55.994021040246295,-56.46948297956728,-56.63546327764242,-57.19009435660721,-57.81608845782414,-60.13933977889105,-61.207330189041045,-61.94254856057249,-62.81047002213269,-64.36553472479937,-65.3224741780192,-66.23320307655345,-67.10817910098972,-68.25923678586194,-68.88354687294986,-68.58404601687843,-68.11552881740863,-69.15557818676028,-70.02362210889414,-70.82857174637738,-74.39542346701921,-79.91693420951194,-79.99918590733733,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP003_WWS_2.wav,KP003_WWS_2.wav,-39.67822854272857,-28.0953763126007,-26.20713195696962,-29.12787169472195,-34.2730758316522,-38.23022243586964,-40.33885667492711,-41.834731240012665,-42.826977385938754,-44.37156131827534,-45.26750224802821,-45.78113876914993,-46.302656356042455,-48.23317982213241,-49.662624807784205,-49.78572050475173,-50.11006554646183,-50.43054653445053,-50.92615319130006,-51.27757287233122,-52.7795666688683,-54.82078218548195,-55.918834547811244,-56.518326919036475,-57.14533863243181,-57.47876488255403,-57.55877759696669,-57.79017838632894,-57.60235633949341,-57.56095803856729,-57.74406625501391,-57.7148792651056,-58.1158080733908,-58.767736371162336,-62.83689667525374,-78.2233146373005,-79.91870336316659,-79.92480672909426,-79.93119280298305,-79.93789899912586,-79.94476862071058,-79.95178732020528,-79.95889610277462,-79.96608331798744,-79.97335561029317,-79.98071991351958,-79.98818861708709,-79.99410229876807,-79.99818004619655,-79.99956051176254,-79.99992284686081,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP002_WWS.wav,KP002_WWS.wav,-40.71590583313583,-28.321568464439796,-28.375469850235532,-30.605325127015274,-33.0727185771326,-36.223820922397366,-38.30607301403315,-40.33008800242908,-40.011447636425345,-42.175759568223214,-44.96680539708927,-47.131552495209974,-46.78677034001903,-48.25014832264819,-40.47204656959623,-40.323680654480626,-51.01104421143494,-52.07809910735954,-52.07860884094263,-52.849278491571916,-53.8124162648125,-55.474811898933744,-56.682269465744504,-57.937658183840185,-58.32673855728764,-58.533890688875026,-59.35707680887857,-60.16070975758053,-60.48577973373935,-60.85449735812287,-61.0132232070144,-62.063944387089315,-62.031288277492116,-62.282316226323516,-67.40792886795143,-79.90626725216529,-79.95032456699079,-79.95684714884571,-79.96291002390163,-79.96921460170053,-79.97566434510892,-79.9822474662695,-79.9889188037617,-79.99465660939548,-79.9980725627966,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
