file_path,filename,logmel_0,logmel_1,logmel_2,logmel_3,logmel_4,logmel_5,logmel_6,logmel_7,logmel_8,logmel_9,logmel_10,logmel_11,logmel_12,logmel_13,logmel_14,logmel_15,logmel_16,logmel_17,logmel_18,logmel_19,logmel_20,logmel_21,logmel_22,logmel_23,logmel_24,logmel_25,logmel_26,logmel_27,logmel_28,logmel_29,logmel_30,logmel_31,logmel_32,logmel_33,logmel_34,logmel_35,logmel_36,logmel_37,logmel_38,logmel_39,logmel_40,logmel_41,logmel_42,logmel_43,logmel_44,logmel_45,logmel_46,logmel_47,logmel_48,logmel_49,logmel_50,logmel_51,logmel_52,logmel_53,logmel_54,logmel_55,logmel_56,logmel_57,logmel_58,logmel_59,logmel_60,logmel_61,logmel_62,logmel_63
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP001_WWS.wav,KP001_WWS.wav,-26.512518,-32.551357,-35.673782,-38.661457,-40.686367,-44.554455,-49.253407,-53.266376,-56.73736,-58.950634,-61.097977,-62.621944,-63.64098,-64.95187,-66.38723,-67.729416,-69.483154,-70.85081,-72.026054,-72.70244,-73.42364,-73.86654,-74.19147,-74.260994,-74.44707,-74.962746,-75.36874,-75.55515,-75.791794,-75.9089,-76.29245,-76.77047,-77.10466,-77.32513,-78.80102,-79.99752,-79.99965,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP011_WWS.wav,KP011_WWS.wav,-12.744121,-19.51339,-24.574047,-26.71629,-28.86416,-30.350891,-33.141575,-35.413513,-36.7088,-37.71611,-38.754013,-40.35982,-41.610043,-42.12838,-42.78331,-43.834557,-44.87768,-46.12615,-47.267517,-48.42343,-49.45081,-50.289463,-51.195023,-51.947803,-52.91072,-53.529236,-54.200245,-55.08222,-55.809696,-56.56421,-57.85367,-58.53011,-59.625626,-60.767914,-65.04841,-77.80959,-79.92103,-79.92434,-79.927,-79.92941,-79.931595,-79.93367,-79.93563,-79.937515,-79.93933,-79.9411,-79.942795,-79.94444,-79.94606,-79.94761,-79.949104,-79.95056,-79.95195,-79.95328,-79.95455,-79.95574,-79.95687,-79.95791,-79.958855,-79.959694,-79.96043,-79.96102,-79.96148,-79.96177
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-005 TP6_seg-1.wav,WEBSS-005 TP6_seg-1.wav,-16.24345,-20.791693,-23.340704,-21.76454,-23.046753,-28.543976,-30.636902,-32.10988,-33.46856,-36.058594,-37.62123,-38.063198,-38.58765,-40.91469,-44.09896,-47.327816,-49.508564,-50.934235,-52.629005,-54.060383,-55.2464,-56.285156,-56.782993,-57.639957,-58.24479,-58.82058,-59.034355,-59.949245,-61.637894,-63.779163,-65.597145,-67.116486,-68.03418,-68.98963,-72.8366,-79.8324,-79.90146,-79.90463,-79.90728,-79.909706,-79.91192,-79.914024,-79.91603,-79.917946,-79.9198,-79.92159,-79.923325,-79.925,-79.926636,-79.92822,-79.92972,-79.9312,-79.9326,-79.93395,-79.935234,-79.93644,-79.93758,-79.93862,-79.93958,-79.94042,-79.94116,-79.941765,-79.94222,-79.94251
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP008_WWS.wav,KP008_WWS.wav,-14.736245,-21.62528,-22.748474,-25.10256,-30.565012,-36.255672,-40.458572,-43.724533,-47.05608,-48.652702,-49.610577,-50.422523,-51.151436,-52.29103,-53.38711,-53.968193,-55.800823,-57.372185,-58.812344,-59.663784,-60.073708,-60.90027,-61.966824,-62.228153,-62.92278,-63.314175,-63.580566,-64.05844,-64.253105,-64.07663,-63.734764,-63.803425,-64.026245,-63.704983,-68.00319,-79.89024,-79.960976,-79.964035,-79.96655,-79.96886,-79.97097,-79.97299,-79.974915,-79.97676,-79.97855,-79.98029,-79.981674,-79.98295,-79.98419,-79.985374,-79.98653,-79.98763,-79.9887,-79.98971,-79.9904,-79.991005,-79.991554,-79.99207,-79.992546,-79.99297,-79.99334,-79.99363,-79.99385,-79.994
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP009_WWS.wav,KP009_WWS.wav,-15.245031,-28.393143,-32.705097,-36.277473,-39.176033,-41.58199,-43.15885,-44.63218,-45.86373,-46.757908,-47.278652,-48.442806,-49.301704,-50.471867,-51.699192,-52.141743,-52.223408,-53.82867,-55.243904,-56.94887,-58.17956,-59.334816,-60.75055,-61.136112,-61.28629,-61.634468,-62.325375,-62.94618,-63.624756,-63.85197,-64.25883,-65.335335,-65.85326,-65.92379,-71.16462,-79.42043,-79.9462,-79.949234,-79.95173,-79.954025,-79.95612,-79.95812,-79.96004,-79.96142,-79.9627,-79.96395,-79.96517,-79.966354,-79.967514,-79.96864,-79.96972,-79.97078,-79.9718,-79.97276,-79.97371,-79.97458,-79.97541,-79.97618,-79.97687,-79.97749,-79.97796,-79.97825,-79.97847,-79.978615
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP010_WWS.wav,KP010_WWS.wav,-14.656022,-20.20258,-23.585196,-26.864912,-30.477037,-34.43917,-37.724407,-39.466713,-41.020126,-42.409748,-43.540443,-44.625027,-45.77431,-46.671978,-47.575275,-48.41052,-48.90244,-50.213436,-51.58109,-52.41211,-53.515865,-54.293514,-55.06692,-55.67032,-56.371372,-57.252003,-58.00627,-58.82928,-59.277306,-59.801216,-60.525135,-61.45867,-62.56886,-63.371696,-67.37551,-79.75881,-79.91567,-79.9185,-79.92086,-79.92304,-79.925064,-79.927,-79.92887,-79.930664,-79.93241,-79.93412,-79.93577,-79.93737,-79.938934,-79.94046,-79.94192,-79.943344,-79.94471,-79.946014,-79.94728,-79.948456,-79.94956,-79.950584,-79.95152,-79.95236,-79.95307,-79.953674,-79.954124,-79.95441
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/H004.wav,H004.wav,-14.198205,-17.887083,-24.17948,-27.929213,-31.171234,-33.737747,-36.776814,-40.293568,-43.667698,-46.03193,-47.18744,-48.59117,-50.095417,-51.11703,-51.596096,-52.859066,-53.657757,-54.437984,-54.786446,-55.61337,-57.035896,-58.419693,-59.273445,-59.47267,-60.124588,-59.840054,-60.35198,-61.539417,-62.061047,-62.57694,-62.84112,-62.926285,-63.218033,-63.52159,-67.062836,-79.818535,-79.938095,-79.9412,-79.94376,-79.94613,-79.948296,-79.95034,-79.9523,-79.95418,-79.956,-79.95776,-79.95947,-79.96112,-79.96273,-79.96429,-79.965775,-79.96723,-79.96863,-79.96995,-79.97123,-79.972435,-79.97335,-79.97411,-79.97482,-79.97545,-79.97598,-79.97643,-79.97676,-79.97698
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-007 TP4_seg-1.wav,WEBSS-007 TP4_seg-1.wav,-30.762785,-33.546658,-35.34596,-39.184017,-43.257614,-46.983227,-51.132706,-53.674107,-54.74948,-55.253757,-56.712044,-58.81792,-59.866734,-60.821404,-61.051956,-61.2863,-61.331635,-61.809204,-62.361393,-64.82655,-65.793365,-66.491646,-67.54082,-69.15173,-70.0,-70.65824,-71.44907,-72.737076,-73.16896,-72.47331,-71.82023,-72.758705,-73.358925,-73.61002,-75.782715,-79.87776,-79.99416,-79.995766,-79.997086,-79.9975,-79.99792,-79.998314,-79.99872,-79.999115,-79.99951,-79.99989,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP003_WWS_2.wav,KP003_WWS_2.wav,-25.059092,-33.41653,-37.404533,-40.574207,-45.64733,-49.174324,-51.217167,-52.723152,-53.7692,-55.268883,-56.258022,-56.86148,-57.297565,-59.28403,-60.871998,-60.992874,-61.507877,-61.75104,-62.17264,-62.595932,-64.06257,-66.21641,-67.3483,-67.98816,-68.61076,-68.89768,-68.97124,-69.172226,-68.904175,-68.75008,-68.87323,-68.68454,-68.733734,-68.975365,-72.59547,-79.42449,-79.90715,-79.909966,-79.91236,-79.91462,-79.916695,-79.9187,-79.920616,-79.922455,-79.924255,-79.926,-79.9277,-79.92933,-79.93093,-79.93249,-79.93397,-79.93542,-79.9368,-79.93813,-79.9394,-79.9406,-79.94171,-79.94276,-79.9437,-79.944534,-79.94528,-79.94587,-79.94633,-79.946594
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP002_WWS.wav,KP002_WWS.wav,-21.081512,-31.622952,-37.41493,-40.36493,-43.151424,-46.60921,-48.80767,-50.883144,-49.94253,-51.847847,-54.922226,-57.081924,-56.737904,-58.069035,-50.53564,-50.444183,-60.630814,-61.604218,-61.804646,-62.925297,-64.10852,-65.99728,-66.93056,-68.036606,-68.4744,-68.652855,-69.58459,-70.18712,-70.14578,-70.27825,-70.25073,-71.19396,-70.75225,-70.35513,-74.854195,-79.92426,-79.94088,-79.94405,-79.94669,-79.94912,-79.951324,-79.95344,-79.95544,-79.95737,-79.95922,-79.96102,-79.96275,-79.964424,-79.96605,-79.967636,-79.96915,-79.970634,-79.9719,-79.97293,-79.97392,-79.974846,-79.975716,-79.97651,-79.97725,-79.9779,-79.978455,-79.97891,-79.97926,-79.97948
