file_path,filename,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP001_WWS.wav,KP001_WWS.wav,-455.56058,109.18049,71.36493,43.966045,32.168087,23.264376,13.462433,8.778369,8.806732,7.2546825,3.5798075,1.6088542,1.1380898
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP011_WWS.wav,KP011_WWS.wav,-366.05984,192.54248,52.44501,-0.90605533,22.033445,27.019167,3.826516,1.1676043,15.09186,11.192893,-1.2191763,2.0997982,8.941779
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-005 TP6_seg-1.wav,WEBSS-005 TP6_seg-1.wav,-357.00302,194.53717,76.39125,14.325566,15.789893,17.908524,1.4267545,-4.852145,4.928829,9.113065,3.701824,1.5006202,2.7130468
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP008_WWS.wav,KP008_WWS.wav,-378.39267,171.3755,62.80027,23.429384,37.627655,31.366337,7.7269506,8.544659,20.668777,12.313433,-1.2602838,2.769236,7.9858212
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP009_WWS.wav,KP009_WWS.wav,-389.18082,144.75757,55.565956,13.98216,19.598282,20.638205,8.405299,7.739644,15.928502,13.187307,4.4581976,4.818504,8.792988
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP010_WWS.wav,KP010_WWS.wav,-356.23804,183.84978,55.69655,6.56692,26.565643,29.748247,7.4400434,4.458874,16.600203,12.017455,-0.18442184,2.6646636,8.765533
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/H004.wav,H004.wav,-606.13074,170.52107,61.21756,19.354841,33.691093,31.279896,9.2214775,6.772669,16.410458,9.864589,-1.6826074,1.8969696,7.6024704
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-007 TP4_seg-1.wav,WEBSS-007 TP4_seg-1.wav,-474.67184,123.40066,59.313347,24.021515,21.23309,20.06004,13.114118,11.904332,13.014617,6.968371,0.4038727,2.0165188,5.0253906
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP003_WWS_2.wav,KP003_WWS_2.wav,-426.48175,123.35241,51.324036,20.767818,25.453867,21.626345,9.169765,10.837638,17.628677,10.925374,1.603702,4.9035273,10.315859
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP002_WWS.wav,KP002_WWS.wav,-472.4978,116.01906,61.798912,26.757406,17.80025,15.00582,11.554668,13.163676,15.9296665,12.031138,5.682943,4.3071327,5.1136312
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP003_WWS_1.wav,KP003_WWS_1.wav,-546.5582,57.28372,39.450348,25.78277,18.82418,14.067674,10.925633,11.073017,12.091866,10.758699,8.293827,6.9417443,5.7777047
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/H002.wav,H002.wav,-569.9828,97.31196,62.595074,39.691494,31.089712,23.563179,15.495323,12.927806,12.814121,9.056427,4.819371,4.9377675,5.9701757
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/H003.wav,H003.wav,-405.4719,107.50473,59.899467,33.69495,30.191593,26.218237,18.130245,16.305786,17.679188,13.414016,7.8852754,8.20131,9.567062
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/H001.wav,H001.wav,-377.83875,157.51625,55.193188,8.161898,20.554829,30.53309,18.613163,11.790379,16.3141,14.122725,6.059902,7.221739,13.767457
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-005 TP1_seg-1.wav,WEBSS-005 TP1_seg-1.wav,-345.4215,180.31955,89.540245,30.998238,17.506489,11.703625,-2.8169346,-10.298867,-4.530788,1.3748939,0.559155,-1.2204167,-0.5700341
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-007 TP7_seg-1.wav,WEBSS-007 TP7_seg-1.wav,-339.17612,121.13516,56.051296,21.069588,20.37947,21.24026,14.154387,11.172475,11.175992,5.2269406,-1.6068144,-1.0639594,1.8207766
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP006_WWS.wav,KP006_WWS.wav,-534.89825,106.80953,61.27536,28.163078,17.37344,15.42261,13.259381,12.842867,14.102744,12.842988,9.232737,7.0821943,6.900745
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-007 TP1_seg-1.wav,WEBSS-007 TP1_seg-1.wav,-325.0048,132.7358,44.560883,14.697522,31.72715,30.33154,6.558514,-1.0207969,7.8189034,6.708818,-2.8434825,-3.870822,0.40406904
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-003 TP1_seg-1.wav,WEBSS-003 TP1_seg-1.wav,-370.9745,181.30656,43.787945,-5.3573265,21.818289,29.930162,8.35293,4.776788,15.157707,8.418807,-2.7194533,4.1882796,12.238669
