file_path,filename,logmel_0,logmel_1,logmel_2,logmel_3,logmel_4,logmel_5,logmel_6,logmel_7,logmel_8,logmel_9,logmel_10,logmel_11,logmel_12,logmel_13,logmel_14,logmel_15,logmel_16,logmel_17,logmel_18,logmel_19,logmel_20,logmel_21,logmel_22,logmel_23,logmel_24,logmel_25,logmel_26,logmel_27,logmel_28,logmel_29,logmel_30,logmel_31,logmel_32,logmel_33,logmel_34,logmel_35,logmel_36,logmel_37,logmel_38,logmel_39,logmel_40,logmel_41,logmel_42,logmel_43,logmel_44,logmel_45,logmel_46,logmel_47,logmel_48,logmel_49,logmel_50,logmel_51,logmel_52,logmel_53,logmel_54,logmel_55,logmel_56,logmel_57,logmel_58,logmel_59,logmel_60,logmel_61,logmel_62,logmel_63
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP001_WWS.wav,KP001_WWS.wav,-24.66356082170353,-28.482911696512453,-31.206471124131888,-33.99375494473888,-36.04076577321898,-40.029334427620064,-44.70392165685517,-48.727656551055254,-52.184841157206236,-54.32808502184971,-56.4604283237842,-57.9917081075618,-59.02223406774983,-60.31218938624054,-61.838537396204366,-63.50750685123565,-65.61038828813412,-67.28247354393973,-68.79320715865109,-69.69069592139276,-70.61757118791336,-71.28016518009905,-71.77885749163654,-72.07199146614393,-72.33685200548918,-72.92332387937894,-73.37303643109404,-73.73752074007281,-73.98308968182722,-73.92333278081331,-74.67831352442992,-75.56398288311551,-75.92091699972511,-76.20398211930247,-78.4446637007717,-79.98755986017683,-79.99069788102395,-79.99250033103228,-79.99393034103915,-79.99504806247074,-79.99557286112783,-79.99607328457041,-79.9965506735273,-79.99700941364698,-79.99745442470272,-79.9978867114085,-79.998304936294,-79.99871023849695,-79.99910578962134,-79.99949026905354,-79.99985786789247,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP011_WWS.wav,KP011_WWS.wav,-12.485404762630916,-16.975545778480353,-21.187660495245492,-23.055673007095887,-25.099127764544797,-26.51984792921021,-29.271043645871906,-31.583821947308607,-33.01196036963863,-34.132347390587576,-35.20945969197798,-36.71866702853423,-37.76581128433981,-38.33817598598628,-38.905227263158594,-39.913265996645805,-40.967188689707875,-42.16738946464864,-43.36924576903861,-44.59576962532804,-45.712212745783965,-46.65337432692826,-47.545678209685406,-48.260717298333184,-49.16664305602291,-49.79828297871232,-50.39487164246605,-51.165033147472386,-51.79483445273405,-52.51216107839199,-53.76660635733815,-54.56091475033438,-55.71361588717043,-57.02776878035975,-61.41360650315044,-77.40326252062735,-79.94954437135635,-79.95180143884481,-79.95369363030835,-79.95544786074336,-79.95705630449676,-79.95859292893921,-79.9600594338309,-79.96146799736543,-79.96283298669184,-79.96415730659412,-79.96543704688828,-79.9666757543859,-79.96788303304662,-79.96905513836762,-79.97017473257348,-79.97127054393779,-79.97231619442101,-79.97331422784173,-79.97427124981674,-79.97517088713293,-79.97601407721632,-79.9767957654779,-79.9775074179753,-79.97813906815429,-79.97868967510142,-79.97913713007951,-79.97948071986374,-79.97969592514087
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-005 TP6_seg-1.wav,WEBSS-005 TP6_seg-1.wav,-15.14154064760558,-19.19954226927751,-20.973580138159583,-18.957778682006637,-19.700639628108426,-25.353419580592817,-27.373168620753294,-28.88421469718664,-30.10320934535967,-32.90176390532997,-35.04395405075098,-35.79977070237166,-36.20788081583508,-38.67099719489057,-42.20420676135484,-45.76731046780069,-47.9409964101818,-49.35053569732264,-51.0449222084247,-52.464928459649805,-53.66476816711072,-54.61081699291711,-55.11094520823419,-56.007512850201685,-56.72097385827964,-57.3076176076337,-57.58298134437996,-58.51809578448154,-60.15709441259849,-62.20510316515028,-63.922930481150296,-65.35876132776728,-66.2773148771723,-67.19023175648455,-71.00700164096006,-79.86165118785303,-79.93880485407692,-79.94264429961696,-79.94542523272544,-79.94782210499767,-79.94994486091247,-79.95177094878554,-79.95330556562347,-79.95476411002835,-79.95616710094458,-79.95752107876639,-79.95882444523988,-79.96008245375599,-79.96130559039159,-79.96249096615584,-79.96362176543312,-79.96472713579504,-79.96578093435099,-79.96678602066947,-79.96774910817628,-79.9686539102165,-79.96950160986005,-79.97028711874154,-79.97100206921776,-79.97163647556737,-79.97218935140747,-79.97263857447494,-79.97298344978803,-79.97319939954518
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP008_WWS.wav,KP008_WWS.wav,-13.856591757161256,-19.467467822309576,-19.672403560132807,-21.408061649938272,-26.638858290978405,-32.34920578624,-36.45779855555785,-39.70008814994669,-43.10914466590179,-44.780376336346606,-45.821564424198684,-46.63989236470006,-47.484425604244464,-48.71907096826082,-50.043372489333485,-50.838916177943005,-52.62510481397324,-54.26150246260905,-55.851375794727716,-56.901465234205546,-57.43503088662664,-58.26384414681472,-59.25716892113734,-59.65584039869323,-60.28701076444725,-60.72258407871882,-61.058459033670026,-61.63602770090187,-61.9011306246137,-61.93529089795706,-61.74606491748295,-61.87833866042512,-62.30856542349548,-62.12359636380471,-66.33256783545747,-79.81959077197251,-79.93119549122585,-79.93487125413394,-79.93778707507767,-79.94038893358906,-79.94272189779359,-79.94491216887523,-79.94697706022968,-79.94894209195515,-79.9508323548976,-79.95265576979891,-79.95440992340194,-79.95610168044149,-79.95774533868743,-79.95933702455925,-79.96085449241788,-79.96233691900316,-79.96374947217244,-79.96509598937595,-79.96638576775884,-79.96759710416029,-79.9687315841271,-79.96978254787707,-79.9707389318594,-79.97158736652743,-79.97232662534817,-79.97292727256834,-79.97338830637017,-79.97360758257095
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP009_WWS.wav,KP009_WWS.wav,-12.4056509501357,-24.193836391486244,-28.13275112992576,-31.161813457460447,-33.88037158450997,-36.094486201391675,-37.596638390910904,-39.19175703411835,-40.4708005886154,-41.61144836091971,-42.30860135655981,-43.51371570571902,-44.249689670183756,-45.25459199990262,-46.39493335077391,-46.821648093003176,-46.89293890397231,-48.52776355694234,-49.91565229462515,-51.48321393197326,-52.7489371865859,-53.9770028526451,-55.40309402318064,-55.8947947645845,-56.07235264327955,-56.443147314045376,-57.12345592583028,-57.72518064543755,-58.33171891816024,-58.62214356719271,-59.050016948141035,-60.20023800102445,-61.00153478311832,-61.26525575463948,-66.33838542212565,-79.14728762235163,-79.91654490321007,-79.92035206527004,-79.92336026112109,-79.92603582681538,-79.92842996005784,-79.93067228529442,-79.93278176810628,-79.93478537678845,-79.93670937243554,-79.93856226719123,-79.94034229674594,-79.94205683672925,-79.94372077956687,-79.94533021598792,-79.94686315790774,-79.94835994181103,-79.94953695718375,-79.95055076156731,-79.95152155707028,-79.9524331558352,-79.9532866878697,-79.95407732929912,-79.95479661493962,-79.9554346584385,-79.95599056763004,-79.95644213386439,-79.95678872490312,-79.9570058251249
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP010_WWS.wav,KP010_WWS.wav,-14.4975718716466,-17.43833048372307,-20.39926018122632,-23.738074922662538,-27.382104383620604,-31.37914939536473,-34.90842110118855,-37.06814544798306,-38.73508796534924,-40.25127226781447,-41.576812073642344,-42.75176257382623,-43.86841578612368,-44.74917964052596,-45.53779080949754,-46.2715731061204,-46.90508707164836,-48.21116222016611,-49.59424311768638,-50.42016281545105,-51.555786972407596,-52.32803814218014,-53.10432252569481,-53.574731316281444,-54.37199540838893,-55.318386401669926,-55.96492155260231,-56.78320568231053,-57.37662507478889,-57.84643113424373,-58.628054190927536,-59.640453643123635,-60.7939120981931,-61.632785664977575,-65.58977097437041,-79.6970585290587,-79.9167639487972,-79.9195019906506,-79.92184365517171,-79.92404781581887,-79.92608677482852,-79.9280500539014,-79.92993455182733,-79.93175295861717,-79.93352204139975,-79.93524408808433,-79.93691246930705,-79.93853100047144,-79.94011177912576,-79.94164901234716,-79.94311947878964,-79.94456080426247,-79.9459376082842,-79.94725285844521,-79.94851532031713,-79.94970284241477,-79.9508166544769,-79.95184980312679,-79.95279091399951,-79.9536264876894,-79.95435515106931,-79.95494748021251,-79.95540233964502,-79.9556872902119
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/H004.wav,H004.wav,-11.094892172490422,-14.288802075348649,-20.723386652218245,-24.459152188732364,-27.7536857136627,-30.33572976510074,-33.41005474607074,-36.90948856595302,-40.286221743479985,-42.68436988492148,-43.83908772087906,-45.237720179069406,-46.70255882923667,-47.761550819489635,-48.23191793152316,-49.470559454166974,-50.22323296580136,-50.97789677302304,-51.32385347800241,-52.17008318136289,-53.5866530502485,-54.897019838205885,-55.75881470423918,-55.95803571677019,-56.591252039523475,-56.38304600918152,-56.81195897125405,-57.98476230364031,-58.469122893207256,-58.993419248247335,-59.222457766957326,-59.310093976412276,-59.624000648606575,-59.919243961776175,-63.408063515545365,-79.39255712481327,-79.92712171377663,-79.93192441753729,-79.9356324319147,-79.93884964674263,-79.94168333178541,-79.94429310419794,-79.94671546754412,-79.94898905435761,-79.95114806210769,-79.95320697525702,-79.95516849855969,-79.95704373218871,-79.95885003339261,-79.96058617265271,-79.96223234819223,-79.96382914561315,-79.96534339929951,-79.96678036697621,-79.96815037475815,-79.96943256617683,-79.97062939748285,-79.9717347183208,-79.97273807250781,-79.97362645781294,-79.97439875730194,-79.97502554315349,-79.97550587778402,-79.97580666809108
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-007 TP4_seg-1.wav,WEBSS-007 TP4_seg-1.wav,-26.71681477629777,-28.39658305901532,-30.249462116152785,-34.02303049608723,-37.736709194162515,-41.2434519088264,-45.40068791934435,-48.00932381368163,-49.2991188147023,-50.02776298805404,-51.46627610702179,-53.42339174987475,-54.6572920374867,-55.69312222914946,-56.026045858909136,-56.50276154481692,-56.669084176477625,-57.22218383590486,-57.84759707559619,-60.168042392849955,-61.23543545031145,-61.97443740071582,-62.839264557241954,-64.38916205883007,-65.34671246806091,-66.25037765048081,-67.11684669982704,-68.25089726834533,-68.84316016138875,-68.4845434997204,-67.92127663319619,-68.79640681600327,-69.37437288559416,-69.74413578089359,-73.17617379457079,-79.83312251564023,-79.98756395289787,-79.98912315082016,-79.99041750534403,-79.99160976907736,-79.99269903038004,-79.99373671338266,-79.99472505352202,-79.9956728692935,-79.99634002582317,-79.99673145519948,-79.99711467778485,-79.99748979612099,-79.99785915740911,-79.99822082765745,-79.99856849945027,-79.99891124653455,-79.99923992003099,-79.99955505460802,-79.9998586199602,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP003_WWS_2.wav,KP003_WWS_2.wav,-21.886209214589304,-28.168883003715308,-32.784393923689834,-36.15994764007625,-41.31457923148188,-45.27180956242662,-47.38345467255494,-48.878178837923485,-49.87061482836525,-51.415129063323405,-52.31290972400037,-52.82391685977064,-53.34568778131271,-55.278294012728495,-56.70545363244924,-56.829661639141634,-57.15410226575224,-57.47431580022149,-57.96979985144324,-58.32184901879134,-59.824570065356845,-61.86432964339798,-62.96179424706282,-63.55935003424783,-64.18437887392236,-64.51308668763792,-64.58327923409733,-64.79659261236692,-64.57747824286187,-64.48008485630376,-64.56123326463842,-64.35959451015184,-64.46344817898046,-64.64937843564009,-68.2507018780816,-79.28648312475572,-79.9233603342883,-79.92578755006262,-79.92780698879015,-79.92965851497821,-79.93134365408584,-79.93294239793734,-79.93446008232912,-79.9359114609552,-79.93731265989369,-79.93866786854144,-79.93997414261696,-79.94123581842496,-79.94246308149087,-79.9436526297238,-79.94478747939915,-79.9458967576203,-79.94695417502346,-79.9479625144183,-79.94892863010624,-79.94983618999206,-79.95063277378118,-79.95117606738845,-79.95166958788514,-79.95210682280734,-79.95248721330566,-79.95279605428793,-79.95303283477065,-79.95318112424981
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP002_WWS.wav,KP002_WWS.wav,-17.02977872178003,-25.830788425776202,-31.509309999979113,-34.40905697477288,-36.88420903252193,-40.030918345428915,-42.114261175255244,-44.141098527333426,-43.82067008348076,-45.98361392239243,-48.77147341592348,-50.938713415877956,-50.594444624643046,-52.06007431505052,-44.287184681365424,-44.13635855879811,-54.81790862014847,-55.88646505823993,-55.88639058876345,-56.65646381330904,-57.620191868274226,-59.28007132927142,-60.480677537457325,-61.73609822064875,-62.12705807480232,-62.32699497945537,-63.1394600646975,-63.92751164579984,-64.223163685894,-64.53048865178839,-64.59129775564308,-65.46758425216913,-65.11474134350105,-64.9556228681344,-69.56751593360636,-79.89325586049262,-79.91861102814472,-79.92183284841111,-79.92446947370692,-79.92687861615454,-79.92907003161898,-79.93115188671445,-79.93313131755939,-79.93502743799058,-79.93686120842649,-79.93863766894223,-79.94035235411532,-79.94201065000526,-79.94362573905761,-79.945192795583,-79.94668915099142,-79.94815323694151,-79.94954984419766,-79.95088248395054,-79.95216013937025,-79.95336099555387,-79.95428088913118,-79.9550717799496,-79.95579137306443,-79.95642969081601,-79.95698580294948,-79.95743761255537,-79.95778437033324,-79.95800154697743
