file_path,filename,logmel_0,logmel_1,logmel_2,logmel_3,logmel_4,logmel_5,logmel_6,logmel_7,logmel_8,logmel_9,logmel_10,logmel_11,logmel_12,logmel_13,logmel_14,logmel_15,logmel_16,logmel_17,logmel_18,logmel_19,logmel_20,logmel_21,logmel_22,logmel_23,logmel_24,logmel_25,logmel_26,logmel_27,logmel_28,logmel_29,logmel_30,logmel_31,logmel_32,logmel_33,logmel_34,logmel_35,logmel_36,logmel_37,logmel_38,logmel_39,logmel_40,logmel_41,logmel_42,logmel_43,logmel_44,logmel_45,logmel_46,logmel_47,logmel_48,logmel_49,logmel_50,logmel_51,logmel_52,logmel_53,logmel_54,logmel_55,logmel_56,logmel_57,logmel_58,logmel_59,logmel_60,logmel_61,logmel_62,logmel_63
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP001_WWS.wav,KP001_WWS.wav,-24.053959,-28.453371,-31.17411,-33.954636,-36.004604,-39.987858,-44.666027,-48.69075,-52.152287,-54.295734,-56.421707,-57.951958,-58.983482,-60.268024,-61.799732,-63.473785,-65.577286,-67.24571,-68.7577,-69.65922,-70.583275,-71.24845,-71.7462,-72.04099,-72.30563,-72.8962,-73.342865,-73.71261,-73.956665,-73.895096,-74.65082,-75.53805,-75.89582,-76.178535,-78.43751,-79.99573,-79.99758,-79.99862,-79.99942,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP011_WWS.wav,KP011_WWS.wav,-10.781685,-16.901566,-21.113935,-22.982395,-25.025898,-26.446259,-29.197329,-31.510393,-32.938393,-34.058743,-35.135952,-36.645535,-37.692932,-38.264725,-38.83165,-39.83971,-40.89368,-42.093895,-43.295876,-44.52245,-45.638725,-46.57982,-47.472244,-48.187126,-49.093216,-49.724564,-50.321182,-51.0915,-51.721283,-52.438698,-53.693092,-54.48742,-55.640038,-56.954178,-61.33986,-77.375084,-79.96032,-79.96303,-79.964745,-79.96623,-79.96755,-79.96877,-79.96991,-79.970985,-79.972,-79.972984,-79.973915,-79.97481,-79.97567,-79.97651,-79.9773,-79.97807,-79.978806,-79.9795,-79.98017,-79.9808,-79.98138,-79.98192,-79.98241,-79.98284,-79.983215,-79.98353,-79.98376,-79.98391
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-005 TP6_seg-1.wav,WEBSS-005 TP6_seg-1.wav,-14.690194,-19.195107,-20.966614,-18.949993,-19.693668,-25.346455,-27.366043,-28.87714,-30.096096,-32.894707,-35.036873,-35.79269,-36.20082,-38.663914,-42.197178,-45.760376,-47.934475,-49.344467,-51.03901,-52.459282,-53.659115,-54.605118,-55.104942,-56.00149,-56.715214,-57.30208,-57.577522,-58.51237,-60.151234,-62.19926,-63.916656,-65.35252,-66.271034,-67.18379,-70.99937,-79.85882,-79.938225,-79.944916,-79.94877,-79.95181,-79.95449,-79.956955,-79.959236,-79.96137,-79.96339,-79.9653,-79.967125,-79.96886,-79.97051,-79.972115,-79.97362,-79.97506,-79.97643,-79.97773,-79.97895,-79.980095,-79.980774,-79.98132,-79.98182,-79.98226,-79.98264,-79.98294,-79.983185,-79.98334
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP008_WWS.wav,KP008_WWS.wav,-12.923262,-19.489628,-19.69401,-21.429842,-26.661676,-32.37078,-36.476727,-39.72149,-43.13156,-44.80979,-45.84624,-46.660397,-47.50397,-48.740524,-50.066406,-50.863533,-52.645412,-54.286472,-55.87196,-56.92604,-57.456707,-58.285957,-59.279743,-59.6779,-60.310608,-60.74658,-61.08306,-61.65979,-61.92634,-61.962135,-61.77032,-61.9029,-62.334064,-62.14998,-66.362785,-79.8471,-79.95877,-79.96319,-79.96665,-79.96965,-79.9723,-79.97474,-79.977,-79.97911,-79.98112,-79.982834,-79.983765,-79.98466,-79.98553,-79.98636,-79.98715,-79.98792,-79.988655,-79.98935,-79.99001,-79.99064,-79.99122,-79.99175,-79.992256,-79.99269,-79.993065,-79.99337,-79.99358,-79.99365
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP009_WWS.wav,KP009_WWS.wav,-12.777285,-26.397484,-30.334034,-33.363136,-36.079605,-38.28937,-39.79718,-41.393967,-42.671333,-43.810192,-44.508446,-45.713707,-46.450947,-47.45579,-48.59709,-49.022747,-49.090855,-50.731007,-52.12256,-53.686462,-54.952393,-56.180145,-57.60751,-58.09858,-58.27512,-58.64818,-59.328815,-59.932262,-60.538883,-60.82915,-61.259037,-62.408714,-63.21141,-63.47706,-68.55447,-79.420494,-79.95164,-79.957954,-79.96294,-79.96726,-79.9711,-79.97362,-79.9758,-79.97786,-79.97981,-79.981674,-79.98326,-79.984505,-79.98572,-79.98688,-79.98795,-79.98901,-79.990005,-79.99094,-79.99183,-79.99265,-79.99343,-79.99413,-79.99477,-79.99534,-79.99583,-79.996216,-79.99652,-79.99672
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP010_WWS.wav,KP010_WWS.wav,-12.847602,-17.396942,-20.35541,-23.695383,-27.339611,-31.335808,-34.865845,-37.02557,-38.690582,-40.20971,-41.53471,-42.70641,-43.82738,-44.71113,-45.497868,-46.232403,-46.862644,-48.171177,-49.556602,-50.38004,-51.515076,-52.28907,-53.067413,-53.53996,-54.34035,-55.287323,-55.93001,-56.74709,-57.338993,-57.810417,-58.596428,-59.603645,-60.75862,-61.603336,-65.5621,-79.72533,-79.95173,-79.953735,-79.955315,-79.95672,-79.95796,-79.95913,-79.96022,-79.96125,-79.96224,-79.963196,-79.96411,-79.96499,-79.965836,-79.96665,-79.96744,-79.96819,-79.96892,-79.9696,-79.97027,-79.97088,-79.97146,-79.97199,-79.97248,-79.97291,-79.97328,-79.97359,-79.97382,-79.97396
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/H004.wav,H004.wav,-11.172821,-14.880776,-21.31577,-25.050682,-28.346312,-30.925762,-33.99948,-37.49673,-40.8727,-43.27141,-44.426388,-45.82421,-47.28789,-48.345196,-48.817562,-50.056522,-50.811092,-51.566025,-51.91075,-52.756226,-54.173042,-55.484764,-56.346985,-56.5472,-57.179794,-56.971684,-57.401886,-58.57579,-59.06129,-59.584625,-59.81439,-59.903316,-60.217857,-60.514008,-64.0052,-79.57174,-79.94521,-79.95178,-79.95691,-79.96105,-79.96367,-79.96609,-79.968315,-79.9704,-79.97238,-79.974266,-79.97606,-79.977776,-79.97941,-79.98099,-79.982475,-79.98391,-79.98527,-79.98656,-79.98777,-79.98892,-79.989975,-79.99095,-79.99184,-79.99252,-79.993004,-79.9934,-79.993706,-79.9939
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-007 TP4_seg-1.wav,WEBSS-007 TP4_seg-1.wav,-26.46148,-28.410147,-30.255127,-34.029373,-37.74304,-41.249958,-45.40986,-48.015793,-49.30967,-50.037148,-51.47353,-53.43142,-54.666218,-55.704086,-56.035957,-56.51248,-56.67861,-57.2326,-57.85795,-60.181286,-61.249134,-61.984566,-62.851654,-64.40556,-65.35971,-66.26552,-67.13131,-68.26583,-68.85795,-68.49944,-67.93366,-68.80806,-69.38742,-69.75779,-73.188644,-79.84105,-79.99461,-79.9957,-79.99655,-79.997314,-79.997986,-79.99861,-79.99918,-79.99973,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP003_WWS_2.wav,KP003_WWS_2.wav,-20.971241,-28.153316,-32.767517,-36.14237,-41.29795,-45.25568,-47.365456,-48.86044,-49.852818,-51.397255,-52.29444,-52.806812,-53.32823,-55.260036,-56.68847,-56.81186,-57.136208,-57.45678,-57.952133,-58.30364,-59.805912,-61.84678,-62.94406,-63.54168,-64.16612,-64.494934,-64.565796,-64.77898,-64.55966,-64.46265,-64.54337,-64.342,-64.445854,-64.63166,-68.233284,-79.29099,-79.92976,-79.931984,-79.933716,-79.935234,-79.936584,-79.93783,-79.93898,-79.94007,-79.94112,-79.94211,-79.943054,-79.94396,-79.94484,-79.94568,-79.94648,-79.94726,-79.948006,-79.94871,-79.94938,-79.95001,-79.95059,-79.95114,-79.95162,-79.952065,-79.95245,-79.95276,-79.952995,-79.95314
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP002_WWS.wav,KP002_WWS.wav,-17.050343,-28.217949,-33.900154,-36.80049,-39.272545,-42.423782,-44.50937,-46.530746,-46.21216,-48.37744,-51.168926,-53.33223,-52.988907,-54.45287,-46.673824,-46.52562,-57.214127,-58.279423,-58.28016,-59.051155,-60.013035,-61.674732,-62.883144,-64.13609,-64.52273,-64.7258,-65.53782,-66.327675,-66.61781,-66.93039,-66.99196,-67.865364,-67.51387,-67.3539,-71.97193,-79.93888,-79.95509,-79.95724,-79.95892,-79.96039,-79.96169,-79.962906,-79.964035,-79.965096,-79.96611,-79.96709,-79.96802,-79.96891,-79.969765,-79.9706,-79.9714,-79.97217,-79.9729,-79.97359,-79.97426,-79.97488,-79.975464,-79.976,-79.97649,-79.97692,-79.977295,-79.977615,-79.977844,-79.97799
