file_path,filename,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP001_WWS.wav,KP001_WWS.wav,-436.23724,128.58195,78.05759,43.046024,30.395414,21.851906,11.438531,7.1907296,8.73591,7.608367,3.1694694,0.8777112,0.6344074
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP011_WWS.wav,KP011_WWS.wav,-342.8866,212.38615,48.43631,-8.204701,24.182703,29.414183,0.2068535,-1.2093265,17.152794,11.475693,-4.2090316,0.9141155,9.807707
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-005 TP6_seg-1.wav,WEBSS-005 TP6_seg-1.wav,-341.66745,207.18776,78.067696,13.224807,17.269947,18.449272,-1.1498712,-7.191173,4.4026875,8.028582,1.7203763,0.8980071,3.2511895
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP008_WWS.wav,KP008_WWS.wav,-358.87866,188.25177,63.947838,19.449993,37.192505,31.661106,5.2763734,6.053088,20.239857,11.889303,-2.6970043,1.8590826,7.725673
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP009_WWS.wav,KP009_WWS.wav,-365.49887,160.88553,53.369007,8.133377,20.543451,22.821041,6.460255,5.7449765,16.805838,13.340123,2.33875,3.6549559,9.387331
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP010_WWS.wav,KP010_WWS.wav,-340.38278,196.67061,55.944454,4.3983335,28.802818,32.132133,6.587088,3.5703483,17.429537,11.974022,-1.7350504,1.8481832,8.746222
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/H004.wav,H004.wav,-325.47296,187.85623,58.353367,14.092853,36.592,34.221664,7.0278873,5.61319,18.69632,10.449345,-3.443705,2.086661,9.232751
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-007 TP4_seg-1.wav,WEBSS-007 TP4_seg-1.wav,-446.02975,149.31108,59.77263,17.650412,22.349955,22.7419,10.774821,9.327758,13.8072405,7.1568136,-1.5496503,1.4923754,6.100712
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP003_WWS_2.wav,KP003_WWS_2.wav,-398.76587,145.28737,48.363697,14.158355,28.859245,25.8805,7.2914844,9.642994,20.543608,12.11462,-0.29585132,4.893047,12.156974
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP002_WWS.wav,KP002_WWS.wav,-445.832,136.01424,60.52683,20.576164,19.265333,18.50602,10.345782,10.90857,16.303143,12.183108,4.1630025,3.984625,6.278301
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP003_WWS_1.wav,KP003_WWS_1.wav,-522.64813,82.21406,47.05278,24.072487,17.213066,13.466079,9.642524,10.4172125,12.778574,10.759716,6.8751273,5.961382,5.976988
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/H002.wav,H002.wav,-532.3548,124.948845,59.760002,31.204992,33.798954,27.60511,12.494314,10.589301,15.573034,10.170357,2.1449978,4.4050817,8.194028
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/H003.wav,H003.wav,-394.13544,115.68107,61.40684,33.233406,31.694056,28.426401,19.162601,16.995869,18.859747,14.225832,7.9859595,8.477456,10.168029
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/H001.wav,H001.wav,-329.92432,169.22908,58.104996,7.805606,21.499924,31.257599,17.571468,10.847857,16.53364,14.00051,5.125767,6.8259826,14.027434
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-005 TP1_seg-1.wav,WEBSS-005 TP1_seg-1.wav,-331.96503,192.60645,91.84156,29.500767,17.586,11.788448,-4.6221213,-12.06142,-4.929066,0.78302294,-0.8695007,-2.0044167,-0.36560047
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-007 TP7_seg-1.wav,WEBSS-007 TP7_seg-1.wav,-327.77335,131.81688,57.669758,18.604145,18.672367,19.661243,11.39167,8.950309,10.890042,5.4276395,-2.3939943,-2.3113453,0.6774753
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP006_WWS.wav,KP006_WWS.wav,-498.43198,127.29244,59.05777,21.493647,19.284065,19.076769,11.887564,11.4000635,16.078447,13.753312,7.3914433,6.7234225,8.715533
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-007 TP1_seg-1.wav,WEBSS-007 TP1_seg-1.wav,-308.02792,149.26166,47.237473,13.21793,33.23211,31.685007,5.291087,-1.8315585,8.517565,6.1815114,-4.7104,-4.5693927,0.5901627
