file_path,filename,logmel_0,logmel_1,logmel_2,logmel_3,logmel_4,logmel_5,logmel_6,logmel_7,logmel_8,logmel_9,logmel_10,logmel_11,logmel_12,logmel_13,logmel_14,logmel_15,logmel_16,logmel_17,logmel_18,logmel_19,logmel_20,logmel_21,logmel_22,logmel_23,logmel_24,logmel_25,logmel_26,logmel_27,logmel_28,logmel_29,logmel_30,logmel_31,logmel_32,logmel_33,logmel_34,logmel_35,logmel_36,logmel_37,logmel_38,logmel_39,logmel_40,logmel_41,logmel_42,logmel_43,logmel_44,logmel_45,logmel_46,logmel_47,logmel_48,logmel_49,logmel_50,logmel_51,logmel_52,logmel_53,logmel_54,logmel_55,logmel_56,logmel_57,logmel_58,logmel_59,logmel_60,logmel_61,logmel_62,logmel_63
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP001_WWS.wav,KP001_WWS.wav,-51.88686284420792,-38.936283707486396,-36.34536578780834,-38.957180481538295,-40.976622538749304,-44.831135887310495,-49.516150060347705,-53.52102413142866,-56.9935217173433,-59.20940660440628,-61.36108315404602,-62.87794644538036,-63.892861910239596,-65.1920763196234,-66.62729925731685,-67.97083315986988,-69.72035082414003,-71.08215275301266,-72.24882657138603,-72.92531809255026,-73.63867066459102,-74.07869336293216,-74.3822011185796,-74.45106442184033,-74.64980523192818,-75.15825293883383,-75.5529918424471,-75.74133890296704,-75.98539931858753,-76.14329177663805,-76.55108736242306,-77.05984622528061,-77.49898943316087,-77.9075724108739,-79.2614528051291,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP011_WWS.wav,KP011_WWS.wav,-38.6638384785965,-26.91037646293809,-25.92311628165591,-27.419897531297202,-29.462495094839102,-30.922576524155374,-33.707979547761234,-36.045877488307944,-37.45673381816936,-38.5535319806206,-39.58136510318774,-41.15124883702541,-42.3091019672571,-42.7901959617942,-43.37013072527642,-44.395682052062206,-45.45082203817656,-46.709267708118524,-47.907627484637814,-49.079947377137074,-50.1417186717362,-51.02699635548426,-51.94252789429264,-52.67849192316484,-53.606631914538625,-54.23558380695997,-54.8900307902459,-55.71980748587809,-56.425394523336635,-57.231693632411684,-58.58343179597209,-59.48940284292756,-60.939036145176885,-62.633249405921546,-67.46629853908519,-78.44829027995121,-79.9579764247948,-79.9642776493348,-79.97032181072059,-79.97639947738647,-79.98239241646937,-79.98639598625331,-79.98967727251858,-79.99241570727871,-79.99320043708211,-79.99378581251865,-79.99416495516498,-79.99453631314987,-79.99490224782663,-79.99526081510972,-79.99560567461954,-79.9959459190126,-79.9962723481675,-79.99658546789459,-79.99688723896813,-79.99717195441555,-79.99743974965897,-79.99768876224874,-79.99791606561396,-79.99811820964085,-79.9982948124505,-79.9984384652987,-79.99854895038389,-79.9986181804465
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-005 TP6_seg-1.wav,WEBSS-005 TP6_seg-1.wav,-40.392891701335714,-26.738061122479788,-23.767231888589293,-21.866345610885077,-23.140116507502906,-28.632872596257783,-30.726745098703002,-32.195446925889,-33.570533764641304,-36.17500198035864,-37.66791021302611,-38.05729112986145,-38.605806505832014,-40.921582007603256,-44.01047008870975,-47.12718614650749,-49.29278107903603,-50.745289101269385,-52.41302968783701,-53.799881163775225,-54.983279234717884,-56.036179037948926,-56.536813561192034,-57.411886838194114,-58.02595989811065,-58.622627326030496,-58.877138528823984,-59.82946837199974,-61.55802199800055,-63.79012842783405,-65.75008544230282,-67.46258157016942,-68.70202084220605,-70.1392999933499,-74.36475839129854,-79.85018755242281,-79.90439918078692,-79.9107375384012,-79.91695341914459,-79.92319136435329,-79.92927928021601,-79.93444908886717,-79.93767397216959,-79.94074098237176,-79.94244093339206,-79.94322264372477,-79.9439886393782,-79.94473886959265,-79.94547789474146,-79.94620174247359,-79.9468976941693,-79.94758392569906,-79.9482420374797,-79.94887305624309,-79.9494809191319,-79.95005422956761,-79.95059327824109,-79.95109435583977,-79.95155162232881,-79.95195818700635,-79.95231328917794,-79.95260210800618,-79.9528241955083,-79.95296335271914
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP008_WWS.wav,KP008_WWS.wav,-41.473967381398644,-26.64081285197854,-23.527896581837567,-25.446793818765574,-30.804227821655303,-36.37671280502275,-40.524488324432,-43.81093456750472,-47.19926237312411,-48.824146863081815,-49.84744831367986,-50.663458946214895,-51.42260739434141,-52.59475855249981,-53.7265461291156,-54.31341394558164,-56.13855186199055,-57.691006144087865,-59.12518734084429,-59.948510962070294,-60.3492397709825,-61.18891013098942,-62.26339399551498,-62.50527178534086,-63.21894207614565,-63.62033429686686,-63.882855873234924,-64.35090295188661,-64.56684252272606,-64.364032081816,-64.05564599042084,-64.27534755751373,-64.73541670596981,-64.76250603867817,-69.54244421887248,-79.93066358990359,-79.94789136283558,-79.95434140607681,-79.96090705879469,-79.96616636518327,-79.97007070264121,-79.97246923569713,-79.9732633244119,-79.974048263854,-79.97482734032512,-79.97559800783817,-79.97635422107557,-79.97709575929473,-79.97782704815063,-79.97854400518091,-79.97923380909651,-79.97991455683886,-79.9805677828586,-79.9811944509836,-79.98179844977042,-79.98236834134187,-79.98290437988065,-79.98340282779337,-79.98385782252228,-79.98426245645669,-79.98461595950819,-79.98490350835199,-79.98512466130545,-79.98526323682651
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP009_WWS.wav,KP009_WWS.wav,-42.17658207426613,-30.89765969422301,-28.675540499835403,-31.386504472074034,-34.05148865366328,-36.2827668731565,-37.809474341255786,-39.3535606459244,-40.64029142859867,-41.80793073697971,-42.477423216388424,-43.5994246793068,-44.33327640109075,-45.344742951660876,-46.554450275850336,-46.904115176606574,-46.91335470823647,-48.582081875143764,-49.951245760803126,-51.57845902189992,-52.87423654374583,-54.109959072826456,-55.55469462235505,-56.01333168403787,-56.079309856797465,-56.44351135410907,-57.19944606876865,-57.8598448142133,-58.460195283291945,-58.78195964217907,-59.27397009104224,-60.61453257083256,-61.86596065314734,-62.625347649048216,-68.30554665197423,-79.15375309006575,-79.97746569366028,-79.98254079175776,-79.98759518306225,-79.99274590309449,-79.9957861527405,-79.99831706787157,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP010_WWS.wav,KP010_WWS.wav,-36.35786322074498,-22.496850778095194,-20.703146209071573,-23.51794505310552,-27.151181433754292,-31.151989465034557,-34.4284469259181,-36.12334909583454,-37.642860767984544,-39.023864803187664,-40.08156033472559,-41.13277110329605,-42.2348239427859,-43.12045026681382,-43.99646403051034,-44.89376235838794,-45.38188423392086,-46.714758845937475,-48.1034958325295,-48.94107898071114,-50.02039363086163,-50.829339196433075,-51.65191564728752,-52.26163742610627,-52.94918028228207,-53.81216924152978,-54.596592971119875,-55.45391263123174,-55.86633581664441,-56.41594837472519,-57.24701008360643,-58.31209997385378,-59.734309128149064,-61.01665049692209,-65.47082456299158,-79.55856240002626,-79.92433210889337,-79.93075217304445,-79.93701419689782,-79.9433118499846,-79.94948744126417,-79.95552679085391,-79.96133951999998,-79.96687600107573,-79.97209865905968,-79.9758354712099,-79.97846147154365,-79.98085816959814,-79.98302507801112,-79.98425469346337,-79.98498075229966,-79.98569405103369,-79.98637645813514,-79.98702925927411,-79.98765658952162,-79.98824722323631,-79.98880160281917,-79.98931613539797,-79.9897850726562,-79.9902015910038,-79.99056496171704,-79.99086036319126,-79.99108730377523,-79.99122948557915
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/H004.wav,H004.wav,-26.997472780794514,-16.005839149532335,-15.827872580183683,-18.931642622397515,-22.204001720828195,-24.767546614885116,-27.815748970963195,-31.261206109121247,-34.63592245826773,-37.04154318987657,-38.225628943121194,-39.64650469213663,-41.13715489248333,-42.150709547417875,-42.632839952263154,-43.91701249552462,-44.67414112054989,-45.436890588047234,-45.7715011100626,-46.61276022148484,-48.04724916941931,-49.39011866245522,-50.26954331675081,-50.447330396326755,-51.055667277177896,-50.7204340087618,-51.16960016638711,-52.43169612902298,-52.997668344986366,-53.60914284788004,-53.97811066261399,-54.253857447052674,-54.873530247001135,-55.68056467577684,-59.625565991981986,-77.55357132243888,-79.9258198930357,-79.93262931039082,-79.93895979508525,-79.94520662605274,-79.95129628355971,-79.95726250859902,-79.96304887790019,-79.96863276021769,-79.97196382892835,-79.97493104970842,-79.97774476754984,-79.97872263126078,-79.97948711946736,-79.98023238782312,-79.98094651111202,-79.98164823613821,-79.98231960894906,-79.9829620234995,-79.98357969178002,-79.98416143886205,-79.98470773360751,-79.98521500604691,-79.98567752443554,-79.98608848126227,-79.98644717230775,-79.98673881016354,-79.98696295471389,-79.98710338490535
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-007 TP4_seg-1.wav,WEBSS-007 TP4_seg-1.wav,-52.56873813316998,-39.347462993031805,-35.87333349982596,-39.25113371472537,-43.31177831690186,-47.00744160676279,-51.14843491797379,-53.71287299251514,-54.82652224838208,-55.34855387196105,-56.80231115356171,-58.89265585695477,-59.96497819791185,-60.93531567641542,-61.19190284985043,-61.43292546079218,-61.47921833191037,-61.9245400903166,-62.45536467900812,-64.93074923870026,-65.84838653026789,-66.53347027687646,-67.59702347964367,-69.2076651045978,-70.02625574948408,-70.66806073391848,-71.49863999733289,-72.78372918660276,-73.20965903891108,-72.57224711812384,-72.03402289982685,-73.10280099830764,-73.92474969654516,-74.46784608100238,-76.63252485360958,-79.92854372947836,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP003_WWS_2.wav,KP003_WWS_2.wav,-45.26557199678132,-33.65912953329869,-31.62080533179688,-34.47629668210912,-39.459470803187166,-43.06593539738645,-45.09879073395144,-46.47642673865407,-47.46144180450302,-48.98023935581918,-49.98476906860617,-50.594598151160035,-51.040536390612175,-52.97184007290247,-54.487393577683925,-54.608718409102224,-55.01865025042601,-55.29366199679801,-55.727158360485554,-56.121614692593425,-57.628446179220894,-59.760155249311055,-60.86936904435695,-61.49793444727329,-62.10702114186783,-62.41422290266984,-62.50081859970347,-62.72253401398804,-62.52098416247203,-62.466905109118166,-62.64667814776021,-62.638037972561655,-63.030984724146826,-63.75007858344645,-67.86885930382783,-78.98667604484886,-79.90835217556744,-79.91597618293125,-79.92347961752574,-79.93112492899259,-79.93882092923253,-79.94661941915125,-79.9544936541974,-79.96246697873735,-79.97016881009253,-79.97802888620225,-79.98619109800899,-79.99188757458317,-79.99577294773397,-79.99617730312895,-79.99656278586302,-79.99693909216302,-79.99729751337811,-79.99763901179074,-79.99796590018492,-79.9982727722618,-79.99856002288728,-79.99882599221125,-79.99906791460167,-79.99928246145531,-79.99946932176181,-79.99962111119176,-79.99973757833847,-79.99981052948924
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP002_WWS.wav,KP002_WWS.wav,-46.076131596395804,-33.77532854289056,-33.8942389586404,-36.33907336893984,-38.88863316238825,-42.04177127846442,-44.126228879509085,-46.1474778797025,-45.80948039181419,-47.94626568406387,-50.74777051829916,-52.92263430131307,-52.5114945815502,-53.95767063788251,-46.245697442940696,-46.09042082051709,-56.65191189883289,-57.730420876127276,-57.83427520869968,-58.644986632073845,-59.60325237301967,-61.27664779734842,-62.492342571321714,-63.740160070168315,-64.12212870311284,-64.31802108232125,-65.1278998806017,-65.95028844079735,-66.27443104818994,-66.58445538524668,-66.74611114425859,-67.85107454811134,-67.81548904153912,-67.99469752485639,-72.97313340117836,-79.92069133806737,-79.94800669587013,-79.95341152113556,-79.95890545164647,-79.96457647159777,-79.97027068172702,-79.97595725074989,-79.9815537860265,-79.98701355622516,-79.99229786811838,-79.99521230254508,-79.99777376427225,-79.99997301675405,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
