file_path,filename,logmel_0,logmel_1,logmel_2,logmel_3,logmel_4,logmel_5,logmel_6,logmel_7,logmel_8,logmel_9,logmel_10,logmel_11,logmel_12,logmel_13,logmel_14,logmel_15,logmel_16,logmel_17,logmel_18,logmel_19,logmel_20,logmel_21,logmel_22,logmel_23,logmel_24,logmel_25,logmel_26,logmel_27,logmel_28,logmel_29,logmel_30,logmel_31,logmel_32,logmel_33,logmel_34,logmel_35,logmel_36,logmel_37,logmel_38,logmel_39,logmel_40,logmel_41,logmel_42,logmel_43,logmel_44,logmel_45,logmel_46,logmel_47,logmel_48,logmel_49,logmel_50,logmel_51,logmel_52,logmel_53,logmel_54,logmel_55,logmel_56,logmel_57,logmel_58,logmel_59,logmel_60,logmel_61,logmel_62,logmel_63
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP001_WWS.wav,KP001_WWS.wav,-47.76892472673168,-34.49894517932278,-31.812724466490597,-34.19873231235443,-36.23882454799635,-40.22453239689005,-44.898982542819645,-48.924165100642604,-52.38420505755821,-54.526838273587686,-56.65561155654413,-58.18759475526211,-59.221780710462035,-60.50679129405231,-62.0349725324894,-63.706296532747636,-65.81540276830286,-67.47673469706272,-68.9842515896531,-69.87899759383235,-70.80482597201595,-71.46092149237303,-71.95741453310092,-72.24853378081184,-72.50840572789022,-73.09391655910335,-73.55089998194774,-73.93149985774126,-74.20709479050942,-74.21066679443652,-75.0200247517542,-75.98299053630197,-76.53800195553222,-77.10968841991989,-79.02588107393174,-79.99902525015672,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP011_WWS.wav,KP011_WWS.wav,-35.141093616425934,-22.89078945866711,-21.43224229552162,-22.861978014347493,-24.896220263068123,-26.316321166669322,-29.06706627691086,-31.381021155725506,-32.80861078831158,-33.92899685623843,-35.00622518019894,-36.516486139663115,-37.563840773024765,-38.1350921068566,-38.70165183328521,-39.70963288364622,-40.763683341319364,-41.96335112069326,-43.16580518619417,-44.39252888103311,-45.508899295300054,-46.45026045743752,-47.3437398317489,-48.05987215988392,-48.96859900669725,-49.60495696485556,-50.21046488192695,-50.997978677056956,-51.65897886347036,-52.430856264862,-53.78356664798994,-54.750230183220346,-56.19032138598193,-57.96003017722403,-62.833556963327375,-78.06388974993945,-79.95756246328006,-79.96362105362445,-79.96991431969235,-79.97652244172394,-79.98290486155155,-79.98653254968784,-79.98951907956004,-79.98987611814172,-79.99023810379259,-79.99060165987423,-79.99096231471206,-79.99131892822517,-79.9916729806501,-79.99202189107032,-79.99235883425679,-79.99269254757141,-79.99301356272328,-79.99332217050453,-79.99362017117556,-79.99390173067157,-79.99416688399005,-79.99441369093346,-79.99463916427253,-79.99483980700666,-79.99501520341686,-79.99515792178664,-79.99526773242893,-79.99533654829743
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-005 TP6_seg-1.wav,WEBSS-005 TP6_seg-1.wav,-39.19802829389612,-24.88785359093455,-21.41490106489559,-19.00723845133286,-19.738086650126824,-25.390600832611703,-27.41126905628538,-28.921993312384558,-30.141305921127486,-32.93979459253348,-35.082134580692596,-35.837956886163774,-36.2458304063894,-38.70905096064177,-42.242716695129,-45.80523393913779,-47.979116022124366,-49.38866615073709,-51.083144823852855,-52.50336515634581,-53.703111504502935,-54.65048225323388,-55.15025624493568,-56.0477414013029,-56.76478934779996,-57.35523127362125,-57.63914788094654,-58.59164370025292,-60.260368782356956,-62.36498989019892,-64.17795503677793,-65.78479762523845,-67.00044561760113,-68.37568045004303,-72.66426976908464,-79.86664885683606,-79.92219941245764,-79.92983870352649,-79.93729964657884,-79.94488199303673,-79.95234126451885,-79.95670325078873,-79.96056812975559,-79.96153064888611,-79.96246116798133,-79.96336210047234,-79.9642311678809,-79.96507107382861,-79.96588845000456,-79.96668095517337,-79.96743727529433,-79.96817667055403,-79.96888161258677,-79.9695539129727,-79.97019810980623,-79.97080331360061,-79.97137024609303,-79.9718955339807,-79.972373604143,-79.97279776890439,-79.97316739232201,-79.97346770765917,-79.9736982350127,-79.9738426367968
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP008_WWS.wav,KP008_WWS.wav,-39.21843594595363,-23.79295983452947,-19.893667230719185,-21.276824635345168,-26.498308210959795,-32.207803496824496,-36.31483099853696,-39.559451380382654,-42.969306142794885,-44.64476601028953,-45.68281327971434,-46.49917239625254,-47.3431474115314,-48.57927051556466,-49.90942594978289,-50.707442751111046,-52.48724946064045,-54.1262445783206,-55.71409950130539,-56.76789965585586,-57.29944290933771,-58.13168187589178,-59.12517786288136,-59.524236280348106,-60.16000965760249,-60.60022400885892,-60.94590307569045,-61.54223708187577,-61.83848058293097,-61.928264672989904,-61.83886090358702,-62.14104680425285,-62.88302052131737,-63.14536918598293,-67.82000846304587,-79.93668856471493,-79.96403213637377,-79.97155093571085,-79.97882586340276,-79.98411330211125,-79.98822847058486,-79.9900686411185,-79.9908157180594,-79.99150908294635,-79.99215980843388,-79.99277345826438,-79.99335230163106,-79.99390039864863,-79.99442314150637,-79.99492102510584,-79.9953899060629,-79.99584059559929,-79.99626529274268,-79.99666581808698,-79.99704514134318,-79.99739842074543,-79.99772654313783,-79.99802823000702,-79.99830101825245,-79.99854180536305,-79.99875040480603,-79.99891946303897,-79.99904864038709,-79.99912950392539
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP009_WWS.wav,KP009_WWS.wav,-37.86661411062805,-26.17419918349055,-23.59137341130843,-26.234031567158418,-28.94268055896738,-31.157125912360527,-32.66526200844949,-34.255879183053985,-35.53310861929899,-36.67467638137131,-37.376673399770986,-38.57795691388325,-39.31111016696453,-40.312379185648695,-41.462129037406065,-41.87961480525584,-41.95000717406804,-43.59259089315951,-44.9833858669538,-46.55664499883728,-47.827230935886504,-49.05454342028322,-50.48306176943119,-50.982838387478196,-51.15947197478427,-51.53477109605962,-52.22431386230645,-52.84480062298445,-53.483636107398084,-53.82623511403153,-54.351966817594594,-55.6708306106006,-56.78944756414118,-57.46236933823026,-63.051257368122,-78.61396702467233,-79.9336250517091,-79.94358970054155,-79.95279627487491,-79.96182941853864,-79.96766551354565,-79.97320141525067,-79.97532514118753,-79.977299966306,-79.97916682559956,-79.98093812556216,-79.98261920022321,-79.9839586131635,-79.98472187204896,-79.9854499059631,-79.98613845458878,-79.98679795970492,-79.98742012591845,-79.98800654502122,-79.98855970759882,-79.98907430438918,-79.98955079231355,-79.98998732935316,-79.9903808225812,-79.99072745414698,-79.99102610909611,-79.99126830166067,-79.99145224367943,-79.99156761113598
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP010_WWS.wav,KP010_WWS.wav,-32.69805084874171,-18.549708777711302,-16.755076974129313,-19.618540280935044,-23.249219158268808,-27.245843916230392,-30.776511393877804,-32.93576792781353,-34.59885739986726,-36.120830619620996,-37.44482290380608,-38.61240050943183,-39.73649473349164,-40.61993067275021,-41.40698978188684,-42.141948074934724,-42.770857834696685,-44.07845658882526,-45.46593783061623,-46.290723188015775,-47.424803795962774,-48.19715475775937,-48.97452018684928,-49.45047464882492,-50.2524372243116,-51.200233062929804,-51.85490798844156,-52.69217920161738,-53.31586887391857,-53.83990116663288,-54.722591635159525,-55.90219117317308,-57.34776629933826,-58.65937910908389,-63.085654848635194,-79.29911285781347,-79.92064094617464,-79.92701231652883,-79.93363449073168,-79.94059693407573,-79.94772501643108,-79.95501786225643,-79.96240955234475,-79.96853821502732,-79.97269646976964,-79.97505476263677,-79.97579474273522,-79.97652268499652,-79.97724250232078,-79.97794972692698,-79.97863122209239,-79.97930484908453,-79.97995195575389,-79.98057335061948,-79.98117280276125,-79.98173877704242,-79.98227144762804,-79.98276701471835,-79.98321956633211,-79.9836221569326,-79.98384046375948,-79.98398355877151,-79.98409363928755,-79.9841626200494
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/H004.wav,H004.wav,-24.421573651138868,-13.435778100576204,-13.295196395070764,-16.41989473088405,-19.701815968450568,-22.283387133407132,-25.359012405957248,-28.858042492689354,-32.237846441495016,-34.63720521833037,-35.794333153417746,-37.19553827042424,-38.65819173094076,-39.714569312070815,-40.18453866136458,-41.424660648491276,-42.17864796867065,-42.935697421825374,-43.28084970431332,-44.12613187386563,-45.541522503578236,-46.85496186343202,-47.719364113840506,-47.92091832976241,-48.5592119443884,-48.35554322299181,-48.79041244247411,-49.98107466501447,-50.49570490453218,-51.076643775109666,-51.406934041033,-51.66784256802294,-52.274174059772115,-53.045101358311534,-56.9919100981229,-75.23756152162944,-79.91783156521164,-79.9274641413469,-79.93635059283173,-79.94507259606407,-79.95364242882562,-79.96206605517074,-79.96716756896747,-79.97172408278432,-79.97326903983462,-79.97472529457742,-79.97609795936648,-79.977395715419,-79.97862967409046,-79.97980108054206,-79.98090213419255,-79.98195478380619,-79.98294366782548,-79.9837848077719,-79.98422271561437,-79.98462918766133,-79.98500523812312,-79.98534966390447,-79.9856600458129,-79.98593328575727,-79.98616912159399,-79.98636004563036,-79.98650544864938,-79.9865964701146
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-007 TP4_seg-1.wav,WEBSS-007 TP4_seg-1.wav,-47.36535848283637,-33.86451088898808,-30.64896844265394,-33.99831927075025,-37.69975760331348,-41.20680777329166,-45.36578834615664,-47.973979329403384,-49.268262904484786,-49.995234544725335,-51.43069762999201,-53.38857628570396,-54.6231420078718,-55.66169003187253,-55.99402104373945,-56.46948302000132,-56.63546329147762,-57.19009435175036,-57.816088443165974,-60.13933981540753,-61.207330221348876,-61.94254860437003,-62.81047003076122,-64.36553480942123,-65.32247423352746,-66.2332030764291,-67.10817897207349,-68.25923668638546,-68.88354687722767,-68.58404593810981,-68.11552868728332,-69.15557816211218,-70.02362215749474,-70.82857169300834,-74.39542334059391,-79.91693421732641,-79.99918590716352,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP003_WWS_2.wav,KP003_WWS_2.wav,-39.67822859182239,-28.095376236713726,-26.207131870010283,-29.127871610441105,-34.2730757505984,-38.230222364231686,-40.338856589839025,-41.83473117450199,-42.826977302699895,-44.37156124935638,-45.2675021940266,-45.78113869669595,-46.30265628298099,-48.2331797605144,-49.66262474743783,-49.785720396300135,-50.110065439150425,-50.43054648247898,-50.92615314710259,-51.27757278369076,-52.77956650880683,-54.82078201448551,-55.918834453025156,-56.51832687031102,-57.1453385381139,-57.47876491014004,-57.558777660929266,-57.790178340628636,-57.60235635745875,-57.560957899610884,-57.74406629963237,-57.7148792572875,-58.115807942827715,-58.767736288920325,-62.836896499336376,-78.2233146318316,-79.91870336123637,-79.92480672846358,-79.9311927991638,-79.93789899910398,-79.94476861596482,-79.95178731824137,-79.9588961026579,-79.96608331321158,-79.97335560934378,-79.98071991281529,-79.98818861376358,-79.9941022982647,-79.99818004584543,-79.99956051061044,-79.9999228457173,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP002_WWS.wav,KP002_WWS.wav,-40.715905881869354,-28.321568510476077,-28.375469889915944,-30.60532516310397,-33.07271861155432,-36.223820957371814,-38.30607305833417,-40.330088017221165,-40.01144764604484,-42.17575957053293,-44.96680541344794,-47.131552520072546,-46.786770311076694,-48.250148316319645,-40.47204661497991,-40.32368071025962,-51.01104425760796,-52.07809923658069,-52.0786088682205,-52.84927849085057,-53.812416259362635,-55.47481188454726,-56.68226952197211,-57.93765833648972,-58.326738417242574,-58.533890659735604,-59.35707698702006,-60.16070989486707,-60.48577980980148,-60.85449746076613,-61.01322308092381,-62.06394429092115,-62.0312883857979,-62.282315873550516,-67.40792856137436,-79.90626729124587,-79.95032457068496,-79.95684714974584,-79.96291002598599,-79.96921460256718,-79.97566434822818,-79.98224746501273,-79.9889188021207,-79.99465660973672,-79.99807256107553,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP003_WWS_1.wav,KP003_WWS_1.wav,-63.49602421962881,-51.61313663119637,-50.17644689398774,-53.370407830782625,-55.987440448470565,-59.34179842064553,-62.4823761871163,-63.114800027043366,-63.81292479347462,-64.20681886422138,-64.12328317572981,-64.6399986533847,-65.89704910051626,-66.28291329735137,-67.25314172172747,-67.62054834006136,-68.74734216542137,-70.47483255085778,-71.56085811465816,-72.20807944473454,-73.31512751962457,-74.00848989527583,-74.76500254175254,-75.30775857114813,-75.63163306702627,-75.99922472707685,-76.23893874222287,-76.41586797004479,-76.59550929325708,-76.69457353484805,-76.93861968826654,-77.0614012205621,-77.26891827233909,-77.64268392763351,-79.03849623167706,-79.9601443715941,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/H002.wav,H002.wav,-45.148789138131576,-32.43738109019733,-31.060914960342654,-34.24684677143209,-38.06324321911522,-42.10816394434227,-45.68295151097401,-48.46262357995131,-50.626537977218014,-52.425185655629164,-54.32615715899406,-55.77034534157146,-56.92458928602673,-57.639708270348855,-58.69800841971935,-59.61117464079876,-60.55889096289757,-61.49663815382039,-61.999401201763774,-62.42759004804949,-63.00337114426608,-63.53315434383832,-64.28924846649421,-65.03011193116444,-65.57952226590723,-65.89454566682932,-66.18596271236976,-66.34172417294627,-66.29945028245864,-66.19665238496073,-66.34226469747692,-66.55890939052311,-66.98957353138985,-67.50848229035738,-71.32192086825147,-79.90488541954161,-79.9757685362279,-79.9842326394852,-79.9923138822879,-79.99674801660662,-79.99996992958327,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
