file_path,filename,logmel_0,logmel_1,logmel_2,logmel_3,logmel_4,logmel_5,logmel_6,logmel_7,logmel_8,logmel_9,logmel_10,logmel_11,logmel_12,logmel_13,logmel_14,logmel_15,logmel_16,logmel_17,logmel_18,logmel_19,logmel_20,logmel_21,logmel_22,logmel_23,logmel_24,logmel_25,logmel_26,logmel_27,logmel_28,logmel_29,logmel_30,logmel_31,logmel_32,logmel_33,logmel_34,logmel_35,logmel_36,logmel_37,logmel_38,logmel_39,logmel_40,logmel_41,logmel_42,logmel_43,logmel_44,logmel_45,logmel_46,logmel_47,logmel_48,logmel_49,logmel_50,logmel_51,logmel_52,logmel_53,logmel_54,logmel_55,logmel_56,logmel_57,logmel_58,logmel_59,logmel_60,logmel_61,logmel_62,logmel_63
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP001_WWS.wav,KP001_WWS.wav,-51.91162265281236,-38.965064854630185,-36.374710102631234,-38.988915645956496,-41.00827393636766,-44.862792186857305,-49.54783657475166,-53.552820191740224,-57.025371326194275,-59.241228711831305,-61.3926220986579,-62.90870993427656,-63.92327603314707,-65.2217743866755,-66.65573052375802,-67.9979066670755,-69.74526584188479,-71.10520768653457,-72.26997884854158,-72.94573577829766,-73.65798795071977,-74.09763179767806,-74.40034979316985,-74.4695077203782,-74.66756988690997,-75.17464543028096,-75.56845558139219,-75.75657059586996,-75.99999331337146,-76.15848231538797,-76.56515568523048,-77.0721571032852,-77.51074618595212,-77.91949699563976,-79.26820722489022,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP011_WWS.wav,KP011_WWS.wav,-38.69626418439188,-26.93951580347034,-25.93734505594076,-27.430632663237017,-29.472431822722783,-30.93203626075168,-33.71654857967557,-36.05501694042122,-37.46796152740219,-38.56682161489857,-39.59521849705035,-41.1640117794497,-42.318764807741445,-42.80039241604266,-43.378594198052625,-44.403419949160664,-45.45903544561659,-46.71706875640744,-47.91630504103015,-49.08968524782143,-50.152193938449685,-51.03887105505172,-51.95492766874594,-52.6901565965514,-53.6170490873005,-54.24654555052009,-54.89999437132767,-55.72844291527546,-56.4328968133078,-57.23829001317812,-58.58940456773719,-59.49665535708094,-60.94698847031089,-62.64329447651464,-67.47849105696218,-78.45290487321112,-79.96041868656489,-79.96675927812902,-79.9728169224236,-79.97889874233637,-79.9848913542642,-79.98890162280286,-79.99191094309072,-79.99426481156715,-79.99465738796793,-79.99504463170078,-79.9954239154037,-79.99579536851846,-79.99616136744737,-79.9965199779088,-79.9968648664293,-79.99720512990618,-79.99753157126166,-79.99784469848986,-79.99814647389088,-79.99843119145486,-79.99869898736384,-79.99894799969061,-79.99917530222785,-79.99937744515235,-79.9995540467838,-79.99969769853358,-79.99980818272223,-79.99987741219026
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-005 TP6_seg-1.wav,WEBSS-005 TP6_seg-1.wav,-40.405753983840555,-26.74681725185902,-23.77264044593628,-21.87291647030225,-23.145315039144116,-28.63807210232931,-30.731770534095183,-32.200177105532816,-33.57562014788066,-36.18099034503687,-37.67386508175947,-38.0623070609395,-38.61029849000462,-40.92578270691549,-44.01405344823447,-47.13019173947549,-49.29445691977634,-50.74344063141322,-52.41356373952365,-53.801381784247695,-54.98477819083714,-56.03722866766763,-56.53747739665037,-57.41061543336344,-58.02458626055302,-58.622499524557774,-58.87732066677744,-59.8304190208563,-61.559368246124706,-63.79152319920915,-65.75069905338259,-67.46179421176444,-68.70139739206984,-70.13995692308676,-74.36429709829136,-79.84472192164544,-79.89896390498411,-79.90530537129804,-79.91151959513894,-79.91775456999976,-79.92383912991502,-79.92900020453236,-79.93222169932992,-79.93528549265456,-79.93697631731428,-79.93775520772314,-79.93851859771524,-79.93926643010052,-79.94000325680592,-79.94072509667559,-79.94141921825857,-79.94210378695816,-79.94276039329287,-79.9433900528554,-79.94399669406523,-79.94456891228769,-79.94510699063648,-79.94560721394896,-79.94606373750783,-79.94646966722061,-79.9468242410279,-79.94711263865985,-79.9473344153272,-79.94747337868698
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP008_WWS.wav,KP008_WWS.wav,-41.450240606421836,-26.616795916052954,-23.503759764206333,-25.42177570599674,-30.77860027821537,-36.350872423549845,-40.498190481518634,-43.78485455721418,-47.173299862886765,-48.79817407153609,-49.82209206973033,-50.637810201945015,-51.3970364419047,-52.5691945520122,-53.7010628345568,-54.28818661965419,-56.113331613302734,-57.66579828289004,-59.1001137112539,-59.92351989226627,-60.32447937580093,-61.1641549332433,-62.2382329757941,-62.48051562244174,-63.19406877642441,-63.59538670068534,-63.85795995179264,-64.32620431505397,-64.54211391847944,-64.33924416547035,-64.03091465770208,-64.25049333089584,-64.71043989876813,-64.73742656552126,-69.51726177905881,-79.92871458679065,-79.94625120999255,-79.95270440030684,-79.95927114903338,-79.96456028769343,-79.96846449694786,-79.97089353650274,-79.97168799538713,-79.97247318288423,-79.97325242347372,-79.9740231953438,-79.97477947010596,-79.97552103998393,-79.97625233861706,-79.97696929030937,-79.97765907870799,-79.97833980401634,-79.97899300348743,-79.97961964269143,-79.98022361171068,-79.98079347385102,-79.98132948404435,-79.9818279053624,-79.98228287575155,-79.98268748801353,-79.98304097243314,-79.98332850604118,-79.98354964753814,-79.98368821582338
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP009_WWS.wav,KP009_WWS.wav,-42.1247634327061,-30.846227914060037,-28.62683227545887,-31.339203863764308,-34.004350873271,-36.23591911303023,-37.76266881547423,-39.30650898732709,-40.59336044556009,-41.76082108458162,-42.4300291830753,-43.55221982965171,-44.28603087748112,-45.297669702482864,-46.507609547613235,-46.85705180222532,-46.866107808278485,-48.535070316845875,-49.90426201429815,-51.531223875283324,-52.82698253761858,-54.06257626595067,-55.50719458452288,-55.96567517438211,-56.031549023981505,-56.39566979620653,-57.15182957214337,-57.81260414091852,-58.41256405639236,-58.73448642358986,-59.226305697942784,-60.56705493209351,-61.818863037210534,-62.57814412730711,-68.25846505167455,-79.14730874004118,-79.97671708897435,-79.98208625507337,-79.98749785775316,-79.99264922278056,-79.99573860846178,-79.9982699629649,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP010_WWS.wav,KP010_WWS.wav,-36.339837921473965,-22.483668421413633,-20.68999986485696,-23.505110015482526,-27.13785526032842,-31.138237078820378,-34.414075983697316,-36.10836680865754,-37.627075670924306,-39.010508972819196,-40.0688044929104,-41.1179560278583,-42.218500368247625,-43.10498419985342,-43.9810313563078,-44.877222612551805,-45.364790534010176,-46.699381621705335,-48.08782073564678,-48.92497586764391,-50.0029499257392,-50.810464508483946,-51.633072099755886,-52.24154388443918,-52.92836541602781,-53.790140092827436,-54.576925711805124,-55.43567263269033,-55.85093295307083,-56.39969959011101,-57.226360927619595,-58.29754817054824,-59.71687956297356,-60.9945780797314,-65.44542291675636,-79.5425666868606,-79.90983270155954,-79.91605536089435,-79.92218820784018,-79.9283872433279,-79.93448225696868,-79.94045305163391,-79.9462061138131,-79.95168984650074,-79.95686543336878,-79.9605785849115,-79.9631669047571,-79.96552960886433,-79.96766583490553,-79.96888741005509,-79.96958879438144,-79.97027984304583,-79.97094222847467,-79.97157704091147,-79.97218826583325,-79.97276454654586,-79.97330620783103,-79.97380956644182,-79.97426880276215,-79.97467704126561,-79.9750335296689,-79.97532344940849,-79.97554634707022,-79.97568600856597
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/H004.wav,H004.wav,-27.06723813278894,-16.242634858876478,-16.546346221633726,-19.93350426122221,-23.220166276991687,-25.889241838342905,-29.03691104101681,-32.724175910632866,-36.130768123827536,-38.402676089712465,-39.47209376392132,-40.8151025556413,-42.273819365831436,-43.3070817827188,-43.80638062383942,-45.02147168434217,-45.770714140043815,-46.517388133828,-46.84179615237431,-47.60022517040057,-48.96138616027744,-50.052361980478246,-50.75303949539309,-51.20481376235093,-51.900596628028595,-51.77095955484178,-52.19065813965864,-52.973155660367034,-53.16909670677483,-53.470106098612405,-53.60781766635365,-53.79556233260229,-54.22583249137483,-54.87298530052213,-58.82953750738964,-76.90483866608324,-79.95512274750199,-79.96353784784132,-79.97094522743463,-79.97814264342433,-79.98410304061021,-79.98968807072812,-79.99442767115876,-79.99713510485145,-79.9997786160145,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-007 TP4_seg-1.wav,WEBSS-007 TP4_seg-1.wav,-52.56482473750333,-39.347218928379746,-35.8717263631113,-39.248491179123185,-43.3071554518701,-46.99989547216937,-51.14046253166843,-53.70563583932908,-54.81935190696129,-55.342847945386445,-56.796321329833134,-58.88681519998479,-59.95848124079728,-60.930078390686624,-61.18874254190694,-61.42949454992965,-61.47594088190189,-61.92155519645614,-62.45239396191754,-64.92665826635668,-65.84364096388562,-66.53047460617172,-67.59580292612308,-69.20373423010619,-70.02297403744912,-70.66600553110734,-71.49816383995483,-72.78232867427958,-73.2092559000968,-72.57384795434157,-72.03542202019128,-73.10404701929265,-73.92617614913856,-74.47033018242827,-76.63574160348472,-79.92850094331679,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP003_WWS_2.wav,KP003_WWS_2.wav,-45.22102739730234,-33.61485518590365,-31.57717840282807,-34.43314935066975,-39.41636970083687,-43.02305322749473,-45.05605399742485,-46.43371801829805,-47.41869085892347,-48.937518813795194,-49.94200206675171,-50.55182143754056,-50.99777812572434,-52.92909131347813,-54.44460580732393,-54.565924177903035,-54.97583574969713,-55.25083278810388,-55.6843714512981,-56.07884277812184,-57.58566181959629,-59.717346886283785,-60.82653976413625,-61.455098007533124,-62.06418582474112,-62.37140111127034,-62.457987965757084,-62.67971712552791,-62.47818096406723,-62.42411638332417,-62.60387496796321,-62.59523033342994,-62.98819208107052,-63.70728047793534,-67.82604619248595,-78.98015227772396,-79.90808843179879,-79.91570878849339,-79.92320948088964,-79.9308526375752,-79.93854687362335,-79.94634388324145,-79.95421686371323,-79.96218910613344,-79.96998299461389,-79.97784273539227,-79.98600468143836,-79.99174717028814,-79.99567799925914,-79.99608209801366,-79.99646735164491,-79.99684345391705,-79.99720169346269,-79.99754303016091,-79.99786977499753,-79.99817652007275,-79.99846365893272,-79.99872953061652,-79.99897136867119,-79.99918584385397,-79.99937264480387,-79.99952438709612,-79.99964081955613,-79.99971374911712
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP002_WWS.wav,KP002_WWS.wav,-46.09624808680541,-33.79361693158066,-33.91176162274518,-36.35786385393412,-38.90786256410573,-42.06069680260387,-44.14509357351942,-46.166512661573165,-45.828830059367014,-47.96530270219589,-50.7664725509648,-52.941295881089594,-52.53041029556978,-53.97633245922181,-46.26486885743819,-46.10960985260698,-56.67021844394042,-57.74880179778238,-57.85296065777355,-58.664020196272524,-59.621857690029884,-61.29557869476202,-62.510186788666,-63.75851855487727,-64.1406863094438,-64.33657139602408,-65.14623317485467,-65.96863214134174,-66.29270847316312,-66.60266586039175,-66.76407124539428,-67.86917810303444,-67.83373399840517,-68.01293610228248,-72.98934646952443,-79.91866687484736,-79.94603175124476,-79.95148764696894,-79.95701133341831,-79.96270210966206,-79.96841049097516,-79.97410781041353,-79.97971285944296,-79.98517961057783,-79.9904698131781,-79.9933666630974,-79.99593192841394,-79.99832542893479,-79.99868395390908,-79.9990342298409,-79.99937209294788,-79.99970639802784,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP003_WWS_1.wav,KP003_WWS_1.wav,-68.56771761438978,-57.25994370688388,-55.97787123070448,-59.26364073924578,-61.89794420251588,-65.26315488253802,-68.40281413080073,-69.02791281390957,-69.66657368505656,-69.67286645771061,-69.60780847233403,-70.40615176139409,-71.46741689908966,-71.3876061102121,-71.89076228713559,-72.36532459705145,-73.78702890714071,-75.50415469003397,-76.33275155706781,-76.75049100578642,-77.367920513568,-77.52447211020808,-77.61565032111407,-78.019758068008,-78.20667927728466,-78.46946432917755,-78.587641637333,-78.58407941336019,-78.6707372266473,-78.57178402962984,-78.53581638942126,-78.70825049104639,-78.6705348500253,-78.91763800392906,-79.42035171688549,-79.96324791666605,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/H002.wav,H002.wav,-50.71685888897055,-38.0960971156532,-36.74768211167755,-39.94905641680422,-43.76389743041347,-47.80969689452376,-51.383390568194116,-54.16271434708931,-56.32194560546209,-58.12256614142676,-60.02469886960591,-61.47292687187644,-62.6342098697056,-63.35128772747138,-64.41217719349393,-65.32922685666446,-66.28057519492728,-67.21996214370608,-67.72062927939452,-68.14794758631025,-68.72227818573914,-69.2514995585979,-70.00687938816701,-70.7515745595381,-71.28888213446947,-71.59603682778986,-71.8814161891239,-72.03359511954625,-71.98140525756709,-71.8734789629035,-72.01171895346202,-72.2138632566121,-72.61023947949656,-73.02130686434305,-76.48471921211231,-79.9241730737277,-79.98319762700663,-79.98833875603849,-79.99340543706013,-79.99612286661728,-79.99865088327017,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/H003.wav,H003.wav,-32.355516695065226,-22.804455740690898,-25.024865697855276,-30.31242810469006,-34.46611957069105,-38.57619035944064,-41.67236608446268,-44.10449796647283,-45.60527712080614,-47.004261333955,-48.23217334748817,-49.430752702385355,-50.19977581621193,-50.76174269736821,-51.419138821435865,-52.25763182250602,-53.073949485946784,-54.17176835960018,-54.59632236186599,-54.764907917668026,-55.534748785913365,-56.7866734865042,-57.48823867347922,-58.26189974862269,-58.678658419450834,-58.91590118531676,-59.28619221351612,-59.76567655107517,-60.1400660952542,-60.103227617922606,-60.22526927109684,-60.40779978554525,-60.617475290935346,-61.06052098532249,-65.09551437223804,-79.61728778499156,-79.9066278094383,-79.91369206783322,-79.92112452477365,-79.92916931020778,-79.93784173824713,-79.94744396784624,-79.95843568248378,-79.96844253303259,-79.9726116348084,-79.97340526102239,-79.97338152825746,-79.97233415602992,-79.97207424292259,-79.97227637987854,-79.97273869207767,-79.9733823538246,-79.97411415311149,-79.9748926647665,-79.9756952248365,-79.9764851535334,-79.9772493917188,-79.97797322807892,-79.97864197170486,-79.9792415839865,-79.97976761015535,-79.98019591139224,-79.98052559233761,-79.98073224689351
