file_path,filename,original_filename,segment_index,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP001_WWS.wav,KP001_WWS_seg1,KP001_WWS.wav,0,-428.7862,158.26723,85.25956,42.050407,33.40991,25.684015,11.209256,6.130837,9.549036,7.315592,0.4013922,-1.3826861,-0.07494596
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP001_WWS.wav,KP001_WWS_seg2,KP001_WWS.wav,1,-417.46146,138.82533,83.52167,45.39958,31.78022,22.877548,11.850637,7.126818,8.4703865,6.946634,1.823001,-0.89485943,-1.0650405
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP001_WWS.wav,KP001_WWS_seg3,KP001_WWS.wav,2,-532.06494,150.94484,61.650696,24.961449,31.70345,24.791834,4.2852707,3.3934634,14.630947,11.653519,1.9279672,3.554417,7.5769506
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP011_WWS.wav,KP011_WWS_seg1,KP011_WWS.wav,0,-348.30484,217.95317,47.725677,-9.802791,24.573875,29.932209,-0.3066147,-1.2999651,17.7267,11.433594,-4.613222,1.2835703,10.401127
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP011_WWS.wav,KP011_WWS_seg2,KP011_WWS.wav,1,-347.80237,224.60468,47.028843,-11.20502,26.162636,31.122698,-1.4400386,-2.0954773,18.35357,11.408832,-5.715153,0.75171846,10.447927
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP011_WWS.wav,KP011_WWS_seg3,KP011_WWS.wav,2,-342.3702,210.3586,47.88356,-8.138385,24.073492,29.41554,0.31526628,-1.2917087,17.156754,11.882724,-3.8519883,0.86465347,9.827596
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-005 TP6_seg-1.wav,WEBSS-005 TP6_seg-1_seg1,WEBSS-005 TP6_seg-1.wav,0,-339.67798,209.68153,81.22579,15.910122,18.103363,17.910368,-2.1296947,-8.392244,2.9808228,6.8589272,1.1541425,0.63775057,2.9163573
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-005 TP6_seg-1.wav,WEBSS-005 TP6_seg-1_seg2,WEBSS-005 TP6_seg-1.wav,1,-353.3892,203.6925,76.5555,13.251415,17.461061,18.840601,-0.18409283,-5.6905446,6.180226,9.866236,3.1735823,1.5150533,3.2405744
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-005 TP6_seg-1.wav,WEBSS-005 TP6_seg-1_seg3,WEBSS-005 TP6_seg-1.wav,2,-344.87808,221.23233,73.89736,6.650276,18.168581,20.600815,-2.8341277,-8.459043,5.614972,7.7552495,-0.52965784,0.5396493,4.7293363
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP008_WWS.wav,KP008_WWS_seg1,KP008_WWS.wav,0,-360.6421,198.10443,63.452377,16.557964,37.272408,32.366905,4.261834,5.2439904,20.669699,11.846502,-3.5588691,1.6063449,7.8668036
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP008_WWS.wav,KP008_WWS_seg2,KP008_WWS.wav,1,-359.62274,184.48366,63.6833,20.32945,36.938206,31.134697,5.430279,6.3100195,20.22396,12.183823,-2.0190163,2.2316504,7.6746626
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP008_WWS.wav,KP008_WWS_seg3,KP008_WWS.wav,2,-360.51773,186.79028,63.74251,20.20968,37.96963,32.106155,5.5818753,6.275099,20.27643,11.744706,-2.9096074,1.7818226,7.97194
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP009_WWS.wav,KP009_WWS_seg1,KP009_WWS.wav,0,-368.36832,176.36034,49.739887,2.442242,23.357765,26.585997,4.767693,3.4001942,17.350767,13.447778,0.82269007,3.3200316,10.006886
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP009_WWS.wav,KP009_WWS_seg2,KP009_WWS.wav,1,-369.754,156.38298,54.4694,10.937644,21.023315,21.8945,6.051634,5.683235,16.435877,13.031272,2.34733,3.720964,9.527024
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP009_WWS.wav,KP009_WWS_seg3,KP009_WWS.wav,2,-377.6545,168.6245,52.719986,5.418593,19.80275,22.76989,6.1306815,6.6513124,18.694052,14.07189,1.9488194,3.8729284,10.164858
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP010_WWS.wav,KP010_WWS_seg1,KP010_WWS.wav,0,-331.43695,202.12866,53.458447,1.1050012,28.576653,32.286434,5.1868286,2.989059,18.794582,12.930966,-2.45763,0.94287264,8.451261
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP010_WWS.wav,KP010_WWS_seg2,KP010_WWS.wav,1,-356.07202,206.29805,55.0886,2.4771063,30.926453,34.23133,5.9809203,3.0589705,18.041824,11.631357,-2.667043,2.361724,9.709106
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP010_WWS.wav,KP010_WWS_seg3,KP010_WWS.wav,2,-366.39926,214.44916,53.8364,-0.34138384,31.515488,34.727524,4.280547,2.2421196,19.257656,12.220247,-3.3609467,2.437525,10.79926
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/H004.wav,H004_seg1,H004.wav,0,-599.8157,203.53362,52.682507,8.3315115,40.735985,37.07952,3.0542202,3.3007598,20.62229,9.90535,-6.612886,2.1945746,11.439041
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/H004.wav,H004_seg2,H004.wav,1,-557.2875,190.4632,57.67747,12.695286,36.488613,34.90521,7.0012197,5.073553,18.835924,11.333941,-2.9350672,1.6687316,8.52965
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/H004.wav,H004_seg3,H004.wav,2,-563.0928,198.92058,59.850227,12.366122,36.528767,34.94245,7.21358,6.317185,19.978416,10.858516,-3.687995,2.5624866,10.125701
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-007 TP4_seg-1.wav,WEBSS-007 TP4_seg-1_seg1,WEBSS-007 TP4_seg-1.wav,0,-448.60284,165.11081,57.926125,14.512452,26.430542,25.6875,8.246948,7.703303,15.088533,6.2367377,-4.607119,1.0269668,7.09181
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-007 TP4_seg-1.wav,WEBSS-007 TP4_seg-1_seg2,WEBSS-007 TP4_seg-1.wav,1,-483.74268,173.89642,58.58251,11.6711,25.432663,26.913956,9.236655,8.377708,17.187607,9.374103,-2.7803555,1.0288457,7.2582183
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-007 TP4_seg-1.wav,WEBSS-007 TP4_seg-1_seg3,WEBSS-007 TP4_seg-1.wav,2,-443.8724,149.12343,57.05928,14.415652,20.322449,21.919579,10.099155,8.503068,13.409426,7.395751,-1.0686818,2.0990171,7.1985884
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP003_WWS_2.wav,KP003_WWS_2_seg1,KP003_WWS_2.wav,0,-407.20322,155.06512,44.300617,9.398405,30.659037,28.26384,5.9023523,8.405404,21.638111,12.62066,-1.0303737,5.178675,12.846049
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP003_WWS_2.wav,KP003_WWS_2_seg2,KP003_WWS_2.wav,1,-462.02325,185.45009,43.716293,3.3840497,34.922447,31.915909,2.5521824,7.4312196,25.681498,13.325389,-4.272304,5.1766906,15.677366
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP003_WWS_2.wav,KP003_WWS_2_seg3,KP003_WWS_2.wav,2,-387.80157,155.20912,48.099476,11.558725,29.328798,26.351376,5.620365,8.616054,21.221804,12.021397,-1.5858924,4.5565076,12.849857
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP002_WWS.wav,KP002_WWS_seg1,KP002_WWS.wav,0,-437.5227,143.92368,62.473293,20.867046,21.17583,20.889284,11.280249,10.858735,16.244707,11.959797,3.836691,4.392589,7.464049
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP002_WWS.wav,KP002_WWS_seg2,KP002_WWS.wav,1,-507.4966,189.11382,50.242233,1.8550019,25.381197,25.633598,2.2825882,6.271593,23.043745,14.431761,-1.3507662,3.465408,10.219179
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP002_WWS.wav,KP002_WWS_seg3,KP002_WWS.wav,2,-509.09006,189.14362,52.274063,4.0951805,26.729261,26.430555,3.0449827,6.6153107,22.590199,13.8163,-1.3084425,4.045339,10.631465
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP003_WWS_1.wav,KP003_WWS_1_seg1,KP003_WWS_1.wav,0,-649.6942,192.3827,36.42411,-7.0847645,29.58655,27.85457,-3.8703055,2.1010022,24.362326,14.077232,-3.4685605,5.7966413,15.108837
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP003_WWS_1.wav,KP003_WWS_1_seg2,KP003_WWS_1.wav,1,-650.3372,191.56442,35.178745,-9.682785,26.693953,26.561268,-2.940563,4.416924,27.134916,16.67457,-1.9030372,5.5432277,13.303686
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP003_WWS_1.wav,KP003_WWS_1_seg3,KP003_WWS_1.wav,2,-509.66385,92.53423,47.53468,22.785639,19.845245,16.747057,9.953756,9.174537,11.495404,8.576754,4.363701,5.3705087,7.2180934
