file_path,filename,original_filename,segment_index,logmel_0,logmel_1,logmel_2,logmel_3,logmel_4,logmel_5,logmel_6,logmel_7,logmel_8,logmel_9,logmel_10,logmel_11,logmel_12,logmel_13,logmel_14,logmel_15,logmel_16,logmel_17,logmel_18,logmel_19,logmel_20,logmel_21,logmel_22,logmel_23,logmel_24,logmel_25,logmel_26,logmel_27,logmel_28,logmel_29,logmel_30,logmel_31,logmel_32,logmel_33,logmel_34,logmel_35,logmel_36,logmel_37,logmel_38,logmel_39,logmel_40,logmel_41,logmel_42,logmel_43,logmel_44,logmel_45,logmel_46,logmel_47,logmel_48,logmel_49,logmel_50,logmel_51,logmel_52,logmel_53,logmel_54,logmel_55,logmel_56,logmel_57,logmel_58,logmel_59,logmel_60,logmel_61,logmel_62,logmel_63
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP001_WWS.wav,KP001_WWS_seg1,KP001_WWS.wav,0,-38.626710631870026,-25.222056346155327,-22.4779476442381,-24.93225539977105,-27.371986492503616,-31.419798555376556,-37.07855625572412,-41.924091760699255,-45.75756017278127,-48.17424828986853,-50.58694586217779,-52.5481803247716,-53.613563041289034,-54.908050811795825,-56.53510579616523,-58.30372706302846,-60.56035818350952,-61.79095760436118,-63.47352125829105,-64.40752888843862,-65.64979475431817,-66.46257500388474,-67.12993934456425,-67.67675064461591,-67.88520337910202,-68.73618643982101,-69.15100246912948,-69.50511860577086,-69.80665008873964,-70.1633812054421,-71.19695280781494,-72.19753770286597,-72.86555837589948,-73.80975891407338,-77.41815797254455,-79.96991694480558,-79.98197484912048,-79.98439768857874,-79.98571991693602,-79.98704270626926,-79.98830912985078,-79.9895661155923,-79.99079965107302,-79.99201105065566,-79.99320747069964,-79.9943864021864,-79.99553984749642,-79.99666826218485,-79.99777881155725,-79.9988658187136,-79.99991042485784,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP001_WWS.wav,KP001_WWS_seg2,KP001_WWS.wav,1,-43.692587676143155,-30.396157847093484,-27.76655832601279,-29.704892207510916,-31.91698596042703,-36.22107691794551,-41.45858531001467,-46.21747201018159,-50.213374773924436,-52.681536684857186,-54.9256399848005,-56.63541231873602,-57.51717386753506,-58.5916486405979,-59.98394222615422,-62.30540006754268,-64.23766887862176,-65.88770349412118,-67.60171437290835,-68.66905775142541,-69.56846426496676,-70.3366568777248,-70.8895139262195,-71.34080050119354,-71.9487331152514,-72.35929605834045,-72.81429140624988,-73.19243842490656,-73.31679737049147,-73.6685493757612,-74.53675031995057,-75.42198277404133,-76.24803769040604,-76.72341192825724,-78.89896209343999,-79.96623439373522,-79.97828247175516,-79.98675786529274,-79.99453155095892,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP001_WWS.wav,KP001_WWS_seg3,KP001_WWS.wav,2,-48.443192278009576,-35.382596524039066,-32.69136972028757,-35.45537615601228,-36.90732590444892,-40.5313009098295,-43.667047965210195,-46.12453132536716,-48.65199539291205,-50.22203876346048,-51.91907453634784,-52.82398544918152,-54.00699398547165,-55.46242065688183,-57.03595976313724,-57.95850638600694,-60.136151396441115,-62.33949049872221,-63.51818719791302,-64.23857883599682,-64.91107100371866,-65.50874216098761,-65.83091882435563,-65.93906869227754,-65.92249583452244,-66.46150891792844,-66.97200440740441,-67.28373224590784,-67.44337635283068,-66.51760119577382,-67.28104078070479,-68.64482235438204,-69.05082442164424,-69.60704418754237,-74.0268466430886,-79.90884381984604,-79.93427986450527,-79.94782199899113,-79.96318913760341,-79.98002369432244,-79.98942333826467,-79.99862059402683,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP011_WWS.wav,KP011_WWS_seg1,KP011_WWS.wav,0,-32.10059793683054,-19.944394632744192,-18.41840038091642,-19.655116615606012,-21.753099821796773,-23.38582308993624,-26.035934670650327,-28.24058125774623,-29.663849922527437,-30.66304050046419,-31.694898268211954,-33.25683174970689,-34.4091739096832,-34.934364420949144,-35.48523894694451,-36.57746929828185,-37.49487890897978,-38.609741174607066,-40.14227233429271,-41.22169059222467,-42.21106043392216,-43.25439861597949,-44.158560087430644,-44.756910837541675,-45.88616172861619,-46.563813439956235,-47.10165073023501,-48.145461900334574,-48.747610869636354,-49.40202161894105,-50.79006806393451,-51.75828807316026,-53.108588149604785,-54.876519440746584,-59.6177042079731,-76.73009743324916,-79.84368144858774,-79.86358485892204,-79.88360837982462,-79.90428095767564,-79.92527774632633,-79.94610635121911,-79.95762693862137,-79.96758771481454,-79.96903121653905,-79.97043494507935,-79.97179279118595,-79.9731069619489,-79.97438613334954,-79.97562593433706,-79.97680891968778,-79.97796357949012,-79.97906341353746,-79.98011107110017,-79.98111329428816,-79.98205375784057,-79.9829335720758,-79.98374770199135,-79.98448781168885,-79.98514388025889,-79.98571491065003,-79.9861786862491,-79.98653432653668,-79.98675709052033
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP011_WWS.wav,KP011_WWS_seg2,KP011_WWS.wav,1,-29.722238036266557,-17.08513302660455,-15.768236121991709,-17.231911860471204,-19.388593814740556,-20.5493231667635,-23.557403381215142,-25.928928918220592,-27.275958359102265,-28.636987417903118,-29.894322157878584,-31.06662527687673,-32.24167268743987,-32.93726953719449,-33.60424820280739,-34.46742130377855,-35.44888903728693,-36.64383845864585,-37.84430709802029,-39.192644134491196,-40.478337324927914,-41.22042027506924,-42.01206092982694,-42.758258106344904,-43.74246881312516,-44.50569203408182,-45.059876444206246,-45.68624946471435,-46.234848858005684,-47.20275599787556,-48.718793652594755,-49.565657572610334,-50.79732636708712,-52.57423596740216,-57.42659466319217,-75.27579843331854,-79.87527710403099,-79.89051203093508,-79.90725633825534,-79.92542424536674,-79.94442237903222,-79.96021742948581,-79.97084901471285,-79.97753889956861,-79.97867695724119,-79.97981051620097,-79.98092828097948,-79.98202831275935,-79.98311614725712,-79.9841848579435,-79.98521461230756,-79.98623209644559,-79.98720929679567,-79.98814740443798,-79.98905205153473,-79.98990595097122,-79.99070936902146,-79.99145661571988,-79.992138836687,-79.99274562585107,-79.99327578442264,-79.9937070635946,-79.99403876948723,-79.9942466269273
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP011_WWS.wav,KP011_WWS_seg3,KP011_WWS.wav,2,-35.44288094169521,-23.50165368583161,-21.963336797474312,-23.528267514377607,-25.384364048164613,-26.839382992432746,-29.426623810640372,-31.81241867209452,-33.32161268061127,-34.3201946178697,-35.25881826623789,-37.05570391261275,-37.878665116246324,-38.37278348607445,-38.87640491995964,-39.9512514228395,-41.18625464184457,-42.48012944819665,-43.34333672260913,-44.586682674684624,-45.65963703937038,-46.711303555774336,-47.682202133251096,-48.492370335559876,-49.09734089893586,-49.57236307060094,-50.28666642629403,-50.989133660191406,-51.81644996664053,-52.51421929530186,-53.67002401910386,-54.74472384744485,-56.48907527773848,-58.24036412958858,-63.2393120565373,-78.25688661377066,-79.87344438809212,-79.88749004291827,-79.90365069726539,-79.92146363926334,-79.94022014907793,-79.95416285853999,-79.9646850366368,-79.96966070076033,-79.97074549891754,-79.97183500767478,-79.97291581891844,-79.97398452040532,-79.97504554632953,-79.97609116283105,-79.97710091593667,-79.97810098978088,-79.97906300958857,-79.97998784698234,-79.98088089692034,-79.98172467584935,-79.98251928867298,-79.98325892097716,-79.98393462063376,-79.98453590780404,-79.9850615366623,-79.9854892358021,-79.98581831689599,-79.98602454464232
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-005 TP6_seg-1.wav,WEBSS-005 TP6_seg-1_seg1,WEBSS-005 TP6_seg-1.wav,0,-39.17239539764928,-23.412299548458382,-19.243793575119614,-17.390116189892964,-18.21811531214186,-24.27074451983936,-26.07819209209976,-27.33509176682424,-28.8080496379336,-31.839119427350152,-33.980245731975636,-35.03152597929325,-35.49018365285445,-38.338798638630735,-42.50272477491904,-45.96039955202325,-48.27689308754053,-49.50633412301522,-51.363945835624044,-52.94362301091377,-53.93384937986865,-54.704645876121425,-55.1420773849935,-56.3116127516449,-57.02662641662527,-57.60951300275814,-57.65650309169138,-58.7202558768908,-60.477526926992155,-62.514188981685834,-64.35794329994093,-65.82109293332876,-67.15361932039328,-68.46145294151222,-72.5704612451628,-79.72296624350811,-79.87267503624653,-79.89207293888546,-79.91170541337013,-79.932051574041,-79.95251927014688,-79.96366009686857,-79.97365993189173,-79.97486266133676,-79.97605449017821,-79.97723168147476,-79.97838534052596,-79.97951524756746,-79.98062813895578,-79.98171800475318,-79.98276576310913,-79.98379861693738,-79.98478898906146,-79.98573841748804,-79.9866528053994,-79.98751508153426,-79.98832568891774,-79.98907907640653,-79.98976649820355,-79.99037763257827,-79.99091133815706,-79.99134540114402,-79.99167913695536,-79.99188824994539
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-005 TP6_seg-1.wav,WEBSS-005 TP6_seg-1_seg2,WEBSS-005 TP6_seg-1.wav,1,-39.24079587834806,-26.28156264659461,-23.12458724977133,-20.944255058972818,-21.688544636174548,-27.09833903557931,-29.50448268891291,-30.93893056891634,-32.5367486774132,-34.99759109985668,-36.85269668094184,-37.151651906712885,-37.30730644757806,-39.775502253705895,-43.06359851928271,-46.5893103000337,-48.64853118480067,-50.59458975913243,-52.25457919243383,-53.48765613613247,-54.813032082225114,-56.04279460385592,-56.387811280361056,-57.08407768056469,-57.759073439242435,-58.30195896541943,-58.491543668500235,-59.191777765462575,-60.823836349170236,-63.24602710909518,-65.2609868652318,-66.86642730975814,-67.640775226119,-69.02102385803292,-73.41485990658653,-79.89717532621641,-79.90913310623758,-79.92400751128085,-79.94070381400536,-79.95890564779974,-79.96908819473136,-79.97962428765707,-79.98180306039256,-79.98310058860895,-79.98437675838505,-79.9856291354241,-79.98684988501878,-79.98803979369727,-79.98920638056266,-79.99034429658892,-79.99143506698812,-79.99250642518898,-79.99353120106551,-79.99451134383698,-79.99545306751374,-79.99633957576994,-79.99717155347892,-79.99794363661799,-79.99864722918521,-79.99927212105169,-79.99981723099687,-80.0,-80.0,-80.0
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-005 TP6_seg-1.wav,WEBSS-005 TP6_seg-1_seg3,WEBSS-005 TP6_seg-1.wav,2,-37.637685222776454,-23.428926840363197,-20.318374643247815,-17.155524425001204,-17.78244321860373,-23.26483636651502,-25.110224694095468,-26.94925431190358,-27.527830871562045,-30.445757088317826,-32.86493655539725,-33.778008466992205,-34.382349933122754,-36.45163589037601,-39.63584119784345,-43.297208902253175,-45.42074870481743,-46.49208832165073,-48.037625835663654,-49.47314614502152,-50.76502096307216,-51.596852381925636,-52.28976419278996,-53.133900527809615,-53.89680149419527,-54.541440971554685,-55.14428275424221,-56.23975490106193,-57.837788257432734,-59.67558460726025,-61.26074047856509,-63.006196620786234,-64.50817464973619,-65.9314447829911,-70.23529238278765,-79.65190665144411,-79.7005007808092,-79.7190913109286,-79.73858075223026,-79.75917017900049,-79.78031051670357,-79.80198308169453,-79.82398153623487,-79.84625944057683,-79.86423115933479,-79.8770098111668,-79.8839938626435,-79.88651089693516,-79.88896041402283,-79.89133539741773,-79.89360194150265,-79.8958177649835,-79.89793033881931,-79.89994509203615,-79.90187562440887,-79.90368930220463,-79.90538828838609,-79.90696247380936,-79.90839515690408,-79.90966629602354,-79.91077398536503,-79.91167397189798,-79.91236481744626,-79.91279756144897
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP008_WWS.wav,KP008_WWS_seg1,KP008_WWS.wav,0,-36.25033200316762,-20.80198798030227,-16.912577918686935,-18.221990130163164,-23.316416848780925,-28.818477902039323,-33.100642908580944,-36.469033898389675,-39.926317518275305,-41.44077376940904,-42.6363817881138,-43.307244149946854,-44.017909563657845,-45.515906179648084,-46.64928159127715,-47.10565495793936,-49.33131142076601,-51.22885951778608,-52.84085733547418,-53.78739627807733,-54.11957534474078,-55.15845878104996,-56.11547550854971,-56.458828386541995,-57.18289046873526,-57.7270432254658,-58.29055214157987,-58.80970492795825,-59.13811567052594,-59.256002137214324,-59.105788882023035,-59.71615120010683,-60.33057476772749,-60.42872704465029,-65.39415345727016,-79.65265928839635,-79.82546526091886,-79.84567933743038,-79.86622675238613,-79.88759599018395,-79.90077516730598,-79.91304066421709,-79.91595178112492,-79.91832165774264,-79.92067474665664,-79.92300253649421,-79.92528641523083,-79.92752547771073,-79.92973281879136,-79.9318960988519,-79.9339769097208,-79.93602947189936,-79.9379984818297,-79.9398868626685,-79.9417063148151,-79.94342259518825,-79.94503651530788,-79.94653690321988,-79.94790622131448,-79.94912378600252,-79.95018729691165,-79.95105232164542,-79.95144285260041,-79.95165125023685
