file_path,filename,original_filename,segment_index,logmel_0,logmel_1,logmel_2,logmel_3,logmel_4,logmel_5,logmel_6,logmel_7,logmel_8,logmel_9,logmel_10,logmel_11,logmel_12,logmel_13,logmel_14,logmel_15,logmel_16,logmel_17,logmel_18,logmel_19,logmel_20,logmel_21,logmel_22,logmel_23,logmel_24,logmel_25,logmel_26,logmel_27,logmel_28,logmel_29,logmel_30,logmel_31,logmel_32,logmel_33,logmel_34,logmel_35,logmel_36,logmel_37,logmel_38,logmel_39,logmel_40,logmel_41,logmel_42,logmel_43,logmel_44,logmel_45,logmel_46,logmel_47,logmel_48,logmel_49,logmel_50,logmel_51,logmel_52,logmel_53,logmel_54,logmel_55,logmel_56,logmel_57,logmel_58,logmel_59,logmel_60,logmel_61,logmel_62,logmel_63
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP001_WWS.wav,KP001_WWS_seg1,KP001_WWS.wav,0,-19.707203,-22.157162,-25.71692,-29.118786,-31.63723,-35.530956,-41.14181,-45.94624,-49.77002,-52.30168,-54.87482,-56.877544,-57.99064,-59.339767,-60.947098,-62.454304,-64.57544,-65.73014,-67.13259,-67.801315,-68.77757,-69.528305,-69.95507,-70.24519,-70.65947,-71.57714,-72.05742,-72.1325,-72.30502,-72.54261,-73.284,-74.0385,-74.25251,-74.43556,-77.16591,-79.9849,-79.9921,-79.99549,-79.99808,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP001_WWS.wav,KP001_WWS_seg2,KP001_WWS.wav,1,-24.657198,-28.103785,-31.101887,-33.69681,-35.875935,-40.10545,-45.481934,-50.249615,-54.298447,-56.78079,-58.95561,-60.700188,-61.541573,-62.6063,-63.939835,-65.949326,-67.582184,-68.95506,-70.38656,-71.07943,-71.75414,-72.2646,-72.60346,-72.97815,-73.4111,-73.715675,-74.156555,-74.34093,-74.531715,-74.82091,-75.280594,-75.824196,-76.46022,-76.6322,-78.538765,-79.92585,-79.93006,-79.93406,-79.93783,-79.941666,-79.945366,-79.94905,-79.95268,-79.95626,-79.95981,-79.96331,-79.966736,-79.970085,-79.9734,-79.97664,-79.97971,-79.98124,-79.98223,-79.98317,-79.984085,-79.98494,-79.98574,-79.986496,-79.987175,-79.987785,-79.98832,-79.98875,-79.98908,-79.98929
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP001_WWS.wav,KP001_WWS_seg3,KP001_WWS.wav,2,-21.71529,-33.411457,-37.214046,-40.404034,-41.88081,-45.452087,-48.639534,-51.030025,-53.482216,-55.07935,-56.814865,-57.7068,-58.951336,-60.482952,-62.04864,-62.67365,-64.62844,-67.03821,-68.31437,-68.9505,-69.64259,-70.0818,-70.22631,-70.09359,-69.960205,-70.6088,-71.01916,-71.209816,-71.19111,-70.07126,-70.63412,-71.90311,-71.78533,-71.63571,-75.51044,-79.89875,-79.91318,-79.91555,-79.91789,-79.92033,-79.9227,-79.925095,-79.92746,-79.9298,-79.93212,-79.934425,-79.93668,-79.938896,-79.94108,-79.94322,-79.94528,-79.94732,-79.94927,-79.95114,-79.95295,-79.95465,-79.95626,-79.95774,-79.95911,-79.96031,-79.96137,-79.962234,-79.9629,-79.96331
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP011_WWS.wav,KP011_WWS_seg1,KP011_WWS.wav,0,-9.389764,-16.33156,-21.566519,-23.447477,-25.875853,-27.592249,-30.233196,-32.151653,-33.337826,-34.293518,-35.275608,-37.013336,-38.521473,-38.977257,-39.728004,-40.7973,-41.630886,-42.732548,-44.278904,-45.219315,-45.982136,-46.89173,-47.876865,-48.54665,-49.727066,-50.526127,-51.086174,-52.288853,-53.06826,-53.560505,-55.03285,-55.5309,-56.3834,-57.40471,-61.54448,-76.7771,-79.77604,-79.78565,-79.79382,-79.801384,-79.808304,-79.81489,-79.82115,-79.82713,-79.83291,-79.83849,-79.84387,-79.84905,-79.854095,-79.85898,-79.86363,-79.86817,-79.87249,-79.87661,-79.880554,-79.88425,-79.88771,-79.890915,-79.89383,-79.896416,-79.89866,-79.90048,-79.901886,-79.90277
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP011_WWS.wav,KP011_WWS_seg2,KP011_WWS.wav,1,-12.624682,-18.643438,-23.647966,-25.885927,-28.282393,-29.567362,-32.618423,-35.01005,-36.178288,-37.384125,-38.558483,-39.83351,-41.26545,-41.973717,-42.724697,-43.66594,-44.58002,-45.833057,-46.930042,-48.185127,-49.363792,-49.962093,-50.728584,-51.532413,-52.66164,-53.38308,-54.066788,-54.851112,-55.497047,-56.51127,-57.953213,-58.440483,-59.241943,-60.38663,-64.51018,-77.38793,-79.84276,-79.84834,-79.8535,-79.85869,-79.863655,-79.86859,-79.87345,-79.87823,-79.88296,-79.88762,-79.89218,-79.89665,-79.90106,-79.90537,-79.90952,-79.91361,-79.917534,-79.9213,-79.92493,-79.928345,-79.93156,-79.934555,-79.93728,-79.93971,-79.94183,-79.94355,-79.944885,-79.94571
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP011_WWS.wav,KP011_WWS_seg3,KP011_WWS.wav,2,-12.1569805,-19.066328,-24.124039,-26.833626,-28.693918,-30.184164,-32.829624,-34.989452,-36.27657,-37.14269,-38.121555,-39.91827,-40.96973,-41.46408,-42.21379,-43.346138,-44.7007,-46.07511,-46.662846,-47.90504,-48.884262,-49.721592,-50.77762,-51.639313,-52.153034,-52.61856,-53.437126,-54.339462,-55.219406,-55.924946,-57.010254,-57.77709,-59.090553,-60.031513,-64.47768,-77.85661,-79.758644,-79.764305,-79.769485,-79.77466,-79.779625,-79.78455,-79.7894,-79.79417,-79.79888,-79.80353,-79.80809,-79.81255,-79.81694,-79.82125,-79.82539,-79.829475,-79.8334,-79.83715,-79.84078,-79.844185,-79.847404,-79.85039,-79.85312,-79.855545,-79.85766,-79.85938,-79.86071,-79.86154
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-005 TP6_seg-1.wav,WEBSS-005 TP6_seg-1_seg1,WEBSS-005 TP6_seg-1.wav,0,-15.855915,-19.180313,-20.398874,-19.650452,-21.054134,-26.779577,-28.62131,-29.971676,-31.584633,-34.214615,-35.63378,-36.480644,-37.06276,-39.87236,-43.574463,-46.8206,-49.236588,-50.46396,-52.301857,-53.882618,-54.8458,-55.678963,-56.03598,-57.245583,-57.91114,-58.45717,-58.50423,-59.539886,-61.312527,-63.390858,-65.254524,-66.62897,-67.72674,-68.66192,-72.29754,-79.58478,-79.74778,-79.75719,-79.764946,-79.77207,-79.77858,-79.784775,-79.79068,-79.79634,-79.80183,-79.80714,-79.81227,-79.81724,-79.822075,-79.826775,-79.83125,-79.83564,-79.83983,-79.84383,-79.84765,-79.85125,-79.85462,-79.85775,-79.860596,-79.86313,-79.865326,-79.86712,-79.8685,-79.869354
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-005 TP6_seg-1.wav,WEBSS-005 TP6_seg-1_seg2,WEBSS-005 TP6_seg-1.wav,1,-15.761246,-21.37683,-24.012161,-23.138906,-25.226362,-29.97777,-32.254864,-33.8065,-35.876247,-37.815327,-38.80672,-38.80859,-39.329784,-41.669582,-44.765682,-47.895138,-49.986706,-51.919964,-53.511505,-54.749775,-55.989143,-57.265675,-57.669765,-58.308655,-58.8825,-59.394745,-59.50694,-60.191845,-61.82306,-64.22943,-66.21473,-67.690834,-68.16279,-69.11228,-73.07626,-79.79778,-79.80357,-79.80812,-79.81264,-79.81735,-79.821976,-79.82664,-79.83126,-79.83585,-79.840416,-79.84493,-79.84938,-79.853745,-79.85806,-79.8623,-79.86637,-79.8704,-79.874275,-79.87798,-79.88156,-79.88496,-79.88814,-79.8911,-79.8938,-79.8962,-79.898315,-79.900024,-79.90134,-79.90216
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-005 TP6_seg-1.wav,WEBSS-005 TP6_seg-1_seg3,WEBSS-005 TP6_seg-1.wav,2,-14.33298,-18.94253,-21.90269,-19.455267,-20.685333,-25.9141,-27.936415,-29.69356,-30.39192,-33.078236,-34.889874,-35.50555,-36.143993,-37.93662,-40.872112,-44.274166,-46.28032,-47.35077,-48.949837,-50.44168,-51.749195,-52.678547,-53.37561,-54.179867,-54.839596,-55.484745,-56.01275,-57.07681,-58.641747,-60.43529,-61.958946,-63.586338,-64.79562,-65.71926,-69.61514,-79.52822,-79.63451,-79.6395,-79.64438,-79.64941,-79.65428,-79.659164,-79.66399,-79.66874,-79.67346,-79.678116,-79.682686,-79.68716,-79.69157,-79.695885,-79.70004,-79.70413,-79.70807,-79.71184,-79.71547,-79.71889,-79.722115,-79.725105,-79.727844,-79.73028,-79.73239,-79.73412,-79.73545,-79.73628
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP008_WWS.wav,KP008_WWS_seg1,KP008_WWS.wav,0,-11.614063,-17.881561,-18.785484,-21.06665,-26.467539,-32.16402,-36.453552,-39.80728,-43.272057,-44.627865,-45.51691,-46.23729,-46.895264,-48.173515,-48.85835,-49.108826,-51.64524,-53.494247,-54.865,-55.69364,-55.94072,-56.933926,-57.9295,-58.12331,-59.03923,-59.560352,-60.05098,-60.32839,-60.650215,-60.57408,-60.12566,-60.564373,-60.659676,-60.168186,-64.72439,-79.36777,-79.76184,-79.77155,-79.77942,-79.786575,-79.79308,-79.79925,-79.805115,-79.81073,-79.81617,-79.821434,-79.82653,-79.83146,-79.83625,-79.84092,-79.84537,-79.84973,-79.85388,-79.85786,-79.86166,-79.86525,-79.8686,-79.87171,-79.87454,-79.87706,-79.87926,-79.88104,-79.88241,-79.88326
