file_path,filename,original_filename,segment_index,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP001_WWS.wav,KP001_WWS_seg1,KP001_WWS.wav,0,-448.8538,139.83926,82.36813,46.241646,35.919518,26.67375,13.298694,7.956381,9.514427,7.083269,1.5054675,0.0393629,0.7671115
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP001_WWS.wav,KP001_WWS_seg2,KP001_WWS.wav,1,-432.89038,122.71822,77.12272,45.67136,33.77217,24.880709,13.920015,8.544013,8.713443,6.854698,2.2683716,-0.12033666,-0.3873199
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP001_WWS.wav,KP001_WWS_seg3,KP001_WWS.wav,2,-562.3734,126.399925,62.616558,32.30876,31.1205,22.551472,6.821307,5.604868,13.291146,11.410631,4.334566,4.534658,6.682813
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP011_WWS.wav,KP011_WWS_seg1,KP011_WWS.wav,0,-371.32037,203.43747,50.996456,-3.986541,23.260988,28.37343,2.7849803,0.85390604,16.146072,10.954991,-2.1324146,3.0239017,10.475687
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP011_WWS.wav,KP011_WWS_seg2,KP011_WWS.wav,1,-370.278,208.69897,50.891754,-4.8046703,24.570206,29.487457,2.0979378,0.22854185,16.659063,11.174927,-2.9012372,2.2609248,10.066502
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP011_WWS.wav,KP011_WWS_seg3,KP011_WWS.wav,2,-362.4075,194.11256,51.273026,-1.8027716,22.483814,27.390158,3.2108276,0.6524477,15.39406,11.670967,-0.9399615,2.5937705,9.617455
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-005 TP6_seg-1.wav,WEBSS-005 TP6_seg-1_seg1,WEBSS-005 TP6_seg-1.wav,0,-350.3012,200.53918,79.399345,15.939525,16.650784,17.73762,0.20855284,-6.342193,3.705412,8.187816,3.1749296,1.4578648,2.7592237
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-005 TP6_seg-1.wav,WEBSS-005 TP6_seg-1_seg2,WEBSS-005 TP6_seg-1.wav,1,-365.51553,193.47542,74.40957,13.6541815,16.64012,18.92951,2.1150045,-3.5452795,7.1082425,11.19486,5.0855136,2.4137912,3.2682707
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-005 TP6_seg-1.wav,WEBSS-005 TP6_seg-1_seg3,WEBSS-005 TP6_seg-1.wav,2,-355.47574,211.19398,71.41196,6.5515122,16.920639,20.365337,-0.8021967,-6.2868433,6.8010707,9.135626,1.0303695,1.0180588,4.5478325
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP008_WWS.wav,KP008_WWS_seg1,KP008_WWS.wav,0,-376.12476,185.85663,61.40459,18.727737,37.909294,32.63393,6.334067,7.6639314,21.82394,12.596313,-2.4018598,2.5402195,8.372234
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP008_WWS.wav,KP008_WWS_seg2,KP008_WWS.wav,1,-374.64008,169.9085,61.26922,22.666065,37.40883,31.36939,7.791326,8.834116,21.354542,13.278759,-0.3576505,3.3163533,8.191463
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP008_WWS.wav,KP008_WWS_seg3,KP008_WWS.wav,2,-376.43607,173.86562,61.352154,22.400606,38.987686,32.962605,7.9372396,8.564704,21.276655,12.572734,-1.5732205,2.910693,8.774148
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP009_WWS.wav,KP009_WWS_seg1,KP009_WWS.wav,0,-387.86166,163.43549,51.60457,7.38413,22.930302,25.277039,6.6784472,5.083041,16.739618,13.753772,3.1305144,4.6735277,9.693646
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP009_WWS.wav,KP009_WWS_seg2,KP009_WWS.wav,1,-387.8744,143.56664,56.359818,16.304466,21.05231,20.301981,7.3905697,7.333797,16.01072,12.990609,4.1674256,5.1284127,9.486857
