file_path,filename,original_filename,segment_index,logmel_0,logmel_1,logmel_2,logmel_3,logmel_4,logmel_5,logmel_6,logmel_7,logmel_8,logmel_9,logmel_10,logmel_11,logmel_12,logmel_13,logmel_14,logmel_15,logmel_16,logmel_17,logmel_18,logmel_19,logmel_20,logmel_21,logmel_22,logmel_23,logmel_24,logmel_25,logmel_26,logmel_27,logmel_28,logmel_29,logmel_30,logmel_31,logmel_32,logmel_33,logmel_34,logmel_35,logmel_36,logmel_37,logmel_38,logmel_39,logmel_40,logmel_41,logmel_42,logmel_43,logmel_44,logmel_45,logmel_46,logmel_47,logmel_48,logmel_49,logmel_50,logmel_51,logmel_52,logmel_53,logmel_54,logmel_55,logmel_56,logmel_57,logmel_58,logmel_59,logmel_60,logmel_61,logmel_62,logmel_63
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP001_WWS.wav,KP001_WWS_seg1,KP001_WWS.wav,0,-19.07133198492083,-19.63273099430094,-22.10263236671836,-24.943155326141383,-27.39002653919921,-31.434964818039735,-37.093680415281945,-41.94288316922075,-45.782360902102965,-48.183499892280665,-50.60982941082392,-52.548035461186906,-53.60788570099153,-54.91083174870106,-56.55056042871983,-58.31925100166235,-60.58311459639463,-61.79444113020798,-63.48017014332182,-64.41192474968906,-65.64410527062591,-66.46369753149546,-67.13428157511625,-67.68542958884846,-67.88734929783813,-68.72860533950227,-69.12876161110724,-69.47108879474646,-69.74067055255848,-70.04912370721196,-70.98355981632677,-71.80979714762493,-72.18355837435747,-72.6984095800414,-76.43894639956952,-79.93903622254804,-79.94803313793113,-79.95245944075089,-79.95612349343203,-79.95951186290604,-79.96261680579843,-79.96558830016512,-79.96842938880896,-79.97116422274995,-79.9727324177168,-79.97389823438742,-79.97504054882228,-79.9761591020976,-79.97726123756222,-79.97834072553528,-79.9793786245611,-79.98040243759243,-79.98138419145428,-79.98232596823574,-79.98323310753808,-79.98408901937613,-79.98489381196897,-79.98564224087531,-79.98632507560383,-79.98693245963982,-79.98746304828568,-79.98789440325113,-79.98822625449696,-79.98843419908827
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP001_WWS.wav,KP001_WWS_seg2,KP001_WWS.wav,1,-23.453628588002136,-24.729349034780267,-27.385962065502262,-29.74155212221744,-31.96601263533709,-36.27021896583212,-41.50092336212626,-46.264172326509666,-50.25723299740685,-52.72241167703701,-54.97062633141559,-56.6715985476028,-57.54935946865401,-58.63140501901687,-60.02356355875466,-62.340414071070924,-64.2505128082382,-65.90510600386332,-67.62143194008895,-68.69505088195189,-69.59653430166446,-70.35667598485254,-70.89757783760825,-71.3520879480856,-71.95484578371531,-72.36314821665576,-72.80991557250387,-73.18274407305468,-73.2887751992698,-73.58675053723866,-74.38872758974235,-75.17619581358124,-75.80563638928555,-75.97828818208062,-78.26016066321503,-79.93666681648449,-79.94120953164996,-79.94530774072487,-79.94915392556565,-79.95303604774861,-79.95676955201984,-79.96048819600838,-79.96414602857168,-79.96774465481747,-79.97101857494071,-79.97335002353273,-79.97563411703125,-79.97787109162792,-79.98007466917183,-79.98147909558071,-79.98251706371921,-79.98354092795218,-79.98452265909978,-79.98546426996319,-79.986371473301,-79.9872273457075,-79.98803209372254,-79.9887803335819,-79.98946338922998,-79.99007071538979,-79.99060110700218,-79.99103255534806,-79.99136431853786,-79.99157226706505
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP001_WWS.wav,KP001_WWS_seg3,KP001_WWS.wav,2,-19.516153531986262,-29.10205300300346,-32.151835915063664,-35.32893530817205,-36.78288983420548,-40.41444322915357,-43.5485704705171,-46.00288058703702,-48.521923144772856,-50.09456552188137,-51.80116731621512,-52.7062298817044,-53.87753429512269,-55.347531547927986,-56.914374114981634,-57.82573412527841,-59.978127385033254,-62.199277936723846,-63.375570180221935,-64.10057377841778,-64.7660789748874,-65.35941824768585,-65.6922158052671,-65.78468434194532,-65.78318156639489,-66.3190552738941,-66.82309761884824,-67.10547980128213,-67.23813687680666,-66.2565049006411,-66.9216438809786,-68.115038224077,-68.20744657299763,-68.31579518960034,-72.2285784346388,-79.81172512649484,-79.84682953735339,-79.85373139560576,-79.85978780661046,-79.86492946928193,-79.86883882582895,-79.87269796003696,-79.87647025687932,-79.88016413880587,-79.88380327347078,-79.88738238896816,-79.89087903380019,-79.89429531224896,-79.89765402253337,-79.90093837380593,-79.90409232589117,-79.90719886912173,-79.91017554217086,-79.91302782757049,-79.91577376474973,-79.91836226746251,-79.9207951017432,-79.92305569181393,-79.92511817821953,-79.92695156793579,-79.92855245938743,-79.92985438426544,-79.93085536544923,-79.93148249108802
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP011_WWS.wav,KP011_WWS_seg1,KP011_WWS.wav,0,-9.257546643822668,-14.051737244569718,-18.282913616545336,-19.922549794303347,-22.030528269186004,-23.664968200025168,-26.31294598751423,-28.5186701252157,-29.943214116349296,-30.94133331435404,-31.967566623448484,-33.52977742810281,-34.68600382405169,-35.2119545901211,-35.753179793571576,-36.847995707009595,-37.77211593106731,-38.888945802436474,-40.415338651351625,-41.49591584391735,-42.49165362021771,-43.51471239586927,-44.411989558749845,-45.03119419128374,-46.155627422689605,-46.825576284764814,-47.35592064824659,-48.38345960105954,-48.94991778890241,-49.55546954802452,-50.83567611993808,-51.62350293483906,-52.68856642407766,-54.0020920724196,-58.24604275329532,-75.53344316781335,-79.72305311176412,-79.73247131882401,-79.7401494246413,-79.74717728405285,-79.75358248842046,-79.75968416163751,-79.76549930839926,-79.77108172588288,-79.77649122554337,-79.78174056257797,-79.78681466269694,-79.79172788928244,-79.79651852785383,-79.80117147983748,-79.8056181594163,-79.80997199558341,-79.81412769193389,-79.81809539116084,-79.82190150032726,-79.82548013603542,-79.82883520175407,-79.83194604512123,-79.83477899854768,-79.83729366488902,-79.83948618313254,-79.84126805943261,-79.8426363611837,-79.84349361689677
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP011_WWS.wav,KP011_WWS_seg2,KP011_WWS.wav,1,-12.146363338567165,-15.830168253718822,-19.896147456991624,-21.822445722724193,-23.992738857334366,-25.153046702089007,-28.159760925532535,-30.529745729589834,-31.869606468704934,-33.23910851938252,-34.498425821244815,-35.66942248124772,-36.844814777421014,-37.539428121596366,-38.20642980679174,-39.06983748311243,-40.05337539959195,-41.24662856570263,-42.445970395826976,-43.794235104073856,-45.08098971413924,-45.82441877266709,-46.613318009042956,-47.357488785074224,-48.339488953008434,-49.10011561477814,-49.642639945990965,-50.24996485234498,-50.76854792299545,-51.68549218995181,-53.0988262003136,-53.77239250832854,-54.71999314670307,-56.03518411022409,-60.3993432472465,-76.69055240578683,-79.8452945180521,-79.85083821607121,-79.85593953379379,-79.86107604000239,-79.8660186334736,-79.87094892354837,-79.87499067073877,-79.87858024925893,-79.8821309862271,-79.88563494953623,-79.88906689923779,-79.89242785542142,-79.895738605898,-79.89898143237855,-79.90209961974024,-79.90517474337356,-79.90812393351305,-79.9109520335519,-79.91367691744047,-79.91624751036807,-79.91866446046298,-79.92091165087902,-79.92296238675125,-79.92478583105314,-79.92637874083978,-79.92767452229342,-79.92867062861332,-79.92929480811326
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP011_WWS.wav,KP011_WWS_seg3,KP011_WWS.wav,2,-12.19723384161414,-17.165020145141796,-21.488809678023173,-23.51373608585359,-25.38265160817741,-26.83912088753842,-29.427279657438685,-31.80975064046737,-33.320435772664716,-34.31910425307402,-35.25739446867045,-37.051569127244015,-37.873555083223124,-38.37127819922153,-38.87577938155914,-39.950627881155235,-41.18596081946458,-42.48108636363857,-43.34280333725952,-44.585794082912656,-45.658978052016415,-46.71093749399212,-47.680026702903554,-48.488885085862165,-49.0910571006085,-49.5623068374818,-50.26768600142741,-50.95225862674314,-51.74852336827254,-52.39120888650227,-53.44865703095726,-54.35590598569429,-55.80629073143381,-57.109766590267554,-61.61485937207806,-77.53608554067662,-79.84714081423083,-79.84988127465483,-79.852898746079,-79.85619895757657,-79.8594938946071,-79.86286698395871,-79.86624435027775,-79.8696107320373,-79.87297398167595,-79.8763185266689,-79.87961359993112,-79.88285559353305,-79.88606257589441,-79.88921471616567,-79.89225259468539,-79.89525703539753,-79.89814424227782,-79.90091771526005,-79.90359420833067,-79.90612217130725,-79.9085020459925,-79.91071677145993,-79.9127396409285,-79.914539639178,-79.91611299749009,-79.91739318451627,-79.91837823015283,-79.91899540922414
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-005 TP6_seg-1.wav,WEBSS-005 TP6_seg-1_seg1,WEBSS-005 TP6_seg-1.wav,0,-15.484242938106414,-18.271948682025705,-18.846663780181192,-17.36421270264833,-18.202700037027515,-24.254375843603245,-26.06045445666719,-27.31738821774258,-28.790405768127695,-31.821848719127782,-33.96338477929893,-35.01543739492651,-35.47365832506932,-38.32151645602715,-42.48648046215122,-45.94310449827065,-48.26016549275101,-49.48809536506453,-51.34672205356915,-52.92807200273568,-53.92096595368028,-54.68981699960022,-55.128091483857204,-56.295321089454106,-57.00334730050508,-57.59099245550255,-57.62465359338981,-58.664541848400766,-60.395842101140765,-62.38634905923702,-64.12476412591687,-65.41605535230794,-66.45287529741991,-67.3023602298214,-70.9338723414137,-79.7150072675891,-79.87887032751566,-79.88604597884257,-79.8913102638565,-79.89590646053048,-79.89996864982209,-79.90372299482999,-79.90721730214935,-79.91050487334782,-79.91363440605855,-79.91662538828949,-79.91948028651026,-79.92221460232322,-79.92485313825829,-79.92739353834368,-79.92980491874413,-79.93214807842261,-79.93437284486785,-79.93648637532766,-79.93850366941986,-79.94039331803047,-79.94215877495178,-79.94379055497296,-79.94527269115218,-79.94658571671785,-79.94772788171709,-79.94865525394198,-79.94936618557598,-79.94981129529411
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-005 TP6_seg-1.wav,WEBSS-005 TP6_seg-1_seg2,WEBSS-005 TP6_seg-1.wav,1,-14.969785032562369,-20.15612612106352,-22.746490559170958,-20.969353484107735,-21.72237897900809,-27.13418102087183,-29.541570862199045,-30.974167642652134,-32.57625948152659,-35.03747210588282,-36.89015608669663,-37.189546085025285,-37.34454320334601,-39.813308605735784,-43.09976551684634,-46.62651396892223,-48.6867936601175,-50.6319454878557,-52.28804439780908,-53.52204017231502,-54.84668057791484,-56.07792241905607,-56.4221012852363,-57.12057182725887,-57.79014018980462,-58.326758806317685,-58.50139851135219,-59.186329370527,-60.78152462317789,-63.14660189873953,-65.06888266787368,-66.50158206974726,-66.96796354823792,-67.89376528210973,-71.80266909606581,-79.82114134178593,-79.82978062982463,-79.83454079587402,-79.83920349498628,-79.84403643844317,-79.84874789409804,-79.8534925327405,-79.85819401347464,-79.86284560973017,-79.86746677104983,-79.87204181177306,-79.87653429705598,-79.880942968447,-79.88529316015807,-79.88919543426785,-79.89227134128991,-79.89531011876875,-79.89822718625213,-79.90102680810905,-79.9037264023778,-79.9062743768983,-79.90867208614563,-79.91090191202674,-79.91293797797859,-79.91474921223548,-79.91633173237686,-79.91761901687829,-79.9186095241391,-79.91922983426761
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-005 TP6_seg-1.wav,WEBSS-005 TP6_seg-1_seg3,WEBSS-005 TP6_seg-1.wav,2,-13.631021068552363,-17.823914040730024,-19.939713255306536,-17.191428435665085,-17.831682775157315,-23.31464112640564,-25.158596841121938,-26.998620659401947,-27.576483925518218,-30.494906443167583,-32.91336084956205,-33.82664299280678,-34.431497645230856,-36.501322540777515,-39.68403403766279,-43.34633610962731,-45.470067793692614,-46.54061057858219,-48.08619912719614,-49.521314859591705,-50.81367887378622,-51.642002712207265,-52.337777767246294,-53.18139778187373,-53.93936153334397,-54.582465130873324,-55.1786790458653,-56.25411913640143,-57.82151910891579,-59.5989769637016,-61.09484440856639,-62.67136371923492,-63.882890443911045,-64.83487209359353,-68.6823109440233,-79.61628548529637,-79.75104220206107,-79.75833127840438,-79.76384243057305,-79.76892679131096,-79.7736446217402,-79.77829052613265,-79.78285064573653,-79.78734705588236,-79.7918133099729,-79.79564656738654,-79.79896492742917,-79.80222300421231,-79.80544099022254,-79.80860054761521,-79.81164385939749,-79.81465198873373,-79.817541348973,-79.82031637839728,-79.82299387264717,-79.82552219287261,-79.82790225174946,-79.83011702294289,-79.83213988279857,-79.83393971396114,-79.83551296868696,-79.8367929031005,-79.83777776155739,-79.83839477100975
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP008_WWS.wav,KP008_WWS_seg1,KP008_WWS.wav,0,-11.487659511763146,-16.402420478399733,-16.545621492530728,-18.23258536465191,-23.337175363478302,-28.83770885783349,-33.11837827392825,-36.48766225573229,-39.94318225909418,-41.45869240964642,-42.654243644588384,-43.3267413726172,-44.03153093484735,-45.53324090924757,-46.66514691823176,-47.11651378365711,-49.34050910885154,-51.24166437053804,-52.85753439323447,-53.797774628231785,-54.12624004153984,-55.16870536247548,-56.127153730848384,-56.468587484180844,-57.184624207725264,-57.732772960447214,-58.271767235086855,-58.77772207003095,-59.07072047968831,-59.13305645761923,-58.88343884170839,-59.332222501348305,-59.62205540433973,-59.28024338833029,-63.777552336986375,-79.2686512453383,-79.76228210919899,-79.7716609556873,-79.77940950205553,-79.78652727134474,-79.79301984617642,-79.79920076796421,-79.80508629677733,-79.81073052411483,-79.81619420525529,-79.82149127236995,-79.8266072884334,-79.83155749824635,-79.83638081522318,-79.84106265052823,-79.84553418829242,-79.84991074055489,-79.85408657465712,-79.85807183223673,-79.8618935468386,-79.86548585508937,-79.86885294130508,-79.87197423688511,-79.87481624098339,-79.87733862008852,-79.87953730269443,-79.88132419930282,-79.88269625778085,-79.88355566552646
