file_path,filename,original_filename,segment_index,logmel_0,logmel_1,logmel_2,logmel_3,logmel_4,logmel_5,logmel_6,logmel_7,logmel_8,logmel_9,logmel_10,logmel_11,logmel_12,logmel_13,logmel_14,logmel_15,logmel_16,logmel_17,logmel_18,logmel_19,logmel_20,logmel_21,logmel_22,logmel_23,logmel_24,logmel_25,logmel_26,logmel_27,logmel_28,logmel_29,logmel_30,logmel_31,logmel_32,logmel_33,logmel_34,logmel_35,logmel_36,logmel_37,logmel_38,logmel_39,logmel_40,logmel_41,logmel_42,logmel_43,logmel_44,logmel_45,logmel_46,logmel_47,logmel_48,logmel_49,logmel_50,logmel_51,logmel_52,logmel_53,logmel_54,logmel_55,logmel_56,logmel_57,logmel_58,logmel_59,logmel_60,logmel_61,logmel_62,logmel_63
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP001_WWS.wav,KP001_WWS_seg1,KP001_WWS.wav,0,-18.442656,-19.637682,-22.10804,-24.94679,-27.393599,-31.437525,-37.096046,-41.94506,-45.785,-48.186054,-50.612263,-52.550053,-53.609264,-54.911896,-56.55194,-58.320477,-60.584103,-61.79592,-63.481266,-64.41329,-65.64541,-66.46493,-67.13525,-67.68618,-67.88814,-68.72946,-69.12937,-69.47177,-69.74143,-70.050064,-70.984314,-71.81064,-72.18477,-72.69943,-76.43824,-79.9364,-79.945366,-79.94978,-79.95344,-79.956825,-79.95993,-79.9629,-79.965744,-79.968475,-79.97003,-79.9712,-79.972336,-79.97346,-79.974556,-79.97564,-79.97668,-79.9777,-79.978676,-79.97962,-79.98053,-79.981384,-79.98219,-79.98294,-79.98362,-79.98422,-79.984764,-79.98518,-79.98552,-79.985725
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP001_WWS.wav,KP001_WWS_seg2,KP001_WWS.wav,1,-22.95832,-24.751337,-27.395666,-29.750786,-31.967548,-36.268402,-41.502434,-46.260975,-50.25496,-52.715485,-54.967438,-56.676556,-57.557396,-58.633045,-60.027637,-62.349117,-64.24263,-65.9069,-67.624794,-68.702835,-69.58117,-70.352234,-70.89861,-71.3463,-71.9535,-72.36006,-72.80926,-73.17347,-73.28296,-73.59053,-74.37949,-75.1738,-75.80062,-75.98159,-78.255455,-79.931,-79.93485,-79.938644,-79.94231,-79.94605,-79.94969,-79.95333,-79.95692,-79.960464,-79.96398,-79.96745,-79.970856,-79.9742,-79.977486,-79.97994,-79.982,-79.98356,-79.984535,-79.98548,-79.98638,-79.98724,-79.988045,-79.98879,-79.98948,-79.99008,-79.990616,-79.99105,-79.99138,-79.991585
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP001_WWS.wav,KP001_WWS_seg3,KP001_WWS.wav,2,-18.89613,-29.092405,-32.139812,-35.300938,-36.763927,-40.379326,-43.52383,-45.981274,-48.513405,-50.086784,-51.774185,-52.6764,-53.85059,-55.304276,-56.88713,-57.81321,-59.966324,-62.173595,-63.351486,-64.08794,-64.74257,-65.339554,-65.66973,-65.76374,-65.7599,-66.30561,-66.80085,-67.09858,-67.22959,-66.24861,-66.90841,-68.09741,-68.19327,-68.30083,-72.23388,-79.858025,-79.89759,-79.90644,-79.910484,-79.91287,-79.91521,-79.91757,-79.91991,-79.922226,-79.92453,-79.92682,-79.929054,-79.93126,-79.93343,-79.93556,-79.93762,-79.939644,-79.9416,-79.94346,-79.94526,-79.94696,-79.948555,-79.95004,-79.9514,-79.952614,-79.95366,-79.95452,-79.955185,-79.9556
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP011_WWS.wav,KP011_WWS_seg1,KP011_WWS.wav,0,-8.380287,-14.812394,-19.045294,-20.687555,-22.794193,-24.427425,-27.077059,-29.284632,-30.707483,-31.705328,-32.734985,-34.30013,-35.452415,-35.976864,-36.524136,-37.61802,-38.537888,-39.653244,-41.182518,-42.264107,-43.256092,-44.290154,-45.19099,-45.800087,-46.92406,-47.596928,-48.127197,-49.152313,-49.721794,-50.324337,-51.611137,-52.40751,-53.470524,-54.780857,-59.037197,-76.10004,-79.799644,-79.80959,-79.81749,-79.824646,-79.83113,-79.83727,-79.843124,-79.84873,-79.85305,-79.857155,-79.8611,-79.86491,-79.86859,-79.87217,-79.87559,-79.87892,-79.8821,-79.88513,-79.88804,-79.89076,-79.89332,-79.895676,-79.89783,-79.899734,-79.9014,-79.902756,-79.90379,-79.90444
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP011_WWS.wav,KP011_WWS_seg2,KP011_WWS.wav,1,-11.441489,-16.95277,-21.018747,-22.949993,-25.120264,-26.27931,-29.286001,-31.65516,-33.005695,-34.368404,-35.62349,-36.795856,-37.970566,-38.666725,-39.33382,-40.19653,-41.177624,-42.372353,-43.574226,-44.9225,-46.206886,-46.946365,-47.739212,-48.485363,-49.466377,-50.221348,-50.76843,-51.38033,-51.895245,-52.808033,-54.226574,-54.89898,-55.846996,-57.162376,-61.51731,-77.15525,-79.83983,-79.84572,-79.85096,-79.85615,-79.8611,-79.86601,-79.87084,-79.875595,-79.880295,-79.88493,-79.88948,-79.893456,-79.89675,-79.89999,-79.90309,-79.90615,-79.909096,-79.91191,-79.91463,-79.91719,-79.91959,-79.92184,-79.92388,-79.9257,-79.92729,-79.92857,-79.92957,-79.9302
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP011_WWS.wav,KP011_WWS_seg3,KP011_WWS.wav,2,-10.752505,-17.157171,-21.481794,-23.5085,-25.377914,-26.833323,-29.42107,-31.804419,-33.314686,-34.313248,-35.251842,-37.047176,-37.869873,-38.36593,-38.869995,-39.944912,-41.180412,-42.47557,-43.337666,-44.580814,-45.653492,-46.705254,-47.674706,-48.483063,-49.08576,-49.55612,-50.26159,-50.946636,-51.742832,-52.385796,-53.443077,-54.350395,-55.800533,-57.10397,-61.60859,-77.54213,-79.880066,-79.884605,-79.88709,-79.88961,-79.89204,-79.894455,-79.89684,-79.8992,-79.901535,-79.90383,-79.9061,-79.90831,-79.91049,-79.912636,-79.914696,-79.91672,-79.91867,-79.92055,-79.92235,-79.92405,-79.92565,-79.92714,-79.928505,-79.92971,-79.93076,-79.931625,-79.93228,-79.9327
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-005 TP6_seg-1.wav,WEBSS-005 TP6_seg-1_seg1,WEBSS-005 TP6_seg-1.wav,0,-14.964267,-18.272766,-18.84352,-17.362324,-18.197895,-24.249432,-26.05519,-27.312819,-28.785593,-31.820366,-33.961666,-35.017097,-35.47087,-38.3171,-42.48277,-45.93651,-48.257168,-49.482765,-51.34715,-52.927177,-53.914124,-54.68639,-55.12563,-56.287277,-56.99744,-57.575443,-57.609947,-58.66114,-60.392822,-62.367935,-64.112144,-65.40382,-66.43783,-67.281906,-70.906235,-79.66329,-79.82598,-79.8349,-79.84237,-79.84819,-79.85339,-79.85832,-79.86297,-79.86741,-79.87168,-79.87581,-79.87978,-79.88361,-79.88733,-79.89093,-79.89437,-79.89772,-79.90092,-79.90396,-79.906876,-79.90961,-79.91218,-79.91455,-79.91671,-79.918625,-79.920296,-79.92165,-79.92268,-79.92335
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-005 TP6_seg-1.wav,WEBSS-005 TP6_seg-1_seg2,WEBSS-005 TP6_seg-1.wav,1,-14.506716,-20.160309,-22.745422,-20.967012,-21.719028,-27.135498,-29.54338,-30.973585,-32.57976,-35.036674,-36.892567,-37.193558,-37.34823,-39.81731,-43.102356,-46.63013,-48.6906,-50.632874,-52.285385,-53.52059,-54.842827,-56.0762,-56.41568,-57.119358,-57.789288,-58.320824,-58.489143,-59.174572,-60.764027,-63.126385,-65.04894,-66.483894,-66.94431,-67.871506,-71.77685,-79.77063,-79.777016,-79.78175,-79.786415,-79.79126,-79.795975,-79.80073,-79.80543,-79.81009,-79.81472,-79.819305,-79.82379,-79.82821,-79.832565,-79.83684,-79.84094,-79.845,-79.84891,-79.85264,-79.85624,-79.85965,-79.862854,-79.86583,-79.868546,-79.870964,-79.87307,-79.87479,-79.876114,-79.87694
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-005 TP6_seg-1.wav,WEBSS-005 TP6_seg-1_seg3,WEBSS-005 TP6_seg-1.wav,2,-13.271313,-17.831306,-19.946945,-17.198177,-17.839634,-23.322746,-25.166468,-27.00664,-27.58443,-30.503054,-32.921417,-33.83473,-34.439625,-36.50943,-39.69231,-43.354843,-45.47985,-46.551712,-48.097767,-49.533684,-50.826035,-51.65422,-52.34908,-53.19263,-53.951405,-54.595146,-55.191605,-56.266262,-57.833256,-59.61075,-61.10534,-62.681953,-63.89337,-64.844864,-68.688736,-79.60879,-79.749504,-79.76532,-79.77813,-79.78514,-79.79154,-79.797585,-79.80332,-79.80879,-79.81405,-79.819115,-79.82398,-79.82867,-79.833206,-79.83757,-79.84173,-79.84577,-79.8496,-79.85325,-79.85671,-79.859955,-79.86298,-79.865776,-79.86831,-79.86999,-79.87104,-79.8719,-79.872574,-79.872986
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP008_WWS.wav,KP008_WWS_seg1,KP008_WWS.wav,0,-10.472178,-16.384384,-16.528307,-18.218988,-23.321804,-28.821093,-33.106762,-36.476654,-39.932228,-41.447216,-42.645927,-43.315483,-44.028217,-45.527218,-46.66347,-47.118183,-49.336998,-51.250458,-52.8486,-53.804626,-54.14092,-55.176006,-56.132175,-56.473568,-57.194202,-57.730194,-58.28189,-58.78908,-59.07835,-59.14675,-58.898518,-59.34583,-59.63627,-59.31204,-63.80989,-79.34294,-79.85008,-79.857056,-79.86281,-79.86811,-79.87297,-79.87761,-79.88203,-79.88627,-79.89038,-79.89437,-79.898224,-79.901955,-79.90559,-79.90912,-79.91248,-79.91579,-79.91893,-79.92193,-79.924805,-79.92751,-79.930046,-79.932396,-79.93453,-79.936424,-79.93808,-79.93942,-79.94046,-79.94111
