file_path,filename,original_filename,segment_index,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP001_WWS.wav,KP001_WWS_seg1,KP001_WWS.wav,0,-405.86002,158.2672,85.25956,42.05041,33.40991,25.684015,11.209256,6.1308374,9.549036,7.315592,0.40139335,-1.3826866,-0.07494776
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP001_WWS.wav,KP001_WWS_seg2,KP001_WWS.wav,1,-417.4643,138.82533,83.52167,45.399574,31.780218,22.877546,11.850638,7.126818,8.4703865,6.946634,1.8230017,-0.89485943,-1.0650407
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP001_WWS.wav,KP001_WWS_seg3,KP001_WWS.wav,2,-452.92047,150.94484,61.650703,24.961449,31.70345,24.791834,4.285271,3.3934639,14.630947,11.653519,1.9279674,3.554417,7.5769506
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP011_WWS.wav,KP011_WWS_seg1,KP011_WWS.wav,0,-349.4898,217.95317,47.72568,-9.802791,24.573875,29.932205,-0.30661538,-1.2999656,17.7267,11.433594,-4.613222,1.2835705,10.401128
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP011_WWS.wav,KP011_WWS_seg2,KP011_WWS.wav,1,-349.89224,224.60468,47.028843,-11.205014,26.162636,31.122698,-1.4400371,-2.0954766,18.35357,11.408831,-5.715152,0.7517182,10.447927
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP011_WWS.wav,KP011_WWS_seg3,KP011_WWS.wav,2,-322.0141,210.3586,47.88356,-8.13838,24.073488,29.41554,0.3152689,-1.2917073,17.156752,11.882723,-3.851987,0.86465305,9.827593
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-005 TP6_seg-1.wav,WEBSS-005 TP6_seg-1_seg1,WEBSS-005 TP6_seg-1.wav,0,-310.43906,209.68156,81.22579,15.910117,18.103365,17.910372,-2.129697,-8.392246,2.9808254,6.8589272,1.1541402,0.6377503,2.9163587
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-005 TP6_seg-1.wav,WEBSS-005 TP6_seg-1_seg2,WEBSS-005 TP6_seg-1.wav,1,-299.77338,203.6925,76.555504,13.251415,17.461061,18.840603,-0.18409269,-5.6905446,6.180226,9.866236,3.1735823,1.5150534,3.2405744
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-005 TP6_seg-1.wav,WEBSS-005 TP6_seg-1_seg3,WEBSS-005 TP6_seg-1.wav,2,-344.86032,221.23233,73.89737,6.650278,18.168581,20.600813,-2.8341267,-8.459042,5.614971,7.7552485,-0.52965677,0.53964937,4.7293363
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP008_WWS.wav,KP008_WWS_seg1,KP008_WWS.wav,0,-356.68207,198.10443,63.452377,16.557964,37.272404,32.366905,4.261835,5.243991,20.669697,11.846502,-3.5588691,1.6063452,7.8668036
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP008_WWS.wav,KP008_WWS_seg2,KP008_WWS.wav,1,-359.79288,184.48366,63.6833,20.329453,36.938206,31.134697,5.4302797,6.3100195,20.22396,12.183822,-2.0190156,2.2316504,7.6746626
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP008_WWS.wav,KP008_WWS_seg3,KP008_WWS.wav,2,-347.58533,186.79028,63.74251,20.20968,37.96963,32.10616,5.581875,6.2750983,20.27643,11.744704,-2.9096086,1.7818226,7.971941
