file_path,filename,original_filename,segment_index,logmel_0,logmel_1,logmel_2,logmel_3,logmel_4,logmel_5,logmel_6,logmel_7,logmel_8,logmel_9,logmel_10,logmel_11,logmel_12,logmel_13,logmel_14,logmel_15,logmel_16,logmel_17,logmel_18,logmel_19,logmel_20,logmel_21,logmel_22,logmel_23,logmel_24,logmel_25,logmel_26,logmel_27,logmel_28,logmel_29,logmel_30,logmel_31,logmel_32,logmel_33,logmel_34,logmel_35,logmel_36,logmel_37,logmel_38,logmel_39,logmel_40,logmel_41,logmel_42,logmel_43,logmel_44,logmel_45,logmel_46,logmel_47,logmel_48,logmel_49,logmel_50,logmel_51,logmel_52,logmel_53,logmel_54,logmel_55,logmel_56,logmel_57,logmel_58,logmel_59,logmel_60,logmel_61,logmel_62,logmel_63
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP001_WWS.wav,KP001_WWS_seg1,KP001_WWS.wav,0,-19.281551586035178,-19.636567922366343,-22.113232596597584,-24.950482800652896,-27.402658625033734,-31.451868547160252,-37.11291924252088,-41.95133595016245,-45.806487265858784,-48.20008207042819,-50.62060258217784,-52.56889447351223,-53.64858814497968,-54.947592956148874,-56.57324254397353,-58.37381667419196,-60.63056919777619,-61.85961317685403,-63.53886917489623,-64.44794899387178,-65.69237456395453,-66.51775873829945,-67.17041370657826,-67.75815927061089,-67.9585435655563,-68.78403480058488,-69.19751877152476,-69.52848989221104,-69.7996689792382,-70.10475566859151,-71.04384135163951,-71.87480412854595,-72.24652960624225,-72.75485585339841,-76.50788208622939,-79.997140769884,-79.99943492206202,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP001_WWS.wav,KP001_WWS_seg2,KP001_WWS.wav,1,-23.727844156336502,-24.752529317160597,-27.395205919467163,-29.7497537894743,-31.970215630596094,-36.274928623692695,-41.509604542947734,-46.26938693378139,-50.26656872283435,-52.734768451487554,-54.97926368787794,-56.69748864926699,-57.587804779249524,-58.65018027323186,-60.05307040523224,-62.37972604445891,-64.30783704203856,-65.9773750854218,-67.6814047620858,-68.74818999501993,-69.64397050653233,-70.40316753891985,-70.95297045314211,-71.41601897238088,-72.01979592639735,-72.42649408800511,-72.87083520370162,-73.22595384062323,-73.31871844993529,-73.63069004476316,-74.43962006486575,-75.23663015839757,-75.85030917861403,-76.03428427949714,-78.31626899708047,-79.9965631866235,-79.99818575852497,-79.9996640719468,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP001_WWS.wav,KP001_WWS_seg3,KP001_WWS.wav,2,-19.92205808084666,-29.111318961731275,-32.145468407743,-35.30760213867309,-36.76614149329226,-40.377583464560644,-43.528707302796505,-45.98893116271391,-48.52780501973239,-50.09539392777001,-51.7884756125313,-52.68880982677462,-53.86577976180205,-55.32026662582683,-56.900406213850864,-57.834682630086334,-59.990980145055126,-62.201871439910704,-63.37820111523714,-64.11783286325134,-64.76840152498404,-65.36271260099565,-65.69575387620685,-65.78955942016486,-65.78785963389865,-66.33213827957343,-66.82981470511476,-67.12762233883555,-67.25627765610977,-66.27539314554308,-66.94411280260115,-68.12790595449708,-68.22915667876649,-68.3254044644675,-72.2671376887566,-79.91081817864757,-79.95062078938436,-79.9594366465321,-79.96146691896521,-79.96367891472723,-79.96588490952774,-79.96814209144038,-79.97040131618982,-79.97265269585519,-79.97490160640147,-79.9771373436813,-79.97933993661019,-79.981114099783,-79.98218566944604,-79.98323852745554,-79.9842530516354,-79.98525652335995,-79.98622048911656,-79.98714654149052,-79.98804022301381,-79.98888401952229,-79.98967839399108,-79.99041749988619,-79.9910927381877,-79.99169351318753,-79.99221854763182,-79.99264572105699,-79.99297441715314,-79.99318032299966
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP011_WWS.wav,KP011_WWS_seg1,KP011_WWS.wav,0,-9.821299829556796,-14.201860833933626,-18.433340597182802,-20.08122338920847,-22.18669747338796,-23.819156925725366,-26.47149724699395,-28.679640048236937,-30.099398625683314,-31.09740370873909,-32.132825874987645,-33.6972054149465,-34.8452804004309,-35.36694615944784,-35.92178183283043,-37.011870926655156,-37.9316940184137,-39.046015739941424,-40.58002160023642,-41.661132562881924,-42.64455440355459,-43.698424835921905,-44.601883742381,-45.195646810251276,-46.32199644371684,-46.99459835292919,-47.52251505971223,-48.55329853650369,-49.12544361954742,-49.72904942869104,-51.015156867736145,-51.8041494815769,-52.872689179535165,-54.180097225198146,-58.43832279095131,-75.72146062900585,-79.81563263550157,-79.82706650927464,-79.8365865088754,-79.84526001160795,-79.85313322729861,-79.86055098441423,-79.86754945008366,-79.87419919684555,-79.88057351949105,-79.88669620963893,-79.89256119612561,-79.89804820546178,-79.90239430253634,-79.90656262588723,-79.91050896412544,-79.9143252693052,-79.91793784735117,-79.92135867484346,-79.92461133164025,-79.92764991540027,-79.93048032508845,-79.93308952944378,-79.9354537146639,-79.9375440413601,-79.93935826622102,-79.94083004257145,-79.94195623285134,-79.94266132425588
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP011_WWS.wav,KP011_WWS_seg2,KP011_WWS.wav,1,-13.210756813964975,-16.426114487609187,-20.488620616461855,-22.42265002397491,-24.58979143048942,-25.747473818170622,-28.756002269490235,-31.124461146714324,-32.475274302462815,-33.83674713089666,-35.090356308213764,-36.26944956376908,-37.430168579556074,-38.133919576563216,-38.79981131247186,-39.66558183603122,-40.65321603422906,-41.84156665470572,-43.04503975955031,-44.391671665974705,-45.67694711218794,-46.41726627304912,-47.21115598047878,-47.95500131354327,-48.937782791352184,-49.69105199335687,-50.243919327460766,-50.85063491838532,-51.37312543262275,-52.27870349781906,-53.69890435908479,-54.37207824511223,-55.317497373138785,-56.63828454690222,-61.01443754536343,-77.01979938467109,-79.92572616941749,-79.92845954901124,-79.93165158810858,-79.93499291065217,-79.93724748689245,-79.939563813321,-79.94188226979071,-79.94418927862094,-79.94648876733442,-79.9487695939579,-79.95101215621592,-79.95321394197191,-79.95538760518772,-79.95752060556894,-79.95957381625196,-79.96160135364421,-79.96354817654058,-79.96541661911715,-79.9672179828601,-79.96851375780419,-79.96931323030293,-79.97005678175277,-79.97073561470718,-79.97133936585284,-79.97186692401766,-79.9722960710088,-79.9726262059815,-79.97283307144058
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP011_WWS.wav,KP011_WWS_seg3,KP011_WWS.wav,2,-12.61737498033841,-17.161914845525857,-21.48391222657208,-23.509714703672657,-25.380867625453206,-26.831663541482428,-29.423582376886515,-31.80485684541849,-33.32044030243501,-34.31281170288666,-35.25353928100735,-37.04314905850164,-37.87150755890126,-38.36706441618089,-38.87646280015937,-39.950567594955594,-41.18512256648846,-42.47423164745626,-43.34090001141986,-44.58841274887885,-45.6543057424863,-46.71216083599693,-47.68076900143198,-48.48566035539035,-49.0977273813167,-49.56464416662389,-50.26668841805125,-50.95402495453947,-51.75000007587524,-52.398079123225585,-53.461722430975236,-54.36278306343962,-55.81377595843024,-57.126933322143586,-61.62938753871232,-77.59861663137063,-79.92980006660007,-79.9329530213694,-79.93611322114505,-79.93945930971321,-79.94275915034605,-79.9461186992639,-79.9494742623461,-79.95281589749345,-79.95615317292865,-79.95947277489633,-79.96274410259188,-79.96596388012173,-79.96915049989212,-79.9722841342594,-79.97503576374969,-79.97705300976156,-79.97898991355869,-79.9807863419828,-79.98168256382354,-79.98252866302363,-79.98332489892412,-79.98406542709624,-79.98474171495113,-79.98534325467679,-79.98586898352164,-79.98629676032562,-79.98662580841386,-79.98683200340119
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-005 TP6_seg-1.wav,WEBSS-005 TP6_seg-1_seg1,WEBSS-005 TP6_seg-1.wav,0,-15.847687003977759,-18.271032470591262,-18.84395782220963,-17.359609986897826,-18.19793018734563,-24.251245705933343,-26.05771556588543,-27.315392641737542,-28.788655198018034,-31.8208949743007,-33.962030666304614,-35.01369114930399,-35.46577795106738,-38.3196287062129,-42.48928116470911,-45.94762295363787,-48.253828123979126,-49.482788718571435,-51.36060463235595,-52.96116533425157,-53.924080004174996,-54.70775946547577,-55.13967817602966,-56.31912973906491,-57.03478975069184,-57.62503142825739,-57.651729041572764,-58.71576732780036,-60.44326791061016,-62.43159828449921,-64.17489042666509,-65.45705235126887,-66.49303019054834,-67.34217125011789,-70.96803929721,-79.74886489973215,-79.92016250284675,-79.93403825857345,-79.94407408329081,-79.95210551182636,-79.95865961639613,-79.96321667476468,-79.96623107462663,-79.96900284511695,-79.97160646220843,-79.9740811245965,-79.97643962066017,-79.97870401415616,-79.98090415791737,-79.9830377228483,-79.98507526378302,-79.98707607764682,-79.98898893536139,-79.99082041392144,-79.99258364797795,-79.99424615765462,-79.99580967876103,-79.99701475149308,-79.99768664246356,-79.99828459832452,-79.99880748259967,-79.99923297650145,-79.99956028617052,-79.99976560629975
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-005 TP6_seg-1.wav,WEBSS-005 TP6_seg-1_seg2,WEBSS-005 TP6_seg-1.wav,1,-15.30398577172917,-20.170532750050608,-22.753717578794202,-20.97613610137149,-21.72947874027627,-27.138829361249723,-29.54897668244118,-30.984039391716717,-32.58548011884476,-35.04301487710228,-36.898471296450396,-37.19417521592617,-37.349048165949625,-39.81777542680511,-43.109213755678816,-46.6379296778204,-48.69443114708921,-50.63203605406292,-52.29454013081636,-53.53035544408104,-54.8593088479461,-56.09218130537039,-56.438129335135635,-57.137977556078205,-57.80770904452708,-58.339619888090255,-58.525548049991784,-59.211172467977974,-60.815019902105625,-63.180734037389044,-65.09698869402706,-66.5307548571541,-67.02855685898258,-67.95945261647135,-71.92187934941872,-79.97066476434983,-79.97435104322881,-79.9757334798019,-79.97699835123514,-79.97826642139181,-79.97948432265837,-79.98069913483316,-79.98189623077967,-79.98307631051773,-79.98424552177207,-79.985400965878,-79.98653383796974,-79.98764435808931,-79.98873932506419,-79.98981312248013,-79.99084526947655,-79.9918643261112,-79.99284218989311,-79.99378039519796,-79.99468452265826,-79.9955376547005,-79.99634025240181,-79.9970864187747,-79.99776761333082,-79.9983734868308,-79.99890273406311,-79.99933323667588,-79.99966448756105,-79.9998719025272
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-005 TP6_seg-1.wav,WEBSS-005 TP6_seg-1_seg3,WEBSS-005 TP6_seg-1.wav,2,-14.078907597435702,-17.837239268391585,-19.957758999274397,-17.21856655232809,-17.85781421725392,-23.338017837187863,-25.178424886766933,-27.015011966763534,-27.59602602383047,-30.513282193679757,-32.934236253357035,-33.841161493063474,-34.4475706722588,-36.51852831398646,-39.70992982221114,-43.38751966324072,-45.52167256950725,-46.5943539542535,-48.14590472616792,-49.58330362748784,-50.87596936940006,-51.70730162919108,-52.395158289558466,-53.23175217619726,-54.01122389700454,-54.65530455485114,-55.242154374111855,-56.31201100225998,-57.882022375090685,-59.6656140479492,-61.158327184020045,-62.73433900413855,-63.94623225802007,-64.89615252110072,-68.72768660104862,-79.62548174756246,-79.7500577452103,-79.75957971967667,-79.7673860647058,-79.77452461617122,-79.78101844168171,-79.78718953392158,-79.79305819844001,-79.79868155420853,-79.80412211687661,-79.80939490657644,-79.81448612436196,-79.819411873309,-79.82421164533397,-79.82887085839374,-79.83332102462134,-79.83767762888519,-79.84183481419208,-79.84580276648721,-79.84960859624121,-79.85318659521784,-79.85654079943372,-79.85965046344917,-79.86248220372222,-79.86499580762896,-79.86718725422278,-79.86896827921032,-79.87033594419157,-79.87119277363442
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP008_WWS.wav,KP008_WWS_seg1,KP008_WWS.wav,0,-11.989558170063825,-16.38349318913822,-16.52548301127289,-18.220623384089272,-23.331629111512544,-28.830499718431685,-33.12063329197728,-36.50069725514946,-39.95123908949163,-41.46315172471989,-42.666697108135025,-43.322901867153455,-44.039085100418,-45.52304930693432,-46.668784113555766,-47.12798572160754,-49.35374024083416,-51.27645421565301,-52.879077175338395,-53.821155487994716,-54.14341000955036,-55.19682921073315,-56.167487803764494,-56.487823845273304,-57.22297749751364,-57.767041400162476,-58.297201393046905,-58.8161582717371,-59.09764654916176,-59.162276243461925,-58.91395234912265,-59.361263604162495,-59.63532253311437,-59.31988141089333,-63.82425943051525,-79.35030673195597,-79.85404452868728,-79.86391122704174,-79.87078778306415,-79.87665726118871,-79.88134276122501,-79.88492624854459,-79.88841685468464,-79.89184034010813,-79.89522777828306,-79.89857622428462,-79.90186327299418,-79.90509044368864,-79.90827890669067,-79.9114107172273,-79.91442837737415,-79.91741231351824,-79.92027976025079,-79.92303471489119,-79.92569398248665,-79.9282061373344,-79.93057161386197,-79.93277353181317,-79.93478512799867,-79.93657531448982,-79.9377587815452,-79.93861264246053,-79.93926962669535,-79.93968139371984
