file_path,filename,original_filename,segment_index,logmel_0,logmel_1,logmel_2,logmel_3,logmel_4,logmel_5,logmel_6,logmel_7,logmel_8,logmel_9,logmel_10,logmel_11,logmel_12,logmel_13,logmel_14,logmel_15,logmel_16,logmel_17,logmel_18,logmel_19,logmel_20,logmel_21,logmel_22,logmel_23,logmel_24,logmel_25,logmel_26,logmel_27,logmel_28,logmel_29,logmel_30,logmel_31,logmel_32,logmel_33,logmel_34,logmel_35,logmel_36,logmel_37,logmel_38,logmel_39,logmel_40,logmel_41,logmel_42,logmel_43,logmel_44,logmel_45,logmel_46,logmel_47,logmel_48,logmel_49,logmel_50,logmel_51,logmel_52,logmel_53,logmel_54,logmel_55,logmel_56,logmel_57,logmel_58,logmel_59,logmel_60,logmel_61,logmel_62,logmel_63
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP001_WWS.wav,KP001_WWS_seg1,KP001_WWS.wav,0,-45.742064532606676,-27.59747234873962,-23.096429427053494,-25.01108167789319,-27.40527270170364,-31.45154955764661,-37.11403117830615,-41.95309793986849,-45.802960841013906,-48.20113115058014,-50.62040670771716,-52.576029555944125,-53.651785429956675,-54.952897177989044,-56.57699972049784,-58.36671286486434,-60.63040031930909,-61.85795837732611,-63.54374737565911,-64.46572071068626,-65.70133749282796,-66.52681904166293,-67.19238417288283,-67.77572692766645,-68.00165421008661,-68.87087782143055,-69.32080313261487,-69.72163165774106,-70.11363802899423,-70.59203055658224,-71.80831962432389,-73.0835253125808,-74.09193567155499,-75.36228215839783,-78.39292990202847,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP001_WWS.wav,KP001_WWS_seg2,KP001_WWS.wav,1,-51.08966766616875,-32.82382160445756,-28.41330002938388,-29.778404125556154,-31.94568367919004,-36.24639826219772,-41.48125698970593,-46.24106833560458,-50.23807974127296,-52.704437906391654,-54.95092286718416,-56.671086087593046,-57.56130637894297,-58.62243155567111,-60.027907895337805,-62.35401784597644,-64.27609396526714,-65.95472166081012,-67.6587973456127,-68.72866538522861,-69.6221634219789,-70.38579933430917,-70.94086672776794,-71.41786507259211,-72.03639304973471,-72.46455902103824,-72.94308970747342,-73.35528325807196,-73.54714124711184,-74.02647877992047,-74.99055772681078,-75.96896724166291,-76.9814205470535,-77.68177555382172,-79.54756151885773,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP001_WWS.wav,KP001_WWS_seg3,KP001_WWS.wav,2,-56.19123590708545,-37.38996991947464,-33.15807951584492,-35.3294865844138,-36.73650659864876,-40.340571046620695,-43.4911762563361,-45.95041788109101,-48.49769092970167,-50.060917481288534,-51.75013198269361,-52.66265090166393,-53.83670997018937,-55.298372745437206,-56.86416900641895,-57.81861506614897,-59.98117723996826,-62.168891336400165,-63.36409086330443,-64.11073752015669,-64.76090338859629,-65.35898210624329,-65.70528145536906,-65.81278913538674,-65.83327740997335,-66.396956675004,-66.92548715292651,-67.31267118933111,-67.5591441822158,-66.75086612754744,-67.71052257535251,-69.33392613156433,-70.12270730956281,-71.11323338747373,-75.9107730513888,-79.9842141847158,-79.99383048555558,-79.99846651442378,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP011_WWS.wav,KP011_WWS_seg1,KP011_WWS.wav,0,-38.1139318193132,-22.205154715472794,-18.34875318967147,-19.10590429574333,-21.15920381484041,-22.786556205769433,-25.44052887303027,-27.646373577768653,-29.068552867062568,-30.064474879302985,-31.09983414624521,-32.66156434374625,-33.81208099422345,-34.32711399209008,-34.880080712408606,-35.97455845951961,-36.89611545881493,-38.013565578366105,-39.541229033780965,-40.62446876025582,-41.61412206803475,-42.67650007397772,-43.576976721566346,-44.1946687094077,-45.33847187542534,-46.03626657836444,-46.60913791761236,-47.71246648965952,-48.404631123531225,-49.19496646650663,-50.75620115017708,-52.011811605355284,-53.72637143099546,-55.95296412128915,-61.12236012598338,-77.60049397320464,-79.90262251501525,-79.91803181452894,-79.931085954032,-79.94303808824229,-79.95394348472283,-79.96405125306211,-79.9699288993197,-79.97504989067406,-79.97986984272342,-79.98442124350494,-79.98872153928238,-79.99279985471722,-79.99451922273589,-79.99584085170203,-79.99710042067227,-79.99832629951246,-79.9994919271819,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP011_WWS.wav,KP011_WWS_seg2,KP011_WWS.wav,1,-36.182576256035375,-19.910944486361974,-16.312946074394777,-17.257442046980596,-19.37357431150411,-20.52906683060287,-23.537924443814077,-25.908205011326494,-27.252053843054966,-28.616635292976675,-29.87251609479825,-31.05008107315396,-32.21482814636318,-32.91481168050931,-33.58180041751931,-34.445987590049825,-35.43465495515383,-36.62448449182367,-37.82603536451889,-39.17420381731956,-40.46255339743051,-41.20912466879382,-42.00683713063327,-42.75926017809814,-43.75855724792019,-44.544635534196715,-45.13905695895194,-45.81773429662999,-46.45993864216292,-47.54659461433719,-49.25813310940273,-50.37653186848203,-51.96180822750616,-54.204714130657884,-59.4847717539191,-76.72002276563003,-79.96295113377496,-79.9647443645487,-79.96595679162134,-79.96719416972358,-79.96838384570701,-79.9695702763051,-79.97073993189545,-79.97189478191058,-79.97304178924945,-79.97417806112438,-79.97529482005507,-79.97639168472696,-79.97747510305314,-79.97853873293832,-79.97956312759932,-79.98057519642195,-79.98154709683905,-79.98248011756365,-79.9833799647344,-79.98422939865462,-79.9850287171845,-79.98577225520992,-79.98645117725691,-79.98705509408374,-79.98758282598385,-79.98801214743068,-79.98834239550403,-79.98854933822498
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP011_WWS.wav,KP011_WWS_seg3,KP011_WWS.wav,2,-42.13849448795746,-26.235187643217127,-22.47464714430372,-23.480845145453078,-25.304178508129464,-26.748474432867518,-29.341769937034996,-31.721879416629037,-33.239221094424806,-34.22946414777831,-35.17208151067473,-36.95888079580958,-37.79007013910339,-38.28489506029854,-38.79577567796532,-39.86740183170914,-41.10417766417961,-42.389027422970024,-43.2583983399019,-44.51159126824461,-45.57358905628187,-46.63782188974239,-47.61419086239842,-48.42382978035928,-49.061128154097354,-49.552819480692925,-50.29856093522427,-51.05919669400141,-51.97349115282037,-52.80587793718845,-54.16511704008494,-55.49111791865898,-57.597672114324425,-59.823839963196946,-65.2406083448484,-78.90347454273856,-79.98903435051018,-79.99059010653471,-79.99225202594445,-79.99410088748282,-79.9960269340219,-79.99802455058337,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-005 TP6_seg-1.wav,WEBSS-005 TP6_seg-1_seg1,WEBSS-005 TP6_seg-1.wav,0,-46.79305207837316,-25.57326673301356,-19.76438215017557,-17.400460096198728,-18.19909070841211,-24.249133016842897,-26.054798806243564,-27.312805327824577,-28.785688007535562,-31.817023310786542,-33.95816380296779,-35.009032037447874,-35.46251760931577,-38.31819389171571,-42.486660435380244,-45.94415567516799,-48.25117207744898,-49.48258651794534,-51.35965306943359,-52.95983287009755,-53.92800209797237,-54.713207000111716,-55.15137460022939,-56.342062526444515,-57.07524904094309,-57.69935938670707,-57.772951850900924,-58.90212376735932,-60.74139031715263,-62.91223149032756,-64.94657110408788,-66.67342690246147,-68.38324675650607,-70.15652180675066,-74.60798691110207,-79.83304025237439,-79.95544799298992,-79.96727017020208,-79.97660886460854,-79.98281245967665,-79.98628433426953,-79.989370128948,-79.99211212131816,-79.99456321918427,-79.99677619118492,-79.99878915980197,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-005 TP6_seg-1.wav,WEBSS-005 TP6_seg-1_seg2,WEBSS-005 TP6_seg-1.wav,1,-47.157023017102055,-28.703377132688022,-23.71143337894496,-21.023312852035183,-21.73335729096223,-27.134145664997664,-29.54556070765524,-30.982747853572953,-32.5853984784849,-35.039888045023794,-36.89831740134728,-37.19113603085282,-37.34579140781025,-39.812950033865434,-43.10592935382375,-46.63758325217742,-48.693498994177816,-50.62388437983974,-52.29078522251146,-53.530300286604664,-54.86128351177064,-56.099741787149604,-56.44946915750411,-57.1632329701385,-57.84938314370488,-58.40257401420604,-58.64262733986602,-59.399427517178516,-61.112289340265434,-63.66106335008636,-65.85101961629844,-67.71171069430464,-68.88102677325504,-70.73004922209729,-75.43652403194936,-79.90862445495357,-79.91344234043478,-79.91763071786188,-79.92153057007799,-79.92542801272073,-79.92915378897415,-79.93285512065165,-79.93649359306444,-79.94007491404406,-79.94361985313668,-79.94712022260782,-79.9505506934306,-79.95391135042081,-79.95722274720504,-79.96046697662034,-79.96358676499224,-79.96666372536997,-79.96961506381069,-79.97244531925601,-79.97495284119853,-79.97666967759098,-79.97828395719495,-79.97978456331757,-79.98115399497418,-79.98237160353976,-79.98343511275944,-79.98430011260281,-79.98496526836546,-79.98538204630019
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-005 TP6_seg-1.wav,WEBSS-005 TP6_seg-1_seg3,WEBSS-005 TP6_seg-1.wav,2,-45.53100910703601,-25.746481039575393,-20.950163216836568,-17.268553978591243,-17.872636008392362,-23.34505217088765,-25.177300647861358,-27.009656854301703,-27.59721011040065,-30.513828493744697,-32.93912336516293,-33.839247444643796,-34.446707361656756,-36.520133911094334,-39.705191471717434,-43.38207443599891,-45.54299379828141,-46.61182245624197,-48.174871161804504,-49.60554735267831,-50.89397808785237,-51.72691436838816,-52.43419517045738,-53.263507315944814,-54.04177004455834,-54.75295738290386,-55.380138830575646,-56.52037990636727,-58.216080867113924,-60.18478207038706,-61.98304871223401,-63.998122109518064,-65.87632348761653,-67.7617806828555,-72.50691286849685,-79.88937783351093,-79.9163934884128,-79.92564979836418,-79.93306123182097,-79.93972596851543,-79.9458895612778,-79.95152511708213,-79.95438967845396,-79.95716900941538,-79.9598769062049,-79.96251351918693,-79.9650725527578,-79.96755592862124,-79.96997078416724,-79.9723106095133,-79.97455710088505,-79.97673659524014,-79.97881960270728,-79.98080678479548,-79.98270132232928,-79.98448299209663,-79.98614881316314,-79.98768857875234,-79.98908806305946,-79.99033058385007,-79.9914070736782,-79.9922859797684,-79.99295533402172,-79.9933770491203
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP008_WWS.wav,KP008_WWS_seg1,KP008_WWS.wav,0,-42.88086868043532,-22.61114702566672,-17.07447433701375,-17.92797392253416,-22.983676389370295,-28.481764894039227,-32.774643791620356,-36.1511739691963,-39.60454843594671,-41.11258173964715,-42.31177670257713,-42.97437353269696,-43.69041067999289,-45.176468577792434,-46.327754164534255,-46.7869733700143,-49.012377932360785,-50.92785435392347,-52.53739570208883,-53.47785666329592,-53.82009027167743,-54.86424311824849,-55.83549767785826,-56.19696165492172,-56.92987227195815,-57.501693233315486,-58.07974048456496,-58.67040057235439,-59.06287347689623,-59.329756253763314,-59.373734847337474,-60.24433691953677,-61.248440176524575,-61.775470661461966,-67.1728226251135,-79.92599669500491,-79.97649016383772,-79.98743404581273,-79.99501727673672,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
