file_path,filename,original_filename,segment_index,logmel_0,logmel_1,logmel_2,logmel_3,logmel_4,logmel_5,logmel_6,logmel_7,logmel_8,logmel_9,logmel_10,logmel_11,logmel_12,logmel_13,logmel_14,logmel_15,logmel_16,logmel_17,logmel_18,logmel_19,logmel_20,logmel_21,logmel_22,logmel_23,logmel_24,logmel_25,logmel_26,logmel_27,logmel_28,logmel_29,logmel_30,logmel_31,logmel_32,logmel_33,logmel_34,logmel_35,logmel_36,logmel_37,logmel_38,logmel_39,logmel_40,logmel_41,logmel_42,logmel_43,logmel_44,logmel_45,logmel_46,logmel_47,logmel_48,logmel_49,logmel_50,logmel_51,logmel_52,logmel_53,logmel_54,logmel_55,logmel_56,logmel_57,logmel_58,logmel_59,logmel_60,logmel_61,logmel_62,logmel_63
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP001_WWS.wav,KP001_WWS_seg1,KP001_WWS.wav,0,-19.022164996393894,-6.106326471929671,-4.067175822145842,-4.876639949883382,-5.985199544901236,-8.437021689412838,-12.498790249124726,-17.13593430810723,-21.09659567270129,-24.010278679259866,-27.418938049891032,-30.49210194039963,-32.16213640304549,-34.385459530177286,-36.95057507356847,-39.585408108006455,-43.12933762185049,-45.433541471885135,-48.54808388760378,-50.434137134176446,-52.89399108508728,-54.54968261313835,-55.87397329841263,-56.80411330235831,-57.347248052109244,-58.97682843349728,-59.94788896113269,-60.65132256801134,-61.45443314059853,-62.61952773314363,-64.87108066417113,-67.28183767154358,-69.24126958227843,-71.72561837332216,-76.32248579736303,-79.77832663538265,-77.61971098253771,-75.46245650799199,-70.72710322207384,-68.0168069377423,-66.20995285786645,-67.35927496862462,-67.24865591416003,-64.65702924259794,-62.948274764412865,-66.09476935744067,-64.59265047929344,-63.841947577520756,-61.30038261316056,-57.86567090836577,-58.151418811980385,-62.37822509636843,-63.81927675087347,-63.93984940459246,-63.25931035144829,-65.40987966398374,-65.07034061914955,-65.06354345769971,-62.681450070586486,-61.42498719145022,-59.90204142230726,-58.53295465024524,-55.7901025735928,-53.163038855114145
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP001_WWS.wav,KP001_WWS_seg2,KP001_WWS.wav,1,-23.876829705362013,-8.831465962563353,-6.448603837270357,-7.649418417124729,-9.19617949456982,-12.152566400421952,-16.777351319139317,-22.00472341649736,-26.401023135955903,-29.63865324654589,-32.593199670923596,-35.403172181767815,-36.966017572732156,-38.89658964149311,-41.15236596003389,-44.809826831941116,-48.04986866229739,-51.3202360207038,-54.617988496873245,-56.826988272266696,-58.63501634257002,-60.189770444229886,-61.248701044002416,-62.31260551048423,-63.53868465409162,-64.49363229123333,-65.29777127072947,-66.36293087906371,-66.80269097500276,-67.65228859544645,-69.58943229144475,-71.513956907763,-73.49526524967922,-74.96247492835603,-78.09532872488175,-79.84270050613159,-79.20074495021768,-75.58979552953481,-71.03981848760424,-68.87236941388635,-67.38839216125241,-67.0628794421704,-66.96094438651832,-67.61682239611429,-67.86707109964138,-67.94258169459927,-67.91792136624255,-66.87121250982464,-62.49255160998889,-60.87696014755698,-59.211430066298874,-62.360679703120894,-63.941248871047925,-64.15648722486623,-67.65584930287191,-65.68185406797208,-64.77380005142348,-69.14746545336298,-66.20548813824236,-61.802215234381755,-64.72392553389335,-62.7983184229759,-58.659890286488185,-50.73929506992794
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP001_WWS.wav,KP001_WWS_seg3,KP001_WWS.wav,2,-34.406677271003836,-13.202828604354774,-10.168431134729271,-13.128000407666448,-14.400988282069202,-18.75936654119442,-22.180974053780957,-25.034191485868774,-28.057312113903205,-30.726479778613857,-33.50628494499347,-35.16795717259288,-37.24069038143719,-39.7051658406344,-42.29100565938915,-43.825924220638306,-47.43075091632539,-52.09739181966936,-54.593807461209074,-55.93004363474847,-57.48011308418533,-58.38205321554519,-59.10784557873159,-59.10441605782391,-59.26834888972563,-60.513357040554176,-61.502275637969944,-62.2863526194931,-62.8774798727256,-61.29434078262148,-63.09435673288599,-66.27014337831062,-67.9992936840867,-69.99534994782839,-76.27390959293058,-79.83625445646807,-79.43996986918836,-79.09100530102194,-78.18050921940849,-78.02016166595897,-76.30643333590498,-74.99742824963363,-74.58909719292704,-75.93722306046998,-74.30134328720291,-73.8861979664303,-72.03048731193319,-71.67528881911048,-71.15066285117884,-64.65811441844163,-62.63448015468018,-63.854932548612965,-62.66099645060155,-62.82788581980804,-63.443632716451965,-61.34864425380136,-58.804119918955124,-59.533897719963385,-55.50561950958177,-55.05371497809943,-59.41170958183779,-58.755902892324706,-58.65342944846292,-58.82650509359859
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP011_WWS.wav,KP011_WWS_seg1,KP011_WWS.wav,0,-18.016333668673013,-5.121483746923163,-3.3862450349139377,-3.7680985456814557,-4.294296624463061,-4.927216496161122,-5.981805676596737,-6.951133115916848,-7.71652395217289,-8.525641397099472,-9.382521700169006,-10.86184968542808,-12.256594505419509,-12.825119614778737,-13.657890341225553,-14.954712865325334,-16.009047366057185,-17.46016537172448,-19.49133184902378,-21.021607684167815,-22.42881605565815,-24.099715641269636,-25.51112786349884,-26.630795097491024,-28.64259721304711,-29.879561178515505,-30.84539267655767,-32.843897519049,-34.23639860221489,-35.5795534663436,-38.35018985739977,-40.62383792953106,-43.71971438546264,-48.01300789524568,-55.91988989400943,-76.21162893203591,-78.83600266042653,-77.33889286868532,-75.99616605658129,-74.29809654682504,-75.12811264038673,-75.0639098921138,-73.07985987407005,-70.2645830712767,-68.9166717960118,-70.44943663473416,-70.33321653807052,-69.49459622525222,-69.39080916875747,-65.28188277664778,-64.02320462394586,-64.58261702114169,-63.58320380406908,-64.58495366158924,-63.54426413659293,-61.11400825610728,-62.888017835699046,-63.657162445544955,-56.9558054329505,-51.21327522663299,-51.66783859554072,-52.87985146733837,-51.93858427172081,-55.053618694387644
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP011_WWS.wav,KP011_WWS_seg2,KP011_WWS.wav,1,-17.18194256834975,-4.713191824636983,-3.3454838563608797,-3.655529458044762,-4.220501708599468,-4.584987706269313,-5.824830793346397,-6.9278949676114445,-7.658825465237899,-8.452248401605463,-9.46350115837206,-10.676008843521634,-11.995518941373648,-12.77850663736242,-13.72791985044025,-14.737005473116724,-15.871924623461016,-17.452592647628194,-18.976690270133613,-20.76358961250698,-22.57966100787427,-23.537143286025596,-24.814872369751594,-26.11193343387005,-27.84861046220781,-29.26321975195943,-30.314665066138513,-31.570683217812142,-32.874391201928674,-34.74612351828732,-37.75210460562501,-39.68285484708649,-42.52756598713629,-46.58315230125938,-54.58221631630287,-75.03433661741225,-79.61031398421845,-79.13812295465951,-77.19775409670295,-73.25046278299772,-69.88619103894071,-68.24689731311359,-67.89947591081929,-67.46511749632019,-68.7706848995942,-70.437261364835,-71.02273000612807,-71.69455884800453,-69.64257809646416,-62.71459535234061,-61.41285235982709,-64.56407804835595,-64.34314732361659,-63.889708134084486,-62.55511529459869,-64.98820683389016,-65.04778718026633,-59.40398548571758,-55.67735293822346,-53.526728432042724,-53.88473195438096,-55.34340121562571,-50.48240705885364,-52.050192368737605
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP011_WWS.wav,KP011_WWS_seg3,KP011_WWS.wav,2,-16.99521982652839,-4.674861216375315,-3.352818984309974,-3.593005071249353,-3.8748984567149916,-4.241426010991036,-5.173884818381503,-6.03307456482181,-6.856421691341672,-7.378003599821237,-7.910631755086059,-9.380286271358122,-10.269498690206122,-10.869220342954165,-11.708370555811939,-12.774942467138976,-14.18157218857612,-15.73302072283695,-16.641010662613947,-18.362224087062376,-19.82641671900309,-21.34430564130766,-22.834805174010956,-24.20572571354103,-25.190393941610452,-25.96402978382479,-27.328219888524206,-28.708540481224958,-30.248690316929164,-31.734436838455757,-34.10032379965883,-36.42926914131039,-40.35757574898949,-44.38778623601713,-52.77022754205479,-75.54024154250848,-79.74468085025381,-77.94830841043286,-78.09508111802054,-77.39294184119623,-75.48252581960195,-75.32498090417785,-74.33297381394928,-73.79215862630599,-71.80134768256842,-70.69973442775724,-70.67406800934846,-70.93192752586424,-67.20658901655655,-61.620724674453385,-61.92283895382024,-66.04217243441117,-66.72155862160328,-64.400151181332,-62.33107666716657,-61.887765987681654,-60.885257167226804,-61.88897897024183,-56.83535691155066,-52.762671113497966,-46.99428716961935,-46.73774470792951,-51.77166222172222,-57.682685171336004
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-005 TP6_seg-1.wav,WEBSS-005 TP6_seg-1_seg1,WEBSS-005 TP6_seg-1.wav,0,-18.000916559734506,-5.402782868175438,-3.529989082436194,-3.8017288205128716,-3.8933188905581955,-4.209875804663993,-4.334523523985392,-4.803474956068638,-5.302107551464445,-5.909440947809492,-6.059801123234571,-6.39437128646636,-6.784165990477383,-8.472725843567032,-11.310120570006355,-14.783680335960328,-17.921706130949413,-19.663169897797466,-22.453535123020064,-25.025190044617386,-26.727511044143437,-28.135975735120173,-28.8978549113445,-31.065991267760094,-32.336955987447396,-33.46179755103768,-33.667911912021694,-35.76081415573155,-39.28521621223882,-43.47532881428107,-47.429995707881005,-50.92543055447595,-54.2316379925688,-57.803583387307064,-64.66276913025473,-79.25714057064728,-79.06025529748892,-75.71270339983695,-73.6209093517618,-72.51788317409772,-73.77451736938508,-74.98952683704833,-74.76117952956845,-74.1458425628911,-74.85930915269908,-74.95440243430471,-74.10023677756058,-72.94352038674957,-69.75082476880698,-64.69970508801072,-64.44454685186318,-64.59698162338981,-66.541775964212,-65.7511106671491,-66.68265860548219,-64.54140313816394,-61.460414731125326,-60.473561339792354,-62.142133248655625,-60.719386001576844,-57.898560147210674,-61.8396524876262,-54.090874307518604,-49.362458720055464
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-005 TP6_seg-1.wav,WEBSS-005 TP6_seg-1_seg2,WEBSS-005 TP6_seg-1.wav,1,-20.189186793785048,-9.104643865440563,-7.588112569972459,-7.88675493067887,-7.871576234508913,-8.062305108474316,-8.359503653447883,-8.868370917656895,-9.462478379329422,-9.938071203268287,-10.220531823009985,-10.204929803318853,-10.499068314260223,-11.884785522515143,-14.132202471178935,-17.20588561190213,-19.635386363888063,-22.145232265535423,-24.487130019876652,-26.51856705376897,-28.625847446837515,-30.605932520460115,-31.435552590079894,-32.53434760945601,-33.81099202703464,-34.786457953159626,-35.295502566140165,-36.72425722861553,-39.85324559587036,-44.65293781327809,-48.86841460023214,-52.74590541812954,-55.103734660149954,-58.46042286585838,-65.86180640442049,-79.54672107599717,-77.98864438614403,-76.93228036417413,-75.840424409086,-73.83608982332214,-73.55976886091273,-72.73341694231478,-72.66872291971495,-71.9201925646748,-73.27439391726638,-72.54528237638483,-71.79620984503181,-70.62757072074216,-68.92642794846722,-64.94014397857158,-64.0292834146403,-69.05259959278678,-70.24094581501471,-66.35845791134598,-64.49093268160031,-64.82081203819608,-62.87706356834553,-63.806849835607736,-64.1872028855196,-60.33173156891445,-58.87143921332132,-57.67201376425096,-57.20350663930245,-57.26120569805443
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/WEBSS-005 TP6_seg-1.wav,WEBSS-005 TP6_seg-1_seg3,WEBSS-005 TP6_seg-1.wav,2,-19.2528509395469,-5.896047207094536,-3.7852808405474008,-4.07111692342102,-4.035182897098023,-4.578394257891554,-5.0901006012677845,-5.573870799836647,-6.041003696006039,-6.845283614500455,-7.247544679813265,-7.541600501885064,-8.059057380251938,-9.487103942236931,-12.05112580036506,-16.09915939547891,-19.054710734676,-20.655851553322183,-23.14492576858756,-25.729195372538854,-28.02904940348959,-29.582057726039423,-30.93966962587353,-32.27305958475812,-33.58641718163158,-34.990155488789476,-36.37564957080112,-38.270749309340495,-41.5142121706528,-45.22813023222968,-48.66447879143595,-52.55262180896258,-56.40156133955346,-60.184343709366985,-67.4194092919001,-79.56708188499036,-79.6604666922022,-76.93528732589422,-74.35819848536761,-71.94040408023872,-71.94399737879476,-73.69072474862746,-75.9480815015677,-73.42204978400575,-73.26262145905636,-75.03049514220216,-71.19722037959362,-67.36178432561277,-65.17508802736712,-63.680073908419935,-62.986321118472446,-65.53739821445241,-66.45357660350125,-64.9480433322492,-65.32811206031218,-63.21488385229312,-61.8160961853782,-59.120120489486524,-62.61703032109705,-67.98229973871757,-59.04211357389803,-52.425520244093796,-50.61805853417112,-51.186801014101704
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/ML test sound list/RAW sound_ML test sound list/KP008_WWS.wav,KP008_WWS_seg1,KP008_WWS.wav,0,-17.37705425261027,-4.896590219241172,-3.2359460909037736,-3.5727430869624084,-4.7446053238311094,-6.277531451895241,-8.26762215817922,-10.295714006681244,-13.219831789513492,-14.531329690774964,-15.484939783922659,-16.312449808781043,-17.163405901843014,-18.950608681151145,-20.161949024991095,-20.636810394017335,-24.402244345872905,-27.527527908602234,-30.269357550229746,-31.79022054218878,-32.50896437416556,-34.407408928076585,-36.20359752121408,-36.826643992905936,-38.32556423273407,-39.42321832667376,-40.51590913413166,-41.53184381319023,-42.41686313235013,-42.835164059817025,-42.896098156173,-44.57023174008689,-46.30419330947243,-47.166373042586216,-55.72401016193357,-78.5904208988391,-78.81026071022583,-77.88308729246987,-77.90748606770536,-76.31181800645264,-76.07058369063289,-73.719687224839,-74.04594004303151,-72.07076171111284,-71.38012199486671,-71.05802501376778,-69.49495168908145,-69.18963693497165,-69.17715451715962,-65.56854128026619,-64.95704232327829,-65.84823994039876,-66.46997854945221,-66.44492285870157,-63.509911082476386,-61.094167090802635,-60.82918652429906,-63.388091090451255,-61.862575941928256,-59.281373989755586,-56.65463448895634,-52.45037341078519,-52.57572098534789,-51.66517300511698
