Rank,Method,Name,Feature_Type,Best_Silhouette,K3_Silhouette,K4_Silhouette,K5_Silhouette,Quality_Score
1,B2NoSeg,B2_NoSeg_FullPipeline,Handcrafted,0.4067610277732562,0.4067610277732562,0.29355090461122896,0.0,0.4061952932568314
2,A4NoSeg,A4_NoSeg_PeakNormalize,Handcrafted,0.36194626450314055,0.36194626450314055,0.3159709471525728,0.2702788244522102,0.3598401920433305
3,A0NoSeg,A0_NoSeg_NoPre,Handcrafted,0.3619458745070175,0.3619458745070175,0.31597099750228524,0.2702785056421263,0.3598398318452547
4,D0Seg,D0_Seg_HighPass_PeakNormalize,Handcrafted,0.356957081773344,0.356957081773344,0.2835283749071608,0.2858501709385766,0.3568577938854155
5,D1Seg,D1_Seg_HighPass_Bandpass,Handcrafted,0.35556364376716226,0.3509808502168715,0.35556364376716226,0.3241109114833424,0.3507835966961109
6,A2NoSeg,A2_NoSeg_SpectralGating,Handcrafted,0.3513949667381998,0.3449712056102018,0.3513949667381998,0.0,0.3449712056102018
7,A1NoSeg,A1_NoSeg_Bandpass,Handcrafted,0.348880120429956,0.348880120429956,0.2997699317349524,0.2932484713155267,0.348880120429956
8,B1NoSeg,B1_NoSeg_PeakNormalize_Bandpass,Handcrafted,0.34888008827621636,0.34888008827621636,0.2997699499089456,0.2932484748841949,0.34888008827621636
9,C4Seg,C4_Seg_PeakNormalize,Handcrafted,0.3244015033103146,0.3244015033103146,0.28308886015779644,0.28101388353349466,0.3233488521710598
10,C0Seg,C0_Seg_NoPre,Handcrafted,0.32440146466964037,0.32440146466964037,0.2830887798317584,0.28101398929187293,0.32334881581742003
11,C2Seg,C2_Seg_SpectralGating,Handcrafted,0.32300456468782024,0.2872967166450692,0.29756337135161953,0.32300456468782024,0.2818896549079971
12,C1Seg,C1_Seg_Bandpass,Handcrafted,0.31804526947032435,0.31804526947032435,0.3055211627562797,0.261711829151782,0.31703618735762895
13,D2Seg,D2_Seg_FullPipeline,Handcrafted,0.31131592704490296,0.31131592704490296,0.1792770785859717,0.1903959997197635,0.3082173986001695
14,A3NoSeg,A3_NoSeg_HighPass20,Handcrafted,0.3073436610371779,0.3073436610371779,0.25521797809518504,0.2800927375874923,0.30628489542774046
15,C3Seg,C3_Seg_HighPass20,Handcrafted,0.27321063296514797,0.27321063296514797,0.2724565129345032,0.25703228950122814,0.272770725779885
16,B0NoSeg,B0_NoSeg_Bandpass_SpectralGating,Handcrafted,0.0,0.0,0.0,0.0,0.0
1,D1,Seg_HighPass_Bandpass,OPERA-CT,0.2667006856261322,0.2562993908104088,0.2438391628268201,0.2667006856261322,0.0
2,C1,Seg_Bandpass,OPERA-CT,0.2666031144158277,0.2562449374899581,0.243739882399231,0.2666031144158277,0.0
3,C4,Seg_PeakNormalize,OPERA-CT,0.2604170831298212,0.2604170831298212,0.2363036752224173,0.250031318636404,0.0
4,C0,Seg_NoPre,OPERA-CT,0.2596917888430579,0.2596917888430579,0.2353185939921225,0.1970792374802157,0.0
5,B1,NoSeg_PeakNormalize_Bandpass,OPERA-CT,0.249252987448077,0.249252987448077,0.238081160685874,0.2322881208652529,0.0
6,A1,NoSeg_Bandpass,OPERA-CT,0.2492227786675827,0.2492227786675827,0.2379353405322472,0.2321437113217758,0.0
7,B2,NoSeg_FullPipeline,OPERA-CT,0.2306092209961602,0.215757019001711,0.2306092209961602,0.1611337301738807,0.0
8,B0,NoSeg_Bandpass_SpectralGating,OPERA-CT,0.230516000912739,0.2155447083228891,0.230516000912739,0.2277095199393878,0.0
9,D0,Seg_HighPass_PeakNormalize,OPERA-CT,0.2213102572932019,0.1439825394687957,0.2213102572932019,0.1776153394786324,0.0
10,C3,Seg_HighPass,OPERA-CT,0.2212871872854261,0.1439953148038705,0.2212871872854261,0.1778913907575549,0.0
11,D2,Seg_FullPipeline,OPERA-CT,0.2156769373249391,0.2156769373249391,0.1991169531211395,0.1861225476210279,0.0
12,A2,NoSeg_SpectralGating,OPERA-CT,0.1972196250800262,0.1972196250800262,0.1721148376498551,0.1346681768269898,0.0
13,A3,NoSeg_HighPass,OPERA-CT,0.1971903456808377,0.1811609410831732,0.1971903456808377,0.1590483124143684,0.0
14,A4,NoSeg_PeakNormalize,OPERA-CT,0.1958722782257839,0.1810709140947672,0.1958722782257839,0.1596757075080122,0.0
15,A0,NoSeg_NoPre,OPERA-CT,0.1958599393325465,0.1810919245062349,0.1958599393325465,0.1596524169279004,0.0
16,C2,Seg_SpectralGating,OPERA-CT,0.1933731425068512,0.1566503070024649,0.1789093303102456,0.1933731425068512,0.0
