Time_Range,Center_Time,CORRECT_Ground_Truth,Model_Prediction,Match_Status,Visual_Check
27.00-27.25s,27.12s,breathing,non-breathing,MISMATCH,RED under GREEN
0.25-0.50s,0.38s,non-breathing,non-breathing,MATCH,RED under RED
6.50-6.75s,6.62s,breathing,non-breathing,MISMATCH,RED under GREEN
25.00-25.25s,25.12s,breathing,non-breathing,MISMATCH,RED under GREEN
3.00-3.25s,3.12s,non-breathing,non-breathing,MATCH,RED under RED
4.50-4.75s,4.62s,non-breathing,non-breathing,MATCH,RED under RED
20.75-21.00s,20.88s,non-breathing,breathing,MISMATCH,GREEN under RED
1.75-2.00s,1.88s,non-breathing,breathing,MISMATCH,GREEN under RED
8.50-8.75s,8.62s,breathing,non-breathing,MISMATCH,RED under GREEN
13.50-13.75s,13.62s,breathing,non-breathing,MISMATCH,RED under GREEN
13.75-14.00s,13.88s,breathing,non-breathing,MISMATCH,RED under GREEN
19.25-19.50s,19.38s,non-breathing,non-breathing,MATCH,RED under RED
12.50-12.75s,12.62s,breathing,non-breathing,MISMATCH,RED under GREEN
23.75-24.00s,23.88s,non-breathing,non-breathing,MATCH,RED under RED
26.75-27.00s,26.88s,non-breathing,non-breathing,MATCH,RED under RED
28.00-28.25s,28.12s,breathing,non-breathing,MISMATCH,RED under GREEN
9.00-9.25s,9.12s,non-breathing,non-breathing,MATCH,RED under RED
4.00-4.25s,4.12s,non-breathing,non-breathing,MATCH,RED under RED
15.25-15.50s,15.38s,breathing,breathing,MATCH,GREEN under GREEN
2.25-2.50s,2.38s,non-breathing,breathing,MISMATCH,GREEN under RED
10.25-10.50s,10.38s,breathing,non-breathing,MISMATCH,RED under GREEN
27.25-27.50s,27.38s,breathing,non-breathing,MISMATCH,RED under GREEN
12.25-12.50s,12.38s,breathing,breathing,MATCH,GREEN under GREEN
0.50-0.75s,0.62s,non-breathing,breathing,MISMATCH,GREEN under RED
17.50-17.75s,17.62s,breathing,non-breathing,MISMATCH,RED under GREEN
18.50-18.75s,18.62s,breathing,non-breathing,MISMATCH,RED under GREEN
3.25-3.50s,3.38s,non-breathing,non-breathing,MATCH,RED under RED
3.50-3.75s,3.62s,non-breathing,non-breathing,MATCH,RED under RED
13.00-13.25s,13.12s,breathing,non-breathing,MISMATCH,RED under GREEN
4.25-4.50s,4.38s,non-breathing,non-breathing,MATCH,RED under RED
9.50-9.75s,9.62s,non-breathing,non-breathing,MATCH,RED under RED
