Time_Range,Center_Time,CORRECT_Ground_Truth,Model_Prediction,Match_Status,Visual_Check
13.00-13.25s,13.12s,breathing,breathing,MATCH,GREEN under GREEN
12.00-12.25s,12.12s,non-breathing,breathing,MISMATCH,GREEN under RED
4.75-5.00s,4.88s,breathing,breathing,MATCH,GREEN under GREEN
1.50-1.75s,1.62s,breathing,non-breathing,MISMATCH,RED under GREEN
29.50-29.75s,29.62s,non-breathing,breathing,MISMATCH,GREEN under RED
4.25-4.50s,4.38s,breathing,breathing,MATCH,GREEN under GREEN
24.75-25.00s,24.88s,breathing,breathing,MATCH,GREEN under GREEN
6.25-6.50s,6.38s,breathing,breathing,MATCH,GREEN under GREEN
3.00-3.25s,3.12s,breathing,breathing,MATCH,GREEN under GREEN
14.00-14.25s,14.12s,breathing,breathing,MATCH,GREEN under GREEN
28.75-29.00s,28.88s,breathing,non-breathing,MISMATCH,RED under GREEN
5.50-5.75s,5.62s,breathing,non-breathing,MISMATCH,RED under GREEN
26.50-26.75s,26.62s,breathing,breathing,MATCH,GREEN under GREEN
18.00-18.25s,18.12s,non-breathing,breathing,MISMATCH,GREEN under RED
6.75-7.00s,6.88s,breathing,non-breathing,MISMATCH,RED under GREEN
23.25-23.50s,23.38s,non-breathing,non-breathing,MATCH,RED under RED
14.75-15.00s,14.88s,breathing,non-breathing,MISMATCH,RED under GREEN
14.50-14.75s,14.62s,breathing,breathing,MATCH,GREEN under GREEN
7.50-7.75s,7.62s,breathing,breathing,MATCH,GREEN under GREEN
11.00-11.25s,11.12s,breathing,breathing,MATCH,GREEN under GREEN
19.75-20.00s,19.88s,breathing,breathing,MATCH,GREEN under GREEN
1.00-1.25s,1.12s,non-breathing,breathing,MISMATCH,GREEN under RED
20.00-20.25s,20.12s,breathing,breathing,MATCH,GREEN under GREEN
22.50-22.75s,22.62s,breathing,breathing,MATCH,GREEN under GREEN
29.00-29.25s,29.12s,breathing,breathing,MATCH,GREEN under GREEN
21.00-21.25s,21.12s,breathing,breathing,MATCH,GREEN under GREEN
10.25-10.50s,10.38s,breathing,breathing,MATCH,GREEN under GREEN
25.50-25.75s,25.62s,non-breathing,breathing,MISMATCH,GREEN under RED
4.00-4.25s,4.12s,non-breathing,breathing,MISMATCH,GREEN under RED
0.00-0.25s,0.12s,non-breathing,breathing,MISMATCH,GREEN under RED
12.75-13.00s,12.88s,breathing,breathing,MATCH,GREEN under GREEN
3.75-4.00s,3.88s,breathing,breathing,MATCH,GREEN under GREEN
16.25-16.50s,16.38s,breathing,breathing,MATCH,GREEN under GREEN
2.00-2.25s,2.12s,breathing,breathing,MATCH,GREEN under GREEN
