Time_Range,Center_Time,CORRECT_Ground_Truth,Model_Prediction,Match_Status,Visual_Check
17.00-17.50s,17.25s,non-breathing,breathing,MISMATCH,GREEN under RED
13.00-13.50s,13.25s,non-breathing,breathing,MISMATCH,GREEN under RED
29.00-29.50s,29.25s,breathing,breathing,MATCH,GREEN under GREEN
21.00-21.50s,21.25s,non-breathing,non-breathing,MATCH,RED under RED
11.50-12.00s,11.75s,breathing,breathing,MATCH,GREEN under GREEN
9.00-9.50s,9.25s,breathing,breathing,MATCH,GREEN under GREEN
27.50-28.00s,27.75s,non-breathing,non-breathing,MATCH,RED under RED
23.00-23.50s,23.25s,breathing,non-breathing,MISMATCH,RED under GREEN
28.50-29.00s,28.75s,breathing,breathing,MATCH,GREEN under GREEN
1.50-2.00s,1.75s,breathing,breathing,MATCH,GREEN under GREEN
12.50-13.00s,12.75s,breathing,breathing,MATCH,GREEN under GREEN
4.00-4.50s,4.25s,non-breathing,breathing,MISMATCH,GREEN under RED
27.00-27.50s,27.25s,non-breathing,non-breathing,MATCH,RED under RED
22.00-22.50s,22.25s,breathing,breathing,MATCH,GREEN under GREEN
