Model,Class,Precision,Recall,F1_Score
LogisticRegression,Crackle,0.0,0.0,0.0
LogisticRegression,Healthy,0.0,0.0,0.0
LogisticRegression,Non-breathing,0.544,0.8095238095238095,0.6507177033492823
LogisticRegression,Rhonchi,0.0,0.0,0.0
LogisticRegression,Wheezing,0.0,0.0,0.0
SVM_RBF,Crackle,0.0,0.0,0.0
SVM_RBF,Healthy,0.0,0.0,0.0
SVM_RBF,Non-breathing,0.5573770491803278,0.8095238095238095,0.6601941747572816
SVM_RBF,Rhonchi,0.0,0.0,0.0
SVM_RBF,Wheezing,0.0,0.0,0.0
SVM_Linear,Crackle,0.0,0.0,0.0
SVM_Linear,Healthy,0.0,0.0,0.0
SVM_Linear,Non-breathing,0.5294117647058824,0.75,0.6206896551724138
SVM_Linear,Rhonchi,0.0,0.0,0.0
SVM_Linear,Wheezing,0.0,0.0,0.0
GradientBoosting,Crackle,0.0,0.0,0.0
GradientBoosting,Healthy,0.0,0.0,0.0
GradientBoosting,Non-breathing,0.5130434782608696,0.7023809523809523,0.592964824120603
GradientBoosting,Rhonchi,0.0,0.0,0.0
GradientBoosting,Wheezing,0.0,0.0,0.0
KNN,Crackle,0.7142857142857143,0.0847457627118644,0.15151515151515152
KNN,Healthy,0.0,0.0,0.0
KNN,Non-breathing,0.5390625,0.8214285714285714,0.6509433962264151
KNN,Rhonchi,0.4,0.05714285714285714,0.1
KNN,Wheezing,0.0,0.0,0.0
