phase,epoch,train_loss,train_f1,train_ap,val_loss,val_f1,val_ap,lr
LP,1,0.651604413986206,0.6411483253588517,0.7501618751618753,0.708865761756897,0.3333333333333333,0.5,0.001
LP,2,0.6173672676086426,0.8660714285714286,0.9285493827160495,0.7084789276123047,0.3333333333333333,0.5,0.001
LP,3,0.6772168278694153,0.48863636363636365,0.7441257816257816,0.70121830701828,0.3333333333333333,0.6666666666666666,0.001
LP,4,0.6203684210777283,0.6666666666666666,0.7594084927418261,0.6878765821456909,0.3333333333333333,0.6666666666666666,0.001
LP,5,0.6604087352752686,0.660633484162896,0.7016499703999703,0.6830021142959595,0.3333333333333333,1.0,0.001
FT,1,0.6835750341415405,0.55,0.680087505087505,0.7016876339912415,0.3333333333333333,0.5,0.0001
FT,2,0.7055573463439941,0.5833333333333333,0.5765267140267141,0.6920923590660095,0.3333333333333333,0.6666666666666666,9.97534852915723e-05
FT,3,0.6473380923271179,0.7222222222222222,0.7761463844797178,0.6817875504493713,0.7333333333333334,1.0,9.901664203302126e-05
FT,4,0.6129112839698792,0.7321428571428572,0.8846500721500722,0.6830044984817505,0.7333333333333334,1.0,9.779754323328192e-05
FT,5,0.6291308403015137,0.660633484162896,0.7570747154080487,0.6939882040023804,0.2,0.6666666666666666,9.610954559391703e-05
FT,6,0.582827627658844,0.8611111111111112,0.949003928170595,0.7103003859519958,0.0,0.41666666666666663,9.397114317029975e-05
FT,7,0.5941632390022278,0.8611111111111112,0.949003928170595,0.7226535081863403,0.0,0.41666666666666663,9.140576474687265e-05
FT,8,0.5590004920959473,0.9282296650717703,0.9535493827160495,0.7283200621604919,0.3333333333333333,0.41666666666666663,8.844151714648274e-05
