phase,epoch,train_loss,train_f1,train_ap,val_loss,val_f1,val_ap,lr
LP,1,1.3269619941711426,0.48358585858585856,0.4818750178653844,1.4205172061920166,0.0,0.37499999999999994,0.001
LP,2,1.27562415599823,0.13043478260869565,0.3563310736104853,1.409088134765625,0.0,0.49999999999999994,0.001
LP,3,1.3049852848052979,0.18006993006993005,0.43861228511236683,1.3992060422897339,0.0,0.5416666666666666,0.001
LP,4,1.2183434963226318,0.11538461538461539,0.5051566197318906,1.4003068208694458,0.25,0.5208333333333334,0.001
LP,5,1.2366341352462769,0.19642857142857142,0.44711975510112156,1.4117717742919922,0.0,0.375,0.001
FT,1,1.1667543649673462,0.18253968253968253,0.6175057870370371,1.4047856330871582,0.25,0.3958333333333333,0.0001
FT,2,1.0937310457229614,0.25,0.4467286625353668,1.4101234674453735,0.0,0.35416666666666663,9.97534852915723e-05
FT,3,1.189050316810608,0.125,0.4671809086369004,1.4141863584518433,0.0,0.35416666666666663,9.901664203302126e-05
FT,4,1.0905824899673462,0.4884848484848485,0.7164339133089133,1.412844181060791,0.0,0.3958333333333333,9.779754323328192e-05
FT,5,0.9658147096633911,0.3646739130434783,0.8157048804370232,1.414078950881958,0.0,0.5208333333333333,9.610954559391703e-05
FT,6,1.1138981580734253,0.20869565217391306,0.5595768837339561,1.4094948768615723,0.0,0.5208333333333334,9.397114317029975e-05
FT,7,1.1094574928283691,0.24758454106280192,0.7243667626233417,1.3997387886047363,0.16666666666666666,0.5208333333333334,9.140576474687265e-05
FT,8,1.1446595191955566,0.23809523809523808,0.7801010794760794,1.4065488576889038,0.16666666666666666,0.5,8.844151714648274e-05
