epoch,loss,val_macro_recall_raw,per_class_recall_raw
1,1.66171789663332,0.2751825951652856,"[0.6923076922544379, 0.3846153845857988, 0.2444444444417284, 0.0, 0.054545454544462815]"
2,1.4885658302822629,0.3324475524265691,"[0.6923076922544379, 0.6153846153372781, 0.29999999999666666, 0.0, 0.054545454544462815]"
3,1.3735661779438053,0.3427505827294592,"[0.6923076922544379, 0.6153846153372781, 0.3333333333296296, 0.0, 0.07272727272595042]"
4,1.289179564811088,0.3054856254679535,"[0.6153846153372781, 0.4615384615029586, 0.37777777777358024, 0.0, 0.07272727272595042]"
5,1.2242580650089023,0.29535353533701414,"[0.6153846153372781, 0.3846153845857988, 0.42222222221753086, 0.0, 0.054545454544462815]"
6,1.1726210248362912,0.3042424242258042,"[0.6153846153372781, 0.3846153845857988, 0.4666666666614815, 0.0, 0.054545454544462815]"
7,1.130411940222388,0.3042424242258042,"[0.6153846153372781, 0.3846153845857988, 0.4666666666614815, 0.0, 0.054545454544462815]"
8,1.0954408731546488,0.3042424242258042,"[0.6153846153372781, 0.3846153845857988, 0.4666666666614815, 0.0, 0.054545454544462815]"
9,1.066890439901266,0.3028282828117042,"[0.6153846153372781, 0.3846153845857988, 0.4777777777724691, 0.0, 0.03636363636297521]"
10,1.0418011023117615,0.32487956486172875,"[0.6923076922544379, 0.3846153845857988, 0.5111111111054321, 0.0, 0.03636363636297521]"
11,1.0185798966132842,0.2999689199533599,"[0.6153846153372781, 0.30769230766863903, 0.5222222222164198, 0.0, 0.054545454544462815]"
12,0.9981723766069155,0.31310023308445,"[0.5384615384201183, 0.3846153845857988, 0.5333333333274074, 0.0, 0.10909090908892563]"
13,0.980228996491647,0.32340326338734016,"[0.5384615384201183, 0.3846153845857988, 0.5666666666603704, 0.0, 0.12727272727041322]"
14,0.9645139932632446,0.3130691530543057,"[0.5384615384201183, 0.30769230766863903, 0.5555555555493827, 0.0, 0.16363636363338843]"
15,0.9496222682901331,0.31529137527650325,"[0.5384615384201183, 0.30769230766863903, 0.5666666666603704, 0.0, 0.16363636363338843]"
16,0.9366561388110255,0.3116550116402057,"[0.5384615384201183, 0.30769230766863903, 0.5666666666603704, 0.0, 0.14545454545190084]"
17,0.9246189629709398,0.3116550116402057,"[0.5384615384201183, 0.30769230766863903, 0.5666666666603704, 0.0, 0.14545454545190084]"
18,0.9132386014268205,0.2867754467619812,"[0.5384615384201183, 0.2307692307514793, 0.5555555555493827, 0.0, 0.10909090908892563]"
19,0.902938816568873,0.27219891218664677,"[0.4615384615029586, 0.2307692307514793, 0.577777777771358, 0.0, 0.09090909090743803]"
20,0.8939626549815273,0.26267288266170985,"[0.4615384615029586, 0.15384615383431952, 0.5888888888823457, 0.0, 0.10909090908892563]"
21,0.884937732498925,0.2663092462980074,"[0.4615384615029586, 0.15384615383431952, 0.5888888888823457, 0.0, 0.12727272727041322]"
22,0.8753708409833478,0.2831080030955394,"[0.4615384615029586, 0.2307692307514793, 0.577777777771358, 0.0, 0.14545454545190084]"
23,0.8676006017504512,0.25681429680321477,"[0.4615384615029586, 0.15384615383431952, 0.577777777771358, 0.0, 0.09090909090743803]"
