label,precision,recall,f1-score,support,fold,version
Crackle,0.7368421052631579,0.6666666666666666,0.7,21.0,1,RAW
Healthy,0.8333333333333334,0.5555555555555556,0.6666666666666666,9.0,1,RAW
Non-breathing,0.75,0.8846153846153846,0.8117647058823529,78.0,1,RAW
Rhonchi,0.9090909090909091,0.7142857142857143,0.8,14.0,1,RAW
Wheezing,0.7222222222222222,0.5416666666666666,0.6190476190476191,24.0,1,RAW
accuracy,0.7602739726027398,0.7602739726027398,0.7602739726027398,0.7602739726027398,1,RAW
macro avg,0.7902977139819246,0.6725579975579976,0.7194957983193278,146.0,1,RAW
weighted avg,0.763933495007756,0.7602739726027398,0.7539369172326466,146.0,1,RAW
Crackle,0.6071428571428571,0.8095238095238095,0.6938775510204082,21.0,1,TAU
Healthy,0.8181818181818182,1.0,0.9,9.0,1,TAU
Non-breathing,0.9629629629629629,0.6666666666666666,0.7878787878787878,78.0,1,TAU
Rhonchi,0.8666666666666667,0.9285714285714286,0.896551724137931,14.0,1,TAU
Wheezing,0.5789473684210527,0.9166666666666666,0.7096774193548387,24.0,1,TAU
accuracy,0.773972602739726,0.773972602739726,0.773972602739726,0.773972602739726,1,TAU
macro avg,0.7667803346750716,0.8642857142857144,0.7975970964783932,146.0,1,TAU
weighted avg,0.8304987510286715,0.773972602739726,0.7788353166330217,146.0,1,TAU
Crackle,1.0,0.6,0.75,20.0,2,RAW
Healthy,0.3333333333333333,0.2222222222222222,0.26666666666666666,9.0,2,RAW
Non-breathing,0.7634408602150538,0.9102564102564102,0.8304093567251462,78.0,2,RAW
Rhonchi,0.9090909090909091,0.7692307692307693,0.8333333333333334,13.0,2,RAW
Wheezing,0.8260869565217391,0.76,0.7916666666666666,25.0,2,RAW
accuracy,0.7862068965517242,0.7862068965517242,0.7862068965517242,0.7862068965517242,2,RAW
macro avg,0.7663904118322071,0.6523418803418803,0.6944152046783626,145.0,2,RAW
weighted avg,0.7932327091586172,0.7862068965517242,0.7779098608590441,145.0,2,RAW
Crackle,0.8947368421052632,0.85,0.8717948717948718,20.0,2,TAU
Healthy,0.3181818181818182,0.7777777777777778,0.45161290322580644,9.0,2,TAU
Non-breathing,0.9344262295081968,0.7307692307692307,0.8201438848920863,78.0,2,TAU
Rhonchi,0.8571428571428571,0.9230769230769231,0.8888888888888888,13.0,2,TAU
Wheezing,0.6896551724137931,0.8,0.7407407407407407,25.0,2,TAU
accuracy,0.7793103448275862,0.7793103448275862,0.7793103448275862,0.7793103448275862,2,TAU
macro avg,0.7388285838703857,0.8163247863247862,0.7546362579084789,145.0,2,TAU
weighted avg,0.8415714176591926,0.7793103448275862,0.7968669700730104,145.0,2,TAU
Crackle,0.8666666666666667,0.65,0.7428571428571429,20.0,3,RAW
Healthy,1.0,0.2222222222222222,0.36363636363636365,9.0,3,RAW
Non-breathing,0.8,0.9230769230769231,0.8571428571428571,78.0,3,RAW
Rhonchi,0.7857142857142857,0.8461538461538461,0.8148148148148148,13.0,3,RAW
Wheezing,0.75,0.72,0.7346938775510204,25.0,3,RAW
accuracy,0.8,0.8,0.8,0.8,3,RAW
macro avg,0.8404761904761905,0.6722905982905983,0.7026290112004399,145.0,3,RAW
weighted avg,0.8117077175697865,0.8,0.785841051850904,145.0,3,RAW
Crackle,0.7083333333333334,0.85,0.7727272727272727,20.0,3,TAU
Healthy,0.5294117647058824,1.0,0.6923076923076923,9.0,3,TAU
Non-breathing,0.9818181818181818,0.6923076923076923,0.8120300751879699,78.0,3,TAU
Rhonchi,1.0,0.9230769230769231,0.96,13.0,3,TAU
Wheezing,0.6486486486486487,0.96,0.7741935483870968,25.0,3,TAU
accuracy,0.8,0.8,0.8,0.8,3,TAU
macro avg,0.7736423857012092,0.8850769230769231,0.8022517177220063,145.0,3,TAU
weighted avg,0.8602028065314069,0.8,0.8059206845493362,145.0,3,TAU
Crackle,0.6956521739130435,0.8,0.7441860465116279,20.0,4,RAW
Healthy,0.6363636363636364,0.7777777777777778,0.7,9.0,4,RAW
Non-breathing,0.8024691358024691,0.8333333333333334,0.8176100628930818,78.0,4,RAW
Rhonchi,0.8666666666666667,1.0,0.9285714285714286,13.0,4,RAW
Wheezing,0.9333333333333333,0.56,0.7,25.0,4,RAW
accuracy,0.7931034482758621,0.7931034482758621,0.7931034482758621,0.7931034482758621,4,RAW
macro avg,0.7868969892158297,0.7942222222222223,0.7780735075952278,145.0,4,RAW
weighted avg,0.8057441986077668,0.7931034482758621,0.7898533407401483,145.0,4,RAW
Crackle,0.7619047619047619,0.8,0.7804878048780488,20.0,4,TAU
Healthy,0.5333333333333333,0.8888888888888888,0.6666666666666666,9.0,4,TAU
Non-breathing,0.9074074074074074,0.6282051282051282,0.7424242424242424,78.0,4,TAU
Rhonchi,0.8666666666666667,1.0,0.9285714285714286,13.0,4,TAU
Wheezing,0.6,0.96,0.7384615384615385,25.0,4,TAU
accuracy,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.7586206896551724,4,TAU
macro avg,0.7338624338624339,0.8554188034188034,0.771322336200385,145.0,4,TAU
weighted avg,0.8074657909140668,0.7586206896551724,0.7589780278594408,145.0,4,TAU
Crackle,0.625,0.47619047619047616,0.5405405405405406,21.0,5,RAW
Healthy,0.8333333333333334,0.5555555555555556,0.6666666666666666,9.0,5,RAW
Non-breathing,0.7804878048780488,0.8311688311688312,0.8050314465408805,77.0,5,RAW
Rhonchi,0.9,0.6428571428571429,0.75,14.0,5,RAW
Wheezing,0.7096774193548387,0.9166666666666666,0.8,24.0,5,RAW
accuracy,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.7586206896551724,5,RAW
macro avg,0.7696997115132442,0.6844877344877345,0.7124477307496175,145.0,5,RAW
weighted avg,0.7610677175181095,0.7586206896551724,0.7519915361034425,145.0,5,RAW
Crackle,0.6129032258064516,0.9047619047619048,0.7307692307692307,21.0,5,TAU
Healthy,0.6428571428571429,1.0,0.782608695652174,9.0,5,TAU
Non-breathing,0.9523809523809523,0.5194805194805194,0.6722689075630253,77.0,5,TAU
Rhonchi,0.5714285714285714,0.8571428571428571,0.6857142857142857,14.0,5,TAU
Wheezing,0.6486486486486487,1.0,0.7868852459016393,24.0,5,TAU
accuracy,0.7172413793103448,0.7172413793103448,0.7172413793103448,0.7172413793103448,5,TAU
macro avg,0.6856437082243534,0.8562770562770563,0.7316492731200711,145.0,5,TAU
weighted avg,0.796948847783108,0.7172413793103448,0.707859199248384,145.0,5,TAU
