file_path,filename,preprocessing,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP5_60sec.wav,WEBSS-007 TP5_60sec.wav,spectral_gating_-20db_4.0ratio,-579.96124,124.19944,56.302483,23.358492,26.264393,27.514837,19.33061,16.472912,15.783182,7.0792723,-1.099368,1.4279715,6.480965
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP3_60sec.wav,WEBSS-007 TP3_60sec.wav,spectral_gating_-20db_4.0ratio,-480.77646,186.7333,55.16397,11.315153,34.679638,32.532967,7.6857114,9.505891,21.185732,7.851248,-7.496149,1.4477192,10.628622
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP4_60sec.wav,WEBSS-007 TP4_60sec.wav,spectral_gating_-20db_4.0ratio,-456.98294,140.12952,59.037247,19.43388,22.016687,21.767353,10.561831,8.249951,11.630566,6.064225,-1.1200882,1.8732811,6.471531
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP2_60sec.wav,WEBSS-007 TP2_60sec.wav,spectral_gating_-20db_4.0ratio,-451.03848,110.44603,34.031696,9.215648,28.542173,32.88243,13.559406,4.570432,10.962782,9.894758,-0.47118536,-3.585711,1.3334459
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP7_60sec.wav,WEBSS-007 TP7_60sec.wav,spectral_gating_-20db_4.0ratio,-608.5185,113.50815,55.71579,21.764597,18.122433,18.556196,13.061006,10.403776,10.683664,6.416304,0.09354581,-1.2520055,0.37874442
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP1_60sec.wav,WEBSS-007 TP1_60sec.wav,spectral_gating_-20db_4.0ratio,-403.21976,120.010544,52.612995,23.21294,29.026838,26.38877,8.899214,1.1379681,5.5154085,4.8028398,-2.220284,-4.2931876,-1.3018999
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP6_60sec.wav,WEBSS-007 TP6_60sec.wav,spectral_gating_-20db_4.0ratio,-514.7049,111.79716,57.84151,24.531,19.709011,21.0257,17.613077,14.4951105,12.182921,7.21837,3.0189445,3.4415843,4.7349277
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP3_60sec.wav,WEBSS-003 TP3_60sec.wav,spectral_gating_-20db_4.0ratio,-364.55716,86.305725,35.199875,4.6786575,3.7616568,9.481469,7.5592976,3.0980618,0.98316205,-1.2259759,-3.867985,-4.0257783,-2.2504437
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP4_60sec.wav,WEBSS-003 TP4_60sec.wav,spectral_gating_-20db_4.0ratio,-346.23798,140.72942,61.354362,15.367281,14.694848,22.38915,18.407795,12.276117,10.153199,7.185545,3.6863852,3.7894988,4.972021
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP2_60sec.wav,WEBSS-003 TP2_60sec.wav,spectral_gating_-20db_4.0ratio,-516.10596,81.36006,24.374168,-2.1499527,6.0651965,13.966544,7.3622117,1.2963792,2.806764,2.0244606,-3.8773048,-5.81752,-1.3194588
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP7_60sec.wav,WEBSS-003 TP7_60sec.wav,spectral_gating_-20db_4.0ratio,-565.26135,184.38155,47.84526,-7.03314,16.158504,28.157017,10.962721,6.1012774,15.125663,10.758753,-0.08647971,2.9011455,9.761375
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP1_60sec.wav,WEBSS-003 TP1_60sec.wav,spectral_gating_-20db_4.0ratio,-457.40198,176.4076,48.074184,-1.8391054,19.799332,27.681536,8.974274,4.7030897,13.006289,7.170829,-2.6185825,3.208198,10.432539
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP6_60sec.wav,WEBSS-003 TP6_60sec.wav,spectral_gating_-20db_4.0ratio,-475.1932,141.02429,57.76908,9.296111,9.989993,20.71103,17.665033,11.042525,10.063387,9.097985,5.761317,5.406574,8.034745
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS002_3/WEBSS-002 TP 3_60sec.wav,WEBSS-002 TP 3_60sec.wav,spectral_gating_-20db_4.0ratio,-458.64862,90.37747,52.49802,31.787184,33.16095,33.643124,20.338844,5.116182,1.5919533,5.9540753,7.224599,4.1385403,2.9735024
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS002_3/WEBSS-002 TP 4_60sec.wav,WEBSS-002 TP 4_60sec.wav,spectral_gating_-20db_4.0ratio,-463.62125,102.99473,66.11568,42.424328,37.04393,31.600037,16.982086,4.188707,3.3011405,8.448518,9.000289,4.701292,2.634321
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS002_3/WEBSS-002 TP 2_60sec.wav,WEBSS-002 TP 2_60sec.wav,spectral_gating_-20db_4.0ratio,-606.8465,63.901127,49.037773,36.39449,29.208115,23.5626,16.751595,10.730196,7.687684,6.611606,5.456541,4.05062,3.4599164
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS006_12/WEBSS-006 TP6_60sec.wav,WEBSS-006 TP6_60sec.wav,spectral_gating_-20db_4.0ratio,-492.71878,64.09228,48.612347,33.515934,22.816927,15.936055,12.56419,12.486205,13.347602,12.653408,10.537276,8.365964,6.5019293
