file_path,filename,preprocessing,rms,zcr,spectral_flatness,kurtosis,skewness,logmel_0,logmel_1,logmel_2,logmel_3,logmel_4,logmel_5,logmel_6,logmel_7,logmel_8,logmel_9,logmel_10,logmel_11,logmel_12,logmel_13,logmel_14,logmel_15,logmel_16,logmel_17,logmel_18,logmel_19,logmel_20,logmel_21,logmel_22,logmel_23,logmel_24,logmel_25,logmel_26,logmel_27,logmel_28,logmel_29,logmel_30,logmel_31,logmel_32,logmel_33,logmel_34,logmel_35,logmel_36,logmel_37,logmel_38,logmel_39,logmel_40,logmel_41,logmel_42,logmel_43,logmel_44,logmel_45,logmel_46,logmel_47,logmel_48,logmel_49,logmel_50,logmel_51,logmel_52,logmel_53,logmel_54,logmel_55,logmel_56,logmel_57,logmel_58,logmel_59,logmel_60,logmel_61,logmel_62,logmel_63,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP5_60sec.wav,WEBSS-007 TP5_60sec.wav,highpass_20,0.024732939988889036,0.01487045450759595,1.021213576177788e-06,2191.7552435576026,24.092853603078357,2.4384821254344815,0.13628637703429408,-4.686139652853048,-9.58034459607835,-13.797734258872758,-18.33963747277564,-22.31379140002821,-25.077289106716606,-26.801038626027093,-27.336247884259983,-28.580854667472085,-31.252841120880916,-33.127822665147114,-34.00918321489211,-34.52787066400588,-33.53413940874694,-31.175236410319144,-29.324380428093722,-30.835183174922477,-33.162286693473014,-34.57573036137882,-36.11626225914049,-37.663689079776205,-38.031489699487146,-39.76229287120105,-40.29515618462754,-40.61020732120164,-41.21340234930496,-41.25925953165085,-41.56001270082272,-42.83748921251845,-42.68222919570376,-42.383740012666976,-42.04304752725053,-44.995669270622614,-51.624854995548,-51.671199511079564,-51.67254039009109,-51.67357382307021,-51.67446432832111,-51.675244700447465,-51.67595844027713,-51.67640981784144,-51.67671722647618,-51.67700745569992,-51.677282759265424,-51.67754383019784,-51.6777923304514,-51.67803066845548,-51.67825883785137,-51.678474554199454,-51.67868305052606,-51.67888024359177,-51.67906691033322,-51.6792444090669,-51.679410215961504,-51.67942378944318,-51.67942378944318,-51.67942378944318,-51.67942378944318,-51.67942378944318,-51.67942378944318,-51.67942378944318,-51.67942378944318,-453.4777044209314,132.70523159903533,55.16415670642981,20.47358343642741,26.91900379209631,28.539770566043323,18.162535657394066,15.55576735294953,16.402887820109484,7.123555535599626,-2.1486262351136007,1.1189161275887183,6.922580122713953
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP3_60sec.wav,WEBSS-007 TP3_60sec.wav,highpass_20,0.09273609449135692,0.0167678800473081,1.1972552186613707e-06,2158.405178696362,23.955114563899254,14.494553997180523,13.42366394469259,9.487051641453697,5.75460929150346,1.9385380517769135,-1.9906378741660635,-6.057961715022337,-9.077886053000134,-11.60723833615922,-13.596888623941172,-14.796410378276803,-16.033875175101688,-17.26483543510356,-18.682854535032902,-19.67816229392524,-19.798432880380624,-19.40566694329908,-18.78887620084723,-19.930869718583324,-21.332940046637656,-22.177743549948445,-24.331032036520362,-25.33270306524999,-25.986321191617595,-27.711266275805105,-28.44119425714512,-28.989400719822818,-29.355351927804225,-29.459538320772438,-29.33020068396849,-29.530199361449267,-28.703695895433235,-28.95470022300182,-29.028625993747873,-32.231535220712374,-48.21420567516184,-51.51702145888417,-51.51884001508614,-51.520167546747906,-51.52130419315313,-51.522299116471316,-51.523226778599096,-51.5241010932863,-51.52489623011716,-51.52546967386218,-51.52603395139048,-51.52658606608226,-51.52712673924698,-51.5276598933416,-51.52818283944802,-51.528686236327445,-51.52918366852614,-51.52966145114945,-51.53012026446779,-51.53056308809171,-51.530981293409205,-51.531375063739,-51.53174158437512,-51.53207643505466,-51.53237440142481,-51.532634950476854,-51.53284694248056,-51.53301008250921,-51.53311231437937,-366.47003944902775,199.40548686264307,52.740841470153185,6.797133027613793,35.973056841872854,33.94048249744274,5.453333256652493,8.048029620727446,22.23848327211453,7.748269123733555,-9.207247195146179,1.1614086336593594,11.34652354317997
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP4_60sec.wav,WEBSS-007 TP4_60sec.wav,highpass_20,0.06254899007389249,0.021707172841151385,8.061528032571345e-07,2162.238915286847,24.64954888642724,9.560832406036571,8.302019892816865,5.755954209621443,1.803361497495712,-1.4275325391099551,-4.8796572236253475,-7.915720128993559,-9.923613597242474,-11.392358551970384,-12.24328265742064,-13.791248691107542,-16.236518207930963,-17.623030290356514,-19.08213712135513,-19.942255838409856,-20.166905589859976,-20.093088572462953,-20.296722109967856,-20.759796218341375,-22.943484765302404,-24.02332825353246,-24.83307677122114,-25.685955535612212,-27.055458570750208,-27.992167385581876,-29.051989537402104,-29.584228413032548,-30.644946988440545,-31.164968626126683,-31.185411029729007,-30.774385718109,-31.716022019964687,-32.22179250376006,-32.70131170074302,-36.266013481051914,-43.961916106196135,-44.48223613088088,-44.48301224579224,-44.48361069886864,-44.484124694545784,-44.484444016513564,-44.484444016513564,-44.484444016513564,-44.484444016513564,-44.484444016513564,-44.484444016513564,-44.484444016513564,-44.484444016513564,-44.484444016513564,-44.484444016513564,-44.484444016513564,-44.484444016513564,-44.484444016513564,-44.484444016513564,-44.484444016513564,-44.484444016513564,-44.484444016513564,-44.484444016513564,-44.484444016513564,-44.484444016513564,-44.484444016513564,-44.484444016513564,-44.484444016513564,-44.484444016513564,-342.20952071902883,156.36130086111035,57.01602553105184,13.972090133930847,23.213342042577377,23.83476274789681,8.542248155549956,6.55196429398167,12.78027282533283,6.287411623348353,-2.8947181793967274,1.3654734467497478,7.347448734879755
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP2_60sec.wav,WEBSS-007 TP2_60sec.wav,highpass_20,0.0383269540771319,0.029492864222414712,7.3858098594508265e-06,2430.835780812733,25.544852641091417,4.283025134616535,3.376458852826799,-0.5003047421532892,-3.7362271209079396,-6.468507217124423,-9.587214038494798,-12.556959315729458,-15.766112204676812,-17.704920852746394,-19.71527166413521,-20.617753769319123,-21.508519488850446,-22.849150406554774,-23.83716881792908,-24.149066152980105,-22.99199336285815,-21.188096707886036,-20.452028977773843,-20.329208922586517,-22.02795162113864,-24.007049839618023,-24.177515196134117,-24.387292926049113,-24.559289137224635,-23.888269804688733,-22.89660923279771,-22.305666827123897,-22.139285536311153,-23.572139657780678,-25.336384291785173,-26.604472255096102,-27.731057004252715,-28.10516559175368,-30.11686855351727,-35.02795458823787,-46.03830657202934,-46.50657154172537,-46.5076554347395,-46.50849552429802,-46.50922809517326,-46.50987467160957,-46.510472530840765,-46.5110294068886,-46.51155402179796,-46.51205426450829,-46.51253328575031,-46.51299136605573,-46.51343090738158,-46.513856005757425,-46.51426608072474,-46.51465594257051,-46.51503560137398,-46.515396570117915,-46.515739985683915,-46.5160683087018,-46.516376234775436,-46.516664251075625,-46.51693076951455,-46.517173072091424,-46.51738787078138,-46.51757489670331,-46.517726788297395,-46.51784331166025,-46.51791630676446,-349.0102299217575,141.9762657655604,29.525089210095253,-0.9212366998809771,32.31871706482488,37.656634246824254,9.464234105334237,1.5526169239548782,14.172193535645722,10.923226602352772,-3.8366125742577823,-4.186297073744171,3.6916153505465625
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP7_60sec.wav,WEBSS-007 TP7_60sec.wav,highpass_20,0.022058973854798027,0.025776877332089554,1.1409971857242655e-06,2205.21923463736,28.081546612639926,-8.19207984367866,-9.213147839609876,-10.832030538709603,-13.972804885639354,-17.646404552243233,-19.053063350381258,-21.55951919379926,-26.258662003085135,-29.541431862765926,-30.43058738037236,-31.535739324141737,-32.543350900782364,-32.5709185230279,-32.559697571582426,-34.64807492625762,-34.83207120636483,-33.507632906164694,-34.35626680858021,-35.29301192278408,-37.482887632714004,-38.66164148949305,-40.649292130675455,-41.48224537337254,-41.886603818048734,-42.726358301676605,-43.37657825906481,-42.59442594441929,-43.714530115626715,-45.4994288471548,-46.175157690565314,-46.56107965042616,-46.341507953469645,-46.621213223979304,-47.70212666171807,-50.85331263867912,-56.13666027650213,-56.21768950959481,-56.21829443579311,-56.218764592443975,-56.21884256476802,-56.21884256476802,-56.21884256476802,-56.21884256476802,-56.21884256476802,-56.21884256476802,-56.21884256476802,-56.21884256476802,-56.21884256476802,-56.21884256476802,-56.21884256476802,-56.21884256476802,-56.21884256476802,-56.21884256476802,-56.21884256476802,-56.21884256476802,-56.21884256476802,-56.21884256476802,-56.21884256476802,-56.21884256476802,-56.21884256476802,-56.21884256476802,-56.21884256476802,-56.21884256476802,-56.21884256476802,-488.13655374375577,126.8824468966986,54.85452094068712,17.552553234120897,18.66969146422349,20.175809628149374,11.849387723347737,9.138550709316782,11.35791810635861,6.580819536739964,-1.1533641697093233,-1.7136158360983849,0.9242120803676936
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP1_60sec.wav,WEBSS-007 TP1_60sec.wav,highpass_20,0.08149784007499171,0.023587680320495734,1.6841015809580904e-07,2326.7452410797573,26.520504168610074,8.278105636470082,7.423082085452046,7.325451721723536,6.502415264259918,4.223314660061381,0.4584401229505208,-3.6741709076850535,-7.0291323430665384,-9.635302833201235,-11.675237515963344,-13.396581292876961,-15.13732187201655,-17.101377926467034,-19.028263287498323,-19.90435505406751,-20.312316815116525,-19.315306058563245,-18.745209385399924,-19.486819946350476,-21.45807299319673,-22.8823710188073,-23.227635378671835,-22.939919245464125,-22.820364893556295,-23.635932960098234,-22.96806349945482,-22.537261115566878,-21.791251249877867,-22.35797243473813,-24.225958228448995,-25.96660341756678,-27.488992641343277,-27.981511177987684,-27.33437522117461,-29.781737526236533,-42.61200936038515,-42.75934752685617,-42.75965007978307,-42.75965007978307,-42.75965007978307,-42.75965007978307,-42.75965007978307,-42.75965007978307,-42.75965007978307,-42.75965007978307,-42.75965007978307,-42.75965007978307,-42.75965007978307,-42.75965007978307,-42.75965007978307,-42.75965007978307,-42.75965007978307,-42.75965007978307,-42.75965007978307,-42.75965007978307,-42.75965007978307,-42.75965007978307,-42.75965007978307,-42.75965007978307,-42.75965007978307,-42.75965007978307,-42.75965007978307,-42.75965007978307,-42.75965007978307,-305.77267877050826,150.9561044864281,47.80267361000705,13.10335226764491,32.745789052010856,30.789506627560826,4.592968011344922,-1.735855374416971,8.715614101359797,5.541435131064583,-5.6422675568846765,-4.696251311157351,0.9940880161550394
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP6_60sec.wav,WEBSS-007 TP6_60sec.wav,highpass_20,0.039498375448614134,0.015706206689765457,5.366165496369434e-07,2172.5808214785447,26.968156045942163,5.086706355022002,3.4917052801784614,-1.7363267171388317,-7.098335064315344,-10.604462797472317,-14.38732485928261,-17.581479563971648,-19.709991914870702,-21.22637552335455,-21.89387030512387,-23.02776943084272,-24.863010819372377,-26.080095398570975,-27.299478034877232,-27.911170873165762,-27.450712780896318,-26.19978938431709,-26.48738543796521,-26.583481927388377,-29.068020397232107,-31.008290410087838,-31.885190191909192,-32.745284041390484,-33.814889328692104,-34.48610902926503,-34.66749203110676,-36.3183401608727,-37.76632439399977,-38.562157527635144,-39.33717053716305,-39.66600714871259,-39.60434097834668,-39.66500483835648,-39.34235102412638,-42.16437177387671,-47.855332788888205,-47.92287943282273,-47.92287943282273,-47.92287943282273,-47.92287943282273,-47.92287943282273,-47.92287943282273,-47.92287943282273,-47.92287943282273,-47.92287943282273,-47.92287943282273,-47.92287943282273,-47.92287943282273,-47.92287943282273,-47.92287943282273,-47.92287943282273,-47.92287943282273,-47.92287943282273,-47.92287943282273,-47.92287943282273,-47.92287943282273,-47.92287943282273,-47.92287943282273,-47.92287943282273,-47.92287943282273,-47.92287943282273,-47.92287943282273,-47.92287943282273,-47.92287943282273,-404.8598250670926,134.01599395644334,56.699444598266496,17.829014837534004,20.628599986085458,23.658273186462928,15.899378261519646,12.905440246178614,13.502505965805343,7.43312383045549,1.1900622016755127,3.2186486985179696,5.910505779291715
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP3_60sec.wav,WEBSS-003 TP3_60sec.wav,highpass_20,0.1769896842055921,0.05473252806836354,0.08338117140399115,2417.199615934002,91.76863485307835,-7.134617215273723,-1.569197193852768,1.183757622774538,-0.7235597433896563,-4.580589947574438,-5.988053668576641,-7.988753604473679,-10.082744703592601,-10.630587171898645,-11.490729376786891,-12.819444799475185,-13.558139544771816,-14.247642447695368,-15.067758894238064,-15.550130445147444,-15.212703330706157,-14.613595761222546,-14.490157569210046,-15.376343511403324,-15.560890236565939,-16.523238965617175,-17.916549850965954,-19.33666477432565,-19.66384311048922,-21.112228117004893,-20.9995212257296,-22.311803184762333,-23.15454524584983,-23.63140715417213,-24.373333399003027,-25.797031565658333,-27.066513922598,-28.20511130527524,-29.437436349525118,-33.40968474247711,-39.03714755908577,-39.541139787565136,-39.541139787565136,-39.541139787565136,-39.541139787565136,-39.541139787565136,-39.541139787565136,-39.541139787565136,-39.541139787565136,-39.541139787565136,-39.541139787565136,-39.541139787565136,-39.541139787565136,-39.541139787565136,-39.541139787565136,-39.541139787565136,-39.541139787565136,-39.541139787565136,-39.541139787565136,-39.541139787565136,-39.541139787565136,-39.541139787565136,-39.541139787565136,-39.541139787565136,-39.541139787565136,-39.541139787565136,-39.541139787565136,-39.541139787565136,-39.541139787565136,-289.90916257975493,127.25415021870644,31.976048422618277,-8.566883132472292,6.567111479633047,16.41440327026989,4.529629489625088,-1.3826093642678174,3.5514465493195653,1.2811300302052944,-6.568747040670933,-5.771294191937909,-0.1649384033568106
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP4_60sec.wav,WEBSS-003 TP4_60sec.wav,highpass_20,0.1876205723906396,0.01420518431836354,2.8140498337528646e-07,2003.0183251224346,21.142942513992537,19.618375832951724,15.50183084523745,11.966226552112165,9.52259162167794,5.235067119715434,1.1412147466847893,-1.6624507072972305,-3.651844454817188,-5.181278696158027,-5.94160505634988,-7.4976682791013625,-8.600513962442198,-9.501381908284802,-10.525040218924696,-11.084914782862674,-11.328545239258508,-11.197915569217422,-11.656189965604561,-12.019587847290184,-12.570926339217133,-14.564478629208471,-15.85965814495529,-16.884507063447483,-18.166337737652917,-19.48089996128221,-20.082718759222825,-21.76484016719186,-23.386319995500354,-24.689632987497884,-25.728689953900595,-26.96052548472496,-28.217468827599824,-29.13708207728157,-30.20858683070933,-34.0115672538829,-40.098208823376666,-40.967063933781006,-40.969119649450754,-40.96994948057611,-40.97067931317245,-40.97133579068681,-40.9719462834739,-40.97229775625764,-40.97229775625764,-40.97229775625764,-40.97229775625764,-40.97229775625764,-40.97229775625764,-40.97229775625764,-40.97229775625764,-40.97229775625764,-40.97229775625764,-40.97229775625764,-40.97229775625764,-40.97229775625764,-40.97229775625764,-40.97229775625764,-40.97229775625764,-40.97229775625764,-40.97229775625764,-40.97229775625764,-40.97229775625764,-40.97229775625764,-40.97229775625764,-268.16686905193194,168.3063163465174,58.86093303292809,5.918378290514131,16.008527790061137,26.566119347914483,16.01935929300056,8.90241714907132,11.348015927005028,8.343281921174654,1.6100923916302448,2.4359170407697377,5.930287591988927
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP2_60sec.wav,WEBSS-003 TP2_60sec.wav,highpass_20,0.028273707888249285,0.08944188099680171,0.22543326804249067,2483.0675722947763,154.34807165345148,-20.3854533451902,-17.563593149151327,-17.481263337252987,-18.273607738826733,-20.131001617946236,-22.75207811025807,-25.157990030071144,-26.017196919869956,-26.082066252105676,-26.37993482694078,-27.977505858334897,-29.71582009881735,-30.10876914790576,-30.253950673947077,-30.102540879899095,-29.002548500036657,-28.249957607757683,-27.869755954772717,-28.84840242715852,-29.393262165791622,-29.326113463678798,-30.15137232974799,-31.824636753508024,-32.74308770681391,-33.5698693983718,-33.68709400858633,-34.05636494266645,-34.1222420709151,-31.932594336167565,-33.830702390997104,-36.20235998654828,-37.81976346946308,-39.24720182288822,-39.87531542334616,-43.06040560926188,-48.368614111784765,-48.37168227174126,-48.37168227174126,-48.37168227174126,-48.37168227174126,-48.37168227174126,-48.37168227174126,-48.37168227174126,-48.37168227174126,-48.37168227174126,-48.37168227174126,-48.37168227174126,-48.37168227174126,-48.37168227174126,-48.37168227174126,-48.37168227174126,-48.37168227174126,-48.37168227174126,-48.37168227174126,-48.37168227174126,-48.37168227174126,-48.37168227174126,-48.37168227174126,-48.37168227174126,-48.37168227174126,-48.37168227174126,-48.37168227174126,-48.37168227174126,-48.37168227174126,-417.1770929794782,100.99697324118482,21.91393205435062,-8.361810676719646,8.340225055753207,17.132300583705174,5.096737278880696,-0.5841485046338529,4.795292064607992,2.9324619428315577,-5.774605792768348,-6.242145090819863,0.23793883589284365
