file_path,filename,preprocessing,rms,zcr,spectral_flatness,kurtosis,skewness,logmel_0,logmel_1,logmel_2,logmel_3,logmel_4,logmel_5,logmel_6,logmel_7,logmel_8,logmel_9,logmel_10,logmel_11,logmel_12,logmel_13,logmel_14,logmel_15,logmel_16,logmel_17,logmel_18,logmel_19,logmel_20,logmel_21,logmel_22,logmel_23,logmel_24,logmel_25,logmel_26,logmel_27,logmel_28,logmel_29,logmel_30,logmel_31,logmel_32,logmel_33,logmel_34,logmel_35,logmel_36,logmel_37,logmel_38,logmel_39,logmel_40,logmel_41,logmel_42,logmel_43,logmel_44,logmel_45,logmel_46,logmel_47,logmel_48,logmel_49,logmel_50,logmel_51,logmel_52,logmel_53,logmel_54,logmel_55,logmel_56,logmel_57,logmel_58,logmel_59,logmel_60,logmel_61,logmel_62,logmel_63,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP5_60sec.wav,WEBSS-007 TP5_60sec.wav,peak_normalize_bandpass_100_2000_spectral_gating,0.0011391251780665656,0.030214874983342216,1.4628683920475906e-05,2342.10888307486,104.18810488572761,-45.508504509309,-28.397357663540124,-25.554600251735522,-29.245584945122648,-33.39571460990055,-37.934282383223,-41.91116933334011,-44.674986121846395,-46.401157051482386,-46.93368964049282,-48.17539639448033,-50.850924255700306,-52.72994073309123,-53.611730321871754,-54.127634289067686,-53.13699016215328,-50.77666042909943,-48.92242480029768,-50.432430190661094,-52.768590979507245,-54.184794756475405,-55.72582174744608,-57.27581364581742,-57.65721696434677,-59.41012594836518,-59.985164903013086,-60.34090948524908,-61.011316443540444,-61.192151651206515,-61.66215389631664,-63.23086810646075,-63.567647399964635,-63.89528556128266,-64.54818840931577,-68.41695425045255,-77.17602084646465,-77.25388997733776,-77.25524887705569,-77.25606774875935,-77.25678333512526,-77.2574109711934,-77.25769115533032,-77.25769115533032,-77.25769115533032,-77.25769115533032,-77.25769115533032,-77.25769115533032,-77.25769115533032,-77.25769115533032,-77.25769115533032,-77.25769115533032,-77.25769115533032,-77.25769115533032,-77.25769115533032,-77.25769115533032,-77.25769115533032,-77.25769115533032,-77.25769115533032,-77.25769115533032,-77.25769115533032,-77.25769115533032,-77.25769115533032,-77.25769115533032,-77.25769115533032,-712.428388101686,139.68848739733363,38.740187203242414,-2.9060190330652977,11.350789309625963,16.700939168151915,2.030424805894173,-2.3731914247427133,1.7361936657616952,-6.222272796501488,-17.44674354069028,-14.368124315631025,-6.552277436811035
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP3_60sec.wav,WEBSS-007 TP3_60sec.wav,peak_normalize_bandpass_100_2000_spectral_gating,0.004563204523744927,0.02846216392923774,2.9296494738682334e-06,2292.9073504547573,106.25419047341418,-31.64759799370551,-15.129503137991943,-11.638538770187274,-14.325171457241705,-18.07999474171234,-22.00667294735928,-26.072402436308977,-29.093067742978192,-31.623549486294024,-33.61338659806517,-34.81296920095631,-36.05179790189007,-37.28350911488146,-38.70171498224443,-39.69794851797695,-39.81400927796367,-39.42102382234667,-38.80575751921532,-39.9504319307774,-41.35571537568906,-42.200831272008685,-44.35949733739684,-45.36634229398668,-46.02704513529454,-47.76960799300538,-48.52591569541556,-49.119794139776644,-49.56123218196356,-49.78211054366984,-49.84749425968637,-50.32806508530284,-49.98221833043237,-50.84191441723412,-51.90583546215125,-55.95089580908225,-73.32164882751671,-77.39989560727412,-77.40355955441956,-77.40637893699102,-77.40870059991005,-77.41063550931545,-77.41233030418807,-77.41385915607538,-77.41528021362139,-77.4166330496096,-77.41793622883155,-77.41919590011399,-77.42041884235469,-77.42161302607055,-77.42277601396319,-77.4237802331253,-77.42449935735023,-77.42518936675081,-77.42585093967207,-77.42648648821994,-77.4270867563301,-77.42765113050554,-77.42817570282584,-77.42865474890225,-77.4290815313751,-77.42945355923187,-77.42969835749584,-77.42980878378859,-77.42987797260808,-629.426290774767,204.23046995964276,35.36069575200738,-17.195385735512303,19.408865751317276,21.003230655541437,-11.555766846357546,-10.789607052117043,6.514715411660341,-6.569664621609455,-25.382196032381973,-15.325603928897447,-3.204664784092964
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP4_60sec.wav,WEBSS-007 TP4_60sec.wav,peak_normalize_bandpass_100_2000_spectral_gating,0.003912910276580119,0.033108383861940295,1.7780231948795527e-06,2259.918850571362,111.25870889692165,-38.25100801324047,-19.98618770164845,-15.690582773514485,-18.61187248006914,-21.775730108722108,-25.224253332408168,-28.25988055431095,-30.268224328687705,-31.73682305020995,-32.586806967836104,-34.13567209666591,-36.580565882877536,-37.96707328114245,-39.4265225564543,-40.28666237918181,-40.51188366848653,-40.43835622400929,-40.64177324728005,-41.105522263743154,-43.291271795006985,-44.37321671058515,-45.186136857563284,-46.044891893919804,-47.42465791448144,-48.377818298556996,-49.46561385802139,-50.04437728809799,-51.176706901270876,-51.81594359440578,-52.02725323878447,-51.901176442066856,-53.262694394436906,-54.40278727166384,-55.72689977575882,-59.44069253461337,-64.59874946902536,-64.82888584986452,-64.82888584986452,-64.82888584986452,-64.82888584986452,-64.82888584986452,-64.82888584986452,-64.82888584986452,-64.82888584986452,-64.82888584986452,-64.82888584986452,-64.82888584986452,-64.82888584986452,-64.82888584986452,-64.82888584986452,-64.82888584986452,-64.82888584986452,-64.82888584986452,-64.82888584986452,-64.82888584986452,-64.82888584986452,-64.82888584986452,-64.82888584986452,-64.82888584986452,-64.82888584986452,-64.82888584986452,-64.82888584986452,-64.82888584986452,-64.82888584986452,-585.100922435263,140.919675066105,43.990238266075906,-1.5716967015644643,5.681862652916043,9.01858833159322,-4.38522193455646,-8.694876247967644,-3.5422712755586554,-7.387576583040671,-15.457053860024137,-13.16271381005795,-7.2766971345189075
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP2_60sec.wav,WEBSS-007 TP2_60sec.wav,peak_normalize_bandpass_100_2000_spectral_gating,0.00356391827997266,0.04809127840151919,4.963583834286561e-06,2448.1794214960355,113.0952294193097,-39.25602894364454,-22.320382705182485,-18.682330516012073,-20.881358145988337,-23.555142859022403,-26.669580579406404,-29.638234476066334,-32.84661522989912,-34.784040869216525,-36.792338621444415,-37.69213798758204,-38.58716657338856,-39.929037413235555,-40.91611761737064,-41.22714359480881,-40.06929094974797,-38.266804873058874,-37.53230817375168,-37.40723083093672,-39.10603575466703,-41.08717978280415,-41.264335135290054,-41.478180944182455,-41.65988463446444,-41.00830535133287,-40.04476973050254,-39.50026480713003,-39.40765773124347,-40.94829820182849,-42.906865105586036,-44.45384021142309,-46.04343353517588,-47.069229394153915,-49.91670508024627,-55.80530451489421,-63.48145747390584,-63.59482800110605,-63.596316728588505,-63.59748814350052,-63.598521699865486,-63.599457810978144,-63.60034092627943,-63.60117933899263,-63.6019802956248,-63.602749469280425,-63.60348794520255,-63.60419452813524,-63.60487068137898,-63.60551974051408,-63.60614059624048,-63.60672804924844,-63.607292022298424,-63.60782398869533,-63.60832535615752,-63.608798672649044,-63.60923877553043,-63.609646319638586,-63.61001977311389,-63.610356419605154,-63.610652881449894,-63.61090859847027,-63.611115742183266,-63.61127333005543,-63.611372044274894,-554.6969686057151,127.34393969015592,17.45938913582485,-15.825327403929515,15.2634332485414,23.664326243637806,-2.522748095288676,-13.105085824956301,-1.6173566083811142,-1.8737279313187956,-15.526852486836344,-18.16827511372689,-10.319469432424059
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP7_60sec.wav,WEBSS-007 TP7_60sec.wav,peak_normalize_bandpass_100_2000_spectral_gating,0.010492129158547345,0.03846281982942431,2.743975347692444e-06,2249.1924228952894,117.61192207905783,-41.52538709001284,-23.036022144262983,-17.92449748088752,-20.1422372758484,-23.755952068874713,-25.158354476746098,-27.66468409546037,-32.362998416270706,-35.64495656603687,-36.535364188991345,-37.64004096327015,-38.64639398049641,-38.67605614296713,-38.6653503081617,-40.751176395322425,-40.937345206973234,-39.61151252198227,-40.46160888583428,-41.39737892912051,-43.59039372691535,-44.771338882833746,-46.76257939381657,-47.602876483102165,-48.01633766107314,-48.872660562114305,-49.54857090265821,-48.81215303917806,-50.00032411710623,-51.90524680001846,-52.757029850284084,-53.41138139273888,-53.60902578506696,-54.468149262546746,-56.39228381333154,-59.67833120355806,-62.31108048504562,-62.32394229725322,-62.32394229725322,-62.32394229725322,-62.32394229725322,-62.32394229725322,-62.32394229725322,-62.32394229725322,-62.32394229725322,-62.32394229725322,-62.32394229725322,-62.32394229725322,-62.32394229725322,-62.32394229725322,-62.32394229725322,-62.32394229725322,-62.32394229725322,-62.32394229725322,-62.32394229725322,-62.32394229725322,-62.32394229725322,-62.32394229725322,-62.32394229725322,-62.32394229725322,-62.32394229725322,-62.32394229725322,-62.32394229725322,-62.32394229725322,-62.32394229725322,-568.7420328019779,112.63888932098881,42.61332716372338,3.316562321635868,2.7662447192825343,6.433972791695062,-0.229488078356176,-4.709856602567756,-3.4524058166030507,-6.118903823699096,-12.760565804070241,-14.804940556626352,-12.35338146976802
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP1_60sec.wav,WEBSS-007 TP1_60sec.wav,peak_normalize_bandpass_100_2000_spectral_gating,0.006804573341543517,0.033256742237473345,1.3224269502240686e-06,2336.823147446362,119.46565998134328,-39.40221731247364,-19.709908651868265,-13.514720761181099,-13.615588062661846,-15.845206584943993,-19.606515358338882,-23.73873650304805,-27.09342389943313,-29.69916370371903,-31.73929313842874,-33.460161555763214,-35.20138078159062,-37.16559651380786,-39.092390480979375,-39.968585712706584,-40.37658289790899,-39.38074201898538,-38.811233665050686,-39.551646483528216,-41.52339858804213,-42.951747848810605,-43.30028993410367,-43.019578365867375,-42.910298922131346,-43.74339286556355,-43.101116842137365,-42.717635287608125,-42.0481035020607,-42.72276510476544,-44.7749248691265,-46.7926100871954,-48.77202465705093,-49.959581190817595,-50.300650012116606,-53.569064114005755,-62.80633699169872,-62.82516038273076,-62.82519892797395,-62.82531994799191,-62.825505626986164,-62.82571803520983,-62.82588373832406,-62.82588373832406,-62.82588373832406,-62.82588373832406,-62.82588373832406,-62.82588373832406,-62.82588373832406,-62.82588373832406,-62.82588373832406,-62.82588373832406,-62.82588373832406,-62.82588373832406,-62.82588373832406,-62.82588373832406,-62.82588373832406,-62.82588373832406,-62.82588373832406,-62.82588373832406,-62.82588373832406,-62.82588373832406,-62.82588373832406,-62.82588373832406,-62.82588373832406,-545.4174446661491,136.1277016105638,35.7612814099048,-2.0126257568611337,15.371870638554533,16.72179665738441,-7.449598189023448,-16.71265627899765,-7.356323156679184,-7.299797710856241,-17.494707695037082,-19.07016567576701,-13.255730785386787
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS007_7/WEBSS-007 TP6_60sec.wav,WEBSS-007 TP6_60sec.wav,peak_normalize_bandpass_100_2000_spectral_gating,0.0018254486497322653,0.030678429837420043,6.825183098550154e-06,2310.314121531017,104.40619169776119,-42.396978558228476,-25.544478968718213,-23.09304011714662,-27.177272160325344,-30.61991353079143,-34.39909699164402,-37.59367742469177,-39.72126160686634,-41.23773170999065,-41.90513679426815,-43.038256714080774,-44.873235199100634,-46.08869337789558,-47.308799402082464,-47.921119004266984,-47.461746180730394,-46.210927839026894,-46.4990368955421,-46.59578921931587,-49.08086264592569,-51.022764640649264,-51.91070580140249,-52.777274901041125,-53.859743779008376,-54.54545447301638,-54.76232221787567,-56.46149735913413,-58.00416602750251,-58.92268026690677,-59.9328030499588,-60.53669999776605,-60.942638668652826,-61.65335374700764,-62.27740242582783,-66.12736761338998,-73.27731433432231,-73.37378134355785,-73.37378134355785,-73.37378134355785,-73.37378134355785,-73.37378134355785,-73.37378134355785,-73.37378134355785,-73.37378134355785,-73.37378134355785,-73.37378134355785,-73.37378134355785,-73.37378134355785,-73.37378134355785,-73.37378134355785,-73.37378134355785,-73.37378134355785,-73.37378134355785,-73.37378134355785,-73.37378134355785,-73.37378134355785,-73.37378134355785,-73.37378134355785,-73.37378134355785,-73.37378134355785,-73.37378134355785,-73.37378134355785,-73.37378134355785,-73.37378134355785,-674.6611015330834,147.5055866345656,40.07677079550298,-7.009199438914612,6.013125570489912,13.094015312677577,-0.4003827343661351,-5.068341691712638,-0.23857268249840813,-5.351644583329396,-14.200687572219499,-11.863661549549088,-6.748611186141176
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP3_60sec.wav,WEBSS-003 TP3_60sec.wav,peak_normalize_bandpass_100_2000_spectral_gating,0.013377491733604596,0.060358173557436036,0.09971522026002952,2372.210602262127,169.9125830806903,-49.44528091568339,-28.27637899195451,-21.550786563769964,-22.813646676431283,-26.61039239443304,-28.014880000617215,-30.015502933567365,-32.10963990772272,-32.657242317047505,-33.517072498704046,-34.84572406069108,-35.58481217082514,-36.274117706372465,-37.09408660254976,-37.57633986813946,-37.23890057971291,-36.63982066373032,-36.516853693993625,-37.40369012586556,-37.58916596614994,-38.55312977018058,-39.94955915013778,-41.37529669613598,-41.71125953871806,-43.17482916045874,-43.088227092323216,-44.43856996341747,-45.34984506967778,-45.93236681519278,-46.83719587074794,-48.51567551810157,-50.17852164701499,-51.912809145232394,-53.96498684025981,-58.499484173197025,-61.60375788066609,-61.90243366959052,-61.90243366959052,-61.90243366959052,-61.90243366959052,-61.90243366959052,-61.90243366959052,-61.90243366959052,-61.90243366959052,-61.90243366959052,-61.90243366959052,-61.90243366959052,-61.90243366959052,-61.90243366959052,-61.90243366959052,-61.90243366959052,-61.90243366959052,-61.90243366959052,-61.90243366959052,-61.90243366959052,-61.90243366959052,-61.90243366959052,-61.90243366959052,-61.90243366959052,-61.90243366959052,-61.90243366959052,-61.90243366959052,-61.90243366959052,-61.90243366959052,-549.2010241977969,119.23322241977344,24.286861454380126,-18.792907979170533,-4.791549732420655,7.492152328465769,-3.0965722889704974,-11.031536602041902,-6.8855064483561055,-6.9497558671625805,-13.931886303436476,-14.798274218723716,-9.325900643561079
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP4_60sec.wav,WEBSS-003 TP4_60sec.wav,peak_normalize_bandpass_100_2000_spectral_gating,0.008310388241318347,0.029886924890058637,8.555119646131609e-07,2165.613521746735,110.34618776236007,-33.55015637014363,-15.59530874943704,-11.522764483537212,-12.933801930176697,-17.166051891980484,-21.255743719955014,-24.05906271726921,-26.04865872882686,-27.577152952989103,-28.338293128931458,-29.89457967041419,-30.997255891836296,-31.89765054256165,-32.921862630103064,-33.48195732133312,-33.72457764877819,-33.594201007424765,-34.05331859279619,-34.41763653507603,-34.97122376691769,-36.96546931867417,-38.26419589840095,-39.29519640091123,-40.587619134876995,-41.91795115820246,-42.547640744884106,-44.2741653054963,-45.96868065710444,-47.39023397177601,-48.614297494693034,-50.12778233339306,-51.832371446788414,-53.40233781951613,-55.41992473367189,-60.10879226984905,-66.45967385041517,-67.27524884618948,-67.27669072119828,-67.27787802538391,-67.27853123458829,-67.27853123458829,-67.27853123458829,-67.27853123458829,-67.27853123458829,-67.27853123458829,-67.27853123458829,-67.27853123458829,-67.27853123458829,-67.27853123458829,-67.27853123458829,-67.27853123458829,-67.27853123458829,-67.27853123458829,-67.27853123458829,-67.27853123458829,-67.27853123458829,-67.27853123458829,-67.27853123458829,-67.27853123458829,-67.27853123458829,-67.27853123458829,-67.27853123458829,-67.27853123458829,-67.27853123458829,-548.3129010009325,163.90144953055653,42.808086227133664,-15.027372185780248,-1.5626907988868022,12.26285915947519,0.2353576188934775,-8.926974066723318,-5.198216729291346,-6.243771012915324,-13.497943808525147,-13.697320843673072,-9.185994338882967
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw 60sec/WEBSS003_6/WEBSS-003 TP2_60sec.wav,WEBSS-003 TP2_60sec.wav,peak_normalize_bandpass_100_2000_spectral_gating,0.004510349903569308,0.09491214060834222,0.2654671355259627,2454.4235912721547,234.7417575209888,-52.45464036486112,-37.389990493896036,-33.20993828768074,-33.44269891567579,-35.26348050280564,-37.88210488583526,-40.287394699800025,-41.14676277001132,-41.211686427159,-41.50949522143105,-43.10698977237754,-44.84563893361763,-45.23822514276045,-45.38352321156936,-45.23224502951822,-44.13214260726568,-43.37965494386159,-42.9996743061666,-43.97873247421908,-44.52451102253319,-44.45872234576383,-45.2864017268911,-46.96392433632422,-47.889748895850396,-48.72921692240368,-48.86724861764446,-49.27082230670509,-49.389931778275695,-47.29349444953916,-49.290424790520404,-51.89357581047858,-53.81931067922886,-55.747327777009396,-57.05512674234286,-60.86688709084962,-63.78279040350584,-63.78279040350584,-63.78279040350584,-63.78279040350584,-63.78279040350584,-63.78279040350584,-63.78279040350584,-63.78279040350584,-63.78279040350584,-63.78279040350584,-63.78279040350584,-63.78279040350584,-63.78279040350584,-63.78279040350584,-63.78279040350584,-63.78279040350584,-63.78279040350584,-63.78279040350584,-63.78279040350584,-63.78279040350584,-63.78279040350584,-63.78279040350584,-63.78279040350584,-63.78279040350584,-63.78279040350584,-63.78279040350584,-63.78279040350584,-63.78279040350584,-63.78279040350584,-596.530924293135,93.99536313595502,15.403803237452662,-16.99715473391557,-1.3159922880875399,9.556801072859049,-1.357036516487118,-8.781488913067179,-4.060927319243926,-4.008648555863595,-12.001699649345454,-13.918122531854818,-7.503169020432338
