file_path,filename,preprocessing,rms,zcr,spectral_flatness,kurtosis,skewness,logmel_0,logmel_1,logmel_2,logmel_3,logmel_4,logmel_5,logmel_6,logmel_7,logmel_8,logmel_9,logmel_10,logmel_11,logmel_12,logmel_13,logmel_14,logmel_15,logmel_16,logmel_17,logmel_18,logmel_19,logmel_20,logmel_21,logmel_22,logmel_23,logmel_24,logmel_25,logmel_26,logmel_27,logmel_28,logmel_29,logmel_30,logmel_31,logmel_32,logmel_33,logmel_34,logmel_35,logmel_36,logmel_37,logmel_38,logmel_39,logmel_40,logmel_41,logmel_42,logmel_43,logmel_44,logmel_45,logmel_46,logmel_47,logmel_48,logmel_49,logmel_50,logmel_51,logmel_52,logmel_53,logmel_54,logmel_55,logmel_56,logmel_57,logmel_58,logmel_59,logmel_60,logmel_61,logmel_62,logmel_63,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 4_seg-2_10s-20s.wav,WEBSS-002 TP 4_seg-2_10s-20s.wav,segmented_10sec_nopreprocess,0.12676671,0.008409981529552716,1.6016531e-05,1824.096211686302,2.78624513278754,18.449528,10.511805,3.3247547,-0.27494192,-2.1370277,-4.8509445,-7.9975553,-10.840841,-12.57601,-15.063634,-18.85323,-22.155218,-24.772842,-26.910465,-27.896431,-28.962492,-30.300014,-30.659552,-31.309143,-31.821241,-31.842527,-32.222523,-32.181736,-31.35117,-30.1718,-29.272005,-28.638727,-29.637817,-30.69333,-33.911434,-36.719193,-38.17764,-39.172775,-39.905777,-43.2415,-45.917458,-45.953712,-45.968395,-45.978508,-45.98731,-45.995106,-46.002285,-46.008953,-46.015217,-46.021152,-46.026806,-46.032185,-46.037315,-46.042244,-46.046967,-46.05144,-46.05576,-46.059837,-46.062027,-46.06402,-46.065887,-46.067635,-46.06925,-46.070717,-46.072018,-46.073147,-46.07407,-46.074776,-46.075214,-369.00143,143.21101,68.7607,33.289238,37.923912,36.03232,14.001468,-1.1845102,3.267163,10.501205,8.104084,3.0462763,3.0661094
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 2_seg-5_40s-50s.wav,WEBSS-002 TP 2_seg-5_40s-50s.wav,segmented_10sec_nopreprocess,0.17303427,0.008739142372204472,9.173886e-06,2092.57328898762,3.9557801267971247,22.115986,15.947147,9.854272,4.5955253,2.6586246,0.04957583,-2.8788774,-6.280542,-8.450268,-11.155548,-13.211501,-15.744465,-17.803381,-19.008062,-19.737688,-19.846655,-20.484463,-20.725042,-21.195004,-21.417423,-21.749727,-21.353153,-21.228313,-20.389881,-19.869865,-20.270807,-21.165333,-21.62322,-21.728388,-22.907969,-24.460855,-26.838512,-29.203001,-30.901876,-34.843822,-46.51009,-46.931347,-46.944447,-46.950497,-46.954918,-46.95884,-46.96247,-46.965862,-46.969063,-46.972115,-46.975033,-46.977825,-46.980507,-46.983097,-46.98559,-46.987965,-46.990276,-46.99247,-46.994556,-46.996548,-46.998417,-47.000164,-47.001778,-47.003246,-47.004547,-47.00568,-47.0066,-47.007305,-47.007748,-326.91507,185.27438,49.202656,7.799775,42.054707,45.778137,10.148844,-2.2084277,12.395116,12.8001585,0.28137523,1.2231686,8.7430315
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 4_seg-6_50s-60s.wav,WEBSS-002 TP 4_seg-6_50s-60s.wav,segmented_10sec_nopreprocess,0.14612558,0.00914318340654952,3.7162513e-06,1883.8800887330272,3.1646241014377,18.826422,10.449919,2.6042047,-2.0816338,-2.1869202,-3.0619545,-6.197672,-9.340914,-12.077257,-14.636432,-17.518806,-20.619514,-22.568848,-24.573202,-25.69972,-26.469849,-27.226469,-28.25284,-28.432701,-28.759546,-28.800245,-28.595478,-28.192524,-27.45785,-26.545912,-26.2016,-26.119106,-27.596924,-29.645277,-32.094803,-33.927677,-36.107155,-37.408722,-37.666637,-41.24258,-46.997597,-47.017933,-47.024185,-47.02909,-47.0334,-47.03724,-47.040802,-47.044132,-47.04728,-47.05029,-47.053173,-47.05593,-47.058582,-47.06115,-47.06362,-47.06598,-47.06827,-47.07045,-47.07252,-47.074505,-47.076363,-47.0781,-47.07971,-47.08117,-47.082466,-47.08359,-47.084507,-47.08521,-47.08565,-351.652,144.56378,62.845654,25.964731,34.834885,36.364265,14.599764,-1.2080271,2.6902094,9.38497,7.4874706,3.742128,3.6899695
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 2_seg-1_0s-10s.wav,WEBSS-002 TP 2_seg-1_0s-10s.wav,segmented_10sec_nopreprocess,0.046450928,0.017272364217252395,1.3926334e-05,2125.0794822034745,5.57249026557508,-3.3347375,-7.8524714,-12.36299,-16.316103,-15.492477,-17.131287,-21.104685,-23.865004,-26.408354,-28.496294,-31.394331,-33.957256,-34.92641,-36.2779,-37.92181,-37.5699,-38.411945,-39.496338,-40.74472,-40.823895,-41.353775,-41.95929,-41.974583,-42.176674,-42.323807,-41.42101,-41.023212,-41.9503,-42.695793,-43.67494,-45.45992,-46.281723,-47.178707,-47.575733,-48.513046,-49.7371,-49.808292,-49.808292,-49.808292,-49.808292,-49.808292,-49.808292,-49.808292,-49.808292,-49.808292,-49.808292,-49.808292,-49.808292,-49.808292,-49.808292,-49.808292,-49.808292,-49.808292,-49.808292,-49.808292,-49.808292,-49.808292,-49.808292,-49.808292,-49.808292,-49.808292,-49.808292,-49.808292,-49.808292,-460.05975,100.006714,57.43432,31.655853,26.96812,22.658455,11.207534,3.3221962,3.8170257,5.194104,2.8268793,0.42451814,0.95613277
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 4_seg-7_60s-61.27s.wav,WEBSS-002 TP 4_seg-7_60s-61.27s.wav,segmented_10sec_nopreprocess,0.22502877,0.00740966796875,3.2716039e-06,2159.241943359375,2.691650390625,24.85487,16.826221,9.616768,5.163755,3.6222427,1.1629802,-1.604481,-4.4911704,-5.8053565,-7.7466,-10.997629,-15.315213,-18.230345,-18.67551,-18.485546,-18.06486,-19.212719,-21.705313,-22.02543,-22.683153,-23.484941,-24.030035,-23.979208,-23.67565,-21.703547,-20.809978,-19.98418,-19.399366,-19.684982,-21.027836,-25.091614,-29.142578,-30.424566,-31.39483,-36.191673,-45.844383,-46.01699,-46.112785,-46.189587,-46.25728,-46.31762,-46.360363,-46.390846,-46.403297,-46.4152,-46.426613,-46.43754,-46.44803,-46.45817,-46.467957,-46.477253,-46.486305,-46.494904,-46.50308,-46.510887,-46.5157,-46.5157,-46.5157,-46.5157,-46.5157,-46.5157,-46.5157,-46.5157,-46.5157,-325.25735,188.21799,54.622955,12.791775,43.338417,43.60274,6.423845,-5.7011766,12.122769,16.239279,2.4400897,-1.5195173,5.6178966
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 4_seg-3_20s-30s.wav,WEBSS-002 TP 4_seg-3_20s-30s.wav,segmented_10sec_nopreprocess,0.1835655,0.009191543530351438,2.6756103e-05,1867.472200728834,3.4054107178514377,22.611212,15.993843,9.122198,4.813075,2.2048554,-0.013076124,-3.3444467,-5.1674204,-7.599348,-11.835918,-15.2122135,-17.880783,-20.165703,-22.47015,-23.67955,-23.975168,-25.133982,-26.007841,-25.926788,-26.523521,-26.829739,-27.061102,-26.731014,-25.247822,-24.297472,-24.084503,-24.21186,-24.895622,-25.903807,-27.918533,-30.164343,-32.168015,-33.673416,-34.993656,-38.67163,-46.588036,-46.610905,-46.62397,-46.634193,-46.643078,-46.650936,-46.65817,-46.664875,-46.671165,-46.676422,-46.679356,-46.682156,-46.68484,-46.68744,-46.68994,-46.692318,-46.694633,-46.69683,-46.69892,-46.700916,-46.70279,-46.70454,-46.706158,-46.707626,-46.708927,-46.710064,-46.710983,-46.71169,-46.71213,-328.01038,157.79675,65.27839,28.053879,41.42788,40.62046,13.186941,-2.17683,5.436479,11.052732,5.36833,1.8004767,4.4300346
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 3_seg-5_40s-50s.wav,WEBSS-002 TP 3_seg-5_40s-50s.wav,segmented_10sec_nopreprocess,0.14448166,0.009848305211661341,2.5625222e-05,2139.320290659944,5.434897913338658,20.440392,13.9279995,7.240314,3.0859752,0.22179513,-1.5090933,-3.6794024,-7.227678,-10.009724,-11.9208,-14.510954,-17.656254,-19.838686,-20.943825,-21.494373,-21.50468,-21.613543,-21.499607,-20.991789,-20.470846,-20.480743,-20.18271,-20.37657,-19.499525,-19.238941,-20.2982,-20.780455,-21.373505,-21.468103,-22.213839,-24.602297,-28.313005,-30.562397,-32.238586,-36.25798,-47.445393,-47.501568,-47.5145,-47.524647,-47.53348,-47.5413,-47.548504,-47.55519,-47.56147,-47.567085,-47.569996,-47.572777,-47.575443,-47.578026,-47.580517,-47.582882,-47.585186,-47.58737,-47.58946,-47.591446,-47.59331,-47.595055,-47.596664,-47.59813,-47.59943,-47.60056,-47.60148,-47.602184,-47.602623,-332.80463,180.3317,44.985767,3.9100907,40.52412,48.066402,12.912245,-3.091646,9.093238,10.779311,-0.27316883,0.6160453,9.017617
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 3_seg-6_50s-60s.wav,WEBSS-002 TP 3_seg-6_50s-60s.wav,segmented_10sec_nopreprocess,0.1410908,0.010230506190095847,2.0956804e-05,2119.713380466254,4.643741887979234,19.88843,14.07052,7.9266987,3.308817,-0.10308109,-1.9262601,-3.36023,-6.7958016,-9.631814,-11.602453,-14.713097,-18.194399,-20.050932,-21.064753,-21.827011,-22.499208,-22.532412,-21.727312,-21.105062,-20.6696,-19.728153,-19.035572,-18.869474,-18.170275,-18.349531,-18.738714,-19.408705,-19.74614,-20.499443,-22.325514,-25.47399,-29.140537,-31.22775,-32.55708,-36.610756,-48.213184,-48.274063,-48.286694,-48.29666,-48.30538,-48.313118,-48.320263,-48.32691,-48.33316,-48.339092,-48.34475,-48.349686,-48.352367,-48.35496,-48.35746,-48.359833,-48.362144,-48.364338,-48.366425,-48.368423,-48.37029,-48.372036,-48.373653,-48.375122,-48.376423,-48.377556,-48.378475,-48.37918,-48.379623,-336.09363,185.00494,43.345882,1.090539,41.52882,51.508377,14.257126,-5.10287,6.51378,10.213337,0.764205,1.3382381,8.770745
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 2_seg-7_60s-70s.wav,WEBSS-002 TP 2_seg-7_60s-70s.wav,segmented_10sec_nopreprocess,0.173203,0.008071460662939296,3.5512621e-06,2054.9761787390175,4.265362919329074,21.930326,15.459065,8.969449,4.5905247,1.8332738,-0.39647266,-3.5217047,-6.9209514,-9.192608,-11.668881,-14.672783,-17.469303,-19.232162,-19.790926,-20.20307,-20.884089,-21.592184,-22.081202,-22.11659,-22.317747,-22.861048,-22.938187,-23.06884,-23.206017,-23.610699,-23.97592,-24.360664,-24.367191,-23.42872,-23.92876,-25.83316,-28.137287,-30.333338,-31.498749,-35.047253,-47.049423,-47.207886,-47.22074,-47.23084,-47.239643,-47.247444,-47.25463,-47.26006,-47.26326,-47.26632,-47.269245,-47.27204,-47.274723,-47.277317,-47.27982,-47.2822,-47.284508,-47.286705,-47.288795,-47.29079,-47.29266,-47.29441,-47.29603,-47.297493,-47.298798,-47.299934,-47.30085,-47.301556,-47.302,-336.4255,182.04346,53.056465,12.457041,41.770737,42.79571,9.881574,0.68140095,14.441713,11.887097,-1.7770272,0.3848616,9.41278
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 3_seg-8_70s-79.09s.wav,WEBSS-002 TP 3_seg-8_70s-79.09s.wav,segmented_10sec_nopreprocess,0.15946998,0.008696546052631579,1.4493956e-05,2138.5115131578946,3.6644222861842106,21.916122,13.817196,6.1720877,2.0920022,0.035014533,-1.4254538,-2.8558824,-5.948459,-8.573451,-11.158786,-14.100077,-16.50912,-18.225492,-19.215979,-19.775055,-20.286663,-20.541616,-20.41594,-20.334768,-20.283232,-19.166254,-18.712479,-18.577333,-18.185686,-17.453934,-15.454424,-16.508268,-19.050402,-20.895094,-23.20325,-25.520767,-27.639654,-29.353254,-30.467463,-33.792805,-45.90214,-46.364338,-46.38596,-46.402905,-46.415897,-46.42456,-46.432526,-46.43991,-46.446842,-46.453403,-46.45964,-46.465576,-46.47123,-46.47666,-46.48084,-46.483448,-46.48599,-46.4884,-46.490692,-46.492886,-46.49494,-46.49686,-46.498634,-46.50025,-46.501682,-46.502926,-46.503937,-46.50471,-46.5052,-321.5241,180.52846,42.333363,1.1033012,39.361057,48.018696,12.839023,-4.093585,7.465916,10.862572,2.7585244,3.3189654,7.8014255
