file_path,filename,preprocessing,rms,zcr,spectral_flatness,kurtosis,skewness,logmel_0,logmel_1,logmel_2,logmel_3,logmel_4,logmel_5,logmel_6,logmel_7,logmel_8,logmel_9,logmel_10,logmel_11,logmel_12,logmel_13,logmel_14,logmel_15,logmel_16,logmel_17,logmel_18,logmel_19,logmel_20,logmel_21,logmel_22,logmel_23,logmel_24,logmel_25,logmel_26,logmel_27,logmel_28,logmel_29,logmel_30,logmel_31,logmel_32,logmel_33,logmel_34,logmel_35,logmel_36,logmel_37,logmel_38,logmel_39,logmel_40,logmel_41,logmel_42,logmel_43,logmel_44,logmel_45,logmel_46,logmel_47,logmel_48,logmel_49,logmel_50,logmel_51,logmel_52,logmel_53,logmel_54,logmel_55,logmel_56,logmel_57,logmel_58,logmel_59,logmel_60,logmel_61,logmel_62,logmel_63,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 4_seg-2_10s-20s.wav,WEBSS-002 TP 4_seg-2_10s-20s.wav,segmented_10sec_spectral_gating,0.12677571,0.008406861521565496,1.5903644e-05,1838.509010583067,2.8550413089057507,18.442421,10.507956,3.3106413,-0.2912225,-2.146496,-4.8664637,-8.012293,-10.858999,-12.595309,-15.080662,-18.88555,-22.181269,-24.817364,-26.938068,-27.942198,-29.003046,-30.338783,-30.726337,-31.346945,-31.88185,-31.879702,-32.27434,-32.24629,-31.40233,-30.225832,-29.323807,-28.70014,-29.689066,-30.753735,-33.979733,-36.779873,-38.25555,-39.24683,-39.975014,-43.314526,-45.97776,-45.989815,-45.997417,-46.003616,-46.009247,-46.014347,-46.019176,-46.02375,-46.028122,-46.032337,-46.036407,-46.040337,-46.044125,-46.04781,-46.05138,-46.054787,-46.05775,-46.05994,-46.062027,-46.06402,-46.065887,-46.067635,-46.06925,-46.070717,-46.072018,-46.073147,-46.07407,-46.074776,-46.075214,-369.31775,143.07199,68.96674,33.38885,37.884617,36.041733,14.038164,-1.1967114,3.2265704,10.499929,8.131558,3.039425,3.048666
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 2_seg-5_40s-50s.wav,WEBSS-002 TP 2_seg-5_40s-50s.wav,segmented_10sec_spectral_gating,0.17303589,0.00872666234025559,2.5020543e-05,2142.17533196885,3.9213820387380194,22.101135,15.957382,9.855565,4.5838523,2.658629,0.04817085,-2.8779087,-6.2637553,-8.443122,-11.130714,-13.195923,-15.697874,-17.7549,-18.945906,-19.664366,-19.78441,-20.43078,-20.688923,-21.155596,-21.372072,-21.690065,-21.33177,-21.195126,-20.352583,-19.830853,-20.22193,-21.121223,-21.575487,-21.706102,-22.888706,-24.42541,-26.790224,-29.147545,-30.823208,-34.76217,-46.385815,-46.797245,-46.80633,-46.813873,-46.820835,-46.8272,-46.833286,-46.83909,-46.844666,-46.85007,-46.855324,-46.860394,-46.865307,-46.870094,-46.874752,-46.879196,-46.88355,-46.887707,-46.891674,-46.89548,-46.899063,-46.902416,-46.905525,-46.90836,-46.910873,-46.913063,-46.91485,-46.916214,-46.917076,-326.16867,184.9167,49.069706,7.8923707,41.939877,45.639122,10.166975,-2.1457872,12.382176,12.799768,0.34304073,1.2550356,8.705504
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 4_seg-6_50s-60s.wav,WEBSS-002 TP 4_seg-6_50s-60s.wav,segmented_10sec_spectral_gating,0.14622031,0.009136943390575079,3.7730574e-06,1893.1331744209265,3.1646241014377,18.820528,10.442481,2.603398,-2.0803783,-2.1993618,-3.0711997,-6.2110467,-9.347829,-12.081642,-14.634408,-17.517036,-20.633293,-22.570236,-24.57698,-25.709305,-26.480978,-27.241182,-28.25474,-28.446236,-28.763176,-28.804285,-28.620352,-28.208382,-27.466707,-26.553902,-26.216553,-26.122528,-27.601238,-29.657137,-32.103313,-33.948833,-36.140392,-37.421814,-37.667507,-41.252354,-46.997597,-47.017933,-47.024185,-47.02909,-47.0334,-47.03724,-47.040802,-47.044132,-47.04728,-47.05029,-47.053173,-47.05593,-47.058582,-47.06115,-47.06362,-47.06598,-47.06827,-47.07045,-47.07252,-47.074505,-47.076363,-47.0781,-47.07971,-47.08117,-47.082466,-47.08359,-47.084507,-47.08521,-47.08565,-351.69824,144.53012,62.862656,25.988937,34.833084,36.353268,14.601749,-1.2018067,2.6886883,9.38538,7.4971547,3.7487621,3.6869333
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 2_seg-1_0s-10s.wav,WEBSS-002 TP 2_seg-1_0s-10s.wav,segmented_10sec_spectral_gating,0.04648805,0.017269244209265174,2.9400559e-05,2160.7159014327076,5.57249026557508,-3.3375154,-7.8530717,-12.3773575,-16.312876,-15.505568,-17.14068,-21.11019,-23.871475,-26.413116,-28.50259,-31.395477,-33.95189,-34.935356,-36.279995,-37.92034,-37.56633,-38.4073,-39.503124,-40.74717,-40.81333,-41.339115,-41.93955,-41.956398,-42.16267,-42.321247,-41.435085,-41.03387,-41.95075,-42.695465,-43.674934,-45.46196,-46.281723,-47.178707,-47.575733,-48.513046,-49.7371,-49.808292,-49.808292,-49.808292,-49.808292,-49.808292,-49.808292,-49.808292,-49.808292,-49.808292,-49.808292,-49.808292,-49.808292,-49.808292,-49.808292,-49.808292,-49.808292,-49.808292,-49.808292,-49.808292,-49.808292,-49.808292,-49.808292,-49.808292,-49.808292,-49.808292,-49.808292,-49.808292,-49.808292,-460.064,99.996704,57.416603,31.635883,26.956804,22.662115,11.220562,3.3308682,3.8126204,5.1823163,2.8222172,0.4342609,0.9714295
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 4_seg-7_60s-61.27s.wav,WEBSS-002 TP 4_seg-7_60s-61.27s.wav,segmented_10sec_spectral_gating,0.22698946,0.00733642578125,1.43419165e-05,2378.880615234375,2.691650390625,24.741955,16.718475,9.577063,5.0848017,3.5337002,1.0721949,-1.6448033,-4.568264,-5.8560753,-7.761895,-11.102465,-15.338196,-18.331894,-18.802433,-18.6843,-18.17857,-19.332048,-21.81747,-22.102282,-22.843344,-23.536617,-24.210587,-24.031643,-23.725132,-21.745527,-20.90012,-20.114992,-19.467505,-19.77492,-21.090393,-25.188217,-29.365015,-30.526758,-31.442017,-36.301113,-45.738323,-45.846916,-45.917847,-45.97912,-46.03646,-46.089233,-46.12653,-46.16139,-46.19494,-46.227478,-46.259056,-46.28849,-46.308487,-46.32793,-46.34676,-46.364716,-46.382256,-46.398964,-46.414894,-46.430138,-46.441944,-46.448505,-46.45459,-46.460133,-46.46505,-46.46934,-46.472828,-46.475506,-46.477184,-325.35846,187.36722,54.545124,13.462784,43.15854,43.396057,6.614215,-5.7309427,11.792721,16.199652,2.619392,-1.5302709,5.5278745
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 4_seg-3_20s-30s.wav,WEBSS-002 TP 4_seg-3_20s-30s.wav,segmented_10sec_spectral_gating,0.18364944,0.009188423522364217,2.7161832e-05,1882.7449518270766,3.4054107178514377,22.596033,15.988159,9.1179695,4.7915235,2.1822517,-0.021705335,-3.3688726,-5.1954937,-7.628496,-11.854304,-15.208199,-17.893639,-20.176857,-22.489305,-23.685392,-23.987215,-25.157589,-26.040955,-25.965189,-26.567642,-26.845722,-27.06406,-26.75715,-25.260603,-24.313684,-24.09796,-24.225721,-24.901876,-25.921919,-27.93042,-30.187681,-32.18473,-33.702328,-35.0316,-38.71915,-46.607277,-46.624634,-46.633255,-46.640152,-46.64632,-46.65187,-46.65708,-46.661983,-46.666645,-46.67112,-46.675423,-46.679554,-46.68353,-46.687378,-46.689945,-46.69232,-46.694637,-46.69684,-46.698925,-46.700924,-46.702793,-46.704544,-46.706165,-46.707634,-46.708935,-46.71007,-46.71099,-46.711697,-46.71214,-328.13623,157.71573,65.323074,28.079926,41.405697,40.62866,13.207131,-2.1996958,5.420541,11.092943,5.4108324,1.8029524,4.4279556
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 3_seg-5_40s-50s.wav,WEBSS-002 TP 3_seg-5_40s-50s.wav,segmented_10sec_spectral_gating,0.14458473,0.009842065195686901,2.5663669e-05,2145.0647713658145,5.434897913338658,20.437153,13.920957,7.2352877,3.0807123,0.2146013,-1.51698,-3.6891046,-7.2405977,-10.011952,-11.945003,-14.540011,-17.690287,-19.854568,-20.960457,-21.50961,-21.522953,-21.64122,-21.534813,-21.007856,-20.488188,-20.505478,-20.19355,-20.389376,-19.51103,-19.252512,-20.32175,-20.789156,-21.387192,-21.484829,-22.221933,-24.621609,-28.343033,-30.599348,-32.27291,-36.300793,-47.489025,-47.534206,-47.5406,-47.545605,-47.549995,-47.55389,-47.5575,-47.560867,-47.56405,-47.567085,-47.569996,-47.572777,-47.575443,-47.578026,-47.580517,-47.582882,-47.585186,-47.58737,-47.58946,-47.591446,-47.59331,-47.595055,-47.596664,-47.59813,-47.59943,-47.60056,-47.60148,-47.602184,-47.602623,-332.93936,180.2623,45.05504,3.934135,40.506897,48.11065,12.956135,-3.1169734,9.072066,10.801592,-0.2661766,0.59564114,9.011815
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 3_seg-6_50s-60s.wav,WEBSS-002 TP 3_seg-6_50s-60s.wav,segmented_10sec_spectral_gating,0.14114533,0.010224266174121406,2.3440425e-05,2158.9959970297523,4.678139976038339,19.886461,14.063864,7.9327936,3.31723,-0.10568286,-1.9445364,-3.3834646,-6.800071,-9.631249,-11.6005,-14.705819,-18.18098,-20.03644,-21.04538,-21.81708,-22.48766,-22.529505,-21.715275,-21.099922,-20.654507,-19.72741,-19.03322,-18.87783,-18.171083,-18.353212,-18.738531,-19.41246,-19.746586,-20.50166,-22.325018,-25.473585,-29.136175,-31.228128,-32.549953,-36.60315,-48.142006,-48.192757,-48.201115,-48.20824,-48.214916,-48.221073,-48.226994,-48.232666,-48.238136,-48.24345,-48.248623,-48.25363,-48.25849,-48.263233,-48.267845,-48.272255,-48.276577,-48.28071,-48.284653,-48.288433,-48.291996,-48.295334,-48.29843,-48.301254,-48.303757,-48.305943,-48.307716,-48.309082,-48.309937,-335.69647,184.65678,43.345604,1.2379411,41.423584,51.43135,14.310238,-5.0688486,6.494617,10.233157,0.8134355,1.3481516,8.753853
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 2_seg-7_60s-70s.wav,WEBSS-002 TP 2_seg-7_60s-70s.wav,segmented_10sec_spectral_gating,0.17330657,0.008068340654952077,7.166147e-06,2091.8165310503196,4.230964831269968,21.9243,15.444024,8.972423,4.590311,1.835806,-0.39497104,-3.5208519,-6.926602,-9.2114105,-11.687593,-14.679385,-17.478266,-19.231794,-19.805132,-20.226465,-20.916243,-21.591753,-22.070269,-22.169996,-22.35219,-22.847712,-22.925694,-23.075182,-23.202475,-23.608095,-23.982006,-24.365347,-24.357876,-23.426802,-23.927204,-25.84276,-28.141024,-30.33321,-31.523228,-35.04645,-46.99906,-47.147816,-47.157475,-47.16515,-47.17211,-47.178444,-47.184475,-47.19022,-47.195744,-47.2011,-47.206303,-47.211338,-47.216213,-47.22097,-47.225594,-47.23002,-47.23435,-47.238487,-47.242435,-47.246227,-47.249794,-47.25314,-47.256237,-47.25906,-47.26157,-47.263756,-47.265533,-47.2669,-47.267754,-336.2408,181.80049,53.02476,12.611168,41.741432,42.7729,9.937717,0.6821213,14.379215,11.886577,-1.7338966,0.3788066,9.377169
/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 3_seg-8_70s-79.09s.wav,WEBSS-002 TP 3_seg-8_70s-79.09s.wav,segmented_10sec_spectral_gating,0.15949081,0.00869311951754386,6.309528e-05,2182.1445826480262,3.6644222861842106,21.907928,13.828036,6.191391,2.1008182,0.04791549,-1.4099395,-2.8530016,-5.947998,-8.549505,-11.14715,-14.094853,-16.502512,-18.180777,-19.170097,-19.723286,-20.245808,-20.503828,-20.399742,-20.309296,-20.256271,-19.138807,-18.674719,-18.564384,-18.174923,-17.477587,-15.438481,-16.494596,-19.05057,-20.896997,-23.186596,-25.514938,-27.623009,-29.32816,-30.44542,-33.76178,-45.832687,-46.267166,-46.276974,-46.285202,-46.292824,-46.29981,-46.306484,-46.312855,-46.31898,-46.32492,-46.33069,-46.33626,-46.34166,-46.346928,-46.352043,-46.356926,-46.361713,-46.36628,-46.37064,-46.37482,-46.378754,-46.38244,-46.385857,-46.38897,-46.391735,-46.394142,-46.3961,-46.397602,-46.39855,-320.84995,180.07796,42.371204,1.260464,39.1999,47.918217,12.905556,-4.0421963,7.448644,10.867059,2.7871408,3.3070242,7.7695208
