logmel_0,logmel_1,logmel_2,logmel_3,logmel_4,logmel_5,logmel_6,logmel_7,logmel_8,logmel_9,logmel_10,logmel_11,logmel_12,logmel_13,logmel_14,logmel_15,logmel_16,logmel_17,logmel_18,logmel_19,logmel_20,logmel_21,logmel_22,logmel_23,logmel_24,logmel_25,logmel_26,logmel_27,logmel_28,logmel_29,logmel_30,logmel_31,logmel_32,logmel_33,logmel_34,logmel_35,logmel_36,logmel_37,logmel_38,logmel_39,logmel_40,logmel_41,logmel_42,logmel_43,logmel_44,logmel_45,logmel_46,logmel_47,logmel_48,logmel_49,logmel_50,logmel_51,logmel_52,logmel_53,logmel_54,logmel_55,logmel_56,logmel_57,logmel_58,logmel_59,logmel_60,logmel_61,logmel_62,logmel_63,file_path,filename
-15.448554,-23.386278,-30.573326,-34.173023,-36.03511,-38.749027,-41.895638,-44.738922,-46.47409,-48.961716,-52.751312,-56.053303,-58.670925,-60.80855,-61.794518,-62.860573,-64.1981,-64.55763,-65.20723,-65.71932,-65.7406,-66.1206,-66.07982,-65.24926,-64.069885,-63.17009,-62.536816,-63.5359,-64.59141,-67.80952,-70.61727,-72.07572,-73.070854,-73.80385,-77.13959,-79.81553,-79.85178,-79.86647,-79.87659,-79.88538,-79.89318,-79.90036,-79.90702,-79.91329,-79.91923,-79.92488,-79.93025,-79.935394,-79.94032,-79.94504,-79.94952,-79.95383,-79.95792,-79.9601,-79.9621,-79.96397,-79.965706,-79.96732,-79.96879,-79.97009,-79.97122,-79.972145,-79.97285,-79.97329,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 4_seg-2_10s-20s.wav,WEBSS-002 TP 4_seg-2_10s-20s.wav
-10.819731,-16.988571,-23.081444,-28.340193,-30.277094,-32.886143,-35.814598,-39.21626,-41.385986,-44.091267,-46.147217,-48.680183,-50.739098,-51.94378,-52.67341,-52.78237,-53.420177,-53.660763,-54.130722,-54.35314,-54.68544,-54.288868,-54.164032,-53.3256,-52.805588,-53.206528,-54.10105,-54.558937,-54.664104,-55.84369,-57.396572,-59.77423,-62.138714,-63.837597,-67.77954,-79.44581,-79.867065,-79.880165,-79.88622,-79.89064,-79.89456,-79.89819,-79.90158,-79.904785,-79.90784,-79.91076,-79.91355,-79.91623,-79.918816,-79.92131,-79.92369,-79.926,-79.92819,-79.93028,-79.932274,-79.93414,-79.93589,-79.9375,-79.93897,-79.94027,-79.94141,-79.94232,-79.94303,-79.94347,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 2_seg-5_40s-50s.wav,WEBSS-002 TP 2_seg-5_40s-50s.wav
-14.026046,-22.402546,-30.248259,-34.934097,-35.039387,-35.914425,-39.05014,-42.193382,-44.929726,-47.4889,-50.371273,-53.47198,-55.421314,-57.42567,-58.552193,-59.322323,-60.078938,-61.105305,-61.285168,-61.612007,-61.652714,-61.447945,-61.04499,-60.31032,-59.398376,-59.05406,-58.971577,-60.449394,-62.497746,-64.94727,-66.780136,-68.95962,-70.261185,-70.519104,-74.09505,-79.85007,-79.87041,-79.87666,-79.88156,-79.88588,-79.88971,-79.89327,-79.89661,-79.89975,-79.902756,-79.90564,-79.9084,-79.91106,-79.91362,-79.9161,-79.91845,-79.92074,-79.92292,-79.924995,-79.92698,-79.92883,-79.93057,-79.93218,-79.93365,-79.93494,-79.936066,-79.93697,-79.93768,-79.938126,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 4_seg-6_50s-60s.wav,WEBSS-002 TP 4_seg-6_50s-60s.wav
-33.52644,-38.044178,-42.554695,-46.507805,-45.684185,-47.32299,-51.29639,-54.05671,-56.60005,-58.688,-61.586037,-64.148964,-65.11811,-66.469604,-68.11351,-67.761604,-68.603645,-69.68804,-70.936424,-71.0156,-71.54548,-72.15099,-72.16629,-72.36838,-72.51551,-71.61272,-71.21492,-72.142,-72.88749,-73.86664,-75.65162,-76.47343,-77.370415,-77.76745,-78.70475,-79.92881,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 2_seg-1_0s-10s.wav,WEBSS-002 TP 2_seg-1_0s-10s.wav
-8.62943,-16.658077,-23.86753,-28.320541,-29.862055,-32.321316,-35.088783,-37.97547,-39.289654,-41.2309,-44.481926,-48.79951,-51.71465,-52.1598,-51.96985,-51.549156,-52.69702,-55.189613,-55.509727,-56.167458,-56.96924,-57.514336,-57.4635,-57.15995,-55.187843,-54.294273,-53.468483,-52.883667,-53.16928,-54.51214,-58.57591,-62.626873,-63.908863,-64.879135,-69.67598,-79.32869,-79.5013,-79.597084,-79.67389,-79.74158,-79.80192,-79.844666,-79.875145,-79.88759,-79.89949,-79.91091,-79.92184,-79.93233,-79.94247,-79.952255,-79.96155,-79.9706,-79.9792,-79.98738,-79.99519,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 4_seg-7_60s-61.27s.wav,WEBSS-002 TP 4_seg-7_60s-61.27s.wav
-10.553511,-17.170877,-24.042522,-28.351646,-30.959867,-33.177795,-36.509167,-38.332138,-40.76407,-45.000637,-48.376934,-51.045498,-53.33042,-55.634872,-56.844273,-57.13989,-58.298702,-59.17256,-59.09151,-59.688244,-59.994457,-60.22582,-59.895737,-58.412548,-57.462196,-57.249226,-57.376583,-58.06034,-59.068527,-61.083256,-63.32906,-65.33273,-66.838135,-68.15838,-71.83635,-79.75276,-79.775635,-79.7887,-79.79892,-79.80781,-79.81567,-79.8229,-79.829605,-79.83589,-79.841156,-79.844086,-79.846886,-79.84957,-79.852165,-79.85467,-79.85705,-79.85936,-79.86156,-79.86365,-79.86565,-79.867516,-79.86926,-79.87088,-79.87235,-79.87366,-79.87479,-79.87571,-79.87642,-79.87686,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 4_seg-3_20s-30s.wav,WEBSS-002 TP 4_seg-3_20s-30s.wav
-11.881122,-18.393517,-25.081202,-29.235542,-32.09972,-33.83061,-36.000916,-39.54919,-42.331238,-44.242317,-46.83247,-49.977768,-52.160206,-53.26534,-53.815887,-53.82619,-53.93506,-53.821125,-53.313305,-52.79236,-52.80226,-52.504223,-52.698082,-51.82104,-51.56045,-52.61972,-53.101974,-53.695026,-53.789623,-54.535355,-56.923817,-60.63452,-62.88391,-64.560104,-68.57949,-79.7669,-79.823074,-79.836006,-79.84616,-79.854996,-79.86281,-79.87002,-79.87669,-79.88298,-79.88859,-79.8915,-79.89428,-79.89695,-79.899536,-79.90202,-79.90439,-79.90669,-79.90888,-79.910965,-79.91295,-79.91482,-79.91656,-79.918175,-79.91964,-79.92094,-79.922066,-79.92299,-79.92369,-79.92413,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 3_seg-5_40s-50s.wav,WEBSS-002 TP 3_seg-5_40s-50s.wav
-11.687774,-17.505684,-23.649506,-28.267387,-31.679281,-33.502464,-34.93643,-38.372005,-41.208015,-43.178658,-46.2893,-49.770603,-51.627132,-52.640957,-53.403217,-54.075405,-54.108612,-53.303513,-52.68127,-52.2458,-51.304356,-50.61178,-50.445683,-49.74648,-49.925735,-50.314922,-50.984913,-51.322342,-52.07565,-53.90172,-57.050194,-60.71674,-62.80396,-64.133286,-68.186966,-79.78939,-79.850266,-79.86289,-79.87286,-79.881584,-79.88932,-79.89647,-79.903114,-79.909355,-79.9153,-79.92095,-79.925896,-79.92857,-79.93116,-79.93366,-79.93604,-79.93835,-79.940544,-79.94263,-79.944626,-79.946495,-79.94824,-79.94985,-79.951324,-79.95263,-79.95376,-79.95468,-79.95538,-79.955826,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 3_seg-6_50s-60s.wav,WEBSS-002 TP 3_seg-6_50s-60s.wav
-10.691255,-17.162516,-23.652132,-28.031057,-30.788307,-33.01805,-36.143288,-39.54253,-41.81419,-44.29046,-47.294365,-50.09088,-51.853745,-52.412502,-52.82465,-53.505672,-54.213764,-54.70278,-54.738174,-54.939327,-55.482628,-55.55977,-55.690422,-55.827602,-56.232277,-56.597492,-56.982243,-56.988773,-56.050293,-56.550343,-58.454742,-60.758865,-62.954914,-64.12032,-67.66884,-79.671,-79.829475,-79.84232,-79.852425,-79.86122,-79.86902,-79.87621,-79.88164,-79.88484,-79.8879,-79.89082,-79.89362,-79.8963,-79.8989,-79.9014,-79.90378,-79.90609,-79.90829,-79.91038,-79.91237,-79.914246,-79.91599,-79.91761,-79.91908,-79.92038,-79.92152,-79.92244,-79.923134,-79.92358,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 2_seg-7_60s-70s.wav,WEBSS-002 TP 2_seg-7_60s-70s.wav
-11.445994,-19.544918,-27.190027,-31.270113,-33.3271,-34.787567,-36.218,-39.310574,-41.935562,-44.5209,-47.462193,-49.87123,-51.58761,-52.578094,-53.137173,-53.64878,-53.903732,-53.778057,-53.69688,-53.645348,-52.52837,-52.074593,-51.939445,-51.547802,-50.81605,-48.816544,-49.870384,-52.412514,-54.25721,-56.56537,-58.88288,-61.001766,-62.71537,-63.82958,-67.15492,-79.26425,-79.726456,-79.74808,-79.76502,-79.778015,-79.786674,-79.79464,-79.802025,-79.80896,-79.81551,-79.82176,-79.82769,-79.83334,-79.838776,-79.84296,-79.845566,-79.8481,-79.85052,-79.852806,-79.855,-79.857056,-79.85898,-79.860756,-79.86237,-79.8638,-79.86504,-79.86605,-79.86683,-79.86731,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 3_seg-8_70s-79.09s.wav,WEBSS-002 TP 3_seg-8_70s-79.09s.wav
