logmel_0,logmel_1,logmel_2,logmel_3,logmel_4,logmel_5,logmel_6,logmel_7,logmel_8,logmel_9,logmel_10,logmel_11,logmel_12,logmel_13,logmel_14,logmel_15,logmel_16,logmel_17,logmel_18,logmel_19,logmel_20,logmel_21,logmel_22,logmel_23,logmel_24,logmel_25,logmel_26,logmel_27,logmel_28,logmel_29,logmel_30,logmel_31,logmel_32,logmel_33,logmel_34,logmel_35,logmel_36,logmel_37,logmel_38,logmel_39,logmel_40,logmel_41,logmel_42,logmel_43,logmel_44,logmel_45,logmel_46,logmel_47,logmel_48,logmel_49,logmel_50,logmel_51,logmel_52,logmel_53,logmel_54,logmel_55,logmel_56,logmel_57,logmel_58,logmel_59,logmel_60,logmel_61,logmel_62,logmel_63,file_path,filename
-15.322825633020718,-22.536700768470492,-29.73414963979456,-33.33127087073452,-35.19159872099868,-37.91046354017278,-41.061607371390345,-43.90205490313215,-45.636058093255315,-48.12292467582049,-51.91596281357038,-55.22096353126369,-57.84071226113294,-59.97557590094544,-60.9636577455602,-62.02823698766703,-63.36359756392354,-63.72775164428939,-64.37298419857551,-64.88324326543984,-64.90433300915784,-65.28459964674768,-65.24044823711158,-64.40407287110757,-63.22640215813709,-62.32801019038615,-61.696080420343925,-62.68823611260982,-63.74070648051324,-66.9565515777134,-69.76296212008786,-71.22026469667178,-72.21086588518679,-72.93772920026449,-76.3582105563519,-79.74643556718598,-79.76694958661963,-79.77878706158862,-79.78812316068179,-79.79639368435255,-79.8037739242778,-79.81066476892182,-79.81713177142879,-79.8232609383997,-79.82913451227563,-79.83478130890347,-79.84019817815175,-79.84540897500881,-79.8504592782015,-79.85533927196168,-79.85998491719924,-79.86451420103917,-79.86882424992999,-79.87292762012488,-79.87685298902332,-79.88053633156802,-79.88398283353816,-79.88717300573552,-79.8900740267009,-79.89264637368656,-79.89488636503266,-79.89670578302234,-79.89810168930765,-79.89897605674665,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 4_seg-2_10s-20s.wav,WEBSS-002 TP 4_seg-2_10s-20s.wav
-10.98890529559421,-16.499418890915425,-22.601956893402015,-27.861312455157712,-29.79938426180956,-32.40960003740364,-35.33800785144337,-38.739907386710556,-40.90200662424457,-43.59651141841518,-45.65791715104866,-48.18250434626101,-50.24379110299148,-51.440891232538746,-52.16334511099556,-52.280960046224386,-52.919606620755665,-53.166319334821615,-53.63661293095385,-53.859141253585,-54.18098070445735,-53.79938134731103,-53.66892193793882,-52.83054730047849,-52.30929019079915,-52.70375204008087,-53.60563117449318,-54.06166169355326,-54.17792103675338,-55.356489217512575,-56.90837844783604,-59.283185245903375,-61.64310553320323,-63.33299214411121,-67.27575135477944,-79.35960534517012,-79.8067369761014,-79.81433808732321,-79.820986781921,-79.82733513831022,-79.83325506565707,-79.8389914577131,-79.84452208733617,-79.84987681797159,-79.85510032970066,-79.85952623337981,-79.86339626740664,-79.86713859204914,-79.87078277378625,-79.87431832214399,-79.87769333701219,-79.88099494742853,-79.88414394380293,-79.88714819568919,-79.8900281406869,-79.89273434944019,-79.89527025989682,-79.89762039447479,-79.89975990087889,-79.90165849810022,-79.90331323457447,-79.90465787764273,-79.9056900937624,-79.90633677311662,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 2_seg-5_40s-50s.wav,WEBSS-002 TP 2_seg-5_40s-50s.wav
-14.795027886480952,-22.396885177739325,-30.24779758390398,-34.93110533952037,-35.04323996186727,-35.913233057038084,-39.047355457211154,-42.19574574810949,-44.93146486535695,-47.48869917305978,-50.36865788853757,-53.47350652396332,-55.413770585539574,-57.42664895291983,-58.55259034495185,-59.31067988452269,-60.074379459262225,-61.092038697864,-61.28156416522233,-61.605115946663254,-61.64376236818803,-61.44945306563218,-61.04100138742665,-60.309911236240666,-59.40053765007341,-59.04748650109977,-58.965817287125034,-60.44867822342839,-62.49695049942977,-64.94340063719207,-66.76980407448623,-68.96005663840745,-70.24665921250993,-70.50765112239361,-74.07336308566977,-79.82096768109416,-79.84448321508832,-79.85273370332972,-79.85932654387935,-79.86523008528607,-79.87053338157574,-79.8755152154996,-79.8802121294999,-79.88468063387258,-79.8889768591972,-79.89311859830536,-79.89710076082618,-79.90093899311373,-79.90466571870928,-79.90827238272585,-79.91170931699531,-79.91506500684324,-79.91826104614195,-79.92130652254184,-79.92422237223553,-79.9269600891158,-79.92952330052867,-79.93189714904292,-79.93364661521727,-79.9349420416394,-79.93606965609469,-79.936985323351,-79.93768781134543,-79.93812767246936,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 4_seg-6_50s-60s.wav,WEBSS-002 TP 4_seg-6_50s-60s.wav
-34.174771042695,-37.97938399154022,-42.50890038551514,-46.46613514019128,-45.639267160073196,-47.281536140385676,-51.25676353377751,-54.01487324068194,-56.57200209109112,-58.65838547618883,-61.546756981605625,-64.1081162886239,-65.0880365147107,-66.43675520467868,-68.07621841306074,-67.72183351908241,-68.56985361316863,-69.6563564454738,-70.89712845835454,-70.97726603616894,-71.50758046834561,-72.11435708374016,-72.1312880685265,-72.3302832261815,-72.47385013474418,-71.57318251608665,-71.16918694719391,-72.09530232249341,-72.84149782606232,-73.82405339543953,-75.62356701790155,-76.45036347229852,-77.35163021159295,-77.7487493414972,-78.68958322871087,-79.92779673941709,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 2_seg-1_0s-10s.wav,WEBSS-002 TP 2_seg-1_0s-10s.wav
-8.919445841394822,-15.892261345290013,-23.08529863728517,-27.527891518918416,-29.065011431768653,-31.525966865886225,-34.29594771795211,-37.17279837683625,-38.49092813263222,-40.43338127724477,-43.68375952689074,-48.00063417587632,-50.9147257731071,-51.36030215746537,-51.16902791954444,-50.751687467255394,-51.89975492961751,-54.39068579419857,-54.70567776134219,-55.36456687116313,-56.163751130558786,-56.714799038131574,-56.66368653985669,-56.362813681016995,-54.39257570147193,-53.49677435912997,-52.673725041687604,-52.09012328730453,-52.37491083586144,-53.71529676799754,-57.774195425279366,-61.82907174734335,-63.11327735409289,-64.08505680414066,-68.88796004859762,-79.26320080254084,-79.4516162876429,-79.5405731380354,-79.60989146709217,-79.66976481708168,-79.72215017467246,-79.76999547658303,-79.80767471804151,-79.83634839723564,-79.86326831603193,-79.88869652799433,-79.90205427521619,-79.9125438769616,-79.92268760134466,-79.93246938730832,-79.94176638283193,-79.95081754101298,-79.95941741363762,-79.96759484581426,-79.97540555119532,-79.98272904168998,-79.98957497292608,-79.99590806504935,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 4_seg-7_60s-61.27s.wav,WEBSS-002 TP 4_seg-7_60s-61.27s.wav
-10.170994039566393,-16.256898864526224,-23.143322830065,-27.450985348280405,-30.065100424429936,-32.276228749857324,-35.60404136640958,-37.42709504100806,-39.86403015697339,-44.09472624295488,-47.488539535119266,-50.15572396618519,-52.43909760230014,-54.74918988044928,-55.95189431436543,-56.250549356195684,-57.41394534571031,-58.27875384510645,-58.197648612570774,-58.79925673880528,-59.08896564295187,-59.329673680851776,-59.00143248926016,-57.51559196265203,-56.56638411933758,-56.35274349012165,-56.479599833279345,-57.15920076508428,-58.17305763110791,-60.18200464959898,-62.43127363572142,-64.43150988869856,-65.93260637573857,-67.249317779202,-70.91602734302991,-79.68785695061277,-79.71229822507989,-79.72446856158409,-79.73401847375757,-79.74243795384604,-79.74992677312865,-79.75689957927185,-79.76342975180246,-79.76960866302657,-79.77552193892853,-79.7812007883677,-79.78664385112673,-79.79187632462373,-79.79694457022296,-79.80096984485873,-79.80448736483613,-79.8079136369548,-79.81117180642642,-79.8142719425676,-79.81723582486956,-79.8200156714684,-79.82261573672503,-79.82502149484979,-79.82720856054824,-79.82914733476498,-79.83083519664106,-79.83220594997678,-79.83325743504716,-79.8339160703873,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 4_seg-3_20s-30s.wav,WEBSS-002 TP 4_seg-3_20s-30s.wav
-12.055571913427201,-18.30336180868265,-25.01172051078554,-29.16739276647156,-32.0308780740525,-33.7596937430802,-35.933859111510934,-39.4832330266345,-42.26138940100676,-44.17660280842793,-46.76591100438044,-49.91324163136914,-52.09414325167673,-53.199730275592685,-53.75159857299985,-53.7606503506131,-53.87514750243623,-53.75946240351524,-53.24896901779489,-52.72666558625199,-52.73429938493111,-52.43791093933159,-52.63054614333788,-51.750156441166126,-51.49149561566743,-52.554887403972586,-53.03338682157088,-53.6288311920066,-53.72285745802542,-54.46690067920625,-56.856471517092224,-60.56504279107098,-62.813572209985374,-64.48786267755068,-68.50275733258816,-79.74498500355536,-79.80810640395173,-79.81945785332081,-79.82836070204603,-79.83613081528966,-79.84300310563208,-79.84933808141807,-79.85521948213061,-79.8607368578971,-79.86596853001389,-79.87094868805642,-79.87568522607597,-79.88020415160204,-79.88454600899809,-79.88870846597852,-79.89264860894133,-79.89645870635186,-79.9000645775589,-79.90347904250501,-79.9067259522382,-79.90975945275662,-79.91258539611631,-79.91519049823319,-79.91755147307666,-79.91963895511796,-79.92145092222727,-79.92253231898793,-79.92323649133431,-79.92367746194097,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 3_seg-5_40s-50s.wav,WEBSS-002 TP 3_seg-5_40s-50s.wav
-12.23393287099368,-17.715441293703915,-23.877266352124252,-28.49447277065352,-31.907732310787026,-33.73130088805795,-35.16458371319004,-38.60070495741997,-41.43685196738033,-43.40645287708608,-46.51886739830942,-50.00262095197547,-51.85962871788008,-52.873307360668086,-53.634612827108874,-54.30827100821524,-54.34015044222611,-53.53469956903049,-52.91227106323224,-52.47774019055794,-51.53550473302417,-50.84173530012522,-50.674849144684735,-49.975502280580116,-50.15462145529521,-50.54233793328101,-51.21155703985802,-51.5488585697227,-52.302608854971886,-54.13091765891657,-57.28076476835358,-60.945208789819674,-63.03172936315683,-64.3597098945915,-68.41114899196758,-79.78211449505844,-79.84264399688429,-79.85449011009501,-79.86392839324378,-79.87225530756068,-79.87969986517109,-79.8866205338332,-79.89309885311326,-79.89922244720886,-79.90506711728953,-79.91066466292183,-79.91602013753909,-79.92115752827178,-79.92611421820926,-79.93088499479923,-79.93542384166786,-79.93979724563611,-79.94199265289177,-79.94408000332851,-79.94607407743803,-79.94794341011846,-79.94969078537663,-79.95130689523099,-79.95277562162924,-79.95407706443079,-79.95520965469912,-79.95612934733492,-79.95683471434789,-79.95727640592594,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 3_seg-6_50s-60s.wav,WEBSS-002 TP 3_seg-6_50s-60s.wav
-10.731509348582115,-16.691987054372397,-23.199240462680258,-27.580136593396457,-30.334210556370035,-32.5659077145486,-35.692394427374154,-39.09196268262023,-41.37157422127201,-43.85107283343232,-46.84048405294202,-49.631727496441144,-51.3807972158635,-51.96134167244127,-52.365741491189794,-53.0598907462051,-53.764159880253416,-54.25466986297529,-54.28560804583641,-54.487883701351244,-55.02934225408228,-55.102878086932236,-55.23907089464481,-55.3699435261788,-55.78587151223978,-56.14427118935111,-56.52686921540345,-56.53272754538658,-55.59522245636868,-56.096232669360695,-58.00660477946449,-60.30796760563894,-62.49719444713714,-63.66200843991689,-67.20467904843898,-79.58966392018762,-79.76779458549677,-79.77936994663504,-79.78854644539972,-79.79669977725442,-79.803986654378,-79.81079994522547,-79.81720095267805,-79.82327324315472,-79.82909728637972,-79.83470064844994,-79.84007927191519,-79.84492760860812,-79.84873417514372,-79.85241073485447,-79.85590955994005,-79.85931933308312,-79.86256306977083,-79.86565059286623,-79.86860338909939,-79.87137361964801,-79.87396524857465,-79.87636368814859,-79.87854457090407,-79.8804780990223,-79.88216166523699,-79.88352892596934,-79.88457785783734,-79.88523495468598,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 2_seg-7_60s-70s.wav,WEBSS-002 TP 2_seg-7_60s-70s.wav
-12.209882535720618,-19.823044921724605,-27.479164655443082,-31.56037407428332,-33.61730487448291,-35.077493032161456,-36.506882628808214,-39.59635389048098,-42.21660068851551,-44.80398768586845,-47.746699868214,-50.154143799054395,-51.86513302318746,-52.85021640163047,-53.40662839062292,-53.9224115953346,-54.181547988617176,-54.05927713799425,-53.978017709229604,-53.92540184873417,-52.80749349420648,-52.3551372965631,-52.223207225364135,-51.83423447925022,-51.10972567315752,-49.11028431220188,-50.15912334489903,-52.698672179919534,-54.5437889962786,-56.852123995763385,-59.17035852638791,-61.287465840532,-63.00397352763633,-64.11747668440624,-67.44889134174086,-79.29791024024473,-79.71346741282115,-79.72156749868985,-79.72839160540538,-79.73491269974947,-79.74102472606819,-79.74699420987037,-79.75278807186659,-79.75843040016784,-79.76396323220754,-79.76938364315659,-79.77466237405261,-79.77980581890093,-79.784849258889,-79.78977019457481,-79.79448820720437,-79.79912612570931,-79.80356433600417,-79.8078113801058,-79.81189471901982,-79.81574049455297,-79.81935178052413,-79.8227046229305,-79.82576141900262,-79.82847723546004,-79.83084741194521,-79.83277448214884,-79.83425536168639,-79.83518307125117,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 3_seg-8_70s-79.09s.wav,WEBSS-002 TP 3_seg-8_70s-79.09s.wav
