logmel_0,logmel_1,logmel_2,logmel_3,logmel_4,logmel_5,logmel_6,logmel_7,logmel_8,logmel_9,logmel_10,logmel_11,logmel_12,logmel_13,logmel_14,logmel_15,logmel_16,logmel_17,logmel_18,logmel_19,logmel_20,logmel_21,logmel_22,logmel_23,logmel_24,logmel_25,logmel_26,logmel_27,logmel_28,logmel_29,logmel_30,logmel_31,logmel_32,logmel_33,logmel_34,logmel_35,logmel_36,logmel_37,logmel_38,logmel_39,logmel_40,logmel_41,logmel_42,logmel_43,logmel_44,logmel_45,logmel_46,logmel_47,logmel_48,logmel_49,logmel_50,logmel_51,logmel_52,logmel_53,logmel_54,logmel_55,logmel_56,logmel_57,logmel_58,logmel_59,logmel_60,logmel_61,logmel_62,logmel_63,file_path,filename
-26.67575063062567,-16.23583337814396,-16.44833719621127,-19.38091500177119,-21.231281105007184,-23.947187157376728,-27.102327270580545,-29.94339671987758,-31.68526968063625,-34.173536315424606,-37.96679436768067,-41.279328115407715,-43.895758712710034,-46.03518020253285,-47.02573981903819,-48.089996284749006,-49.4430406278064,-49.813289090219705,-50.44338401113256,-50.95731712578266,-50.97205777836808,-51.3714250308373,-51.328843336452536,-50.50263776645523,-49.311835882195865,-48.41850493020015,-47.79613998025586,-48.809872922242214,-49.90864359990097,-53.17351012703727,-56.08495839283397,-57.71758403646901,-58.994263936464854,-60.199267245335015,-64.14423262811974,-79.209293028957,-79.69510325560826,-79.72473782984443,-79.75209073691097,-79.7788832484705,-79.80515979028134,-79.83121995173857,-79.85703656555708,-79.88268365490138,-79.90283761401578,-79.91800181846351,-79.92577402127009,-79.9300250918024,-79.93406165004167,-79.93788861949426,-79.94148388220503,-79.94491391065499,-79.94813309620353,-79.95114672727073,-79.95256777647568,-79.95388531880704,-79.95510248284424,-79.95621564669206,-79.95721748472612,-79.9580985664504,-79.9588578149685,-79.95947230014757,-79.95993955700513,-79.96023210564921,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 4_seg-2_10s-20s.wav,WEBSS-002 TP 4_seg-2_10s-20s.wav
-28.10729007189898,-16.784290686429987,-16.385457711951403,-21.071510588908733,-22.99843148540267,-25.605432813476046,-28.53181237370591,-31.930872935031957,-34.10338828862003,-36.81417864580952,-38.865075485602176,-41.399978864283895,-43.458843450592504,-44.66087598428479,-45.386054122565916,-45.49061547357192,-46.133618114262006,-46.381325570658895,-46.85437359729928,-47.07688300645992,-47.40350067493236,-47.00696580984246,-46.88703215293959,-46.04618158489589,-45.53562074672889,-45.94134800665104,-46.84324586046254,-47.31656762246246,-47.45084315716306,-48.68699709598818,-50.33227362052606,-52.874309260146696,-55.52894731027412,-57.71481182115624,-62.13521135505956,-78.40676535291988,-79.85188603763773,-79.87180092381786,-79.88784424553374,-79.90460348301217,-79.92237728499856,-79.94111791868669,-79.96054655449191,-79.97625364723045,-79.98648081496262,-79.99118316755846,-79.99148718603203,-79.99189337695795,-79.99238559111497,-79.99294037451723,-79.99352434608782,-79.99415387822471,-79.99479288554684,-79.99543558333664,-79.99608229603766,-79.99671136256758,-79.99731940859965,-79.99789791707168,-79.99843580091695,-79.99892095151591,-79.99935107338655,-79.99970335945268,-79.99997719094983,-80.0,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 2_seg-5_40s-50s.wav,WEBSS-002 TP 2_seg-5_40s-50s.wav
-40.58614556404305,-30.340553980915274,-30.92359517087417,-34.94636511673047,-35.04580302955817,-35.91659043899545,-39.05399098154528,-42.20150002936421,-44.93636115647144,-47.493729417709346,-50.37547953941036,-53.482373037608035,-55.42643030590022,-57.432952043338645,-58.56145128174312,-59.33066814469837,-60.09216008540031,-61.106630144170154,-61.29669894725564,-61.619115931584865,-61.659468172293735,-61.45823561337402,-61.059700578533736,-60.32049213555968,-59.41585653380998,-59.07221856817363,-58.99296951785637,-60.48987225152712,-62.56692558705828,-65.08055853605077,-67.00233383594856,-69.35196222258556,-70.96584794625402,-71.68782708890495,-75.61947827879636,-79.87429043426732,-79.89754045366566,-79.91515344002862,-79.93319339446913,-79.95199160565194,-79.97124566954595,-79.98596523773426,-79.99591724644891,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 4_seg-6_50s-60s.wav,WEBSS-002 TP 4_seg-6_50s-60s.wav
-56.84975212277683,-43.4805806998914,-42.12473322089205,-45.56357037030321,-44.734358883598325,-46.38006131314836,-50.35552420670371,-53.10820430024734,-55.66646015214679,-57.756877232107115,-60.644866350381406,-63.20747774635612,-64.19569146079056,-65.54965485069934,-67.20447004576882,-66.85857918439231,-67.7255805795429,-68.8199264868895,-70.08580236890735,-70.17978943114566,-70.70903173231933,-71.35508105230882,-71.3729495250324,-71.5799740837013,-71.71262183491503,-70.77899618144096,-70.3622806012305,-71.3040664383547,-72.0878226163323,-73.16262148965076,-75.20170523139147,-76.22125198599133,-77.2674551606248,-77.83324139030927,-78.84457695515836,-79.94786417793988,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 2_seg-1_0s-10s.wav,WEBSS-002 TP 2_seg-1_0s-10s.wav
-17.969509576312706,-7.63220963931762,-7.7272595754687385,-11.554861648170725,-13.099016455391265,-15.532293880545563,-18.26907031102748,-21.18825330640332,-22.473641701013847,-24.41582902983479,-27.703824413861355,-31.978487015384452,-34.963137089097096,-35.37697232842208,-35.2599518699223,-34.77639064068411,-35.93247297085726,-38.415204355686924,-38.67551988118915,-39.40683193203482,-40.159534065485126,-40.677531527494416,-40.67780543460869,-40.37083750819463,-38.3893459322142,-37.500614410709204,-36.70851469528499,-36.13120957414942,-36.443451680470865,-37.875458281803574,-42.02826037252262,-46.2942441163033,-47.8963620162891,-49.29347636562651,-54.61019464781516,-72.06087453729262,-78.78967610693681,-78.82348225898258,-78.92103897183006,-79.04673592545348,-79.18620647313273,-79.33483453111636,-79.43761332201021,-79.5170436818697,-79.537401327175,-79.54067831655922,-79.5447652881986,-79.54944397324877,-79.55461321081705,-79.56011203713524,-79.56570050708058,-79.57152396910926,-79.57731425571183,-79.58303921461398,-79.58871157468847,-79.59417049713869,-79.59939697528154,-79.60433017186133,-79.60888796063232,-79.61297913121544,-79.61658793128899,-79.61953690410101,-79.621820757234,-79.62325387383545,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 4_seg-7_60s-61.27s.wav,WEBSS-002 TP 4_seg-7_60s-61.27s.wav
-26.235595308263196,-15.602127116440494,-15.663341316226024,-19.37280685168342,-21.97422145501706,-24.188285450175126,-27.514878308274344,-29.339552864582416,-31.775018301224193,-36.00681606652986,-39.39625130122489,-42.06357768867295,-44.34945439301702,-46.65958531961005,-47.86831423782584,-48.171837199168806,-49.33268367526728,-50.194589397809615,-50.11658040480173,-50.7138246422779,-51.01406607892174,-51.24976799612376,-50.91982839737796,-49.43313119725311,-48.48271787174856,-48.27805524134105,-48.41564563879765,-49.11097223683588,-50.15529812097411,-52.228360941580604,-54.57174935202965,-56.74625804621168,-58.55582148402884,-60.335424935560454,-64.5147360289215,-79.26776714447078,-79.72934802962516,-79.75580826530253,-79.78099430435002,-79.8060924442661,-79.83103880337342,-79.85600519583127,-79.88093303374208,-79.90586753533347,-79.93088193929404,-79.95323443135013,-79.97438074795268,-79.98841139911241,-79.9994612442791,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 4_seg-3_20s-30s.wav,WEBSS-002 TP 4_seg-3_20s-30s.wav
-30.494528931891665,-19.785286344852345,-19.097427984683165,-22.645805486400555,-25.496599911151264,-27.22246272973646,-29.399308545359776,-32.94729480479554,-35.72270502425147,-37.64090103918864,-40.231212003476706,-43.387284240424236,-45.56281341635487,-46.67153032272212,-47.21786750820355,-47.22700244270161,-47.33971668731661,-47.23277044086572,-46.719572093866525,-46.195701562443006,-46.20764085394104,-45.905021827033934,-46.10288938105829,-45.219209326560204,-44.95965823768343,-46.03205894105679,-46.51724752708174,-47.133100155186135,-47.2637711033829,-48.05534923071835,-50.53268016986312,-54.41690731644847,-56.96455109632961,-59.1252724817815,-63.61642196280657,-79.2934579880783,-79.80859668525025,-79.83764517170016,-79.86501679644216,-79.89171458578481,-79.91466007064167,-79.93437652850652,-79.95435899504028,-79.97458588758798,-79.98799984899964,-79.99838180267756,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 3_seg-5_40s-50s.wav,WEBSS-002 TP 3_seg-5_40s-50s.wav
-32.91472426599088,-21.30026175352777,-20.80131244490663,-24.78020882403892,-28.192626116543217,-30.017572476548832,-31.44657366901182,-34.88727480664026,-37.72431762495424,-39.68920955762127,-42.801039425501465,-46.30786645040755,-48.169579193448044,-49.17149002252309,-49.93299899971073,-50.605767857752056,-50.6368680731441,-49.83436227173542,-49.21227093596476,-48.771905567730855,-47.8355327229712,-47.13601219162541,-46.971843109134014,-46.268971471528175,-46.446469542276574,-46.83552439010327,-47.51474824045922,-47.8686534041334,-48.648163914516246,-50.53077868764487,-53.78110243762239,-57.624228228576236,-59.99775038407685,-61.81971632111722,-66.31447246445804,-79.7291564187909,-79.85135493252533,-79.87478494865844,-79.89750800009188,-79.92047803060086,-79.94354058074575,-79.96441499435002,-79.97777467989563,-79.98764367665152,-79.99082876851982,-79.99394900405379,-79.99701034497009,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 3_seg-6_50s-60s.wav,WEBSS-002 TP 3_seg-6_50s-60s.wav
-27.4465637918824,-16.80580690541192,-16.312195174409432,-20.125820627561247,-22.868364086818058,-25.099155098396498,-28.225145018218146,-31.62414645632399,-33.904454872835935,-36.38775572994441,-39.37732999164689,-42.16982283031527,-43.917020058803914,-44.493105239332394,-44.8993274545703,-45.590512249872454,-46.298057803574174,-46.78517943133322,-46.82140672486091,-47.019946265004215,-47.56648983707263,-47.63896993348423,-47.77233212663841,-47.91053165060294,-48.3199202062656,-48.690076365964764,-49.08445383778485,-49.10643324271343,-48.20011236928026,-48.75114574416601,-50.74867696613715,-53.22584493941709,-55.718396650401026,-57.36215923374715,-61.390937114052534,-78.26193189421913,-79.80376656955644,-79.81475320694483,-79.82987928680421,-79.84735453593395,-79.86605801728089,-79.88565576874062,-79.9058223304739,-79.92643544936715,-79.944920021383,-79.95592914011168,-79.96276226325182,-79.96349828033686,-79.96427581314934,-79.96507830503622,-79.96587823449987,-79.9666964949993,-79.96750060213868,-79.96828794019132,-79.96906126099168,-79.96980092277492,-79.9705052456414,-79.97116703375691,-79.97177624640257,-79.97232157368133,-79.97280122927472,-79.97319265687084,-79.97349518069215,-79.97368493539977,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 2_seg-7_60s-70s.wav,WEBSS-002 TP 2_seg-7_60s-70s.wav
-33.94634710850524,-23.96849289288754,-24.11385956767733,-27.544622103424654,-29.594851523323165,-31.05708679614836,-32.495221717964434,-35.59545230938929,-38.22644376923807,-40.81254237520689,-43.74616453958751,-46.15625562606783,-47.86396322231874,-48.880184148168254,-49.44846514245959,-49.94936749463255,-50.18715574056723,-50.06262232191672,-49.984063922934524,-49.92346052025072,-48.81622532420353,-48.34825599241454,-48.22879669263053,-47.83313513743163,-47.089881038758584,-45.08494838664495,-46.15555455710427,-48.72741167828762,-50.60573136124876,-52.97185708019808,-55.3776159355328,-57.67806879439878,-59.68542287248759,-61.27432723551176,-65.09329384444386,-79.02556845914508,-79.7110660705847,-79.74418773005365,-79.77477144985727,-79.80469186329557,-79.8340063828257,-79.8630558441222,-79.88982244606778,-79.91521800776869,-79.9407159354704,-79.96183344547623,-79.97608601304954,-79.98344032589625,-79.98583498589558,-79.9881120794669,-79.99025873844428,-79.99231050276516,-79.99424122092245,-79.9960570798214,-79.99776732945455,-79.99935551800617,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 3_seg-8_70s-79.09s.wav,WEBSS-002 TP 3_seg-8_70s-79.09s.wav
