logmel_0,logmel_1,logmel_2,logmel_3,logmel_4,logmel_5,logmel_6,logmel_7,logmel_8,logmel_9,logmel_10,logmel_11,logmel_12,logmel_13,logmel_14,logmel_15,logmel_16,logmel_17,logmel_18,logmel_19,logmel_20,logmel_21,logmel_22,logmel_23,logmel_24,logmel_25,logmel_26,logmel_27,logmel_28,logmel_29,logmel_30,logmel_31,logmel_32,logmel_33,logmel_34,logmel_35,logmel_36,logmel_37,logmel_38,logmel_39,logmel_40,logmel_41,logmel_42,logmel_43,logmel_44,logmel_45,logmel_46,logmel_47,logmel_48,logmel_49,logmel_50,logmel_51,logmel_52,logmel_53,logmel_54,logmel_55,logmel_56,logmel_57,logmel_58,logmel_59,logmel_60,logmel_61,logmel_62,logmel_63,file_path,filename
-26.674504694637214,-16.236044675835913,-16.448545775377486,-19.380896643600824,-21.231217644960676,-23.946746928535248,-27.10181460020588,-29.942908085449087,-31.68467330387,-34.17274582870729,-37.96621606473548,-41.278849199459394,-43.89535362998209,-46.03478774425923,-47.02559304197889,-48.08982946307056,-49.44305552090466,-49.81389308952141,-50.4433797890321,-50.95726354264521,-50.971753609818926,-51.37215244963405,-51.32967528583803,-50.50333983195338,-49.311114451310885,-48.418141038177595,-47.79590346526337,-48.810293471112956,-49.909308956879315,-53.17418077243826,-56.08525791806955,-57.71744166977612,-58.99421484096489,-60.199176131686315,-64.1442654331919,-79.21058687631162,-79.69721331592662,-79.7272300093205,-79.75489356300513,-79.78196075432383,-79.80848962864431,-79.83478721164957,-79.86083001543531,-79.88669446264892,-79.90705883566136,-79.92242600558862,-79.9303968208895,-79.9348376788957,-79.93905729349656,-79.94306021293339,-79.94682410698337,-79.95041503122624,-79.95246311999419,-79.95404545296537,-79.95553383961281,-79.9569139912059,-79.95818882353528,-79.95935445863778,-79.96040329783125,-79.96132561212309,-79.96211995010314,-79.9627629333935,-79.96325152982415,-79.96355752255114,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 4_seg-2_10s-20s.wav,WEBSS-002 TP 4_seg-2_10s-20s.wav
-28.138092456479924,-16.796948689201717,-16.395587773512254,-21.081787315341522,-23.00892239032479,-25.615730506459506,-28.542114294443035,-31.940802772966713,-34.1143788431629,-36.82597329542584,-38.875030121361995,-41.40929183208577,-43.46818208022085,-44.66729251741758,-45.39023617767452,-45.49589932476118,-46.139986723783736,-46.391131128817655,-46.86554045199827,-47.08814674184461,-47.40926031743916,-47.01603276895707,-46.896632434212556,-46.05404533613637,-45.545666369757484,-45.94735751957089,-46.85286777117621,-47.32456745948293,-47.46111022571456,-48.69747416921896,-50.34319783594482,-52.88405443588044,-55.53888343313874,-57.72093901872304,-62.13844636697605,-78.39668037813811,-79.8181679327883,-79.83456675512424,-79.85210637051551,-79.87089795709511,-79.89040556075592,-79.91053197853037,-79.93106367453807,-79.94762169681765,-79.95857309765348,-79.96383822875033,-79.96464145947121,-79.96546867796724,-79.9663187437092,-79.96717953344039,-79.96802680359323,-79.96888381192569,-79.96971983000549,-79.9705336122452,-79.97132892826367,-79.97208692710164,-79.97280655092409,-79.97348107862459,-79.97410083805742,-79.97465480204735,-79.97514138796103,-79.97553817784647,-79.97584456866174,-79.97603669687794,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 2_seg-5_40s-50s.wav,WEBSS-002 TP 2_seg-5_40s-50s.wav
-40.585458697926825,-30.340188108865995,-30.92397665013121,-34.94534402566772,-35.04544744198659,-35.917323673425194,-39.05374262840752,-42.199199846826396,-44.9356648733902,-47.4933986999257,-50.37561662994567,-53.481172699055364,-55.427853950266254,-57.432410396745276,-58.56088437935243,-59.33261184400092,-60.09330528099089,-61.11036414367558,-61.296828912133144,-61.62190693279177,-61.662072551242424,-61.459450863530286,-61.060059810604976,-60.320712640463924,-59.41390220561682,-59.07025836614973,-58.993684859851605,-60.49044960993749,-62.56840348858102,-65.08066841159786,-67.00193862257981,-69.35514843532776,-70.96305796374091,-71.68785853393423,-75.61901967603947,-79.87428847746082,-79.89753993258934,-79.91515265434354,-79.93319235232582,-79.95199032053586,-79.97124417704624,-79.9859633115748,-79.9959153262135,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 4_seg-6_50s-60s.wav,WEBSS-002 TP 4_seg-6_50s-60s.wav
-56.93908111084825,-43.56991513967087,-42.21278931359932,-45.64851309941462,-44.8184042349175,-46.4637400924179,-50.43940759022129,-53.19226390269517,-55.75095524084147,-57.841544475160745,-60.729064421026585,-63.29138129781009,-64.27883758336675,-65.63292538533021,-67.28743871985401,-66.93958977695885,-67.80500356759018,-68.89935144278634,-70.16487678616613,-70.25685316783198,-70.78552524651838,-71.42827912846055,-71.44578520243203,-71.65199986247562,-71.78623960186903,-70.85521478485116,-70.44054533321032,-71.38159695630183,-72.16482864968512,-73.2361367715933,-75.25559595108354,-76.25991911226356,-77.29830057273102,-77.86030564744325,-78.86155582557453,-79.9486707877954,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 2_seg-1_0s-10s.wav,WEBSS-002 TP 2_seg-1_0s-10s.wav
-18.008826969415143,-7.693507670785161,-7.787465261122671,-11.619754644286926,-13.166690838559981,-15.597434516305395,-18.334663503269745,-21.250658847348355,-22.536780199859976,-24.479151087500792,-27.768735388558657,-32.040343879973,-35.02769779345713,-35.440110640141796,-35.32617767253748,-34.84189040746013,-35.998725630481445,-38.479429157475,-38.73436698955682,-39.46764251441228,-40.217560945420146,-40.73848131909163,-40.74028688264525,-40.43524608463663,-38.454380554422734,-37.56410889785518,-36.77517502396463,-36.198107556701515,-36.50934995332784,-37.94031390177032,-42.0864107103725,-46.35534455483242,-47.95874893322401,-49.35480425338284,-54.67665764155062,-72.14114708169623,-78.68643027083401,-78.75482999091756,-78.86569033702474,-78.99823915174811,-79.14189103035031,-79.29334138938127,-79.39645673535944,-79.47741655413063,-79.49728545252233,-79.50151009113907,-79.50636690312902,-79.51168088820643,-79.51738064749205,-79.52332658743312,-79.5292951309552,-79.53544360671357,-79.54151294397192,-79.54747843377604,-79.55335839045715,-79.55899644292234,-79.56437721055985,-79.56944264711129,-79.57411280914991,-79.57829815115352,-79.58198403720253,-79.5849936504298,-79.58732180349634,-79.5887823562642,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 4_seg-7_60s-61.27s.wav,WEBSS-002 TP 4_seg-7_60s-61.27s.wav
-26.233609929607756,-15.598064633689484,-15.65866269090611,-19.36714007865295,-21.96851292857158,-24.182101068299982,-27.50896498487175,-29.333456948221226,-31.769211135226623,-36.00055386596259,-39.3905167454606,-42.05791043199888,-44.34399655280239,-46.65416871750898,-47.86260674164459,-48.164966641179234,-49.327649744675654,-50.18786610644698,-50.11080237410848,-50.7082549390206,-51.00766295509894,-51.24284217989924,-50.913231110059,-49.42691831200283,-48.4766935397246,-48.272116275571605,-48.4098986867894,-49.105020630879174,-50.149227979596255,-52.222424512666294,-54.565162269658295,-56.74001214993594,-58.549699247922064,-60.3293890495273,-64.5103774345056,-79.27451131845243,-79.73694585832747,-79.76632726317426,-79.79455376397591,-79.82288489405877,-79.85118917339612,-79.87161209919576,-79.8916234698564,-79.911876193985,-79.93239181266736,-79.95319855223931,-79.9743447397477,-79.98839268017977,-79.99944252462687,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 4_seg-3_20s-30s.wav,WEBSS-002 TP 4_seg-3_20s-30s.wav
-30.49950952891397,-19.772780069340065,-19.081820063711387,-22.62953773047604,-25.48045371303506,-27.20595320431905,-29.383278281925985,-32.931187687951606,-35.70656642203532,-37.624944939424054,-40.21513594483646,-43.371602831439596,-45.54681789945236,-46.655451502102885,-47.201555043315395,-47.21069022461258,-47.32296645114732,-47.2164964749124,-46.70339691066248,-46.17969549827339,-46.191931275641124,-45.88881763255567,-46.087007252855464,-45.20327150183074,-44.94347734476735,-46.01559114083939,-46.50105875934437,-47.1167677840611,-47.247485069612736,-48.039181155668395,-50.516331649101325,-54.400803804289005,-56.94835932998247,-59.10920419441507,-63.60111485481934,-79.2925101539425,-79.81295305047296,-79.84383689097302,-79.87239333437785,-79.89524604521749,-79.91456001757777,-79.93427627447242,-79.95425856008568,-79.97448531478874,-79.98794862805264,-79.99833059232853,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 3_seg-5_40s-50s.wav,WEBSS-002 TP 3_seg-5_40s-50s.wav
-32.915621773536294,-21.284779649546728,-20.78435572418029,-24.764699620139936,-28.176102265526225,-30.00115281109804,-31.430474451456178,-34.870933611093925,-37.70820776647558,-39.673744293815936,-42.785142736380486,-46.28911062553718,-48.1515950675975,-49.15530380516216,-49.91605802449178,-50.59078829443611,-50.619879286153605,-49.81656175638111,-49.19473661298082,-48.756475267329776,-47.81783179633856,-47.11889363056578,-46.953775145183954,-46.25218329209652,-46.430318710023464,-46.819310934310266,-47.49810143160462,-47.85212000416872,-48.63220555522692,-50.5154960777667,-53.767449192097146,-57.60778362842497,-59.981446657891546,-61.80183986489798,-66.29556938813992,-79.7152701523733,-79.8422425711836,-79.86537556735047,-79.88740354560466,-79.90971706318835,-79.93212002640682,-79.95236017681312,-79.96500232284984,-79.97416370532217,-79.97654369557968,-79.97880937917972,-79.98096363038034,-79.98301560543824,-79.98497870130866,-79.98685200407446,-79.98862162438299,-79.99031847451649,-79.99191778769817,-79.9934243243811,-79.994846075109,-79.99616779597145,-79.99739159262943,-79.99851295364955,-79.99952377729865,-80.0,-80.0,-80.0,-80.0,-80.0,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 3_seg-6_50s-60s.wav,WEBSS-002 TP 3_seg-6_50s-60s.wav
-27.468031452655932,-16.825088282349938,-16.327630001807567,-20.141751119781468,-22.884657837924724,-25.114811374195764,-28.240703685679733,-31.639970490173955,-33.920054495008834,-36.40274358885668,-39.39407982038537,-42.187597198642315,-43.93521319635599,-44.509578542425146,-44.91589874970092,-45.606238024082515,-46.31411456913024,-46.801483675272344,-46.83682139190311,-47.035849303731844,-47.58196823165544,-47.65516513346219,-47.78843184594951,-47.9271622613212,-48.33650271196155,-48.70567067584464,-49.100464818970565,-49.12327150591864,-48.216338487956584,-48.76761013142333,-50.765106824549065,-53.242853165197374,-55.734449182967474,-57.377866094375456,-61.40636646852818,-78.26877486215733,-79.83127854856245,-79.84069063601383,-79.8507665384923,-79.86572664950629,-79.88293507135565,-79.90154389056109,-79.92101058090924,-79.94110407590485,-79.95913766190733,-79.9698319845186,-79.97636169047598,-79.97689022574103,-79.97749571156668,-79.97815411233783,-79.97883223872223,-79.97954685719995,-79.98026237395732,-79.98097365184555,-79.9816815581148,-79.98236495141725,-79.98302094231242,-79.98364140605175,-79.98421557657731,-79.98473159075743,-79.98518728803222,-79.9855598918403,-79.98584867724905,-79.9860299289294,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 2_seg-7_60s-70s.wav,WEBSS-002 TP 2_seg-7_60s-70s.wav
-33.970916236281454,-23.981577263325935,-24.125404691880203,-27.555943049688224,-29.605638729290693,-31.067570186382486,-32.50523261425415,-35.6050749483973,-38.23618947485469,-40.821804009102,-43.75597826074237,-46.165937052466404,-47.87486682500906,-48.89087350772258,-49.45890889043378,-49.96006428892809,-50.1979418590335,-50.07307879311823,-49.993992377611896,-49.93407069804519,-48.82713941995294,-48.35977657349283,-48.23916553060063,-47.842930139888594,-47.09992935395434,-45.09566868609748,-46.166515985289664,-48.738373950835005,-50.61631023437716,-52.981820772490835,-55.38791497844702,-57.68821193029296,-59.694985912675996,-61.28346423256927,-65.1016685863736,-79.02290497308957,-79.70452714733993,-79.73647444664928,-79.76610608492987,-79.79519015520488,-79.8237416146952,-79.85207726800164,-79.88016281825792,-79.90807754320392,-79.93428479504817,-79.95506132509433,-79.96902056945893,-79.9760536542286,-79.97817269419171,-79.98018364243518,-79.98207396713985,-79.98387990154963,-79.98557618847717,-79.9871696180241,-79.98867034986144,-79.99006282773372,-79.99135036629924,-79.99252892626782,-79.99359043780231,-79.99452456286758,-79.99533022175738,-79.99598241578998,-79.99647874019138,-79.99678947881246,/Users/yunhwang/Desktop/Stethoscope_Project/Audio shared/Hospital sound_raw segmented into 10 sec/WEBSS002_segmented into 10sec/WEBSS-002 TP 3_seg-8_70s-79.09s.wav,WEBSS-002 TP 3_seg-8_70s-79.09s.wav
