type,t_start_sec,t_end_sec,duration_sec
inhale,0.02,0.16,0.14
inhale,1.84,2.18,0.3400000000000001
inhale,4.12,4.5,0.3799999999999999
inhale,6.54,6.640000000000001,0.10000000000000053
inhale,7.0,7.12,0.1200000000000001
inhale,9.36,9.5,0.14000000000000057
inhale,10.82,11.48,0.6600000000000001
inhale,13.6,13.76,0.16000000000000014
inhale,14.18,14.32,0.14000000000000057
inhale,15.42,15.8,0.3800000000000008
inhale,16.34,16.5,0.16000000000000014
inhale,18.0,18.38,0.379999999999999
inhale,20.36,20.6,0.240000000000002
inhale,22.84,23.28,0.4400000000000013
inhale,25.18,25.560000000000002,0.38000000000000256
inhale,27.88,28.18,0.3000000000000007
inhale,29.080000000000002,29.26,0.17999999999999972
inhale,30.42,30.54,0.11999999999999744
inhale,32.160000000000004,32.62,0.45999999999999375
inhale,33.46,33.64,0.17999999999999972
inhale,34.660000000000004,34.800000000000004,0.14000000000000057
inhale,35.06,35.52,0.46000000000000085
inhale,37.42,37.7,0.28000000000000114
inhale,38.36,38.480000000000004,0.12000000000000455
inhale,39.54,39.86,0.3200000000000003
inhale,40.18,40.36,0.17999999999999972
inhale,43.38,43.54,0.1599999999999966
inhale,48.22,48.980000000000004,0.7600000000000051
inhale,50.72,51.22,0.5
inhale,52.42,52.64,0.21999999999999886
inhale,53.28,53.44,0.1599999999999966
inhale,55.64,56.04,0.3999999999999986
inhale,56.44,56.56,0.12000000000000455
exhale,0.16,0.3,0.13999999999999999
exhale,2.18,3.14,0.96
exhale,4.5,4.68,0.17999999999999972
exhale,4.92,5.22,0.2999999999999998
exhale,6.640000000000001,6.8,0.15999999999999925
exhale,7.12,7.28,0.16000000000000014
exhale,8.82,8.94,0.11999999999999922
exhale,9.5,9.64,0.14000000000000057
exhale,11.48,11.64,0.16000000000000014
exhale,11.94,12.06,0.120000000000001
exhale,13.76,13.96,0.20000000000000107
exhale,14.32,14.46,0.14000000000000057
exhale,15.8,16.18,0.379999999999999
exhale,16.5,16.7,0.1999999999999993
exhale,18.38,19.14,0.7600000000000016
exhale,20.6,20.900000000000002,0.3000000000000007
exhale,23.28,23.8,0.5199999999999996
exhale,25.560000000000002,25.900000000000002,0.33999999999999986
exhale,28.18,28.54,0.35999999999999943
exhale,29.26,29.400000000000002,0.14000000000000057
exhale,30.54,30.72,0.17999999999999972
exhale,32.62,32.84,0.22000000000000597
exhale,33.64,33.82,0.17999999999999972
exhale,34.800000000000004,34.96,0.1599999999999966
exhale,35.52,35.74,0.21999999999999886
exhale,35.9,36.02,0.12000000000000455
exhale,37.7,37.86,0.1599999999999966
exhale,38.480000000000004,38.64,0.1599999999999966
exhale,39.86,40.0,0.14000000000000057
exhale,40.36,41.22,0.8599999999999994
exhale,43.54,43.76,0.21999999999999886
exhale,48.980000000000004,49.34,0.35999999999999943
exhale,49.6,49.84,0.240000000000002
exhale,51.22,52.18,0.9600000000000009
exhale,52.64,52.84,0.20000000000000284
exhale,53.44,53.58,0.14000000000000057
exhale,55.4,55.5,0.10000000000000142
exhale,56.04,56.24,0.20000000000000284
exhale,56.56,57.04,0.4799999999999969
wheeze_candidate,2.048,2.432,0.3839999999999999
wheeze_candidate,2.56,2.816,0.2559999999999998
wheeze_candidate,4.352,4.608,0.25599999999999934
wheeze_candidate,8.96,9.216,0.25599999999999845
wheeze_candidate,11.264,11.52,0.2560000000000002
wheeze_candidate,15.872,16.256,0.38400000000000034
wheeze_candidate,18.432,18.816,0.38400000000000034
wheeze_candidate,20.608,21.248,0.6400000000000006
wheeze_candidate,23.04,23.552,0.5120000000000005
wheeze_candidate,25.472,25.728,0.2560000000000002
wheeze_candidate,25.856,26.112,0.2559999999999967
wheeze_candidate,27.136,27.52,0.38400000000000034
wheeze_candidate,27.904,28.288,0.38400000000000034
wheeze_candidate,32.512,32.768,0.2560000000000002
wheeze_candidate,35.2,35.84,0.6400000000000006
wheeze_candidate,39.68,39.936,0.2560000000000002
