time_sec,spectral_centroid_hz,spectral_bandwidth_hz,spectral_flatness,spectral_rolloff_hz,spectral_peakiness,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,rms_env,wheeze_candidate
0.128,301.3780491723401,155.7266611540771,0.00569085330731099,472.65625,0.05627304894968903,-150.16743493121936,20.92230311226242,-9.838271218163559,-8.803045785724418,-3.1144460088547987,-4.998331753066692,-6.158805874336594,-3.4721586014835544,-2.661803228594777,-2.8406822084738614,-2.490863509345294,-1.632599879801187,-1.3089209523846659,0.018139998614788055,0
0.256,295.7970797296277,146.0822076354561,0.006193771129812934,441.40625,0.05130426422463578,-149.02886186319344,20.308257050444205,-10.47729648728018,-9.072976858211046,-4.337275301899469,-5.543494757662733,-6.78357567032343,-3.3883643893529123,-2.0727418001072397,-2.4806256079997535,-2.198050267873775,-1.0411346593652908,-0.8810627416116391,0.022893327102065084,0
0.384,302.60206940486074,156.4185440853263,0.004518016466031008,492.1875,0.056500444841000565,-144.62081197794268,22.776707528252956,-11.825576786889158,-8.940125552558001,-2.740650077715151,-5.413616283094919,-7.462035541269563,-3.4829840357005004,-2.555024909391597,-2.983674630199749,-1.693520400099329,-0.9675684829796941,-2.1589551727798533,0.020074078919632095,0
0.512,329.5370953851973,202.19883830969712,0.00698715253071073,625.0,0.04577921257373393,-147.13979318635768,20.207577598205788,-11.608227492189888,-7.3412124640951815,-1.5857505525238706,-5.481854020593498,-8.438576383704863,-4.129984480534482,-2.396726217214943,-3.535737536732554,-3.1341032538645894,-1.1680738000476696,-0.9613199766304555,0.01426736701812063,0
0.64,323.05704176468544,176.55495225450474,0.007873835500259347,558.59375,0.0346010823624088,-150.61383722843885,19.371074874608574,-10.938502031617503,-8.132082346961983,-2.4948264232416695,-5.1402261850987205,-6.630047831457235,-4.158944191696925,-3.015230905441104,-1.6283511849249686,-1.2754617685955338,-1.6579631204759173,-1.2188410083675907,0.012391100903706891,0
0.768,248.85454807629657,144.99835389760156,0.006224259262745223,402.34375,0.08650214993791461,-152.97415456399818,19.98847909358171,-6.8881735937567825,-7.290545251578948,-3.1056312664235834,-4.132319754973764,-6.379312632866585,-5.235638198896481,-2.8736701349415537,-1.550852170405586,-2.2720598056423817,-1.9631650637518392,-1.3070863617708204,0.00797144951564925,0
0.896,176.47711105781875,97.3886648632862,0.008777093126155773,226.5625,0.0914289329310666,-167.14218615040974,14.25891150272589,1.2926262316986952,-3.233484653973747,-4.192354032430024,-4.651494677546402,-4.659472140676815,-3.6951511905680174,-3.073212218671575,-2.39352557150096,-2.278701087239411,-1.9595701125611795,-1.2723627475098525,0.00443613434742604,0
1.024,182.86482011056296,102.88684797825444,0.008587167496885281,257.8125,0.10531527996691893,-165.5877242324796,15.101238956135035,0.9606591809755335,-3.611348283726666,-4.752828978426655,-5.072296121057118,-4.990373147701744,-3.607597155181258,-2.395950729829819,-1.9656630361241294,-2.3067154625280537,-2.243754686686819,-2.2020466795656155,0.005417707775320326,0
1.152,179.95011904311838,92.89310881846234,0.007932980067899435,234.375,0.055255055539027396,-165.9959329040323,14.996559259726814,1.6589071150468513,-2.789043547852148,-4.837729429273816,-5.46975730930429,-4.845376233746713,-3.676873160835331,-3.204386213458016,-2.724021236553713,-2.263929459828093,-1.9204348130678894,-1.4587989504513204,0.006324700532214982,0
1.28,159.41670039073045,83.65698395690285,0.006536097830791873,195.3125,0.09428342397511803,-166.96703878634986,14.809076199247382,2.8512382984377584,-2.086419122149644,-4.506093563264117,-4.764718085943123,-4.528611271993038,-4.132008961824969,-3.7680556425941365,-3.076566197764341,-2.7529490673782515,-2.1721948997498695,-1.438825393387682,0.0036338102405092548,0
1.408,193.20318354419612,114.04472463200302,0.009938476187457817,308.59375,0.10635085804713684,-168.9030066556825,12.619023628844664,1.2594896710342527,-2.688438816344399,-4.304075256225568,-4.387747031450198,-3.247756128746884,-2.6399454975451686,-2.802017151781153,-2.4745562026362675,-2.98239843435577,-3.209457097995543,-1.9817959259066105,0.0038317178442542014,0
1.536,214.74876476760136,133.44435518619446,0.0197609693108171,304.6875,0.06150085529952336,-169.6456743515884,12.061003570301596,0.6390871528094827,-3.118683641945106,-3.5539944585344534,-3.613826055380944,-3.847823144899449,-3.1260250022965876,-1.8932908878768635,-1.2879136402875517,-1.7416704457642909,-2.2001813823006966,-1.4409926223873084,0.006325022729911974,0
1.664,152.27662115071686,75.54090717319515,0.004604997568421712,187.5,0.08444719367195666,-163.58505072883767,16.821699257551273,1.9943033265561763,-2.281973315524027,-3.5748465365320006,-4.351492637775179,-5.325523084995185,-5.264366443220462,-4.521498357250877,-2.825881991874537,-1.9147419949763256,-2.1411754935498033,-2.2460992149972894,0.055445579080177027,0
1.792,297.4505110928325,116.85738220178585,0.0007191524098700382,441.40625,0.11029748232895874,-149.01615152355794,24.02499531552759,-9.485044414176294,-13.63657992389047,-5.209069757874662,-3.3966135823259647,-6.478095220003466,-5.331421306400914,-1.6749661393937298,0.09199204254453616,-1.5700292100471378,-1.7508280396073368,-0.5590642271938779,0.14519641612257275,0
1.92,328.55572131257304,141.61855263956548,0.0003673680990172592,441.40625,0.07217993476750889,-133.2878663270752,26.54754098238905,-15.477605881603875,-15.697664922718099,-6.239524910968347,-1.7765099530140904,-9.553908052453203,-7.693993732439249,-3.6370718238172435,-2.808952561059318,-2.6537812497028277,0.45196124299617824,3.1325490465958996,0.06926221041274921,0
2.048,216.78823346084346,118.3480360522591,0.0030965952025561005,296.875,0.06949966892256802,-152.45406954744305,22.87805700136802,-4.140337990976514,-7.8521258786409875,-3.550841552957808,-3.8482011718812417,-7.468832878804463,-5.9400927549348905,-2.2532122282806863,-1.2948614517927077,-3.418590925545617,-3.6734017852490504,-1.9129398823216976,0.009460953011044432,0
2.176,219.0782270119532,150.06044507106168,0.016196537461602174,308.59375,0.07192926659289171,-165.5968494646737,13.657379938011427,-1.481889656646822,-3.614538612742739,-2.422658302267613,-4.0972799618600595,-6.129463822817291,-4.417855531368793,-1.630723884185901,-0.7260364999773605,-2.271622617420637,-2.380211473726515,-1.1795150363162556,0.0044861610313611374,0
2.304,196.4392461489256,127.6671635996527,0.012238380535364522,261.71875,0.04727532337806893,-164.59746528416417,14.696284536241984,-0.9706868441740579,-3.6978564528995035,-2.8215911830940885,-4.297109375216449,-6.043004704668977,-4.5602439782517035,-2.2982949632860947,-1.615183495189096,-2.4885846293786598,-1.7678184628097484,-1.0723290556359868,0.0066204697558922354,0
2.432,160.19318823887053,69.91319596546793,0.0034600160405229338,195.3125,0.06150472556600734,-163.6049085692585,17.0494623163017,2.0986397118455438,-1.9322192075190312,-2.978807830835943,-5.1173407544439495,-6.85278849939335,-5.476607218552904,-3.716522348106074,-2.629363912746769,-2.0676600372203633,-1.374597124573553,-1.2187777083579698,0.005711613522310342,0
