type,t_start_sec,t_end_sec,duration_sec
inhale,0.66,1.1,0.44000000000000006
inhale,2.4,2.72,0.3200000000000003
inhale,4.1,4.48,0.3800000000000008
inhale,5.74,6.0,0.2599999999999998
inhale,7.38,7.66,0.28000000000000025
inhale,9.0,9.28,0.27999999999999936
inhale,10.5,10.92,0.41999999999999993
inhale,12.44,12.72,0.28000000000000114
inhale,14.68,14.82,0.14000000000000057
inhale,16.06,16.4,0.33999999999999986
inhale,17.66,18.0,0.33999999999999986
inhale,19.240000000000002,19.52,0.2799999999999976
inhale,20.34,20.82,0.4800000000000004
inhale,21.92,22.32,0.3999999999999986
inhale,23.62,23.740000000000002,0.120000000000001
inhale,25.16,25.28,0.120000000000001
inhale,26.8,26.92,0.120000000000001
inhale,28.1,28.240000000000002,0.14000000000000057
inhale,29.740000000000002,29.86,0.11999999999999744
inhale,31.2,31.42,0.22000000000000242
inhale,32.660000000000004,33.08,0.4199999999999946
inhale,34.26,34.4,0.14000000000000057
inhale,35.52,35.660000000000004,0.14000000000000057
inhale,38.82,38.92,0.10000000000000142
inhale,40.28,40.56,0.28000000000000114
inhale,41.74,41.88,0.14000000000000057
inhale,42.12,42.26,0.14000000000000057
inhale,42.94,43.1,0.1600000000000037
inhale,44.52,44.74,0.21999999999999886
inhale,48.120000000000005,48.24,0.11999999999999744
inhale,49.800000000000004,49.92,0.11999999999999744
inhale,50.22,50.32,0.10000000000000142
inhale,51.160000000000004,51.42,0.259999999999998
inhale,52.620000000000005,52.800000000000004,0.17999999999999972
inhale,54.32,54.480000000000004,0.1600000000000037
inhale,56.92,57.06,0.14000000000000057
inhale,58.44,58.58,0.14000000000000057
exhale,0.34,0.48,0.13999999999999996
exhale,1.1,1.4000000000000001,0.30000000000000004
exhale,1.92,2.04,0.1200000000000001
exhale,2.72,2.92,0.19999999999999973
exhale,4.48,4.7,0.21999999999999975
exhale,6.0,6.2,0.20000000000000018
exhale,7.66,7.84,0.17999999999999972
exhale,9.28,9.48,0.20000000000000107
exhale,9.620000000000001,9.98,0.35999999999999943
exhale,10.92,11.120000000000001,0.20000000000000107
exhale,12.72,13.08,0.35999999999999943
exhale,14.82,15.0,0.17999999999999972
exhale,16.4,16.6,0.20000000000000284
exhale,18.0,18.18,0.17999999999999972
exhale,19.52,19.68,0.16000000000000014
exhale,20.82,21.12,0.3000000000000007
exhale,21.52,21.62,0.10000000000000142
exhale,22.32,22.5,0.17999999999999972
exhale,23.740000000000002,23.900000000000002,0.16000000000000014
exhale,25.28,25.5,0.21999999999999886
exhale,26.92,27.080000000000002,0.16000000000000014
exhale,28.240000000000002,28.66,0.41999999999999815
exhale,29.86,30.060000000000002,0.20000000000000284
exhale,31.42,31.64,0.21999999999999886
exhale,33.08,33.26,0.17999999999999972
exhale,34.4,34.56,0.1600000000000037
exhale,35.660000000000004,35.84,0.17999999999999972
exhale,36.94,37.28,0.3400000000000034
exhale,38.92,39.06,0.14000000000000057
exhale,40.56,40.68,0.11999999999999744
exhale,41.88,42.08,0.19999999999999574
exhale,43.1,43.32,0.21999999999999886
exhale,44.74,44.9,0.1599999999999966
exhale,46.52,46.64,0.11999999999999744
exhale,48.24,48.5,0.259999999999998
exhale,48.64,48.76,0.11999999999999744
exhale,49.92,50.08,0.1599999999999966
exhale,50.32,50.46,0.14000000000000057
exhale,50.76,50.86,0.10000000000000142
exhale,51.42,51.7,0.28000000000000114
exhale,52.800000000000004,53.04,0.23999999999999488
exhale,54.160000000000004,54.28,0.11999999999999744
exhale,54.480000000000004,54.6,0.11999999999999744
exhale,55.74,55.88,0.14000000000000057
exhale,56.08,56.22,0.14000000000000057
exhale,57.06,57.4,0.3399999999999963
exhale,58.58,58.72,0.14000000000000057
wheeze_candidate,10.24,10.496,0.2560000000000002
wheeze_candidate,11.776,12.032,0.2560000000000002
wheeze_candidate,13.952,14.208,0.2560000000000002
wheeze_candidate,32.512,32.768,0.2560000000000002
